기준연월,가맹점명,개설일자,음식점타입,업종,주소,주소_시,이용건수구간,이용금액구간,건당평균이용금액구간,월요일이용건수비중,화요일이용건수비중,수요일이용건수비중,목요일이용건수비중,금요일이용건수비중,토요일이용건수비중,일요일이용건수비중,5시11시이용건수비중,12시13시이용건수비중,14시17시이용건수비중,18시22시이용건수비중,23시4시이용건수비중,현지인이용건수비중,최근12개월남성회원수비중,최근12개월여성회원수비중,최근12개월20대이하회원수비중,최근12개월30대회원수비중,최근12개월40대회원수비중,최근12개월50대회원수비중,최근12개월60대이상회원수비중,주말이용건수비중,평일이용건수비중,정보,위도,경도,재방문율 평균,리뷰키워드_20개
202306,랍씨네,20221116,음식점,단품요리 전문,제주 서귀포시 성산읍 고성리 559-17번지 1층,서귀포시,상위 90% 초과(하위 10% 이하),상위 50~75%,상위 10% 이하,0.08,0.08,0.23,0.08,0.15,0.23,0.15,0.0,0.23,0.38,0.38,0.0,0.03,0.62,0.38,0.23,0.25,0.2,0.27,0.05,0.62,0.38,"202306 기준 '랍씨네'(주소: 제주 서귀포시 성산읍 고성리 559-17번지 1층)은/는 20221116에 개설되었습니다. 음식점 타입은 음식점이며 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.23%, 14~17시 0.38%, 18~22시 0.38%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.08, 화요일 0.08, 수요일 0.23, 목요일 0.08, 금요일 0.15, 토요일 0.23, 일요일 0.15입니다. 평일 0.38, 주말0.62현지인 이용 비중은 0.03입니다. 최근 12개월간 남성 회원 비중은 0.62, 여성 회원 비중은 0.38 입니다. 연령대별 회원 비중은 20대 이하 0.23, 30대 0.25, 40대 0.2, 50대 0.27, 60대 이상 0.05입니다. 이 가맹점의 이용 건수 구간은 6_90% 초과(하위 10% 이하)이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 1_상위 10% 이하입니다. 해당 가맹점의 고객 평균 재방문율은 1.28 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 랍스터, 해산물, 맛, 뷰, 신선, 싱싱, 맛있다, 최고, 강추, 친절, 분위기, 만족, 푸짐, 양, 넉넉,  행복, 힐링, 멋지다, 특별, 가격 
",33.4352089,126.9175375,1.28,"랍스터, 해산물, 맛, 뷰, 신선, 싱싱, 맛있다, 최고, 강추, 친절, 분위기, 만족, 푸짐, 양, 넉넉,  행복, 힐링, 멋지다, 특별, 가격 
"
202306,보리해장국,20211229,음식점,단품요리 전문,제주 제주시 외도일동 1641-1번지 1층,제주시,상위 50~75%,상위 75~90%,상위 75~90%,0.19,0.22,0.0,0.06,0.11,0.14,0.28,0.44,0.41,0.16,0.0,0.0,0.8,0.7,0.3,0.04,0.18,0.38,0.29,0.11,0.58,0.42,"202306 기준 '랍씨네'(주소: 제주 서귀포시 성산읍 고성리 559-17번지 1층)은/는 20221116에 개설되었습니다. 음식점 타입은 음식점이며 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.23%, 14~17시 0.38%, 18~22시 0.38%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.08, 화요일 0.08, 수요일 0.23, 목요일 0.08, 금요일 0.15, 토요일 0.23, 일요일 0.15입니다. 평일 0.38, 주말0.62현지인 이용 비중은 0.03입니다. 최근 12개월간 남성 회원 비중은 0.62, 여성 회원 비중은 0.38 입니다. 연령대별 회원 비중은 20대 이하 0.23, 30대 0.25, 40대 0.2, 50대 0.27, 60대 이상 0.05입니다. 이 가맹점의 이용 건수 구간은 6_90% 초과(하위 10% 이하)이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 1_상위 10% 이하입니다. 해당 가맹점의 고객 평균 재방문율은 1.28 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 랍스터, 해산물, 맛, 뷰, 신선, 싱싱, 맛있다, 최고, 강추, 친절, 분위기, 만족, 푸짐, 양, 넉넉,  행복, 힐링, 멋지다, 특별, 가격 
",33.4861906,126.4263928,2.6,"[깔끔, 맛있다, 시원하다, 푸짐하다, 친절하다, 든든하다, 진하다, 칼칼하다, 개운하다, 담백하다, 얼큰하다, 뜨겁다, 넉넉하다, 푸짐하다, 신선하다, 정갈하다,  고소하다, 훌륭하다, 만족스럽다, 착하다] 
"
202306,하효소머리국밥,20150423,음식점,단품요리 전문,제주 서귀포시 하효동 142-2번지,서귀포시,상위 50~75%,상위 75~90%,상위 50~75%,0.13,0.22,0.13,0.18,0.15,0.0,0.18,0.35,0.43,0.08,0.13,0.0,0.64,0.68,0.32,0.06,0.18,0.28,0.29,0.18,0.82,0.18,"202306 기준 '랍씨네'(주소: 제주 서귀포시 성산읍 고성리 559-17번지 1층)은/는 20221116에 개설되었습니다. 음식점 타입은 음식점이며 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.23%, 14~17시 0.38%, 18~22시 0.38%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.08, 화요일 0.08, 수요일 0.23, 목요일 0.08, 금요일 0.15, 토요일 0.23, 일요일 0.15입니다. 평일 0.38, 주말0.62현지인 이용 비중은 0.03입니다. 최근 12개월간 남성 회원 비중은 0.62, 여성 회원 비중은 0.38 입니다. 연령대별 회원 비중은 20대 이하 0.23, 30대 0.25, 40대 0.2, 50대 0.27, 60대 이상 0.05입니다. 이 가맹점의 이용 건수 구간은 6_90% 초과(하위 10% 이하)이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 1_상위 10% 이하입니다. 해당 가맹점의 고객 평균 재방문율은 1.28 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 랍스터, 해산물, 맛, 뷰, 신선, 싱싱, 맛있다, 최고, 강추, 친절, 분위기, 만족, 푸짐, 양, 넉넉,  행복, 힐링, 멋지다, 특별, 가격 
",33.2635435,126.6172841,1.34,"[맛있다, 깔끔하다, 진하다, 부드럽다, 쫄깃하다, 깊다, 든든하다, 시원하다, 칼칼하다, 고소하다, 싱싱하다, 푸짐하다, 야들야들하다, 뜨겁다, 매콤하다, 담백하다, 짭짤하다, 새콤하다, 떫다, 달콤하다] 
"
202306,고불락,20100422,음식점,단품요리 전문,제주 제주시 애월읍 고내리 1164-1번지,제주시,상위 50~75%,상위 50~75%,상위 25~50%,0.17,0.11,0.22,0.2,0.09,0.2,0.02,0.0,0.39,0.33,0.28,0.0,0.12,0.46,0.54,0.24,0.28,0.24,0.15,0.08,0.78,0.22,"202306 기준 '랍씨네'(주소: 제주 서귀포시 성산읍 고성리 559-17번지 1층)은/는 20221116에 개설되었습니다. 음식점 타입은 음식점이며 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.23%, 14~17시 0.38%, 18~22시 0.38%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.08, 화요일 0.08, 수요일 0.23, 목요일 0.08, 금요일 0.15, 토요일 0.23, 일요일 0.15입니다. 평일 0.38, 주말0.62현지인 이용 비중은 0.03입니다. 최근 12개월간 남성 회원 비중은 0.62, 여성 회원 비중은 0.38 입니다. 연령대별 회원 비중은 20대 이하 0.23, 30대 0.25, 40대 0.2, 50대 0.27, 60대 이상 0.05입니다. 이 가맹점의 이용 건수 구간은 6_90% 초과(하위 10% 이하)이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 1_상위 10% 이하입니다. 해당 가맹점의 고객 평균 재방문율은 1.28 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 랍스터, 해산물, 맛, 뷰, 신선, 싱싱, 맛있다, 최고, 강추, 친절, 분위기, 만족, 푸짐, 양, 넉넉,  행복, 힐링, 멋지다, 특별, 가격 
",33.4667429,126.3365337,1.0,"[고등어, 조림, 상추, 밥, 맛있다, 친절하다, 쌈, 푸짐하다, 맛, 제육, 밑반찬, 칼칼하다, 신선하다, 든든하다, 양, 풍성하다, 건강하다, 최고, 추천, 만족] 
"
202306,제주오쿠다2호점,20190128,음식점,가정식,제주 제주시 노형동 2664번지 1층,제주시,상위 50~75%,상위 25~50%,상위 10~25%,0.0,0.16,0.07,0.2,0.25,0.14,0.18,0.14,0.18,0.27,0.41,0.0,0.35,0.54,0.46,0.1,0.24,0.3,0.23,0.13,0.68,0.32,"202306 기준 '랍씨네'(주소: 제주 서귀포시 성산읍 고성리 559-17번지 1층)은/는 20221116에 개설되었습니다. 음식점 타입은 음식점이며 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.23%, 14~17시 0.38%, 18~22시 0.38%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.08, 화요일 0.08, 수요일 0.23, 목요일 0.08, 금요일 0.15, 토요일 0.23, 일요일 0.15입니다. 평일 0.38, 주말0.62현지인 이용 비중은 0.03입니다. 최근 12개월간 남성 회원 비중은 0.62, 여성 회원 비중은 0.38 입니다. 연령대별 회원 비중은 20대 이하 0.23, 30대 0.25, 40대 0.2, 50대 0.27, 60대 이상 0.05입니다. 이 가맹점의 이용 건수 구간은 6_90% 초과(하위 10% 이하)이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 1_상위 10% 이하입니다. 해당 가맹점의 고객 평균 재방문율은 1.28 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 랍스터, 해산물, 맛, 뷰, 신선, 싱싱, 맛있다, 최고, 강추, 친절, 분위기, 만족, 푸짐, 양, 넉넉,  행복, 힐링, 멋지다, 특별, 가격 
",33.4881812,126.4689026,1.08,"쿠다: [싱싱, 신선, 맛있, 푸짐, 든든, 고소, 쫄깃, 시원, 얼큰, 깔끔, 넓, 편리, 친절, 만족, 좋,  추천,  가성비,  다양,  행복,  최고] 
"
202306,해모루,20130527,음식점,일식,제주 제주시 노형동 1279-1번지,제주시,상위 50~75%,상위 25~50%,상위 10~25%,0.05,0.2,0.14,0.25,0.16,0.2,0.0,0.0,0.0,0.0,0.86,0.14,0.35,0.7,0.3,0.14,0.2,0.26,0.28,0.13,0.8,0.2,"202306 기준 '랍씨네'(주소: 제주 서귀포시 성산읍 고성리 559-17번지 1층)은/는 20221116에 개설되었습니다. 음식점 타입은 음식점이며 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.23%, 14~17시 0.38%, 18~22시 0.38%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.08, 화요일 0.08, 수요일 0.23, 목요일 0.08, 금요일 0.15, 토요일 0.23, 일요일 0.15입니다. 평일 0.38, 주말0.62현지인 이용 비중은 0.03입니다. 최근 12개월간 남성 회원 비중은 0.62, 여성 회원 비중은 0.38 입니다. 연령대별 회원 비중은 20대 이하 0.23, 30대 0.25, 40대 0.2, 50대 0.27, 60대 이상 0.05입니다. 이 가맹점의 이용 건수 구간은 6_90% 초과(하위 10% 이하)이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 1_상위 10% 이하입니다. 해당 가맹점의 고객 평균 재방문율은 1.28 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 랍스터, 해산물, 맛, 뷰, 신선, 싱싱, 맛있다, 최고, 강추, 친절, 분위기, 만족, 푸짐, 양, 넉넉,  행복, 힐링, 멋지다, 특별, 가격 
",33.4877936,126.4785543,1.2,"해 모루 : [싱싱, 신선, 맛있, 푸짐, 깔끔, 친절, 넘치다, 가성비, 좋다, 넉넉, 푸짐, 다양, 만족, 최고, 훌륭, 칭찬, 추천, 감동, 즐거움, 행복] 
"
202306,등대와바당,20200302,음식점,일식,제주 제주시 도두일동 2614-4번지 2층,제주시,상위 75~90%,상위 10~25%,상위 10% 이하,0.14,0.19,0.17,0.22,0.08,0.03,0.17,0.03,0.11,0.14,0.72,0.0,0.12,0.52,0.48,0.06,0.12,0.24,0.32,0.26,0.81,0.19,"202306 기준 '랍씨네'(주소: 제주 서귀포시 성산읍 고성리 559-17번지 1층)은/는 20221116에 개설되었습니다. 음식점 타입은 음식점이며 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.23%, 14~17시 0.38%, 18~22시 0.38%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.08, 화요일 0.08, 수요일 0.23, 목요일 0.08, 금요일 0.15, 토요일 0.23, 일요일 0.15입니다. 평일 0.38, 주말0.62현지인 이용 비중은 0.03입니다. 최근 12개월간 남성 회원 비중은 0.62, 여성 회원 비중은 0.38 입니다. 연령대별 회원 비중은 20대 이하 0.23, 30대 0.25, 40대 0.2, 50대 0.27, 60대 이상 0.05입니다. 이 가맹점의 이용 건수 구간은 6_90% 초과(하위 10% 이하)이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 1_상위 10% 이하입니다. 해당 가맹점의 고객 평균 재방문율은 1.28 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 랍스터, 해산물, 맛, 뷰, 신선, 싱싱, 맛있다, 최고, 강추, 친절, 분위기, 만족, 푸짐, 양, 넉넉,  행복, 힐링, 멋지다, 특별, 가격 
",33.5061494,126.4645585,1.06,"## 제주도 맛집 키워드:

**맛:** 맛있다, 푸짐하다, 깔끔하다, 신선하다, 핵맛, 꿀맛, 최고, 일품, 밥도둑, 
       감칠맛, 걸쭉, 칼칼, 촉촉, 든든, 
       고소, 맵다, 간간, 짜다, 부드럽다

**만족도:** 만족, 최고, 훌륭, 대박, 
          행복, 뿌듯, 기분 좋다, 
          강추, 추천, 다시 오고 싶다, 
          별미, 
          좋다, 
          만족스럽다, 
          최고, 
          완전, 
          맛집, 
          인생

**서비스:** 친절, 친절하다, 
           신경 써주다, 
           설명해주다, 
           맞이해주다, 
           편안하다, 
           따뜻하다, 
           감사하다

**분위기:**  오션 뷰, 바다 뷰, 통창, 
           뷰, 
           멋있다, 
           고요, 
           넓다, 
           깔끔하다, 
           시원하다, 
           포구 앞, 
           등대

**음식량:** 푸짐, 
          많다, 
          양 많다, 
          배부르다, 
          넉넉하다, 
          터지다, 
          가성비, 
          저렴
"
202306,명륜진사갈비 삼화점,20190612,음식점,가정식,제주 제주시 화북일동 1015-1번지 2층,제주시,상위 10~25%,상위 10% 이하,상위 25~50%,0.11,0.16,0.09,0.11,0.15,0.19,0.19,0.0,0.09,0.09,0.82,0.0,0.83,0.56,0.44,0.1,0.26,0.38,0.17,0.08,0.61,0.39,"202306 기준 '랍씨네'(주소: 제주 서귀포시 성산읍 고성리 559-17번지 1층)은/는 20221116에 개설되었습니다. 음식점 타입은 음식점이며 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.23%, 14~17시 0.38%, 18~22시 0.38%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.08, 화요일 0.08, 수요일 0.23, 목요일 0.08, 금요일 0.15, 토요일 0.23, 일요일 0.15입니다. 평일 0.38, 주말0.62현지인 이용 비중은 0.03입니다. 최근 12개월간 남성 회원 비중은 0.62, 여성 회원 비중은 0.38 입니다. 연령대별 회원 비중은 20대 이하 0.23, 30대 0.25, 40대 0.2, 50대 0.27, 60대 이상 0.05입니다. 이 가맹점의 이용 건수 구간은 6_90% 초과(하위 10% 이하)이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 1_상위 10% 이하입니다. 해당 가맹점의 고객 평균 재방문율은 1.28 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 랍스터, 해산물, 맛, 뷰, 신선, 싱싱, 맛있다, 최고, 강추, 친절, 분위기, 만족, 푸짐, 양, 넉넉,  행복, 힐링, 멋지다, 특별, 가격 
",33.5147855,126.5757188,1.62,"[가성비, 무한리필, 맛있다, 푸짐하다, 깔끔하다, 친절하다, 넓다, 숯불, 맛, 좋다, 최고, 굿, 괜찮다, 만족, 즐겁다, 행복하다, 넉넉하다, 시원하다, 덥다, 붐빈다] 
"
202306,바다사랑추억,20140829,음식점,단품요리 전문,제주 제주시 애월읍 하귀2리 2740번지,제주시,상위 90% 초과(하위 10% 이하),상위 50~75%,상위 10% 이하,0.0,0.0,0.44,0.0,0.44,0.0,0.11,0.0,0.0,0.11,0.89,0.0,0.11,0.61,0.39,0.24,0.38,0.16,0.14,0.08,0.89,0.11,"202306 기준 '랍씨네'(주소: 제주 서귀포시 성산읍 고성리 559-17번지 1층)은/는 20221116에 개설되었습니다. 음식점 타입은 음식점이며 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.23%, 14~17시 0.38%, 18~22시 0.38%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.08, 화요일 0.08, 수요일 0.23, 목요일 0.08, 금요일 0.15, 토요일 0.23, 일요일 0.15입니다. 평일 0.38, 주말0.62현지인 이용 비중은 0.03입니다. 최근 12개월간 남성 회원 비중은 0.62, 여성 회원 비중은 0.38 입니다. 연령대별 회원 비중은 20대 이하 0.23, 30대 0.25, 40대 0.2, 50대 0.27, 60대 이상 0.05입니다. 이 가맹점의 이용 건수 구간은 6_90% 초과(하위 10% 이하)이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 1_상위 10% 이하입니다. 해당 가맹점의 고객 평균 재방문율은 1.28 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 랍스터, 해산물, 맛, 뷰, 신선, 싱싱, 맛있다, 최고, 강추, 친절, 분위기, 만족, 푸짐, 양, 넉넉,  행복, 힐링, 멋지다, 특별, 가격 
",33.487621,126.3905865,1.1,"[흑돼지, 장작구이, 맛있다, 뷰, 바다, 김치, 맛집, 친절하다, 분위기, 밥, 넉넉하다, 솔직하다, 가격, 비싸다, 
  서비스, 벌레, 땀, 에어컨, 쾌적, 
  추억] 
"
202306,신촌올레숯불갈비,20220407,음식점,단품요리 전문,제주 제주시 조천읍 신촌리 1777-1번지 1층,제주시,상위 50~75%,상위 25~50%,상위 25~50%,0.11,0.13,0.17,0.09,0.24,0.17,0.09,0.04,0.22,0.02,0.72,0.0,0.78,0.62,0.38,0.04,0.15,0.4,0.29,0.12,0.74,0.26,"202306 기준 '랍씨네'(주소: 제주 서귀포시 성산읍 고성리 559-17번지 1층)은/는 20221116에 개설되었습니다. 음식점 타입은 음식점이며 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.23%, 14~17시 0.38%, 18~22시 0.38%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.08, 화요일 0.08, 수요일 0.23, 목요일 0.08, 금요일 0.15, 토요일 0.23, 일요일 0.15입니다. 평일 0.38, 주말0.62현지인 이용 비중은 0.03입니다. 최근 12개월간 남성 회원 비중은 0.62, 여성 회원 비중은 0.38 입니다. 연령대별 회원 비중은 20대 이하 0.23, 30대 0.25, 40대 0.2, 50대 0.27, 60대 이상 0.05입니다. 이 가맹점의 이용 건수 구간은 6_90% 초과(하위 10% 이하)이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 1_상위 10% 이하입니다. 해당 가맹점의 고객 평균 재방문율은 1.28 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 랍스터, 해산물, 맛, 뷰, 신선, 싱싱, 맛있다, 최고, 강추, 친절, 분위기, 만족, 푸짐, 양, 넉넉,  행복, 힐링, 멋지다, 특별, 가격 
",33.5330731,126.6214596,1.62,"[맛있다, 굿, 최고, 맛집, 푸짐, 넉넉, 신선, 육즙, 팡팡, 쫄깃, 감칠맛,  만족,  훌륭,  좋다,  가성비,  친절,  깔끔,  시원,  넓다,  편안] 
"
