기준연월,가맹점명,개설일자,음식점타입,업종,주소,주소_시,이용건수구간,이용금액구간,건당평균이용금액구간,월요일이용건수비중,화요일이용건수비중,수요일이용건수비중,목요일이용건수비중,금요일이용건수비중,토요일이용건수비중,일요일이용건수비중,5시11시이용건수비중,12시13시이용건수비중,14시17시이용건수비중,18시22시이용건수비중,23시4시이용건수비중,현지인이용건수비중,최근12개월남성회원수비중,최근12개월여성회원수비중,최근12개월20대이하회원수비중,최근12개월30대회원수비중,최근12개월40대회원수비중,최근12개월50대회원수비중,최근12개월60대이상회원수비중,주말이용건수비중,평일이용건수비중,정보,위도,경도,재방문율 평균,리뷰키워드_20개
202305,청수미방,20191209,음식점,양식,제주 제주시 한경면 청수리 2052번지 1층,제주시,상위 75~90%,상위 75~90%,상위 25~50%,0.23,0.1,0.17,0.1,0.1,0.07,0.23,0.1,0.6,0.3,0.0,0.0,0.33,0.33,0.67,0.14,0.25,0.44,0.11,0.06,0.7,0.3,"202305 기준 '청수미방'(주소: 제주 제주시 한경면 청수리 2052번지 1층)은/는 20191209에 개설되었습니다. 음식점 타입은 음식점이며 양식 업종입니다. 이용 시간대별 비중은 5~11시 0.1%, 12~13시 0.6%, 14~17시 0.3%, 18~22시 0.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.23, 화요일 0.1, 수요일 0.17, 목요일 0.1, 금요일 0.1, 토요일 0.07, 일요일 0.23입니다. 평일 0.3, 주말0.7현지인 이용 비중은 0.33입니다. 최근 12개월간 남성 회원 비중은 0.33, 여성 회원 비중은 0.67 입니다. 연령대별 회원 비중은 20대 이하 0.14, 30대 0.25, 40대 0.44, 50대 0.11, 60대 이상 0.06입니다. 이 가맹점의 이용 건수 구간은 5_75~90%이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 3_25~50%입니다. 해당 가맹점의 고객 평균 재방문율은 1.04 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 청수미방 : 맛있다, 최고, 샐러드, 파스타, 샌드위치, 그라탕, 신선하다, 맛, 분위기, 좋다, 친절하다, 뷰, 인테리어, 깔끔하다, 푸짐하다, 힐링, 만족, 행복, 추천, 꼭 
",33.322892,126.2409857,1.04,"청수미방 : 맛있다, 최고, 샐러드, 파스타, 샌드위치, 그라탕, 신선하다, 맛, 분위기, 좋다, 친절하다, 뷰, 인테리어, 깔끔하다, 푸짐하다, 힐링, 만족, 행복, 추천, 꼭 
"
202305,참스큐도두점,20110412,음식점,단품요리 전문,제주 제주시 도두일동 2616-13번지,제주시,상위 90% 초과(하위 10% 이하),상위 75~90%,상위 10~25%,0.17,0.11,0.22,0.11,0.17,0.17,0.06,0.0,0.0,0.0,0.89,0.11,0.42,0.63,0.37,0.11,0.16,0.37,0.2,0.15,0.78,0.22,"202305 기준 '청수미방'(주소: 제주 제주시 한경면 청수리 2052번지 1층)은/는 20191209에 개설되었습니다. 음식점 타입은 음식점이며 양식 업종입니다. 이용 시간대별 비중은 5~11시 0.1%, 12~13시 0.6%, 14~17시 0.3%, 18~22시 0.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.23, 화요일 0.1, 수요일 0.17, 목요일 0.1, 금요일 0.1, 토요일 0.07, 일요일 0.23입니다. 평일 0.3, 주말0.7현지인 이용 비중은 0.33입니다. 최근 12개월간 남성 회원 비중은 0.33, 여성 회원 비중은 0.67 입니다. 연령대별 회원 비중은 20대 이하 0.14, 30대 0.25, 40대 0.44, 50대 0.11, 60대 이상 0.06입니다. 이 가맹점의 이용 건수 구간은 5_75~90%이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 3_25~50%입니다. 해당 가맹점의 고객 평균 재방문율은 1.04 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 청수미방 : 맛있다, 최고, 샐러드, 파스타, 샌드위치, 그라탕, 신선하다, 맛, 분위기, 좋다, 친절하다, 뷰, 인테리어, 깔끔하다, 푸짐하다, 힐링, 만족, 행복, 추천, 꼭 
",33.5052732,126.4648438,1.47,"[맛있다, 신선하다, 특별하다, 최고, 굿, 만족, 행복, 훌륭, 푸짐, 가성비, 친절, 재방문, 추천, 맛집, 코스, 숙회, 회, 치킨, 탕, 지리] 
"
202305,부가네얼큰이첨단점,20191119,음식점,가정식,제주 제주시 영평동 2169-3번지 1층,제주시,상위 50~75%,상위 75~90%,상위 50~75%,0.09,0.0,0.16,0.07,0.16,0.27,0.25,0.0,0.0,0.05,0.8,0.16,0.81,0.48,0.52,0.16,0.36,0.32,0.15,0.01,0.48,0.52,"202305 기준 '청수미방'(주소: 제주 제주시 한경면 청수리 2052번지 1층)은/는 20191209에 개설되었습니다. 음식점 타입은 음식점이며 양식 업종입니다. 이용 시간대별 비중은 5~11시 0.1%, 12~13시 0.6%, 14~17시 0.3%, 18~22시 0.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.23, 화요일 0.1, 수요일 0.17, 목요일 0.1, 금요일 0.1, 토요일 0.07, 일요일 0.23입니다. 평일 0.3, 주말0.7현지인 이용 비중은 0.33입니다. 최근 12개월간 남성 회원 비중은 0.33, 여성 회원 비중은 0.67 입니다. 연령대별 회원 비중은 20대 이하 0.14, 30대 0.25, 40대 0.44, 50대 0.11, 60대 이상 0.06입니다. 이 가맹점의 이용 건수 구간은 5_75~90%이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 3_25~50%입니다. 해당 가맹점의 고객 평균 재방문율은 1.04 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 청수미방 : 맛있다, 최고, 샐러드, 파스타, 샌드위치, 그라탕, 신선하다, 맛, 분위기, 좋다, 친절하다, 뷰, 인테리어, 깔끔하다, 푸짐하다, 힐링, 만족, 행복, 추천, 꼭 
",33.4495251,126.5743285,2.9,"[닭발, 닭날개, 목살, 맵다, 맛있다, 최고, 핵꿀맛, 존맛탱, 푸짐하다, 친절하다, 깔끔하다, 분위기, 서비스, 계란찜, 콩나물국, 맥주, 소주, 떡볶이, 오뎅탕, 웨이팅] 
"
202305,샤브마니아 제주스카이워터쇼점,20220713,음식점,단품요리 전문,제주 제주시 구좌읍 송당리 2764-1번지 1층 3호,제주시,상위 75~90%,상위 75~90%,상위 25~50%,0.19,0.16,0.06,0.19,0.0,0.06,0.32,0.06,0.48,0.26,0.19,0.0,0.27,0.52,0.48,0.06,0.23,0.35,0.23,0.13,0.61,0.39,"202305 기준 '청수미방'(주소: 제주 제주시 한경면 청수리 2052번지 1층)은/는 20191209에 개설되었습니다. 음식점 타입은 음식점이며 양식 업종입니다. 이용 시간대별 비중은 5~11시 0.1%, 12~13시 0.6%, 14~17시 0.3%, 18~22시 0.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.23, 화요일 0.1, 수요일 0.17, 목요일 0.1, 금요일 0.1, 토요일 0.07, 일요일 0.23입니다. 평일 0.3, 주말0.7현지인 이용 비중은 0.33입니다. 최근 12개월간 남성 회원 비중은 0.33, 여성 회원 비중은 0.67 입니다. 연령대별 회원 비중은 20대 이하 0.14, 30대 0.25, 40대 0.44, 50대 0.11, 60대 이상 0.06입니다. 이 가맹점의 이용 건수 구간은 5_75~90%이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 3_25~50%입니다. 해당 가맹점의 고객 평균 재방문율은 1.04 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 청수미방 : 맛있다, 최고, 샐러드, 파스타, 샌드위치, 그라탕, 신선하다, 맛, 분위기, 좋다, 친절하다, 뷰, 인테리어, 깔끔하다, 푸짐하다, 힐링, 만족, 행복, 추천, 꼭 
",33.4250508,126.7452103,1.5,"[신선, 맛있다, 친절, 깔끔, 배부르다, 푸짐, 좋다, 넓다, 쾌적, 강추, 만족, 가성비, 샤브샤브, 월남쌈, 야채, 육수, 셀프바,  다양,  추천,  스카이 워터 쇼] 
"
202305,해미가,20200513,음식점,가정식,제주 제주시 애월읍 하귀2리 2740-5번지 1층,제주시,상위 50~75%,상위 25~50%,상위 25~50%,0.04,0.21,0.2,0.07,0.12,0.09,0.27,0.23,0.12,0.25,0.39,0.0,0.07,0.52,0.48,0.1,0.15,0.25,0.33,0.17,0.64,0.36,"202305 기준 '청수미방'(주소: 제주 제주시 한경면 청수리 2052번지 1층)은/는 20191209에 개설되었습니다. 음식점 타입은 음식점이며 양식 업종입니다. 이용 시간대별 비중은 5~11시 0.1%, 12~13시 0.6%, 14~17시 0.3%, 18~22시 0.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.23, 화요일 0.1, 수요일 0.17, 목요일 0.1, 금요일 0.1, 토요일 0.07, 일요일 0.23입니다. 평일 0.3, 주말0.7현지인 이용 비중은 0.33입니다. 최근 12개월간 남성 회원 비중은 0.33, 여성 회원 비중은 0.67 입니다. 연령대별 회원 비중은 20대 이하 0.14, 30대 0.25, 40대 0.44, 50대 0.11, 60대 이상 0.06입니다. 이 가맹점의 이용 건수 구간은 5_75~90%이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 3_25~50%입니다. 해당 가맹점의 고객 평균 재방문율은 1.04 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 청수미방 : 맛있다, 최고, 샐러드, 파스타, 샌드위치, 그라탕, 신선하다, 맛, 분위기, 좋다, 친절하다, 뷰, 인테리어, 깔끔하다, 푸짐하다, 힐링, 만족, 행복, 추천, 꼭 
",33.4876079,126.3899707,1.0,"[갈치조림, 맛있다, 푸짐하다, 친절하다, 밑반찬, 깔끔하다, 솥밥, 해물뚝배기, 전복, 흑돼지, 든든하다, 가성비, 양, 푸짐, 맛, 서비스, 만족, 분위기, 추천, 재방문] 
"
202305,디뷰,20210122,커피/차/베이커리,커피,제주 제주시 노형동 3801-9번지 1층,제주시,상위 10~25%,상위 10% 이하,상위 25~50%,0.25,0.14,0.06,0.11,0.13,0.18,0.12,0.17,0.33,0.45,0.05,0.0,0.72,0.31,0.69,0.17,0.26,0.35,0.18,0.03,0.69,0.31,"202305 기준 '청수미방'(주소: 제주 제주시 한경면 청수리 2052번지 1층)은/는 20191209에 개설되었습니다. 음식점 타입은 음식점이며 양식 업종입니다. 이용 시간대별 비중은 5~11시 0.1%, 12~13시 0.6%, 14~17시 0.3%, 18~22시 0.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.23, 화요일 0.1, 수요일 0.17, 목요일 0.1, 금요일 0.1, 토요일 0.07, 일요일 0.23입니다. 평일 0.3, 주말0.7현지인 이용 비중은 0.33입니다. 최근 12개월간 남성 회원 비중은 0.33, 여성 회원 비중은 0.67 입니다. 연령대별 회원 비중은 20대 이하 0.14, 30대 0.25, 40대 0.44, 50대 0.11, 60대 이상 0.06입니다. 이 가맹점의 이용 건수 구간은 5_75~90%이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 3_25~50%입니다. 해당 가맹점의 고객 평균 재방문율은 1.04 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 청수미방 : 맛있다, 최고, 샐러드, 파스타, 샌드위치, 그라탕, 신선하다, 맛, 분위기, 좋다, 친절하다, 뷰, 인테리어, 깔끔하다, 푸짐하다, 힐링, 만족, 행복, 추천, 꼭 
",33.4800141,126.4775287,1.14,"## 제주도 맛집 키워드:

**맛:** 맛있다, 최고, 훌륭하다, 짱짱,  정말, 너무,  신선하다,  부드럽다,  입맛,  고급스럽다,  특이하다,  새콤,  매콤,  느끼하다,  달콤,  담백,  향긋

**만족도:** 만족,  행복,  추천,  좋아하다,  기분 좋다,  감동,  사랑,  인생,  최애,  별로,  아쉽다

**서비스:** 친절하다,  친절,  감사,  만족,  편안하다,  기분 좋다,  친절,  매너,  전문가

**분위기:**  아늑하다,  조용하다,  시끄럽다,  고급스럽다,  편안하다,  분위기,  좋다,  완벽,  세련,  깔끔

**음식량:**  푸짐하다,  많다,  적다,  배부르다,  넉넉하다,  양 
"
202305,연동둘둘김밥,20190626,간단음식/패스트푸드,분식,제주 제주시 연동 1497-1번지 1층,제주시,상위 10~25%,상위 50~75%,상위 90% 초과(하위 10% 이하),0.0,0.12,0.09,0.13,0.16,0.22,0.27,0.74,0.23,0.03,0.0,0.0,0.83,0.45,0.55,0.04,0.23,0.42,0.26,0.05,0.51,0.49,"202305 기준 '청수미방'(주소: 제주 제주시 한경면 청수리 2052번지 1층)은/는 20191209에 개설되었습니다. 음식점 타입은 음식점이며 양식 업종입니다. 이용 시간대별 비중은 5~11시 0.1%, 12~13시 0.6%, 14~17시 0.3%, 18~22시 0.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.23, 화요일 0.1, 수요일 0.17, 목요일 0.1, 금요일 0.1, 토요일 0.07, 일요일 0.23입니다. 평일 0.3, 주말0.7현지인 이용 비중은 0.33입니다. 최근 12개월간 남성 회원 비중은 0.33, 여성 회원 비중은 0.67 입니다. 연령대별 회원 비중은 20대 이하 0.14, 30대 0.25, 40대 0.44, 50대 0.11, 60대 이상 0.06입니다. 이 가맹점의 이용 건수 구간은 5_75~90%이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 3_25~50%입니다. 해당 가맹점의 고객 평균 재방문율은 1.04 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 청수미방 : 맛있다, 최고, 샐러드, 파스타, 샌드위치, 그라탕, 신선하다, 맛, 분위기, 좋다, 친절하다, 뷰, 인테리어, 깔끔하다, 푸짐하다, 힐링, 만족, 행복, 추천, 꼭 
",33.4797899,126.4900158,1.54,"[맛있다, 최고, 굿, 꿀맛, 든든하다, 좋다, 괜찮다, 짜다, 알차다, 푸짐하다, 친절하다, 정겨운, 급하다, 빨리, 바쁘다, 가성비, 싸다, 터지다, 아쉽다, 별로] 
"
202305,오는정김밥,20180205,간단음식/패스트푸드,분식,제주 서귀포시 서귀동 254-6번지 1층,서귀포시,상위 10% 이하,상위 10% 이하,상위 75~90%,0.19,0.2,0.15,0.13,0.17,0.16,0.0,0.24,0.16,0.37,0.23,0.0,0.07,0.4,0.6,0.28,0.4,0.19,0.1,0.03,0.84,0.16,"202305 기준 '청수미방'(주소: 제주 제주시 한경면 청수리 2052번지 1층)은/는 20191209에 개설되었습니다. 음식점 타입은 음식점이며 양식 업종입니다. 이용 시간대별 비중은 5~11시 0.1%, 12~13시 0.6%, 14~17시 0.3%, 18~22시 0.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.23, 화요일 0.1, 수요일 0.17, 목요일 0.1, 금요일 0.1, 토요일 0.07, 일요일 0.23입니다. 평일 0.3, 주말0.7현지인 이용 비중은 0.33입니다. 최근 12개월간 남성 회원 비중은 0.33, 여성 회원 비중은 0.67 입니다. 연령대별 회원 비중은 20대 이하 0.14, 30대 0.25, 40대 0.44, 50대 0.11, 60대 이상 0.06입니다. 이 가맹점의 이용 건수 구간은 5_75~90%이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 3_25~50%입니다. 해당 가맹점의 고객 평균 재방문율은 1.04 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 청수미방 : 맛있다, 최고, 샐러드, 파스타, 샌드위치, 그라탕, 신선하다, 맛, 분위기, 좋다, 친절하다, 뷰, 인테리어, 깔끔하다, 푸짐하다, 힐링, 만족, 행복, 추천, 꼭 
",33.2496387,126.5676162,1.46,"[정김밥, 맛있다, 튀김, 유부, 맛, 예약, 웨이팅, 깻잎, 김밥, 떡갈비, 촉촉하다, 신선하다, 쫀득쫀득, 푸짐하다, 깔끔하다, 친절하다, 만족, 기대, 추천, 최고] 
"
202305,통큰갈비(제주외도점),20200210,음식점,단품요리 전문,제주 제주시 외도일동 532-3번지 청솔가든 101호,제주시,상위 50~75%,상위 25~50%,상위 25~50%,0.19,0.1,0.12,0.17,0.12,0.14,0.17,0.0,0.03,0.12,0.83,0.02,0.85,0.62,0.38,0.11,0.2,0.43,0.21,0.05,0.69,0.31,"202305 기준 '청수미방'(주소: 제주 제주시 한경면 청수리 2052번지 1층)은/는 20191209에 개설되었습니다. 음식점 타입은 음식점이며 양식 업종입니다. 이용 시간대별 비중은 5~11시 0.1%, 12~13시 0.6%, 14~17시 0.3%, 18~22시 0.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.23, 화요일 0.1, 수요일 0.17, 목요일 0.1, 금요일 0.1, 토요일 0.07, 일요일 0.23입니다. 평일 0.3, 주말0.7현지인 이용 비중은 0.33입니다. 최근 12개월간 남성 회원 비중은 0.33, 여성 회원 비중은 0.67 입니다. 연령대별 회원 비중은 20대 이하 0.14, 30대 0.25, 40대 0.44, 50대 0.11, 60대 이상 0.06입니다. 이 가맹점의 이용 건수 구간은 5_75~90%이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 3_25~50%입니다. 해당 가맹점의 고객 평균 재방문율은 1.04 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 청수미방 : 맛있다, 최고, 샐러드, 파스타, 샌드위치, 그라탕, 신선하다, 맛, 분위기, 좋다, 친절하다, 뷰, 인테리어, 깔끔하다, 푸짐하다, 힐링, 만족, 행복, 추천, 꼭 
",33.4880003,126.4328627,1.6,"[고기, 맛있다, 맛, 종류, 천국, 만족, 식사, 친절, 곱창, 껍데기, 막창, 방문, 주차장, 넓다, 청결, 여행, 장소, 직원, 가격, 흑돼지] 
"
202305,맨도롱밥집,20150717,음식점,가정식,제주 제주시 애월읍 장전리 385-4번지,제주시,상위 25~50%,상위 75~90%,상위 75~90%,0.2,0.21,0.22,0.1,0.1,0.16,0.0,0.46,0.54,0.0,0.0,0.0,0.71,0.66,0.34,0.03,0.19,0.43,0.24,0.12,0.84,0.16,"202305 기준 '청수미방'(주소: 제주 제주시 한경면 청수리 2052번지 1층)은/는 20191209에 개설되었습니다. 음식점 타입은 음식점이며 양식 업종입니다. 이용 시간대별 비중은 5~11시 0.1%, 12~13시 0.6%, 14~17시 0.3%, 18~22시 0.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.23, 화요일 0.1, 수요일 0.17, 목요일 0.1, 금요일 0.1, 토요일 0.07, 일요일 0.23입니다. 평일 0.3, 주말0.7현지인 이용 비중은 0.33입니다. 최근 12개월간 남성 회원 비중은 0.33, 여성 회원 비중은 0.67 입니다. 연령대별 회원 비중은 20대 이하 0.14, 30대 0.25, 40대 0.44, 50대 0.11, 60대 이상 0.06입니다. 이 가맹점의 이용 건수 구간은 5_75~90%이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 3_25~50%입니다. 해당 가맹점의 고객 평균 재방문율은 1.04 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 청수미방 : 맛있다, 최고, 샐러드, 파스타, 샌드위치, 그라탕, 신선하다, 맛, 분위기, 좋다, 친절하다, 뷰, 인테리어, 깔끔하다, 푸짐하다, 힐링, 만족, 행복, 추천, 꼭 
",33.4505041,126.3912007,1.2,"[가성비, 맛있다, 푸짐하다, 친절하다, 깔끔하다, 뷔페, 한식, 집밥, 셀프, 계란후라이, 혼밥, 점심, 로컬, 제주도, 맛집, 좋다, 다양하다, 넉넉하다, 굿, 최고] 
"
