기준연월,가맹점명,개설일자,음식점타입,업종,주소,주소_시,이용건수구간,이용금액구간,건당평균이용금액구간,월요일이용건수비중,화요일이용건수비중,수요일이용건수비중,목요일이용건수비중,금요일이용건수비중,토요일이용건수비중,일요일이용건수비중,5시11시이용건수비중,12시13시이용건수비중,14시17시이용건수비중,18시22시이용건수비중,23시4시이용건수비중,현지인이용건수비중,최근12개월남성회원수비중,최근12개월여성회원수비중,최근12개월20대이하회원수비중,최근12개월30대회원수비중,최근12개월40대회원수비중,최근12개월50대회원수비중,최근12개월60대이상회원수비중,주말이용건수비중,평일이용건수비중,정보,위도,경도,재방문율 평균,리뷰키워드_20개
202311,굽네치킨 성산점,20211007,간단음식/패스트푸드,치킨,제주 서귀포시 성산읍 시흥리 208번지 1층,서귀포시,상위 50~75%,상위 50~75%,상위 50~75%,0.1,0.17,0.1,0.1,0.14,0.26,0.12,0.0,0.0,0.1,0.9,0.0,0.08,0.61,0.39,0.14,0.24,0.42,0.16,0.05,0.62,0.38,"202311 기준 '굽네치킨 성산점'(주소: 제주 서귀포시 성산읍 시흥리 208번지 1층)은/는 20211007에 개설되었습니다. 음식점 타입은 간단음식/패스트푸드이며 치킨 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.1%, 18~22시 0.9%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.1, 화요일 0.17, 수요일 0.1, 목요일 0.1, 금요일 0.14, 토요일 0.26, 일요일 0.12입니다. 평일 0.38, 주말0.62현지인 이용 비중은 0.08입니다. 최근 12개월간 남성 회원 비중은 0.61, 여성 회원 비중은 0.39 입니다. 연령대별 회원 비중은 20대 이하 0.14, 30대 0.24, 40대 0.42, 50대 0.16, 60대 이상 0.05입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 1.38 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다:  제주도 맛집 키워드 20개: 맛있다 친절하다 굽네치킨 바삭 맥주 숙소 고추바사삭 맛 뷰 시원하다 깔끔하다 굿 최고 넘다 좋다 포장 닭 피자 배달 서비스 ",33.4738934,126.9108755,1.38, 제주도 맛집 키워드 20개: 맛있다 친절하다 굽네치킨 바삭 맥주 숙소 고추바사삭 맛 뷰 시원하다 깔끔하다 굿 최고 넘다 좋다 포장 닭 피자 배달 서비스 
202311,애진,20090721,음식점,단품요리 전문,제주 제주시 이도이동 1008-1번지,제주시,상위 90% 초과(하위 10% 이하),상위 75~90%,상위 10~25%,0.14,0.07,0.43,0.14,0.14,0.07,0.0,0.0,0.0,0.0,1.0,0.0,0.72,0.8,0.2,0.11,0.17,0.19,0.29,0.25,0.93,0.07,"202311 기준 '굽네치킨 성산점'(주소: 제주 서귀포시 성산읍 시흥리 208번지 1층)은/는 20211007에 개설되었습니다. 음식점 타입은 간단음식/패스트푸드이며 치킨 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.1%, 18~22시 0.9%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.1, 화요일 0.17, 수요일 0.1, 목요일 0.1, 금요일 0.14, 토요일 0.26, 일요일 0.12입니다. 평일 0.38, 주말0.62현지인 이용 비중은 0.08입니다. 최근 12개월간 남성 회원 비중은 0.61, 여성 회원 비중은 0.39 입니다. 연령대별 회원 비중은 20대 이하 0.14, 30대 0.24, 40대 0.42, 50대 0.16, 60대 이상 0.05입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 1.38 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다:  제주도 맛집 키워드 20개: 맛있다 친절하다 굽네치킨 바삭 맥주 숙소 고추바사삭 맛 뷰 시원하다 깔끔하다 굿 최고 넘다 좋다 포장 닭 피자 배달 서비스 ",33.4964895,126.5299999,1.25,"[맛있다, 고기, 가성비, 최고, 신선하다, 청국장, 서비스, 단골, 정육식당, 퀄리티, 저렴하다, 깜짝, 진짜, 맛집, 현지, 동네, 주민, 우연히, 발견, 관광객] 
"
202311,소린이네회,20170223,음식점,일식,제주 서귀포시 서귀동 277-10번지,서귀포시,상위 50~75%,상위 25~50%,상위 25~50%,0.24,0.05,0.11,0.05,0.24,0.11,0.19,0.0,0.0,0.11,0.89,0.0,0.14,0.64,0.36,0.15,0.19,0.28,0.28,0.09,0.7,0.3,"202311 기준 '굽네치킨 성산점'(주소: 제주 서귀포시 성산읍 시흥리 208번지 1층)은/는 20211007에 개설되었습니다. 음식점 타입은 간단음식/패스트푸드이며 치킨 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.1%, 18~22시 0.9%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.1, 화요일 0.17, 수요일 0.1, 목요일 0.1, 금요일 0.14, 토요일 0.26, 일요일 0.12입니다. 평일 0.38, 주말0.62현지인 이용 비중은 0.08입니다. 최근 12개월간 남성 회원 비중은 0.61, 여성 회원 비중은 0.39 입니다. 연령대별 회원 비중은 20대 이하 0.14, 30대 0.24, 40대 0.42, 50대 0.16, 60대 이상 0.05입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 1.38 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다:  제주도 맛집 키워드 20개: 맛있다 친절하다 굽네치킨 바삭 맥주 숙소 고추바사삭 맛 뷰 시원하다 깔끔하다 굿 최고 넘다 좋다 포장 닭 피자 배달 서비스 ",33.2498628,126.5628668,1.02,"[신선, 싱싱, 맛있다, 푸짐, 가성비, 좋다, 친절, 다양, 만족, 넉넉, 퀄리티, 푸짐, 깔끔, 괜찮다, 최고, 즐겁다, 행복, 훌륭, 추천, 강추] 
"
202311,장가네일품순두부모슬포점,20231024,음식점,단품요리 전문,제주 서귀포시 대정읍 하모리 1070-11번지 1층,서귀포시,상위 25~50%,상위 50~75%,상위 75~90%,0.22,0.25,0.1,0.09,0.15,0.11,0.08,0.34,0.46,0.08,0.13,0.0,0.69,0.62,0.38,0.07,0.04,0.22,0.4,0.27,0.81,0.19,"202311 기준 '굽네치킨 성산점'(주소: 제주 서귀포시 성산읍 시흥리 208번지 1층)은/는 20211007에 개설되었습니다. 음식점 타입은 간단음식/패스트푸드이며 치킨 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.1%, 18~22시 0.9%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.1, 화요일 0.17, 수요일 0.1, 목요일 0.1, 금요일 0.14, 토요일 0.26, 일요일 0.12입니다. 평일 0.38, 주말0.62현지인 이용 비중은 0.08입니다. 최근 12개월간 남성 회원 비중은 0.61, 여성 회원 비중은 0.39 입니다. 연령대별 회원 비중은 20대 이하 0.14, 30대 0.24, 40대 0.42, 50대 0.16, 60대 이상 0.05입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 1.38 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다:  제주도 맛집 키워드 20개: 맛있다 친절하다 굽네치킨 바삭 맥주 숙소 고추바사삭 맛 뷰 시원하다 깔끔하다 굿 최고 넘다 좋다 포장 닭 피자 배달 서비스 ",33.2209051,126.2494135,1.1,"[조용하다, 밝다, 친절하다, 미소, 기분 좋다, 최고, 맛집, 맛있다, 착각, 밥맛, 강추, 진짜, 해물 많다, 뜨겁다, 쫀득, 찰기, 윤기, 엄청 친절하다, 가족, 손님 많다, 직접] 
"
202311,후르츨리,20200515,음식점,단품요리 전문,제주 제주시 한림읍 협재리 2447-27번지 1동 A,제주시,상위 25~50%,상위 50~75%,상위 75~90%,0.07,0.14,0.2,0.1,0.09,0.22,0.18,0.08,0.28,0.42,0.22,0.0,0.05,0.16,0.84,0.6,0.27,0.08,0.05,0.01,0.59,0.41,"202311 기준 '굽네치킨 성산점'(주소: 제주 서귀포시 성산읍 시흥리 208번지 1층)은/는 20211007에 개설되었습니다. 음식점 타입은 간단음식/패스트푸드이며 치킨 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.1%, 18~22시 0.9%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.1, 화요일 0.17, 수요일 0.1, 목요일 0.1, 금요일 0.14, 토요일 0.26, 일요일 0.12입니다. 평일 0.38, 주말0.62현지인 이용 비중은 0.08입니다. 최근 12개월간 남성 회원 비중은 0.61, 여성 회원 비중은 0.39 입니다. 연령대별 회원 비중은 20대 이하 0.14, 30대 0.24, 40대 0.42, 50대 0.16, 60대 이상 0.05입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 1.38 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다:  제주도 맛집 키워드 20개: 맛있다 친절하다 굽네치킨 바삭 맥주 숙소 고추바사삭 맛 뷰 시원하다 깔끔하다 굿 최고 넘다 좋다 포장 닭 피자 배달 서비스 ",33.3936402,126.2402946,1.02,"[귀엽다, 예쁘다, 많다, 맛있다, 좋다, 힙, 아기자기, 득템, 소품, 굿, 추천, 졸귀탱,  다양하다, 특이하다,  강추, 친절하다,  인테리어,  분위기,  제주,  소르베] 
"
202311,난드르바당,20150615,음식점,가정식,제주 서귀포시 하예동 1798-4번지,서귀포시,상위 50~75%,상위 10~25%,상위 10~25%,0.04,0.2,0.17,0.0,0.15,0.26,0.19,0.0,0.07,0.2,0.72,0.0,0.04,0.51,0.49,0.28,0.3,0.21,0.16,0.06,0.56,0.44,"202311 기준 '굽네치킨 성산점'(주소: 제주 서귀포시 성산읍 시흥리 208번지 1층)은/는 20211007에 개설되었습니다. 음식점 타입은 간단음식/패스트푸드이며 치킨 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.1%, 18~22시 0.9%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.1, 화요일 0.17, 수요일 0.1, 목요일 0.1, 금요일 0.14, 토요일 0.26, 일요일 0.12입니다. 평일 0.38, 주말0.62현지인 이용 비중은 0.08입니다. 최근 12개월간 남성 회원 비중은 0.61, 여성 회원 비중은 0.39 입니다. 연령대별 회원 비중은 20대 이하 0.14, 30대 0.24, 40대 0.42, 50대 0.16, 60대 이상 0.05입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 1.38 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다:  제주도 맛집 키워드 20개: 맛있다 친절하다 굽네치킨 바삭 맥주 숙소 고추바사삭 맛 뷰 시원하다 깔끔하다 굿 최고 넘다 좋다 포장 닭 피자 배달 서비스 ",33.2345696,126.3709199,1.0,"[흑돼지, 맛집, 뷰, 분위기, 친절, 고기, 맛있다, 배부르다, 즐겁다, 푸짐하다, 넉넉하다, 양 많다, 훌륭하다, 최고, 만족, 행복, 감동, 스콘, 치즈, 계란] 
"
202311,메종 노트르테르(MAISON NOTRE TERRE),20230404,커피/차/베이커리,커피,제주 서귀포시 안덕면 상창리 1579-28번지,서귀포시,상위 50~75%,상위 75~90%,상위 50~75%,0.0,0.0,0.35,0.3,0.17,0.18,0.0,0.12,0.45,0.43,0.0,0.0,0.51,0.35,0.65,0.14,0.4,0.31,0.1,0.05,0.82,0.18,"202311 기준 '굽네치킨 성산점'(주소: 제주 서귀포시 성산읍 시흥리 208번지 1층)은/는 20211007에 개설되었습니다. 음식점 타입은 간단음식/패스트푸드이며 치킨 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.1%, 18~22시 0.9%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.1, 화요일 0.17, 수요일 0.1, 목요일 0.1, 금요일 0.14, 토요일 0.26, 일요일 0.12입니다. 평일 0.38, 주말0.62현지인 이용 비중은 0.08입니다. 최근 12개월간 남성 회원 비중은 0.61, 여성 회원 비중은 0.39 입니다. 연령대별 회원 비중은 20대 이하 0.14, 30대 0.24, 40대 0.42, 50대 0.16, 60대 이상 0.05입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 1.38 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다:  제주도 맛집 키워드 20개: 맛있다 친절하다 굽네치킨 바삭 맥주 숙소 고추바사삭 맛 뷰 시원하다 깔끔하다 굿 최고 넘다 좋다 포장 닭 피자 배달 서비스 ",33.2647094,126.3513209,1.04,"## 제주도 맛집 키워드 (20개) :

드립커피, 에끌레어, 콜드브루, 맛, 향, 분위기, 친절, 설명, 원두, 뷰, 잠봉타르틴, 디저트, 맛집, 만족, 훌륭, 최고, 신세계, 깜짝, 행복, 감동 
"
202311,면아라,20200701,음식점,단품요리 전문,제주 제주시 아라일동 6072-9번지 1층,제주시,상위 10~25%,상위 25~50%,상위 75~90%,0.18,0.2,0.0,0.21,0.17,0.08,0.17,0.18,0.39,0.22,0.21,0.0,0.74,0.6,0.4,0.14,0.28,0.31,0.19,0.08,0.76,0.24,"202311 기준 '굽네치킨 성산점'(주소: 제주 서귀포시 성산읍 시흥리 208번지 1층)은/는 20211007에 개설되었습니다. 음식점 타입은 간단음식/패스트푸드이며 치킨 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.1%, 18~22시 0.9%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.1, 화요일 0.17, 수요일 0.1, 목요일 0.1, 금요일 0.14, 토요일 0.26, 일요일 0.12입니다. 평일 0.38, 주말0.62현지인 이용 비중은 0.08입니다. 최근 12개월간 남성 회원 비중은 0.61, 여성 회원 비중은 0.39 입니다. 연령대별 회원 비중은 20대 이하 0.14, 30대 0.24, 40대 0.42, 50대 0.16, 60대 이상 0.05입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 1.38 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다:  제주도 맛집 키워드 20개: 맛있다 친절하다 굽네치킨 바삭 맥주 숙소 고추바사삭 맛 뷰 시원하다 깔끔하다 굿 최고 넘다 좋다 포장 닭 피자 배달 서비스 ",33.4704546,126.5434795,1.68,"## 제주도 맛집 키워드:

**맛:** 맛있다, 맵다, 깔끔하다, 진하다, 깊다, 푸짐하다, 듬뿍, 찰지다, 찌다, 곱다,  상콤, 
**만족도:** 최고, 최애, 완전, 너무, 넘다, 엄청,  강추, 
**서비스:** 친절하다, 센스, 감동, 
**분위기:** 숨기다, 
**음식량:** 많다, 푸짐하다, 듬뿍, 
**기타:** 웨이팅, 콩국수, 비빔국수, 고기국수, 멸치국수, 막창순대,  제주도,  가격, 저렴하다,  
"
202311,황금어장,20010721,음식점,가정식,제주 제주시 연동 294-113번지,제주시,상위 10~25%,상위 10% 이하,상위 10~25%,0.09,0.17,0.18,0.13,0.1,0.12,0.2,0.16,0.22,0.25,0.37,0.0,0.31,0.65,0.35,0.05,0.12,0.23,0.34,0.26,0.68,0.32,"202311 기준 '굽네치킨 성산점'(주소: 제주 서귀포시 성산읍 시흥리 208번지 1층)은/는 20211007에 개설되었습니다. 음식점 타입은 간단음식/패스트푸드이며 치킨 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.1%, 18~22시 0.9%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.1, 화요일 0.17, 수요일 0.1, 목요일 0.1, 금요일 0.14, 토요일 0.26, 일요일 0.12입니다. 평일 0.38, 주말0.62현지인 이용 비중은 0.08입니다. 최근 12개월간 남성 회원 비중은 0.61, 여성 회원 비중은 0.39 입니다. 연령대별 회원 비중은 20대 이하 0.14, 30대 0.24, 40대 0.42, 50대 0.16, 60대 이상 0.05입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 1.38 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다:  제주도 맛집 키워드 20개: 맛있다 친절하다 굽네치킨 바삭 맥주 숙소 고추바사삭 맛 뷰 시원하다 깔끔하다 굿 최고 넘다 좋다 포장 닭 피자 배달 서비스 ",33.2490972,126.5631376,1.5,"황금어장, 갈치조림, 물회, 고등어조림, 맛있다, 최고, 친절하다, 신선하다, 양념, 밑반찬, 푸짐하다, 맛집, 제주도, 추천, 좋다, 비싸다, 착하다, 깔끔하다, 든든하다, 만족 "
202311,춘월맛집,20210310,음식점,가정식,제주 제주시 도두일동 2628-6번지 2층,제주시,상위 90% 초과(하위 10% 이하),상위 75~90%,상위 10~25%,0.25,0.12,0.12,0.06,0.25,0.0,0.19,0.0,0.12,0.12,0.75,0.0,0.16,0.55,0.45,0.08,0.11,0.15,0.38,0.28,0.81,0.19,"202311 기준 '굽네치킨 성산점'(주소: 제주 서귀포시 성산읍 시흥리 208번지 1층)은/는 20211007에 개설되었습니다. 음식점 타입은 간단음식/패스트푸드이며 치킨 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.1%, 18~22시 0.9%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.1, 화요일 0.17, 수요일 0.1, 목요일 0.1, 금요일 0.14, 토요일 0.26, 일요일 0.12입니다. 평일 0.38, 주말0.62현지인 이용 비중은 0.08입니다. 최근 12개월간 남성 회원 비중은 0.61, 여성 회원 비중은 0.39 입니다. 연령대별 회원 비중은 20대 이하 0.14, 30대 0.24, 40대 0.42, 50대 0.16, 60대 이상 0.05입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 1.38 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다:  제주도 맛집 키워드 20개: 맛있다 친절하다 굽네치킨 바삭 맥주 숙소 고추바사삭 맛 뷰 시원하다 깔끔하다 굿 최고 넘다 좋다 포장 닭 피자 배달 서비스 ",33.5048957,126.46624,1.04, 제주도 맛집 키워드 (20개)맛:  맛있다 최고  일품  부드럽다  시원하다 싱싱하다  고소하다  칼칼하다  담백하다 진국 푸짐하다 통통하다  깔끔하다  향  짜다 달다만족도:  만족 추천 훌륭 강추  괜찮다 아쉽다  실망서비스: 친절 배려 서비스  굿분위기: 시끄럽다 조용하다 음식량: 푸짐하다 많다  적다  넉넉하다 충분하다 
