기준연월,가맹점명,개설일자,음식점타입,업종,주소,주소_시,이용건수구간,이용금액구간,건당평균이용금액구간,월요일이용건수비중,화요일이용건수비중,수요일이용건수비중,목요일이용건수비중,금요일이용건수비중,토요일이용건수비중,일요일이용건수비중,5시11시이용건수비중,12시13시이용건수비중,14시17시이용건수비중,18시22시이용건수비중,23시4시이용건수비중,현지인이용건수비중,최근12개월남성회원수비중,최근12개월여성회원수비중,최근12개월20대이하회원수비중,최근12개월30대회원수비중,최근12개월40대회원수비중,최근12개월50대회원수비중,최근12개월60대이상회원수비중,주말이용건수비중,평일이용건수비중,정보,위도,경도,재방문율 평균,리뷰키워드_20개
202309,큰나무집,20120808,음식점,가정식,제주 제주시 용담이동 358-17번지 큰나무집,제주시,상위 50~75%,상위 75~90%,상위 50~75%,0.19,0.24,0.12,0.19,0.12,0.05,0.1,0.07,0.24,0.19,0.5,0.0,0.9,0.8,0.2,0.02,0.08,0.24,0.35,0.32,0.86,0.14,"202309 기준 '큰나무집'(주소: 제주 제주시 용담이동 358-17번지 큰나무집)은/는 20120808에 개설되었습니다. 음식점 타입은 음식점이며 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.07%, 12~13시 0.24%, 14~17시 0.19%, 18~22시 0.5%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.19, 화요일 0.24, 수요일 0.12, 목요일 0.19, 금요일 0.12, 토요일 0.05, 일요일 0.1입니다. 평일 0.14, 주말0.86현지인 이용 비중은 0.9입니다. 최근 12개월간 남성 회원 비중은 0.8, 여성 회원 비중은 0.2 입니다. 연령대별 회원 비중은 20대 이하 0.02, 30대 0.08, 40대 0.24, 50대 0.35, 60대 이상 0.32입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 2.11 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 삼계탕, 흑염소탕, 흑염소전골, 녹두죽, 맛있다, 최고, 좋다, 푸짐하다, 깔끔하다, 친절하다, 든든하다, 술안주, 몸보신, 단골, 맛집, 굿, 존맛탱, 욤, 푸짐, 
",33.5107085,126.5119843,2.11,"삼계탕, 흑염소탕, 흑염소전골, 녹두죽, 맛있다, 최고, 좋다, 푸짐하다, 깔끔하다, 친절하다, 든든하다, 술안주, 몸보신, 단골, 맛집, 굿, 존맛탱, 욤, 푸짐, 
"
202309,항아리조림,20200122,음식점,단품요리 전문,제주 제주시 구좌읍 세화리 1500-17번지 1층,제주시,상위 50~75%,상위 25~50%,상위 25~50%,0.09,0.0,0.21,0.14,0.16,0.26,0.16,0.03,0.31,0.12,0.53,0.0,0.05,0.54,0.46,0.22,0.32,0.22,0.17,0.07,0.59,0.41,"202309 기준 '큰나무집'(주소: 제주 제주시 용담이동 358-17번지 큰나무집)은/는 20120808에 개설되었습니다. 음식점 타입은 음식점이며 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.07%, 12~13시 0.24%, 14~17시 0.19%, 18~22시 0.5%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.19, 화요일 0.24, 수요일 0.12, 목요일 0.19, 금요일 0.12, 토요일 0.05, 일요일 0.1입니다. 평일 0.14, 주말0.86현지인 이용 비중은 0.9입니다. 최근 12개월간 남성 회원 비중은 0.8, 여성 회원 비중은 0.2 입니다. 연령대별 회원 비중은 20대 이하 0.02, 30대 0.08, 40대 0.24, 50대 0.35, 60대 이상 0.32입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 2.11 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 삼계탕, 흑염소탕, 흑염소전골, 녹두죽, 맛있다, 최고, 좋다, 푸짐하다, 깔끔하다, 친절하다, 든든하다, 술안주, 몸보신, 단골, 맛집, 굿, 존맛탱, 욤, 푸짐, 
",33.5261886,126.8564024,1.04,"항아리 조림, 갈치 조림, 맛있다, 푸짐하다, 깔끔하다, 친절하다, 만족스럽다, 싱싱하다, 든든하다, 푸짐하다, 배부르다, 넉넉하다, 다양하다, 맛집, 혜자, 존맛, 최고, 엄청나다, 강추, 감동 
"
202309,산지해장국서귀포점,20220221,음식점,단품요리 전문,제주 서귀포시 강정동 234-2번지 강정동,서귀포시,상위 10% 이하,상위 10~25%,상위 75~90%,0.16,0.13,0.0,0.21,0.14,0.17,0.19,0.53,0.4,0.07,0.0,0.0,0.45,0.7,0.3,0.1,0.22,0.34,0.23,0.12,0.65,0.35,"202309 기준 '큰나무집'(주소: 제주 제주시 용담이동 358-17번지 큰나무집)은/는 20120808에 개설되었습니다. 음식점 타입은 음식점이며 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.07%, 12~13시 0.24%, 14~17시 0.19%, 18~22시 0.5%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.19, 화요일 0.24, 수요일 0.12, 목요일 0.19, 금요일 0.12, 토요일 0.05, 일요일 0.1입니다. 평일 0.14, 주말0.86현지인 이용 비중은 0.9입니다. 최근 12개월간 남성 회원 비중은 0.8, 여성 회원 비중은 0.2 입니다. 연령대별 회원 비중은 20대 이하 0.02, 30대 0.08, 40대 0.24, 50대 0.35, 60대 이상 0.32입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 2.11 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 삼계탕, 흑염소탕, 흑염소전골, 녹두죽, 맛있다, 최고, 좋다, 푸짐하다, 깔끔하다, 친절하다, 든든하다, 술안주, 몸보신, 단골, 맛집, 굿, 존맛탱, 욤, 푸짐, 
",33.2481624,126.5069564,1.9,"## 제주도 맛집 키워드 20개:

1. 장탕
2. 해장국
3. 맛있다
4. 곱창전골
5. 깔끔하다
6. 내장
7. 국물
8. 양
9. 많다
10. 부드럽다
11. 푸짐하다
12. 친절하다
13. 웨이팅
14. 맛집
15. 든든하다
16. 시원하다
17. 칼칼하다
18. 큼지막하다
19. 셀프바
20. 흡입력 
"
202309,기쁨이네해물탕앤돌솥밥,20120531,음식점,가정식,제주 제주시 조천읍 함덕리 1269-17번지,제주시,상위 50~75%,상위 50~75%,상위 25~50%,0.07,0.14,0.18,0.02,0.25,0.09,0.25,0.27,0.09,0.14,0.5,0.0,0.07,0.5,0.5,0.06,0.22,0.31,0.28,0.13,0.66,0.34,"202309 기준 '큰나무집'(주소: 제주 제주시 용담이동 358-17번지 큰나무집)은/는 20120808에 개설되었습니다. 음식점 타입은 음식점이며 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.07%, 12~13시 0.24%, 14~17시 0.19%, 18~22시 0.5%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.19, 화요일 0.24, 수요일 0.12, 목요일 0.19, 금요일 0.12, 토요일 0.05, 일요일 0.1입니다. 평일 0.14, 주말0.86현지인 이용 비중은 0.9입니다. 최근 12개월간 남성 회원 비중은 0.8, 여성 회원 비중은 0.2 입니다. 연령대별 회원 비중은 20대 이하 0.02, 30대 0.08, 40대 0.24, 50대 0.35, 60대 이상 0.32입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 2.11 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 삼계탕, 흑염소탕, 흑염소전골, 녹두죽, 맛있다, 최고, 좋다, 푸짐하다, 깔끔하다, 친절하다, 든든하다, 술안주, 몸보신, 단골, 맛집, 굿, 존맛탱, 욤, 푸짐, 
",33.54201949999999,126.6663024,1.16,"[싱싱, 신선, 맛있, 푸짐, 칼칼, 얼큰, 시원, 깔끔, 꼬들꼬들, 고소, 쫄깃, 부드럽, 뜨끈, 큼직, 가득, 친절, 넉넉, 만족, 최고, 강력 추천] 
"
202309,김영미재첩해장국,20170921,음식점,단품요리 전문,제주 제주시 이도이동 2000-11번지 1층,제주시,상위 10~25%,상위 10~25%,상위 75~90%,0.15,0.12,0.14,0.2,0.12,0.15,0.12,0.41,0.51,0.08,0.0,0.0,0.79,0.73,0.27,0.07,0.29,0.4,0.2,0.04,0.73,0.27,"202309 기준 '큰나무집'(주소: 제주 제주시 용담이동 358-17번지 큰나무집)은/는 20120808에 개설되었습니다. 음식점 타입은 음식점이며 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.07%, 12~13시 0.24%, 14~17시 0.19%, 18~22시 0.5%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.19, 화요일 0.24, 수요일 0.12, 목요일 0.19, 금요일 0.12, 토요일 0.05, 일요일 0.1입니다. 평일 0.14, 주말0.86현지인 이용 비중은 0.9입니다. 최근 12개월간 남성 회원 비중은 0.8, 여성 회원 비중은 0.2 입니다. 연령대별 회원 비중은 20대 이하 0.02, 30대 0.08, 40대 0.24, 50대 0.35, 60대 이상 0.32입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 2.11 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 삼계탕, 흑염소탕, 흑염소전골, 녹두죽, 맛있다, 최고, 좋다, 푸짐하다, 깔끔하다, 친절하다, 든든하다, 술안주, 몸보신, 단골, 맛집, 굿, 존맛탱, 욤, 푸짐, 
",33.4900376,126.5347451,1.34,"## 제주도 맛집 키워드 (20개)

* 닭곰탕
* 성게미역국
* 재첩국
* 푸짐
* 맛있다
* 가성비
* 밑반찬
* 친절
* 해장국
* 든든
* 혼밥
* 깔끔
* 정갈
* 푸짐
* 만족
* 웨이팅
* 셀프
* 리필
* 집밥
* 최고 
"
202309,어상,20160107,음식점,가정식,제주 제주시 노형동 2588-1번지,제주시,상위 90% 초과(하위 10% 이하),상위 25~50%,상위 10% 이하,0.0,0.17,0.33,0.11,0.11,0.17,0.11,0.0,0.0,0.0,1.0,0.0,0.63,0.73,0.27,0.05,0.09,0.23,0.44,0.19,0.72,0.28,"202309 기준 '큰나무집'(주소: 제주 제주시 용담이동 358-17번지 큰나무집)은/는 20120808에 개설되었습니다. 음식점 타입은 음식점이며 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.07%, 12~13시 0.24%, 14~17시 0.19%, 18~22시 0.5%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.19, 화요일 0.24, 수요일 0.12, 목요일 0.19, 금요일 0.12, 토요일 0.05, 일요일 0.1입니다. 평일 0.14, 주말0.86현지인 이용 비중은 0.9입니다. 최근 12개월간 남성 회원 비중은 0.8, 여성 회원 비중은 0.2 입니다. 연령대별 회원 비중은 20대 이하 0.02, 30대 0.08, 40대 0.24, 50대 0.35, 60대 이상 0.32입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 2.11 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 삼계탕, 흑염소탕, 흑염소전골, 녹두죽, 맛있다, 최고, 좋다, 푸짐하다, 깔끔하다, 친절하다, 든든하다, 술안주, 몸보신, 단골, 맛집, 굿, 존맛탱, 욤, 푸짐, 
",33.483427,126.4698154,1.0,"## 제주도 맛집 키워드:

**맛:** 맛있다, 굿, 최애, 맛나, 신선하다, 좋다, 별미, 깔끔하다, 방어, 돌돔, 파김치, 묵은지, 내장, 볶음, 자연 산, 회

**만족도:** 꼭, 너무, 정말, 최고, 좋다

**서비스:** 친절하다, 분

**분위기:** 

**음식량:** 작다, 뚝배기 
"
202309,낭쿰낭쿰,20190221,음식점,가정식,제주 서귀포시 서귀동 298-1번지 1층,서귀포시,상위 75~90%,상위 50~75%,상위 25~50%,0.15,0.0,0.15,0.21,0.24,0.15,0.09,0.06,0.36,0.09,0.48,0.0,0.11,0.52,0.48,0.35,0.29,0.16,0.14,0.07,0.76,0.24,"202309 기준 '큰나무집'(주소: 제주 제주시 용담이동 358-17번지 큰나무집)은/는 20120808에 개설되었습니다. 음식점 타입은 음식점이며 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.07%, 12~13시 0.24%, 14~17시 0.19%, 18~22시 0.5%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.19, 화요일 0.24, 수요일 0.12, 목요일 0.19, 금요일 0.12, 토요일 0.05, 일요일 0.1입니다. 평일 0.14, 주말0.86현지인 이용 비중은 0.9입니다. 최근 12개월간 남성 회원 비중은 0.8, 여성 회원 비중은 0.2 입니다. 연령대별 회원 비중은 20대 이하 0.02, 30대 0.08, 40대 0.24, 50대 0.35, 60대 이상 0.32입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 2.11 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 삼계탕, 흑염소탕, 흑염소전골, 녹두죽, 맛있다, 최고, 좋다, 푸짐하다, 깔끔하다, 친절하다, 든든하다, 술안주, 몸보신, 단골, 맛집, 굿, 존맛탱, 욤, 푸짐, 
",33.2517586,126.5607908,1.0,"## 제주도 맛집 키워드 20개:

해산물, 푸짐, 깔끔, 시원, 맛있다, 별미, 친절, 볶음밥, 치즈, 싱싱, 푸짐, 밑반찬, 리필, 맵다, 매콤, 칼칼, 졸맛, 최고, 신선, 얼큰 
"
202309,먹보횟집,20191217,음식점,단품요리 전문,제주 제주시 연동 283-29번지 1층,제주시,상위 50~75%,상위 25~50%,상위 10~25%,0.14,0.11,0.16,0.08,0.16,0.22,0.14,0.0,0.0,0.03,0.57,0.41,0.5,0.6,0.4,0.13,0.22,0.3,0.24,0.11,0.65,0.35,"202309 기준 '큰나무집'(주소: 제주 제주시 용담이동 358-17번지 큰나무집)은/는 20120808에 개설되었습니다. 음식점 타입은 음식점이며 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.07%, 12~13시 0.24%, 14~17시 0.19%, 18~22시 0.5%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.19, 화요일 0.24, 수요일 0.12, 목요일 0.19, 금요일 0.12, 토요일 0.05, 일요일 0.1입니다. 평일 0.14, 주말0.86현지인 이용 비중은 0.9입니다. 최근 12개월간 남성 회원 비중은 0.8, 여성 회원 비중은 0.2 입니다. 연령대별 회원 비중은 20대 이하 0.02, 30대 0.08, 40대 0.24, 50대 0.35, 60대 이상 0.32입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 2.11 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 삼계탕, 흑염소탕, 흑염소전골, 녹두죽, 맛있다, 최고, 좋다, 푸짐하다, 깔끔하다, 친절하다, 든든하다, 술안주, 몸보신, 단골, 맛집, 굿, 존맛탱, 욤, 푸짐, 
",33.4876581,126.4931547,1.02,"[신선, 맛있다, 친절, 최고, 푸짐, 싱싱, 숙성, 쫄깃, 매운탕, 한치, 뱅에돔, 도다리, 술, 저렴, 가성비, 강추, 존맛, 맛집, 기분, 서비스] 
"
202309,제주해조네보말성게전문점,20160502,음식점,가정식,제주 서귀포시 안덕면 창천리 876-4번지,서귀포시,상위 25~50%,상위 10~25%,상위 25~50%,0.11,0.19,0.0,0.18,0.15,0.18,0.19,0.53,0.36,0.11,0.0,0.0,0.02,0.53,0.47,0.14,0.29,0.21,0.24,0.12,0.63,0.37,"202309 기준 '큰나무집'(주소: 제주 제주시 용담이동 358-17번지 큰나무집)은/는 20120808에 개설되었습니다. 음식점 타입은 음식점이며 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.07%, 12~13시 0.24%, 14~17시 0.19%, 18~22시 0.5%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.19, 화요일 0.24, 수요일 0.12, 목요일 0.19, 금요일 0.12, 토요일 0.05, 일요일 0.1입니다. 평일 0.14, 주말0.86현지인 이용 비중은 0.9입니다. 최근 12개월간 남성 회원 비중은 0.8, 여성 회원 비중은 0.2 입니다. 연령대별 회원 비중은 20대 이하 0.02, 30대 0.08, 40대 0.24, 50대 0.35, 60대 이상 0.32입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 2.11 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 삼계탕, 흑염소탕, 흑염소전골, 녹두죽, 맛있다, 최고, 좋다, 푸짐하다, 깔끔하다, 친절하다, 든든하다, 술안주, 몸보신, 단골, 맛집, 굿, 존맛탱, 욤, 푸짐, 
",33.2357939,126.3669079,1.06,"## 제주도 맛집 키워드 20개:

성게, 칼국수, 미역국, 맛있다, 푸짐하다, 든든하다, 시원하다, 깔끔하다, 친절하다, 신선하다, 
고소하다, 진국, 밥, 밑반찬, 푸짐하다, 넉넉하다,  비빔밥,  죽,  추천,  재방문 
"
202309,홀츠,20210527,커피/차/베이커리,베이커리,제주 제주시 애월읍 유수암리 2720번지 1층,제주시,상위 10~25%,상위 50~75%,상위 75~90%,0.0,0.0,0.2,0.2,0.18,0.18,0.23,0.23,0.33,0.42,0.02,0.0,0.38,0.32,0.68,0.23,0.36,0.29,0.09,0.04,0.58,0.42,"202309 기준 '큰나무집'(주소: 제주 제주시 용담이동 358-17번지 큰나무집)은/는 20120808에 개설되었습니다. 음식점 타입은 음식점이며 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.07%, 12~13시 0.24%, 14~17시 0.19%, 18~22시 0.5%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.19, 화요일 0.24, 수요일 0.12, 목요일 0.19, 금요일 0.12, 토요일 0.05, 일요일 0.1입니다. 평일 0.14, 주말0.86현지인 이용 비중은 0.9입니다. 최근 12개월간 남성 회원 비중은 0.8, 여성 회원 비중은 0.2 입니다. 연령대별 회원 비중은 20대 이하 0.02, 30대 0.08, 40대 0.24, 50대 0.35, 60대 이상 0.32입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 2.11 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 삼계탕, 흑염소탕, 흑염소전골, 녹두죽, 맛있다, 최고, 좋다, 푸짐하다, 깔끔하다, 친절하다, 든든하다, 술안주, 몸보신, 단골, 맛집, 굿, 존맛탱, 욤, 푸짐, 
",33.4244073,126.3964931,1.0,"## 제주 맛집 키워드:

**맛**: 프랑스 빵, 페이스트리, 살구 슈판다우, 맛있다, 따뜻하다, 치아바타, 브레첼, 라우겐, 밀가루, 빵, 커피, 맥주, 토마토 치즈, 양도 많다, 유기농 밀, 맛집, 맥주, 맛있다, 맛있다, 맛있다

**만족도**: 행복하다, 좋다, 힐링, 넘다, 기분 좋다, 감사하다, 좋아하다, 좋다, 최고, 좋다, 추천, 좋아하다, 저격

**서비스**: 친절하다, 마음 담다, 대해 주다, 넘다, 인상 좋다 

**분위기**: 요정, 숲속, 감성, 분위기, 조용하다, 차분하다, 홀츠, 시골 감성, 유럽,  야외 테이블,  여유롭다, 조용하다,  

**음식량**: 많다, 조각, 남다, 양도 많다 
"
