기준연월,가맹점명,개설일자,음식점타입,업종,주소,주소_시,이용건수구간,이용금액구간,건당평균이용금액구간,월요일이용건수비중,화요일이용건수비중,수요일이용건수비중,목요일이용건수비중,금요일이용건수비중,토요일이용건수비중,일요일이용건수비중,5시11시이용건수비중,12시13시이용건수비중,14시17시이용건수비중,18시22시이용건수비중,23시4시이용건수비중,현지인이용건수비중,최근12개월남성회원수비중,최근12개월여성회원수비중,최근12개월20대이하회원수비중,최근12개월30대회원수비중,최근12개월40대회원수비중,최근12개월50대회원수비중,최근12개월60대이상회원수비중,주말이용건수비중,평일이용건수비중,정보,위도,경도,재방문율 평균,리뷰키워드_20개
202311,애진,20090721,음식점,단품요리 전문,제주 제주시 이도이동 1008-1번지,제주시,상위 90% 초과(하위 10% 이하),상위 75~90%,상위 10~25%,0.14,0.07,0.43,0.14,0.14,0.07,0.0,0.0,0.0,0.0,1.0,0.0,0.72,0.8,0.2,0.11,0.17,0.19,0.29,0.25,0.93,0.07,"202311 기준 '애진'(주소: 제주 제주시 이도이동 1008-1번지)은/는 20090721에 개설되었습니다. 음식점 타입은 음식점이며 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.0%, 18~22시 1.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.14, 화요일 0.07, 수요일 0.43, 목요일 0.14, 금요일 0.14, 토요일 0.07, 일요일 0.0입니다. 평일 0.07, 주말0.93현지인 이용 비중은 0.72입니다. 최근 12개월간 남성 회원 비중은 0.8, 여성 회원 비중은 0.2 입니다. 연령대별 회원 비중은 20대 이하 0.11, 30대 0.17, 40대 0.19, 50대 0.29, 60대 이상 0.25입니다. 이 가맹점의 이용 건수 구간은 6_90% 초과(하위 10% 이하)이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 2_10~25%입니다. 해당 가맹점의 고객 평균 재방문율은 1.25 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [맛있다, 고기, 가성비, 최고, 신선하다, 청국장, 서비스, 단골, 정육식당, 퀄리티, 저렴하다, 깜짝, 진짜, 맛집, 현지, 동네, 주민, 우연히, 발견, 관광객] 
",33.4964895,126.5299999,1.25,"[맛있다, 고기, 가성비, 최고, 신선하다, 청국장, 서비스, 단골, 정육식당, 퀄리티, 저렴하다, 깜짝, 진짜, 맛집, 현지, 동네, 주민, 우연히, 발견, 관광객] 
"
202311,소린이네회,20170223,음식점,일식,제주 서귀포시 서귀동 277-10번지,서귀포시,상위 50~75%,상위 25~50%,상위 25~50%,0.24,0.05,0.11,0.05,0.24,0.11,0.19,0.0,0.0,0.11,0.89,0.0,0.14,0.64,0.36,0.15,0.19,0.28,0.28,0.09,0.7,0.3,"202311 기준 '애진'(주소: 제주 제주시 이도이동 1008-1번지)은/는 20090721에 개설되었습니다. 음식점 타입은 음식점이며 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.0%, 18~22시 1.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.14, 화요일 0.07, 수요일 0.43, 목요일 0.14, 금요일 0.14, 토요일 0.07, 일요일 0.0입니다. 평일 0.07, 주말0.93현지인 이용 비중은 0.72입니다. 최근 12개월간 남성 회원 비중은 0.8, 여성 회원 비중은 0.2 입니다. 연령대별 회원 비중은 20대 이하 0.11, 30대 0.17, 40대 0.19, 50대 0.29, 60대 이상 0.25입니다. 이 가맹점의 이용 건수 구간은 6_90% 초과(하위 10% 이하)이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 2_10~25%입니다. 해당 가맹점의 고객 평균 재방문율은 1.25 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [맛있다, 고기, 가성비, 최고, 신선하다, 청국장, 서비스, 단골, 정육식당, 퀄리티, 저렴하다, 깜짝, 진짜, 맛집, 현지, 동네, 주민, 우연히, 발견, 관광객] 
",33.2498628,126.5628668,1.02,"[신선, 싱싱, 맛있다, 푸짐, 가성비, 좋다, 친절, 다양, 만족, 넉넉, 퀄리티, 푸짐, 깔끔, 괜찮다, 최고, 즐겁다, 행복, 훌륭, 추천, 강추] 
"
202311,글러트니커피,20211217,음식점,단품요리 전문,제주 제주시 이도이동 2043-3번지 101호,제주시,상위 10~25%,상위 50~75%,상위 90% 초과(하위 10% 이하),0.0,0.17,0.21,0.18,0.14,0.16,0.15,0.07,0.47,0.42,0.03,0.0,0.78,0.32,0.68,0.23,0.4,0.28,0.07,0.02,0.69,0.31,"202311 기준 '애진'(주소: 제주 제주시 이도이동 1008-1번지)은/는 20090721에 개설되었습니다. 음식점 타입은 음식점이며 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.0%, 18~22시 1.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.14, 화요일 0.07, 수요일 0.43, 목요일 0.14, 금요일 0.14, 토요일 0.07, 일요일 0.0입니다. 평일 0.07, 주말0.93현지인 이용 비중은 0.72입니다. 최근 12개월간 남성 회원 비중은 0.8, 여성 회원 비중은 0.2 입니다. 연령대별 회원 비중은 20대 이하 0.11, 30대 0.17, 40대 0.19, 50대 0.29, 60대 이상 0.25입니다. 이 가맹점의 이용 건수 구간은 6_90% 초과(하위 10% 이하)이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 2_10~25%입니다. 해당 가맹점의 고객 평균 재방문율은 1.25 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [맛있다, 고기, 가성비, 최고, 신선하다, 청국장, 서비스, 단골, 정육식당, 퀄리티, 저렴하다, 깜짝, 진짜, 맛집, 현지, 동네, 주민, 우연히, 발견, 관광객] 
",33.4865875,126.5348938,1.08,"글러트: 힙, 깔끔, 분위기, 맛있다, 몽블랑, 티라미수, 케이크, 커피, 크림 라떼, 썸머 라떼, 애플 망고 케이크, 빵, 크로와상,  만족, 친절, 블루리본,  인기,  조용,  넓다,  다양 
"
202311,장가네일품순두부모슬포점,20231024,음식점,단품요리 전문,제주 서귀포시 대정읍 하모리 1070-11번지 1층,서귀포시,상위 25~50%,상위 50~75%,상위 75~90%,0.22,0.25,0.1,0.09,0.15,0.11,0.08,0.34,0.46,0.08,0.13,0.0,0.69,0.62,0.38,0.07,0.04,0.22,0.4,0.27,0.81,0.19,"202311 기준 '애진'(주소: 제주 제주시 이도이동 1008-1번지)은/는 20090721에 개설되었습니다. 음식점 타입은 음식점이며 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.0%, 18~22시 1.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.14, 화요일 0.07, 수요일 0.43, 목요일 0.14, 금요일 0.14, 토요일 0.07, 일요일 0.0입니다. 평일 0.07, 주말0.93현지인 이용 비중은 0.72입니다. 최근 12개월간 남성 회원 비중은 0.8, 여성 회원 비중은 0.2 입니다. 연령대별 회원 비중은 20대 이하 0.11, 30대 0.17, 40대 0.19, 50대 0.29, 60대 이상 0.25입니다. 이 가맹점의 이용 건수 구간은 6_90% 초과(하위 10% 이하)이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 2_10~25%입니다. 해당 가맹점의 고객 평균 재방문율은 1.25 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [맛있다, 고기, 가성비, 최고, 신선하다, 청국장, 서비스, 단골, 정육식당, 퀄리티, 저렴하다, 깜짝, 진짜, 맛집, 현지, 동네, 주민, 우연히, 발견, 관광객] 
",33.2209051,126.2494135,1.1,"[조용하다, 밝다, 친절하다, 미소, 기분 좋다, 최고, 맛집, 맛있다, 착각, 밥맛, 강추, 진짜, 해물 많다, 뜨겁다, 쫀득, 찰기, 윤기, 엄청 친절하다, 가족, 손님 많다, 직접] 
"
202311,후르츨리,20200515,음식점,단품요리 전문,제주 제주시 한림읍 협재리 2447-27번지 1동 A,제주시,상위 25~50%,상위 50~75%,상위 75~90%,0.07,0.14,0.2,0.1,0.09,0.22,0.18,0.08,0.28,0.42,0.22,0.0,0.05,0.16,0.84,0.6,0.27,0.08,0.05,0.01,0.59,0.41,"202311 기준 '애진'(주소: 제주 제주시 이도이동 1008-1번지)은/는 20090721에 개설되었습니다. 음식점 타입은 음식점이며 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.0%, 18~22시 1.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.14, 화요일 0.07, 수요일 0.43, 목요일 0.14, 금요일 0.14, 토요일 0.07, 일요일 0.0입니다. 평일 0.07, 주말0.93현지인 이용 비중은 0.72입니다. 최근 12개월간 남성 회원 비중은 0.8, 여성 회원 비중은 0.2 입니다. 연령대별 회원 비중은 20대 이하 0.11, 30대 0.17, 40대 0.19, 50대 0.29, 60대 이상 0.25입니다. 이 가맹점의 이용 건수 구간은 6_90% 초과(하위 10% 이하)이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 2_10~25%입니다. 해당 가맹점의 고객 평균 재방문율은 1.25 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [맛있다, 고기, 가성비, 최고, 신선하다, 청국장, 서비스, 단골, 정육식당, 퀄리티, 저렴하다, 깜짝, 진짜, 맛집, 현지, 동네, 주민, 우연히, 발견, 관광객] 
",33.3936402,126.2402946,1.02,"[귀엽다, 예쁘다, 많다, 맛있다, 좋다, 힙, 아기자기, 득템, 소품, 굿, 추천, 졸귀탱,  다양하다, 특이하다,  강추, 친절하다,  인테리어,  분위기,  제주,  소르베] 
"
202311,대독장제주본점,20190408,음식점,가정식,제주 제주시 오라이동 3109번지 1층,제주시,상위 25~50%,상위 50~75%,상위 50~75%,0.19,0.25,0.16,0.11,0.13,0.08,0.08,0.13,0.52,0.13,0.22,0.0,0.72,0.61,0.39,0.1,0.21,0.35,0.26,0.08,0.85,0.15,"202311 기준 '애진'(주소: 제주 제주시 이도이동 1008-1번지)은/는 20090721에 개설되었습니다. 음식점 타입은 음식점이며 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.0%, 18~22시 1.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.14, 화요일 0.07, 수요일 0.43, 목요일 0.14, 금요일 0.14, 토요일 0.07, 일요일 0.0입니다. 평일 0.07, 주말0.93현지인 이용 비중은 0.72입니다. 최근 12개월간 남성 회원 비중은 0.8, 여성 회원 비중은 0.2 입니다. 연령대별 회원 비중은 20대 이하 0.11, 30대 0.17, 40대 0.19, 50대 0.29, 60대 이상 0.25입니다. 이 가맹점의 이용 건수 구간은 6_90% 초과(하위 10% 이하)이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 2_10~25%입니다. 해당 가맹점의 고객 평균 재방문율은 1.25 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [맛있다, 고기, 가성비, 최고, 신선하다, 청국장, 서비스, 단골, 정육식당, 퀄리티, 저렴하다, 깜짝, 진짜, 맛집, 현지, 동네, 주민, 우연히, 발견, 관광객] 
",33.4812481,126.5041901,1.14,"[맛있다, 깔끔하다, 친절하다, 넓다, 좋다, 만족스럽다, 푸짐하다,  최고,  시원하다,  매콤하다,  달콤하다,  고소하다,  부드럽다,  싱싱하다,  넉넉하다,  든든하다,  기분좋다,  향긋하다,  상쾌하다,  따뜻하다] 
"
202311,프리베,20230406,음식점,단품요리 전문,제주 제주시 연동 293-67번지 1층,제주시,상위 75~90%,상위 25~50%,상위 10~25%,0.07,0.21,0.24,0.0,0.1,0.24,0.14,0.0,0.0,0.0,0.24,0.76,0.44,0.54,0.46,0.33,0.41,0.14,0.11,0.0,0.62,0.38,"202311 기준 '애진'(주소: 제주 제주시 이도이동 1008-1번지)은/는 20090721에 개설되었습니다. 음식점 타입은 음식점이며 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.0%, 18~22시 1.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.14, 화요일 0.07, 수요일 0.43, 목요일 0.14, 금요일 0.14, 토요일 0.07, 일요일 0.0입니다. 평일 0.07, 주말0.93현지인 이용 비중은 0.72입니다. 최근 12개월간 남성 회원 비중은 0.8, 여성 회원 비중은 0.2 입니다. 연령대별 회원 비중은 20대 이하 0.11, 30대 0.17, 40대 0.19, 50대 0.29, 60대 이상 0.25입니다. 이 가맹점의 이용 건수 구간은 6_90% 초과(하위 10% 이하)이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 2_10~25%입니다. 해당 가맹점의 고객 평균 재방문율은 1.25 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [맛있다, 고기, 가성비, 최고, 신선하다, 청국장, 서비스, 단골, 정육식당, 퀄리티, 저렴하다, 깜짝, 진짜, 맛집, 현지, 동네, 주민, 우연히, 발견, 관광객] 
",33.4866176,126.494354,1.03,"## 제주도 맛집 키워드 (20개)

* 위스키
* 칵테일
* 맛있다
* 친절하다
* 분위기
* 혼술
* 추천
* 고급스럽다
* 편안하다
* 힐링
* 아늑하다
* 멋지다
* 즐겁다
* 서비스
* 만족
* 술
* 음악
* 데이트
* 특별하다
* 젠틀 
"
202311,위이,20220706,음식점,단품요리 전문,제주 서귀포시 안덕면 동광리 5-34번지 1층,서귀포시,상위 10% 이하,상위 10% 이하,상위 50~75%,0.12,0.16,0.14,0.12,0.11,0.19,0.15,0.29,0.29,0.37,0.05,0.0,0.21,0.35,0.65,0.33,0.36,0.18,0.09,0.04,0.66,0.34,"202311 기준 '애진'(주소: 제주 제주시 이도이동 1008-1번지)은/는 20090721에 개설되었습니다. 음식점 타입은 음식점이며 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.0%, 18~22시 1.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.14, 화요일 0.07, 수요일 0.43, 목요일 0.14, 금요일 0.14, 토요일 0.07, 일요일 0.0입니다. 평일 0.07, 주말0.93현지인 이용 비중은 0.72입니다. 최근 12개월간 남성 회원 비중은 0.8, 여성 회원 비중은 0.2 입니다. 연령대별 회원 비중은 20대 이하 0.11, 30대 0.17, 40대 0.19, 50대 0.29, 60대 이상 0.25입니다. 이 가맹점의 이용 건수 구간은 6_90% 초과(하위 10% 이하)이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 2_10~25%입니다. 해당 가맹점의 고객 평균 재방문율은 1.25 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [맛있다, 고기, 가성비, 최고, 신선하다, 청국장, 서비스, 단골, 정육식당, 퀄리티, 저렴하다, 깜짝, 진짜, 맛집, 현지, 동네, 주민, 우연히, 발견, 관광객] 
",33.3127272,126.359111,1.3," 제주도 맛집 키워드:맛: 맛있다, 존맛탱, 맛, 최고, 괜찮다, 좋다, 훌륭하다, 엄청, 맘에 들다, 만족하다, 만족도: 좋다, 만족하다, 즐겁다, 행복하다, 감동, 힐링, 추천, 꼭 가보다, 다시 방문, 서비스: 친절하다, 좋다, 훌륭하다, 열정, 응대, 분위기: 좋다, 멋지다, 예쁘다, 아름답다, 깔끔하다, 조용하다, 시원시원, 음식량: 많다, 배부르다, 꽉 차다, 듬뿍, 기타: 뷰, 산방산, 커피, 프렌치토스트, 브런치, 디저트, 와인, 웨이팅, "
202311,하찌,20181228,음식점,일식,제주 서귀포시 호근동 477-4번지,서귀포시,상위 90% 초과(하위 10% 이하),상위 25~50%,상위 10% 이하,0.3,0.0,0.1,0.2,0.3,0.1,0.0,0.0,0.2,0.0,0.8,0.0,0.08,0.52,0.48,0.22,0.44,0.17,0.12,0.04,0.9,0.1,"202311 기준 '애진'(주소: 제주 제주시 이도이동 1008-1번지)은/는 20090721에 개설되었습니다. 음식점 타입은 음식점이며 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.0%, 18~22시 1.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.14, 화요일 0.07, 수요일 0.43, 목요일 0.14, 금요일 0.14, 토요일 0.07, 일요일 0.0입니다. 평일 0.07, 주말0.93현지인 이용 비중은 0.72입니다. 최근 12개월간 남성 회원 비중은 0.8, 여성 회원 비중은 0.2 입니다. 연령대별 회원 비중은 20대 이하 0.11, 30대 0.17, 40대 0.19, 50대 0.29, 60대 이상 0.25입니다. 이 가맹점의 이용 건수 구간은 6_90% 초과(하위 10% 이하)이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 2_10~25%입니다. 해당 가맹점의 고객 평균 재방문율은 1.25 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [맛있다, 고기, 가성비, 최고, 신선하다, 청국장, 서비스, 단골, 정육식당, 퀄리티, 저렴하다, 깜짝, 진짜, 맛집, 현지, 동네, 주민, 우연히, 발견, 관광객] 
",33.2452724,126.5370522,1.06,"[맛있다, 신선하다, 특별하다, 만족스럽다, 훌륭하다, 맛, 재료,  제주,  코스,  분위기,  친절하다,  예쁘다,  좋다,  추천,  풍미,  조화롭다,  다양하다,  행복하다,  감동,  가격] "
202311,물고기자리,20190417,음식점,단품요리 전문,제주 서귀포시 성산읍 성산리 145-6번지 충,서귀포시,상위 75~90%,상위 50~75%,상위 10~25%,0.08,0.12,0.12,0.12,0.29,0.12,0.12,0.0,0.17,0.08,0.75,0.0,0.05,0.52,0.48,0.12,0.21,0.38,0.22,0.08,0.75,0.25,"202311 기준 '애진'(주소: 제주 제주시 이도이동 1008-1번지)은/는 20090721에 개설되었습니다. 음식점 타입은 음식점이며 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.0%, 18~22시 1.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.14, 화요일 0.07, 수요일 0.43, 목요일 0.14, 금요일 0.14, 토요일 0.07, 일요일 0.0입니다. 평일 0.07, 주말0.93현지인 이용 비중은 0.72입니다. 최근 12개월간 남성 회원 비중은 0.8, 여성 회원 비중은 0.2 입니다. 연령대별 회원 비중은 20대 이하 0.11, 30대 0.17, 40대 0.19, 50대 0.29, 60대 이상 0.25입니다. 이 가맹점의 이용 건수 구간은 6_90% 초과(하위 10% 이하)이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 2_10~25%입니다. 해당 가맹점의 고객 평균 재방문율은 1.25 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [맛있다, 고기, 가성비, 최고, 신선하다, 청국장, 서비스, 단골, 정육식당, 퀄리티, 저렴하다, 깜짝, 진짜, 맛집, 현지, 동네, 주민, 우연히, 발견, 관광객] 
",33.461223,126.9332268,1.04,"[물고기자리, 회, 해산물, 맛있다, 만족, 가성비, 신선, 푸짐, 듬뿍, 싱싱, 초밥, 튀김, 볶음밥, 지리, 전복, 깔끔, 친절, 넉넉, 즐겁다, 푸짐하다] 
"
