YM,MCT_NM,OP_YMD,MCT_TYPE,ADDR,아침 이용건수,점심 이용건수,저녁 이용건수,식사x_1,식사x_2,평일 이용건수,주말 이용건수,현지인,남성,여성,20대이하,30대,40대,50대,60대이상
202310,봉봉탕후루동문시장본점,20180321,단품요리 전문,제주 제주시 일도이동 1006-38번지 1층,5.185185185185185,8.39506172839506,19.50617283950617,16.790123456790123,0.123456790123455,24.444444444444436,25.555555555555554,3.8603235623898753,21.099999999999998,28.9,14.499999999999998,13.15,16.449999999999996,4.9,1.0
202310,올데이피자서비스제주월정점,20230705,피자,제주 제주시 구좌읍 월정리 539번지 1층,1.2727272727272672,5.090909090909089,36.27272727272727,27.36363636363636,0.0,47.09090909090907,22.9090909090909,10.994764397905756,36.26,33.74,18.2,30.24,16.87,3.6399999999999997,1.05
202310,협재볼륨,20220908,단품요리 전문,제주 제주시 한림읍 협재리 1592-2번지 1층,0.0,0.0,55.16129032258065,0.0,34.83870967741935,49.3548387096774,40.64516129032258,9.488817891373797,43.11,46.89,44.55,34.01999999999999,8.01,2.25,1.17
202310,형제섬보말칼국수,20170419,단품요리 전문,제주 서귀포시 대정읍 상모리 76번지 1층 101호,22.165605095541395,26.751592356687897,0.0,11.082802547770697,0.0,33.248407643312085,26.751592356687894,5.717965228589826,30.18,29.82,4.5,11.04,15.06,17.459999999999997,11.939999999999994
202310,나성수두리보말톳칼국수,20160308,단품요리 전문,제주 서귀포시 중문동 2120-4번지,29.44444444444444,28.888888888888886,0.0,11.666666666666663,0.0,35.55555555555554,34.44444444444443,7.0153621068032175,38.779999999999994,31.22,7.0,19.110000000000003,17.29,16.87,9.73
202310,돈블링65,20221230,가정식,제주 제주시 이호일동 648-6번지,0.0,0.0,66.66666666666666,33.33333333333333,0.0,55.555555555555536,44.44444444444444,19.54545454545454,58.70000000000001,41.3,22.89999999999999,22.89999999999999,29.799999999999997,17.4,6.9
202310,알빠,20220425,맥주/요리주점,제주 제주시 노형동 1063-1번지 5층,0.0,0.0,100.0,0.0,0.0,50.0,50.0,76.92307692307693,96.3,3.6999999999999997,13.0,48.1,29.599999999999998,7.3999999999999995,1.9
202310,협재집55센치톳칼국수,20230327,단품요리 전문,제주 제주시 한림읍 수원리 944-3번지 2층,26.13333333333333,16.8,5.6000000000000005,21.46666666666666,0.0,38.26666666666666,31.733333333333334,10.884718498659517,35.42,34.58,11.34,16.8,18.76,13.3,9.8
202310,동홍돈,20190319,가정식,제주 서귀포시 동홍동 107-7번지,0.0,0.0,78.26086956521739,3.9130434782608683,7.826086956521737,58.695652173913025,31.304347826086946,73.40425531914893,69.03,20.970000000000002,6.12,15.39,36.989999999999995,24.03,7.379999999999992
202310,코시롱,20140523,가정식,제주 제주시 노형동 3808-1번지 1층,4.07766990291262,31.941747572815537,14.951456310679609,19.029126213592228,0.0,69.99999999999999,0.0,42.94350842418236,26.32,43.68,8.469999999999999,14.42,21.7,18.829999999999995,6.51
202310,제스바,20230420,가정식,제주 제주시 노형동 115번지 3층,16.0,8.72727272727272,29.090909090909086,16.0,10.181818181818176,34.90909090909089,45.09090909090908,55.26315789473684,52.96,27.039999999999992,10.32,13.919999999999998,21.12,29.84,4.8
202310,아바이순대,20140715,단품요리 전문,제주 제주시 도남동 63번지 1층,21.38888888888889,37.916666666666664,5.833333333333331,4.861111111111108,0.0,64.16666666666666,5.833333333333331,60.49382716049382,44.59,25.41,4.55,9.520000000000001,23.729999999999993,26.04,6.159999999999999
