관광지명,주소,주소_시,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,월별 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수,정보,위도,경도
가파도,제주특별자치도 서귀포시 대정읍 가파로 ,서귀포시,관광지,자연,자연관광지,섬,12905.0,2.0,1869.0,287.0,281.0,262.0,279.0,250.0,239.0,271.0,"'가파도'은/는 제주특별자치도 서귀포시 대정읍 가파로 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 섬입니다. 해당 관광지는 기준월(2.0) 동안 총 12905.0명의 방문자를 기록했습니다. 5월 한 달 동안 1869.0명이 방문했습니다. 요일별 방문자수는 월요일 287.0명, 화요일 281.0명, 수요일 262.0명, 목요일 279.0명, 금요일 250.0명, 토요일 239.0명, 일요일 271.0명입니다.",33.1697336,126.271453
갈중이,제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 ,서귀포시,관광지,인문(문화/예술/역사),체험관광지,전통체험,500.0,2.0,46.0,13.0,14.0,5.0,6.0,4.0,2.0,2.0,"'갈중이'은/는 제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 전통체험입니다. 해당 관광지는 기준월(2.0) 동안 총 500.0명의 방문자를 기록했습니다. 5월 한 달 동안 46.0명이 방문했습니다. 요일별 방문자수는 월요일 13.0명, 화요일 14.0명, 수요일 5.0명, 목요일 6.0명, 금요일 4.0명, 토요일 2.0명, 일요일 2.0명입니다.",33.2350546,126.3136741
검멀레해변,제주특별자치도 제주시 우도면 우도해안길 (우도면),제주시,관광지,자연,자연관광지,해수욕장,3355.0,2.0,185.0,30.0,28.0,32.0,34.0,26.0,18.0,17.0,"'검멀레해변'은/는 제주특별자치도 제주시 우도면 우도해안길 (우도면)에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 해수욕장입니다. 해당 관광지는 기준월(2.0) 동안 총 3355.0명의 방문자를 기록했습니다. 5월 한 달 동안 185.0명이 방문했습니다. 요일별 방문자수는 월요일 30.0명, 화요일 28.0명, 수요일 32.0명, 목요일 34.0명, 금요일 26.0명, 토요일 18.0명, 일요일 17.0명입니다.",33.5065528,126.9549021
고산일과해안도로,제주특별자치도 서귀포시 대정읍 신도리 3135-1 ,서귀포시,관광지,자연,자연관광지,자연생태관광지,542.0,2.0,44.0,2.0,5.0,9.0,5.0,10.0,6.0,7.0,"'고산일과해안도로'은/는 제주특별자치도 서귀포시 대정읍 신도리 3135-1 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 자연생태관광지입니다. 해당 관광지는 기준월(2.0) 동안 총 542.0명의 방문자를 기록했습니다. 5월 한 달 동안 44.0명이 방문했습니다. 요일별 방문자수는 월요일 2.0명, 화요일 5.0명, 수요일 9.0명, 목요일 5.0명, 금요일 10.0명, 토요일 6.0명, 일요일 7.0명입니다.",33.2575958,126.214254
곽지해수욕장,제주특별자치도 제주시 애월읍 곽지리 1565 ,제주시,관광지,자연,자연관광지,해수욕장,11572.0,2.0,486.0,65.0,112.0,80.0,65.0,53.0,53.0,58.0,"'곽지해수욕장'은/는 제주특별자치도 제주시 애월읍 곽지리 1565 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 해수욕장입니다. 해당 관광지는 기준월(2.0) 동안 총 11572.0명의 방문자를 기록했습니다. 5월 한 달 동안 486.0명이 방문했습니다. 요일별 방문자수는 월요일 65.0명, 화요일 112.0명, 수요일 80.0명, 목요일 65.0명, 금요일 53.0명, 토요일 53.0명, 일요일 58.0명입니다.",33.45329040000001,126.3212801
광치기해변,제주특별자치도 서귀포시 성산읍 고성리 ,서귀포시,관광지,자연,자연관광지,해수욕장,10642.0,2.0,995.0,162.0,164.0,124.0,124.0,141.0,153.0,127.0,"'광치기해변'은/는 제주특별자치도 서귀포시 성산읍 고성리 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 해수욕장입니다. 해당 관광지는 기준월(2.0) 동안 총 10642.0명의 방문자를 기록했습니다. 5월 한 달 동안 995.0명이 방문했습니다. 요일별 방문자수는 월요일 162.0명, 화요일 164.0명, 수요일 124.0명, 목요일 124.0명, 금요일 141.0명, 토요일 153.0명, 일요일 127.0명입니다.",33.4370258,126.9224025
구엄포구,제주특별자치도 제주시 애월읍 구엄리 607-5 일대 ,제주시,관광지,자연,자연관광지,항구/포구,563.0,2.0,45.0,5.0,5.0,8.0,9.0,5.0,5.0,8.0,"'구엄포구'은/는 제주특별자치도 제주시 애월읍 구엄리 607-5 일대 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 항구/포구입니다. 해당 관광지는 기준월(2.0) 동안 총 563.0명의 방문자를 기록했습니다. 5월 한 달 동안 45.0명이 방문했습니다. 요일별 방문자수는 월요일 5.0명, 화요일 5.0명, 수요일 8.0명, 목요일 9.0명, 금요일 5.0명, 토요일 5.0명, 일요일 8.0명입니다.",33.4791227,126.3813732
금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10 ,제주시,관광지,자연,자연관광지,해수욕장,13346.0,2.0,564.0,87.0,94.0,77.0,72.0,84.0,70.0,80.0,"'금능해수욕장'은/는 제주특별자치도 제주시 한림읍 금능길 119-10 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 해수욕장입니다. 해당 관광지는 기준월(2.0) 동안 총 13346.0명의 방문자를 기록했습니다. 5월 한 달 동안 564.0명이 방문했습니다. 요일별 방문자수는 월요일 87.0명, 화요일 94.0명, 수요일 77.0명, 목요일 72.0명, 금요일 84.0명, 토요일 70.0명, 일요일 80.0명입니다.",33.3911311,126.2362647
김경숙해바라기농장,제주특별자치도 제주시 번영로 854-1 (회천동) ,제주시,관광지,자연,자연관광지,자연생태관광지,4832.0,2.0,225.0,29.0,29.0,39.0,32.0,30.0,39.0,27.0,"'김경숙해바라기농장'은/는 제주특별자치도 제주시 번영로 854-1 (회천동) 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 자연생태관광지입니다. 해당 관광지는 기준월(2.0) 동안 총 4832.0명의 방문자를 기록했습니다. 5월 한 달 동안 225.0명이 방문했습니다. 요일별 방문자수는 월요일 29.0명, 화요일 29.0명, 수요일 39.0명, 목요일 32.0명, 금요일 30.0명, 토요일 39.0명, 일요일 27.0명입니다.",33.477406,126.62762
노리매공원,제주특별자치도 서귀포시 대정읍 중산간서로 2260-15 ,서귀포시,관광지,인문(문화/예술/역사),휴양관광지,공원,3274.0,2.0,576.0,105.0,82.0,100.0,93.0,59.0,66.0,71.0,"'노리매공원'은/는 제주특별자치도 서귀포시 대정읍 중산간서로 2260-15 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 휴양관광지, 소분류: 공원입니다. 해당 관광지는 기준월(2.0) 동안 총 3274.0명의 방문자를 기록했습니다. 5월 한 달 동안 576.0명이 방문했습니다. 요일별 방문자수는 월요일 105.0명, 화요일 82.0명, 수요일 100.0명, 목요일 93.0명, 금요일 59.0명, 토요일 66.0명, 일요일 71.0명입니다.",33.2831505,126.2873239
