관광지명,주소,주소_시,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,월별 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수,정보,위도,경도
가름게스트하우스,제주특별자치도 서귀포시 법환하로9번길 10 ,서귀포시,숙박,숙박,숙박시설,펜션,221.0,3.0,30.0,3.0,1.0,2.0,6.0,9.0,2.0,7.0,"'가름게스트하우스'은/는 제주특별자치도 서귀포시 법환하로9번길 10 에 위치한 관광지로, 숙박에 속하며, 대분류: 숙박, 중분류: 숙박시설, 소분류: 펜션입니다. 해당 관광지는 기준월(3.0) 동안 총 221.0명의 방문자를 기록했습니다. 6월 한 달 동안 30.0명이 방문했습니다. 요일별 방문자수는 월요일 3.0명, 화요일 1.0명, 수요일 2.0명, 목요일 6.0명, 금요일 9.0명, 토요일 2.0명, 일요일 7.0명입니다.",33.2365443,126.5123459
갈중이,제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 ,서귀포시,관광지,인문(문화/예술/역사),체험관광지,전통체험,500.0,3.0,51.0,6.0,7.0,8.0,6.0,9.0,9.0,6.0,"'갈중이'은/는 제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 전통체험입니다. 해당 관광지는 기준월(3.0) 동안 총 500.0명의 방문자를 기록했습니다. 6월 한 달 동안 51.0명이 방문했습니다. 요일별 방문자수는 월요일 6.0명, 화요일 7.0명, 수요일 8.0명, 목요일 6.0명, 금요일 9.0명, 토요일 9.0명, 일요일 6.0명입니다.",33.2350546,126.3136741
감수굴밭담길,제주특별자치도 제주시 구좌읍 평대7길 34 ,제주시,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,551.0,3.0,62.0,10.0,5.0,14.0,7.0,12.0,6.0,8.0,"'감수굴밭담길'은/는 제주특별자치도 제주시 구좌읍 평대7길 34 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 농.산.어촌 체험입니다. 해당 관광지는 기준월(3.0) 동안 총 551.0명의 방문자를 기록했습니다. 6월 한 달 동안 62.0명이 방문했습니다. 요일별 방문자수는 월요일 10.0명, 화요일 5.0명, 수요일 14.0명, 목요일 7.0명, 금요일 12.0명, 토요일 6.0명, 일요일 8.0명입니다.",33.5310269077995,126.843267842652
관덕정,제주특별자치도 제주시 관덕로 19 (삼도이동),제주시,관광지,인문(문화/예술/역사),역사관광지,고궁,5642.0,3.0,531.0,80.0,96.0,85.0,82.0,87.0,44.0,57.0,"'관덕정'은/는 제주특별자치도 제주시 관덕로 19 (삼도이동)에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 역사관광지, 소분류: 고궁입니다. 해당 관광지는 기준월(3.0) 동안 총 5642.0명의 방문자를 기록했습니다. 6월 한 달 동안 531.0명이 방문했습니다. 요일별 방문자수는 월요일 80.0명, 화요일 96.0명, 수요일 85.0명, 목요일 82.0명, 금요일 87.0명, 토요일 44.0명, 일요일 57.0명입니다.",33.5133704,126.5214334
관음사,제주특별자치도 제주시 산록북로 660 (아라일동),제주시,관광지,인문(문화/예술/역사),역사관광지,사찰,1809.0,3.0,176.0,33.0,19.0,26.0,31.0,28.0,14.0,25.0,"'관음사'은/는 제주특별자치도 제주시 산록북로 660 (아라일동)에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 역사관광지, 소분류: 사찰입니다. 해당 관광지는 기준월(3.0) 동안 총 1809.0명의 방문자를 기록했습니다. 6월 한 달 동안 176.0명이 방문했습니다. 요일별 방문자수는 월요일 33.0명, 화요일 19.0명, 수요일 26.0명, 목요일 31.0명, 금요일 28.0명, 토요일 14.0명, 일요일 25.0명입니다.",33.4237942,126.5583908
그림리조트,제주특별자치도 제주시 서해안로 620-1 (용담삼동),제주시,숙박,숙박,숙박시설,펜션,89.0,3.0,11.0,1.0,2.0,5.0,1.0,0.0,1.0,1.0,"'그림리조트'은/는 제주특별자치도 제주시 서해안로 620-1 (용담삼동)에 위치한 관광지로, 숙박에 속하며, 대분류: 숙박, 중분류: 숙박시설, 소분류: 펜션입니다. 해당 관광지는 기준월(3.0) 동안 총 89.0명의 방문자를 기록했습니다. 6월 한 달 동안 11.0명이 방문했습니다. 요일별 방문자수는 월요일 1.0명, 화요일 2.0명, 수요일 5.0명, 목요일 1.0명, 금요일 0.0명, 토요일 1.0명, 일요일 1.0명입니다.",33.5163208,126.5035006
금능포구,제주특별자치도 제주시 한림읍 금능리 ,제주시,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,457.0,3.0,49.0,5.0,9.0,8.0,9.0,8.0,5.0,5.0,"'금능포구'은/는 제주특별자치도 제주시 한림읍 금능리 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 농.산.어촌 체험입니다. 해당 관광지는 기준월(3.0) 동안 총 457.0명의 방문자를 기록했습니다. 6월 한 달 동안 49.0명이 방문했습니다. 요일별 방문자수는 월요일 5.0명, 화요일 9.0명, 수요일 8.0명, 목요일 9.0명, 금요일 8.0명, 토요일 5.0명, 일요일 5.0명입니다.",33.3700283,126.2392054
금룡사,제주특별자치도 제주시 구좌읍 김녕로 148-11 (구좌읍),제주시,관광지,인문(문화/예술/역사),역사관광지,사찰,478.0,3.0,59.0,8.0,9.0,5.0,11.0,14.0,4.0,8.0,"'금룡사'은/는 제주특별자치도 제주시 구좌읍 김녕로 148-11 (구좌읍)에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 역사관광지, 소분류: 사찰입니다. 해당 관광지는 기준월(3.0) 동안 총 478.0명의 방문자를 기록했습니다. 6월 한 달 동안 59.0명이 방문했습니다. 요일별 방문자수는 월요일 8.0명, 화요일 9.0명, 수요일 5.0명, 목요일 11.0명, 금요일 14.0명, 토요일 4.0명, 일요일 8.0명입니다.",33.553856,126.7535423
금호리조트제주,제주특별자치도 서귀포시 남원읍 태위로 522-12 ,서귀포시,숙박,인문(문화/예술/역사),휴양관광지,관광단지,1515.0,3.0,177.0,32.0,16.0,28.0,38.0,31.0,14.0,18.0,"'금호리조트제주'은/는 제주특별자치도 서귀포시 남원읍 태위로 522-12 에 위치한 관광지로, 숙박에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 휴양관광지, 소분류: 관광단지입니다. 해당 관광지는 기준월(3.0) 동안 총 1515.0명의 방문자를 기록했습니다. 6월 한 달 동안 177.0명이 방문했습니다. 요일별 방문자수는 월요일 32.0명, 화요일 16.0명, 수요일 28.0명, 목요일 38.0명, 금요일 31.0명, 토요일 14.0명, 일요일 18.0명입니다.",33.2729991,126.701485
꿈꾸는노마드,제주특별자치도 서귀포시 선반로 54 ,서귀포시,숙박,숙박,숙박시설,펜션,179.0,3.0,19.0,1.0,1.0,1.0,2.0,9.0,2.0,3.0,"'꿈꾸는노마드'은/는 제주특별자치도 서귀포시 선반로 54 에 위치한 관광지로, 숙박에 속하며, 대분류: 숙박, 중분류: 숙박시설, 소분류: 펜션입니다. 해당 관광지는 기준월(3.0) 동안 총 179.0명의 방문자를 기록했습니다. 6월 한 달 동안 19.0명이 방문했습니다. 요일별 방문자수는 월요일 1.0명, 화요일 1.0명, 수요일 1.0명, 목요일 2.0명, 금요일 9.0명, 토요일 2.0명, 일요일 3.0명입니다.",33.2416968571055,126.499557800623
