관광지명,주소,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,11월 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수
갈중이,제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 ,관광지,인문(문화/예술/역사),체험관광지,전통체험,500.0,11.0,17.0,4.0,2.0,2.0,5.0,2.0,0.0,2.0
감수굴밭담길,제주특별자치도 제주시 구좌읍 평대7길 34 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,551.0,11.0,19.0,5.0,3.0,6.0,2.0,1.0,1.0,1.0
관덕정,제주특별자치도 제주시 관덕로 19 (삼도이동),관광지,인문(문화/예술/역사),역사관광지,고궁,5642.0,11.0,420.0,63.0,72.0,77.0,63.0,68.0,35.0,42.0
관음사,제주특별자치도 제주시 산록북로 660 (아라일동),관광지,인문(문화/예술/역사),역사관광지,사찰,1809.0,11.0,81.0,14.0,16.0,8.0,14.0,9.0,13.0,7.0
금능포구,제주특별자치도 제주시 한림읍 금능리 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,457.0,11.0,9.0,0.0,0.0,3.0,2.0,3.0,1.0,0.0
금룡사,제주특별자치도 제주시 구좌읍 김녕로 148-11 (구좌읍),관광지,인문(문화/예술/역사),역사관광지,사찰,478.0,11.0,18.0,3.0,3.0,4.0,0.0,3.0,2.0,3.0
금호리조트제주,제주특별자치도 서귀포시 남원읍 태위로 522-12 ,숙박,인문(문화/예술/역사),휴양관광지,관광단지,1515.0,11.0,72.0,12.0,11.0,12.0,18.0,10.0,2.0,7.0
노리매공원,제주특별자치도 서귀포시 대정읍 중산간서로 2260-15 ,관광지,인문(문화/예술/역사),휴양관광지,공원,3274.0,11.0,160.0,21.0,25.0,27.0,34.0,23.0,13.0,17.0
누웨마루거리,제주특별자치도 제주시 신광로 47 (연동) ,관광지,인문(문화/예술/역사),체험관광지,이색거리,2082.0,11.0,151.0,22.0,22.0,27.0,27.0,18.0,19.0,16.0
다이나믹메이즈,제주특별자치도 서귀포시 표선면 번영로 2644 ,관광지,인문(문화/예술/역사),휴양관광지,테마공원,7386.0,11.0,614.0,99.0,74.0,111.0,127.0,74.0,50.0,79.0
답다니탑망대,제주특별자치도 제주시 우도면 우도해안길 602 ,관광지,인문(문화/예술/역사),건축/조형물,유명건물,713.0,11.0,39.0,4.0,8.0,8.0,10.0,5.0,1.0,3.0
대정향교,제주특별자치도 서귀포시 안덕면 향교로 165-17 ,관광지,인문(문화/예술/역사),역사관광지,유적지/사적지,1020.0,11.0,67.0,8.0,7.0,8.0,16.0,9.0,8.0,11.0
더아일랜더,제주특별자치도 제주시 관덕로4길 7 ,쇼핑,쇼핑,쇼핑,특산물판매점,445.0,11.0,20.0,4.0,3.0,5.0,4.0,4.0,0.0,0.0
더마파크,제주특별자치도 제주시 한림읍 월림7길 155 ,관광지,인문(문화/예술/역사),휴양관광지,테마공원,3972.0,11.0,261.0,36.0,33.0,44.0,51.0,42.0,25.0,30.0
도치돌알파카목장,제주특별자치도 제주시 애월읍 도치돌길 293 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,1675.0,11.0,88.0,8.0,20.0,14.0,12.0,10.0,12.0,12.0
두맹이골목,제주특별자치도 제주시 일도이동 1006-11,관광지,인문(문화/예술/역사),체험관광지,이색거리,741.0,11.0,43.0,5.0,5.0,12.0,5.0,7.0,7.0,2.0
