관광지명,주소,주소_시,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,월별 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수,정보,위도,경도
갈중이,제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 ,서귀포시,관광지,인문(문화/예술/역사),체험관광지,전통체험,500.0,3.0,51.0,6.0,7.0,8.0,6.0,9.0,9.0,6.0,"'갈중이'은/는 제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 전통체험입니다. 해당 관광지는 기준월(3.0) 동안 총 500.0명의 방문자를 기록했습니다. 6월 한 달 동안 51.0명이 방문했습니다. 요일별 방문자수는 월요일 6.0명, 화요일 7.0명, 수요일 8.0명, 목요일 6.0명, 금요일 9.0명, 토요일 9.0명, 일요일 6.0명입니다.",33.2350546,126.3136741
검멀레해변,제주특별자치도 제주시 우도면 우도해안길 (우도면),제주시,관광지,자연,자연관광지,해수욕장,3355.0,3.0,269.0,49.0,40.0,40.0,54.0,36.0,23.0,27.0,"'검멀레해변'은/는 제주특별자치도 제주시 우도면 우도해안길 (우도면)에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 해수욕장입니다. 해당 관광지는 기준월(3.0) 동안 총 3355.0명의 방문자를 기록했습니다. 6월 한 달 동안 269.0명이 방문했습니다. 요일별 방문자수는 월요일 49.0명, 화요일 40.0명, 수요일 40.0명, 목요일 54.0명, 금요일 36.0명, 토요일 23.0명, 일요일 27.0명입니다.",33.5065528,126.9549021
곽지해수욕장,제주특별자치도 제주시 애월읍 곽지리 1565 ,제주시,관광지,자연,자연관광지,해수욕장,11572.0,3.0,737.0,119.0,93.0,114.0,112.0,128.0,84.0,87.0,"'곽지해수욕장'은/는 제주특별자치도 제주시 애월읍 곽지리 1565 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 해수욕장입니다. 해당 관광지는 기준월(3.0) 동안 총 11572.0명의 방문자를 기록했습니다. 6월 한 달 동안 737.0명이 방문했습니다. 요일별 방문자수는 월요일 119.0명, 화요일 93.0명, 수요일 114.0명, 목요일 112.0명, 금요일 128.0명, 토요일 84.0명, 일요일 87.0명입니다.",33.45329040000001,126.3212801
관음사야영장,제주특별자치도 제주시 산록북로 588 (오등동),제주시,레포츠,레포츠,육상 레포츠,"야영장,오토캠핑장",1369.0,3.0,132.0,19.0,15.0,22.0,22.0,20.0,18.0,16.0,"'관음사야영장'은/는 제주특별자치도 제주시 산록북로 588 (오등동)에 위치한 관광지로, 레포츠에 속하며, 대분류: 레포츠, 중분류: 육상 레포츠, 소분류: 야영장,오토캠핑장입니다. 해당 관광지는 기준월(3.0) 동안 총 1369.0명의 방문자를 기록했습니다. 6월 한 달 동안 132.0명이 방문했습니다. 요일별 방문자수는 월요일 19.0명, 화요일 15.0명, 수요일 22.0명, 목요일 22.0명, 금요일 20.0명, 토요일 18.0명, 일요일 16.0명입니다.",33.4216134051671,126.549757591879
광치기해변,제주특별자치도 서귀포시 성산읍 고성리 ,서귀포시,관광지,자연,자연관광지,해수욕장,10642.0,3.0,1301.0,173.0,202.0,224.0,214.0,206.0,139.0,143.0,"'광치기해변'은/는 제주특별자치도 서귀포시 성산읍 고성리 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 해수욕장입니다. 해당 관광지는 기준월(3.0) 동안 총 10642.0명의 방문자를 기록했습니다. 6월 한 달 동안 1301.0명이 방문했습니다. 요일별 방문자수는 월요일 173.0명, 화요일 202.0명, 수요일 224.0명, 목요일 214.0명, 금요일 206.0명, 토요일 139.0명, 일요일 143.0명입니다.",33.4370258,126.9224025
구엄포구,제주특별자치도 제주시 애월읍 구엄리 607-5 일대 ,제주시,관광지,자연,자연관광지,항구/포구,563.0,3.0,60.0,10.0,8.0,9.0,9.0,5.0,7.0,12.0,"'구엄포구'은/는 제주특별자치도 제주시 애월읍 구엄리 607-5 일대 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 항구/포구입니다. 해당 관광지는 기준월(3.0) 동안 총 563.0명의 방문자를 기록했습니다. 6월 한 달 동안 60.0명이 방문했습니다. 요일별 방문자수는 월요일 10.0명, 화요일 8.0명, 수요일 9.0명, 목요일 9.0명, 금요일 5.0명, 토요일 7.0명, 일요일 12.0명입니다.",33.4791227,126.3813732
귤빛캠핑장,제주특별자치도 제주시 조천읍 함와로 428 ,제주시,레포츠,레포츠,육상 레포츠,"야영장,오토캠핑장",808.0,3.0,60.0,9.0,12.0,6.0,10.0,9.0,6.0,8.0,"'귤빛캠핑장'은/는 제주특별자치도 제주시 조천읍 함와로 428 에 위치한 관광지로, 레포츠에 속하며, 대분류: 레포츠, 중분류: 육상 레포츠, 소분류: 야영장,오토캠핑장입니다. 해당 관광지는 기준월(3.0) 동안 총 808.0명의 방문자를 기록했습니다. 6월 한 달 동안 60.0명이 방문했습니다. 요일별 방문자수는 월요일 9.0명, 화요일 12.0명, 수요일 6.0명, 목요일 10.0명, 금요일 9.0명, 토요일 6.0명, 일요일 8.0명입니다.",33.5042988,126.6740979
금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10 ,제주시,관광지,자연,자연관광지,해수욕장,13346.0,3.0,872.0,136.0,111.0,169.0,131.0,124.0,98.0,103.0,"'금능해수욕장'은/는 제주특별자치도 제주시 한림읍 금능길 119-10 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 해수욕장입니다. 해당 관광지는 기준월(3.0) 동안 총 13346.0명의 방문자를 기록했습니다. 6월 한 달 동안 872.0명이 방문했습니다. 요일별 방문자수는 월요일 136.0명, 화요일 111.0명, 수요일 169.0명, 목요일 131.0명, 금요일 124.0명, 토요일 98.0명, 일요일 103.0명입니다.",33.3911311,126.2362647
김녕사굴,제주특별자치도 제주시 구좌읍 덕평로 392-1 ,제주시,관광지,자연,자연관광지,동굴,2982.0,3.0,305.0,36.0,31.0,74.0,43.0,47.0,46.0,28.0,"'김녕사굴'은/는 제주특별자치도 제주시 구좌읍 덕평로 392-1 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 동굴입니다. 해당 관광지는 기준월(3.0) 동안 총 2982.0명의 방문자를 기록했습니다. 6월 한 달 동안 305.0명이 방문했습니다. 요일별 방문자수는 월요일 36.0명, 화요일 31.0명, 수요일 74.0명, 목요일 43.0명, 금요일 47.0명, 토요일 46.0명, 일요일 28.0명입니다.",33.5010103,126.7736187
김녕요트투어,제주특별자치도 제주시 구좌읍 구좌해안로 229-16 ,제주시,레포츠,레포츠,수상 레포츠,요트,1566.0,3.0,128.0,19.0,16.0,22.0,22.0,24.0,8.0,17.0,"'김녕요트투어'은/는 제주특별자치도 제주시 구좌읍 구좌해안로 229-16 에 위치한 관광지로, 레포츠에 속하며, 대분류: 레포츠, 중분류: 수상 레포츠, 소분류: 요트입니다. 해당 관광지는 기준월(3.0) 동안 총 1566.0명의 방문자를 기록했습니다. 6월 한 달 동안 128.0명이 방문했습니다. 요일별 방문자수는 월요일 19.0명, 화요일 16.0명, 수요일 22.0명, 목요일 22.0명, 금요일 24.0명, 토요일 8.0명, 일요일 17.0명입니다.",33.5579617,126.7367958
