관광지명,주소,주소_시,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,월별 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수,정보,위도,경도
가파도,제주특별자치도 서귀포시 대정읍 가파로 ,서귀포시,관광지,자연,자연관광지,섬,12905.0,6.0,1371.0,186.0,207.0,132.0,210.0,187.0,201.0,248.0,"'가파도'은/는 제주특별자치도 서귀포시 대정읍 가파로 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 섬입니다. 해당 관광지는 기준월(6.0) 동안 총 12905.0명의 방문자를 기록했습니다. 9월 한 달 동안 1371.0명이 방문했습니다. 요일별 방문자수는 월요일 186.0명, 화요일 207.0명, 수요일 132.0명, 목요일 210.0명, 금요일 187.0명, 토요일 201.0명, 일요일 248.0명입니다.",33.1697336,126.271453
갈중이,제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 ,서귀포시,관광지,인문(문화/예술/역사),체험관광지,전통체험,500.0,6.0,79.0,11.0,14.0,4.0,15.0,18.0,6.0,11.0,"'갈중이'은/는 제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 전통체험입니다. 해당 관광지는 기준월(6.0) 동안 총 500.0명의 방문자를 기록했습니다. 9월 한 달 동안 79.0명이 방문했습니다. 요일별 방문자수는 월요일 11.0명, 화요일 14.0명, 수요일 4.0명, 목요일 15.0명, 금요일 18.0명, 토요일 6.0명, 일요일 11.0명입니다.",33.2350546,126.3136741
감수굴밭담길,제주특별자치도 제주시 구좌읍 평대7길 34 ,제주시,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,551.0,6.0,43.0,5.0,11.0,4.0,7.0,4.0,4.0,8.0,"'감수굴밭담길'은/는 제주특별자치도 제주시 구좌읍 평대7길 34 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 농.산.어촌 체험입니다. 해당 관광지는 기준월(6.0) 동안 총 551.0명의 방문자를 기록했습니다. 9월 한 달 동안 43.0명이 방문했습니다. 요일별 방문자수는 월요일 5.0명, 화요일 11.0명, 수요일 4.0명, 목요일 7.0명, 금요일 4.0명, 토요일 4.0명, 일요일 8.0명입니다.",33.5310269077995,126.843267842652
검멀레해변,제주특별자치도 제주시 우도면 우도해안길 (우도면),제주시,관광지,자연,자연관광지,해수욕장,3355.0,6.0,313.0,42.0,51.0,45.0,66.0,48.0,29.0,32.0,"'검멀레해변'은/는 제주특별자치도 제주시 우도면 우도해안길 (우도면)에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 해수욕장입니다. 해당 관광지는 기준월(6.0) 동안 총 3355.0명의 방문자를 기록했습니다. 9월 한 달 동안 313.0명이 방문했습니다. 요일별 방문자수는 월요일 42.0명, 화요일 51.0명, 수요일 45.0명, 목요일 66.0명, 금요일 48.0명, 토요일 29.0명, 일요일 32.0명입니다.",33.5065528,126.9549021
고산일과해안도로,제주특별자치도 서귀포시 대정읍 신도리 3135-1 ,서귀포시,관광지,자연,자연관광지,자연생태관광지,542.0,6.0,40.0,9.0,4.0,4.0,9.0,2.0,4.0,8.0,"'고산일과해안도로'은/는 제주특별자치도 서귀포시 대정읍 신도리 3135-1 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 자연생태관광지입니다. 해당 관광지는 기준월(6.0) 동안 총 542.0명의 방문자를 기록했습니다. 9월 한 달 동안 40.0명이 방문했습니다. 요일별 방문자수는 월요일 9.0명, 화요일 4.0명, 수요일 4.0명, 목요일 9.0명, 금요일 2.0명, 토요일 4.0명, 일요일 8.0명입니다.",33.2575958,126.214254
곽지해수욕장,제주특별자치도 제주시 애월읍 곽지리 1565 ,제주시,관광지,자연,자연관광지,해수욕장,11572.0,6.0,1454.0,200.0,189.0,203.0,241.0,240.0,225.0,156.0,"'곽지해수욕장'은/는 제주특별자치도 제주시 애월읍 곽지리 1565 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 해수욕장입니다. 해당 관광지는 기준월(6.0) 동안 총 11572.0명의 방문자를 기록했습니다. 9월 한 달 동안 1454.0명이 방문했습니다. 요일별 방문자수는 월요일 200.0명, 화요일 189.0명, 수요일 203.0명, 목요일 241.0명, 금요일 240.0명, 토요일 225.0명, 일요일 156.0명입니다.",33.45329040000001,126.3212801
광치기해변,제주특별자치도 서귀포시 성산읍 고성리 ,서귀포시,관광지,자연,자연관광지,해수욕장,10642.0,6.0,741.0,107.0,106.0,84.0,135.0,121.0,100.0,88.0,"'광치기해변'은/는 제주특별자치도 서귀포시 성산읍 고성리 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 해수욕장입니다. 해당 관광지는 기준월(6.0) 동안 총 10642.0명의 방문자를 기록했습니다. 9월 한 달 동안 741.0명이 방문했습니다. 요일별 방문자수는 월요일 107.0명, 화요일 106.0명, 수요일 84.0명, 목요일 135.0명, 금요일 121.0명, 토요일 100.0명, 일요일 88.0명입니다.",33.4370258,126.9224025
구엄포구,제주특별자치도 제주시 애월읍 구엄리 607-5 일대 ,제주시,관광지,자연,자연관광지,항구/포구,563.0,6.0,47.0,9.0,5.0,6.0,10.0,4.0,3.0,10.0,"'구엄포구'은/는 제주특별자치도 제주시 애월읍 구엄리 607-5 일대 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 항구/포구입니다. 해당 관광지는 기준월(6.0) 동안 총 563.0명의 방문자를 기록했습니다. 9월 한 달 동안 47.0명이 방문했습니다. 요일별 방문자수는 월요일 9.0명, 화요일 5.0명, 수요일 6.0명, 목요일 10.0명, 금요일 4.0명, 토요일 3.0명, 일요일 10.0명입니다.",33.4791227,126.3813732
금능포구,제주특별자치도 제주시 한림읍 금능리 ,제주시,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,457.0,6.0,39.0,5.0,7.0,4.0,7.0,8.0,3.0,5.0,"'금능포구'은/는 제주특별자치도 제주시 한림읍 금능리 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 농.산.어촌 체험입니다. 해당 관광지는 기준월(6.0) 동안 총 457.0명의 방문자를 기록했습니다. 9월 한 달 동안 39.0명이 방문했습니다. 요일별 방문자수는 월요일 5.0명, 화요일 7.0명, 수요일 4.0명, 목요일 7.0명, 금요일 8.0명, 토요일 3.0명, 일요일 5.0명입니다.",33.3700283,126.2392054
금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10 ,제주시,관광지,자연,자연관광지,해수욕장,13346.0,6.0,1808.0,279.0,242.0,276.0,294.0,296.0,210.0,211.0,"'금능해수욕장'은/는 제주특별자치도 제주시 한림읍 금능길 119-10 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 해수욕장입니다. 해당 관광지는 기준월(6.0) 동안 총 13346.0명의 방문자를 기록했습니다. 9월 한 달 동안 1808.0명이 방문했습니다. 요일별 방문자수는 월요일 279.0명, 화요일 242.0명, 수요일 276.0명, 목요일 294.0명, 금요일 296.0명, 토요일 210.0명, 일요일 211.0명입니다.",33.3911311,126.2362647
