관광지명,주소,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,5월 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수
가파도,제주특별자치도 서귀포시 대정읍 가파로 ,관광지,자연,자연관광지,섬,12905.0,5.0,1946.0,425.0,353.0,267.0,203.0,225.0,206.0,267.0
갈중이,제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 ,관광지,인문(문화/예술/역사),체험관광지,전통체험,500.0,5.0,55.0,10.0,8.0,10.0,8.0,8.0,7.0,4.0
감수굴밭담길,제주특별자치도 제주시 구좌읍 평대7길 34 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,551.0,5.0,64.0,12.0,12.0,10.0,11.0,4.0,6.0,9.0
검멀레해변,제주특별자치도 제주시 우도면 우도해안길 (우도면),관광지,자연,자연관광지,해수욕장,3355.0,5.0,388.0,83.0,82.0,63.0,46.0,32.0,27.0,55.0
고산일과해안도로,제주특별자치도 서귀포시 대정읍 신도리 3135-1 ,관광지,자연,자연관광지,자연생태관광지,542.0,5.0,71.0,17.0,10.0,14.0,7.0,8.0,10.0,5.0
곽지해수욕장,제주특별자치도 제주시 애월읍 곽지리 1565 ,관광지,자연,자연관광지,해수욕장,11572.0,5.0,1437.0,253.0,275.0,218.0,204.0,164.0,137.0,186.0
광치기해변,제주특별자치도 서귀포시 성산읍 고성리 ,관광지,자연,자연관광지,해수욕장,10642.0,5.0,1142.0,229.0,197.0,163.0,133.0,113.0,108.0,199.0
구엄포구,제주특별자치도 제주시 애월읍 구엄리 607-5 일대 ,관광지,자연,자연관광지,항구/포구,563.0,5.0,69.0,11.0,16.0,10.0,10.0,5.0,11.0,6.0
금능포구,제주특별자치도 제주시 한림읍 금능리 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,457.0,5.0,59.0,10.0,7.0,14.0,7.0,7.0,3.0,11.0
금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10 ,관광지,자연,자연관광지,해수욕장,13346.0,5.0,1414.0,250.0,264.0,232.0,175.0,176.0,151.0,166.0
김경숙해바라기농장,제주특별자치도 제주시 번영로 854-1 (회천동) ,관광지,자연,자연관광지,자연생태관광지,4832.0,5.0,513.0,91.0,91.0,94.0,77.0,53.0,46.0,61.0
노을해안로,제주특별자치도 서귀포시 대정읍 영락리 ,관광지,자연,자연관광지,자연생태관광지,1349.0,5.0,165.0,29.0,26.0,25.0,19.0,27.0,13.0,26.0
논짓물,제주특별자치도 서귀포시 예래해안로 253 (하예동),관광지,자연,자연관광지,해수욕장,7654.0,5.0,649.0,109.0,136.0,129.0,80.0,47.0,74.0,74.0
누웨마루거리,제주특별자치도 제주시 신광로 47 (연동) ,관광지,인문(문화/예술/역사),체험관광지,이색거리,2082.0,5.0,193.0,34.0,32.0,34.0,22.0,29.0,22.0,20.0
다려도,제주특별자치도 제주시 조천읍 북촌리 산 89,관광지,자연,자연관광지,섬,696.0,5.0,83.0,12.0,16.0,8.0,19.0,6.0,10.0,12.0
닭머르해안길,제주특별자치도 제주시 조천읍 신촌북3길 62-1 ,관광지,자연,자연관광지,자연생태관광지,12241.0,5.0,859.0,170.0,153.0,128.0,97.0,89.0,101.0,121.0
대평포구,제주특별자치도 서귀포시 안덕면 창천리 914-5 ,관광지,자연,자연관광지,항구/포구,1424.0,5.0,134.0,29.0,26.0,23.0,9.0,17.0,12.0,18.0
대포포구,제주특별자치도 서귀포시 대포로 172-8 (대포동),관광지,자연,자연관광지,항구/포구,585.0,5.0,89.0,18.0,18.0,12.0,10.0,14.0,10.0,7.0
