관광지명,주소,주소_시,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,월별 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수,정보,위도,경도
가마오름,제주특별자치도 제주시 한경면 청수서5길 63 ,제주시,관광지,자연,자연관광지,산,609.0,8.0,29.0,1.0,7.0,4.0,9.0,2.0,3.0,3.0,"'가마오름'은/는 제주특별자치도 제주시 한경면 청수서5길 63 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 산입니다. 해당 관광지는 기준월(8.0) 동안 총 609.0명의 방문자를 기록했습니다. 11월 한 달 동안 29.0명이 방문했습니다. 요일별 방문자수는 월요일 1.0명, 화요일 7.0명, 수요일 4.0명, 목요일 9.0명, 금요일 2.0명, 토요일 3.0명, 일요일 3.0명입니다.",33.3054878,126.2493496
가문이오름,제주특별자치도 서귀포시 표선면 남조로 1487-73 ,서귀포시,관광지,자연,자연관광지,산,502.0,8.0,30.0,5.0,5.0,7.0,7.0,3.0,2.0,1.0,"'가문이오름'은/는 제주특별자치도 서귀포시 표선면 남조로 1487-73 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 산입니다. 해당 관광지는 기준월(8.0) 동안 총 502.0명의 방문자를 기록했습니다. 11월 한 달 동안 30.0명이 방문했습니다. 요일별 방문자수는 월요일 5.0명, 화요일 5.0명, 수요일 7.0명, 목요일 7.0명, 금요일 3.0명, 토요일 2.0명, 일요일 1.0명입니다.",33.4014287623403,126.675670597493
가세오름,제주특별자치도 서귀포시 표선면 녹산로 554 ,서귀포시,관광지,자연,자연관광지,산,500.0,8.0,38.0,8.0,5.0,7.0,6.0,4.0,7.0,1.0,"'가세오름'은/는 제주특별자치도 서귀포시 표선면 녹산로 554 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 산입니다. 해당 관광지는 기준월(8.0) 동안 총 500.0명의 방문자를 기록했습니다. 11월 한 달 동안 38.0명이 방문했습니다. 요일별 방문자수는 월요일 8.0명, 화요일 5.0명, 수요일 7.0명, 목요일 6.0명, 금요일 4.0명, 토요일 7.0명, 일요일 1.0명입니다.",33.393916,126.7224085
각시바우오름,제주특별자치도 서귀포시 호근동 2112 (호근동),서귀포시,관광지,자연,자연관광지,산,455.0,8.0,29.0,4.0,4.0,6.0,5.0,5.0,2.0,3.0,"'각시바우오름'은/는 제주특별자치도 서귀포시 호근동 2112 (호근동)에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 산입니다. 해당 관광지는 기준월(8.0) 동안 총 455.0명의 방문자를 기록했습니다. 11월 한 달 동안 29.0명이 방문했습니다. 요일별 방문자수는 월요일 4.0명, 화요일 4.0명, 수요일 6.0명, 목요일 5.0명, 금요일 5.0명, 토요일 2.0명, 일요일 3.0명입니다.",33.2767567,126.5269589
갈중이,제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 ,서귀포시,관광지,인문(문화/예술/역사),체험관광지,전통체험,500.0,8.0,39.0,11.0,4.0,5.0,9.0,5.0,3.0,2.0,"'갈중이'은/는 제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 전통체험입니다. 해당 관광지는 기준월(8.0) 동안 총 500.0명의 방문자를 기록했습니다. 11월 한 달 동안 39.0명이 방문했습니다. 요일별 방문자수는 월요일 11.0명, 화요일 4.0명, 수요일 5.0명, 목요일 9.0명, 금요일 5.0명, 토요일 3.0명, 일요일 2.0명입니다.",33.2350546,126.3136741
감수굴밭담길,제주특별자치도 제주시 구좌읍 평대7길 34 ,제주시,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,551.0,8.0,36.0,5.0,9.0,4.0,7.0,5.0,3.0,3.0,"'감수굴밭담길'은/는 제주특별자치도 제주시 구좌읍 평대7길 34 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 농.산.어촌 체험입니다. 해당 관광지는 기준월(8.0) 동안 총 551.0명의 방문자를 기록했습니다. 11월 한 달 동안 36.0명이 방문했습니다. 요일별 방문자수는 월요일 5.0명, 화요일 9.0명, 수요일 4.0명, 목요일 7.0명, 금요일 5.0명, 토요일 3.0명, 일요일 3.0명입니다.",33.5310269077995,126.843267842652
개오름,제주특별자치도 서귀포시 표선면 성읍이리로57번길 162 ,서귀포시,관광지,자연,자연관광지,산,1080.0,8.0,97.0,17.0,16.0,10.0,19.0,11.0,11.0,13.0,"'개오름'은/는 제주특별자치도 서귀포시 표선면 성읍이리로57번길 162 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 산입니다. 해당 관광지는 기준월(8.0) 동안 총 1080.0명의 방문자를 기록했습니다. 11월 한 달 동안 97.0명이 방문했습니다. 요일별 방문자수는 월요일 17.0명, 화요일 16.0명, 수요일 10.0명, 목요일 19.0명, 금요일 11.0명, 토요일 11.0명, 일요일 13.0명입니다.",33.4232271,126.7717506
개오리오름,제주특별자치도 제주시 명림로 584 (봉개동) ,제주시,관광지,자연,자연관광지,산,380.0,8.0,24.0,3.0,3.0,3.0,7.0,2.0,6.0,0.0,"'개오리오름'은/는 제주특별자치도 제주시 명림로 584 (봉개동) 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 산입니다. 해당 관광지는 기준월(8.0) 동안 총 380.0명의 방문자를 기록했습니다. 11월 한 달 동안 24.0명이 방문했습니다. 요일별 방문자수는 월요일 3.0명, 화요일 3.0명, 수요일 3.0명, 목요일 7.0명, 금요일 2.0명, 토요일 6.0명, 일요일 0.0명입니다.",33.4571323,126.6130534
거문오름,제주특별자치도 제주시 조천읍 선교로 569-36 ,제주시,관광지,자연,자연관광지,산,11268.0,8.0,881.0,131.0,167.0,184.0,140.0,113.0,74.0,72.0,"'거문오름'은/는 제주특별자치도 제주시 조천읍 선교로 569-36 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 산입니다. 해당 관광지는 기준월(8.0) 동안 총 11268.0명의 방문자를 기록했습니다. 11월 한 달 동안 881.0명이 방문했습니다. 요일별 방문자수는 월요일 131.0명, 화요일 167.0명, 수요일 184.0명, 목요일 140.0명, 금요일 113.0명, 토요일 74.0명, 일요일 72.0명입니다.",33.440049258236,126.625203614349
검멀레해변,제주특별자치도 제주시 우도면 우도해안길 (우도면),제주시,관광지,자연,자연관광지,해수욕장,3355.0,8.0,242.0,29.0,42.0,50.0,47.0,31.0,14.0,29.0,"'검멀레해변'은/는 제주특별자치도 제주시 우도면 우도해안길 (우도면)에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 해수욕장입니다. 해당 관광지는 기준월(8.0) 동안 총 3355.0명의 방문자를 기록했습니다. 11월 한 달 동안 242.0명이 방문했습니다. 요일별 방문자수는 월요일 29.0명, 화요일 42.0명, 수요일 50.0명, 목요일 47.0명, 금요일 31.0명, 토요일 14.0명, 일요일 29.0명입니다.",33.5065528,126.9549021
