관광지명,주소,주소_시,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,월별 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수,정보,위도,경도
갈중이,제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 ,서귀포시,관광지,인문(문화/예술/역사),체험관광지,전통체험,500.0,10.0,18.0,6.0,2.0,3.0,2.0,2.0,1.0,2.0,"'갈중이'은/는 제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 전통체험입니다. 해당 관광지는 기준월(10.0) 동안 총 500.0명의 방문자를 기록했습니다. 2월 한 달 동안 18.0명이 방문했습니다. 요일별 방문자수는 월요일 6.0명, 화요일 2.0명, 수요일 3.0명, 목요일 2.0명, 금요일 2.0명, 토요일 1.0명, 일요일 2.0명입니다.",33.2350546,126.3136741
감수굴밭담길,제주특별자치도 제주시 구좌읍 평대7길 34 ,제주시,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,551.0,10.0,45.0,9.0,3.0,7.0,2.0,8.0,4.0,12.0,"'감수굴밭담길'은/는 제주특별자치도 제주시 구좌읍 평대7길 34 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 농.산.어촌 체험입니다. 해당 관광지는 기준월(10.0) 동안 총 551.0명의 방문자를 기록했습니다. 2월 한 달 동안 45.0명이 방문했습니다. 요일별 방문자수는 월요일 9.0명, 화요일 3.0명, 수요일 7.0명, 목요일 2.0명, 금요일 8.0명, 토요일 4.0명, 일요일 12.0명입니다.",33.5310269077995,126.843267842652
관덕정,제주특별자치도 제주시 관덕로 19 (삼도이동),제주시,관광지,인문(문화/예술/역사),역사관광지,고궁,5642.0,10.0,397.0,69.0,61.0,52.0,48.0,53.0,52.0,62.0,"'관덕정'은/는 제주특별자치도 제주시 관덕로 19 (삼도이동)에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 역사관광지, 소분류: 고궁입니다. 해당 관광지는 기준월(10.0) 동안 총 5642.0명의 방문자를 기록했습니다. 2월 한 달 동안 397.0명이 방문했습니다. 요일별 방문자수는 월요일 69.0명, 화요일 61.0명, 수요일 52.0명, 목요일 48.0명, 금요일 53.0명, 토요일 52.0명, 일요일 62.0명입니다.",33.5133704,126.5214334
관음사,제주특별자치도 제주시 산록북로 660 (아라일동),제주시,관광지,인문(문화/예술/역사),역사관광지,사찰,1809.0,10.0,147.0,23.0,22.0,30.0,19.0,20.0,11.0,22.0,"'관음사'은/는 제주특별자치도 제주시 산록북로 660 (아라일동)에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 역사관광지, 소분류: 사찰입니다. 해당 관광지는 기준월(10.0) 동안 총 1809.0명의 방문자를 기록했습니다. 2월 한 달 동안 147.0명이 방문했습니다. 요일별 방문자수는 월요일 23.0명, 화요일 22.0명, 수요일 30.0명, 목요일 19.0명, 금요일 20.0명, 토요일 11.0명, 일요일 22.0명입니다.",33.4237942,126.5583908
금능포구,제주특별자치도 제주시 한림읍 금능리 ,제주시,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,457.0,10.0,38.0,2.0,9.0,3.0,3.0,7.0,5.0,9.0,"'금능포구'은/는 제주특별자치도 제주시 한림읍 금능리 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 농.산.어촌 체험입니다. 해당 관광지는 기준월(10.0) 동안 총 457.0명의 방문자를 기록했습니다. 2월 한 달 동안 38.0명이 방문했습니다. 요일별 방문자수는 월요일 2.0명, 화요일 9.0명, 수요일 3.0명, 목요일 3.0명, 금요일 7.0명, 토요일 5.0명, 일요일 9.0명입니다.",33.3700283,126.2392054
금룡사,제주특별자치도 제주시 구좌읍 김녕로 148-11 (구좌읍),제주시,관광지,인문(문화/예술/역사),역사관광지,사찰,478.0,10.0,30.0,6.0,2.0,4.0,3.0,3.0,4.0,8.0,"'금룡사'은/는 제주특별자치도 제주시 구좌읍 김녕로 148-11 (구좌읍)에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 역사관광지, 소분류: 사찰입니다. 해당 관광지는 기준월(10.0) 동안 총 478.0명의 방문자를 기록했습니다. 2월 한 달 동안 30.0명이 방문했습니다. 요일별 방문자수는 월요일 6.0명, 화요일 2.0명, 수요일 4.0명, 목요일 3.0명, 금요일 3.0명, 토요일 4.0명, 일요일 8.0명입니다.",33.553856,126.7535423
금호리조트제주,제주특별자치도 서귀포시 남원읍 태위로 522-12 ,서귀포시,숙박,인문(문화/예술/역사),휴양관광지,관광단지,1515.0,10.0,79.0,13.0,11.0,12.0,13.0,8.0,8.0,14.0,"'금호리조트제주'은/는 제주특별자치도 서귀포시 남원읍 태위로 522-12 에 위치한 관광지로, 숙박에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 휴양관광지, 소분류: 관광단지입니다. 해당 관광지는 기준월(10.0) 동안 총 1515.0명의 방문자를 기록했습니다. 2월 한 달 동안 79.0명이 방문했습니다. 요일별 방문자수는 월요일 13.0명, 화요일 11.0명, 수요일 12.0명, 목요일 13.0명, 금요일 8.0명, 토요일 8.0명, 일요일 14.0명입니다.",33.2729991,126.701485
김녕사굴,제주특별자치도 제주시 구좌읍 덕평로 392-1 ,제주시,관광지,자연,자연관광지,동굴,2982.0,10.0,202.0,44.0,30.0,37.0,17.0,17.0,22.0,35.0,"'김녕사굴'은/는 제주특별자치도 제주시 구좌읍 덕평로 392-1 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 동굴입니다. 해당 관광지는 기준월(10.0) 동안 총 2982.0명의 방문자를 기록했습니다. 2월 한 달 동안 202.0명이 방문했습니다. 요일별 방문자수는 월요일 44.0명, 화요일 30.0명, 수요일 37.0명, 목요일 17.0명, 금요일 17.0명, 토요일 22.0명, 일요일 35.0명입니다.",33.5010103,126.7736187
노리매공원,제주특별자치도 서귀포시 대정읍 중산간서로 2260-15 ,서귀포시,관광지,인문(문화/예술/역사),휴양관광지,공원,3274.0,10.0,220.0,36.0,38.0,30.0,24.0,31.0,24.0,37.0,"'노리매공원'은/는 제주특별자치도 서귀포시 대정읍 중산간서로 2260-15 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 휴양관광지, 소분류: 공원입니다. 해당 관광지는 기준월(10.0) 동안 총 3274.0명의 방문자를 기록했습니다. 2월 한 달 동안 220.0명이 방문했습니다. 요일별 방문자수는 월요일 36.0명, 화요일 38.0명, 수요일 30.0명, 목요일 24.0명, 금요일 31.0명, 토요일 24.0명, 일요일 37.0명입니다.",33.2831505,126.2873239
누웨마루거리,제주특별자치도 제주시 신광로 47 (연동) ,제주시,관광지,인문(문화/예술/역사),체험관광지,이색거리,2082.0,10.0,184.0,25.0,35.0,26.0,26.0,26.0,20.0,26.0,"'누웨마루거리'은/는 제주특별자치도 제주시 신광로 47 (연동) 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 이색거리입니다. 해당 관광지는 기준월(10.0) 동안 총 2082.0명의 방문자를 기록했습니다. 2월 한 달 동안 184.0명이 방문했습니다. 요일별 방문자수는 월요일 25.0명, 화요일 35.0명, 수요일 26.0명, 목요일 26.0명, 금요일 26.0명, 토요일 20.0명, 일요일 26.0명입니다.",33.4877543819398,126.490293916618
