관광지명,주소,주소_시,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,월별 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수,정보,위도,경도
갈중이,제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 ,서귀포시,관광지,인문(문화/예술/역사),체험관광지,전통체험,500.0,1.0,36.0,7.0,7.0,5.0,3.0,1.0,2.0,11.0,"'갈중이'은/는 제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 전통체험입니다. 해당 관광지는 기준월(1.0) 동안 총 500.0명의 방문자를 기록했습니다. 1월 한 달 동안 36.0명이 방문했습니다. 요일별 방문자수는 월요일 7.0명, 화요일 7.0명, 수요일 5.0명, 목요일 3.0명, 금요일 1.0명, 토요일 2.0명, 일요일 11.0명입니다.",33.2350546,126.3136741
감수굴밭담길,제주특별자치도 제주시 구좌읍 평대7길 34 ,제주시,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,551.0,1.0,63.0,10.0,7.0,10.0,9.0,6.0,11.0,10.0,"'감수굴밭담길'은/는 제주특별자치도 제주시 구좌읍 평대7길 34 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 농.산.어촌 체험입니다. 해당 관광지는 기준월(1.0) 동안 총 551.0명의 방문자를 기록했습니다. 1월 한 달 동안 63.0명이 방문했습니다. 요일별 방문자수는 월요일 10.0명, 화요일 7.0명, 수요일 10.0명, 목요일 9.0명, 금요일 6.0명, 토요일 11.0명, 일요일 10.0명입니다.",33.5310269077995,126.843267842652
고산일과해안도로,제주특별자치도 서귀포시 대정읍 신도리 3135-1 ,서귀포시,관광지,자연,자연관광지,자연생태관광지,542.0,1.0,58.0,16.0,9.0,5.0,4.0,10.0,1.0,13.0,"'고산일과해안도로'은/는 제주특별자치도 서귀포시 대정읍 신도리 3135-1 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 자연생태관광지입니다. 해당 관광지는 기준월(1.0) 동안 총 542.0명의 방문자를 기록했습니다. 1월 한 달 동안 58.0명이 방문했습니다. 요일별 방문자수는 월요일 16.0명, 화요일 9.0명, 수요일 5.0명, 목요일 4.0명, 금요일 10.0명, 토요일 1.0명, 일요일 13.0명입니다.",33.2575958,126.214254
관덕정,제주특별자치도 제주시 관덕로 19 (삼도이동),제주시,관광지,인문(문화/예술/역사),역사관광지,고궁,5642.0,1.0,474.0,73.0,75.0,63.0,68.0,67.0,57.0,71.0,"'관덕정'은/는 제주특별자치도 제주시 관덕로 19 (삼도이동)에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 역사관광지, 소분류: 고궁입니다. 해당 관광지는 기준월(1.0) 동안 총 5642.0명의 방문자를 기록했습니다. 1월 한 달 동안 474.0명이 방문했습니다. 요일별 방문자수는 월요일 73.0명, 화요일 75.0명, 수요일 63.0명, 목요일 68.0명, 금요일 67.0명, 토요일 57.0명, 일요일 71.0명입니다.",33.5133704,126.5214334
관음사,제주특별자치도 제주시 산록북로 660 (아라일동),제주시,관광지,인문(문화/예술/역사),역사관광지,사찰,1809.0,1.0,200.0,41.0,32.0,32.0,26.0,20.0,22.0,27.0,"'관음사'은/는 제주특별자치도 제주시 산록북로 660 (아라일동)에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 역사관광지, 소분류: 사찰입니다. 해당 관광지는 기준월(1.0) 동안 총 1809.0명의 방문자를 기록했습니다. 1월 한 달 동안 200.0명이 방문했습니다. 요일별 방문자수는 월요일 41.0명, 화요일 32.0명, 수요일 32.0명, 목요일 26.0명, 금요일 20.0명, 토요일 22.0명, 일요일 27.0명입니다.",33.4237942,126.5583908
금능포구,제주특별자치도 제주시 한림읍 금능리 ,제주시,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,457.0,1.0,56.0,10.0,9.0,7.0,9.0,6.0,9.0,6.0,"'금능포구'은/는 제주특별자치도 제주시 한림읍 금능리 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 농.산.어촌 체험입니다. 해당 관광지는 기준월(1.0) 동안 총 457.0명의 방문자를 기록했습니다. 1월 한 달 동안 56.0명이 방문했습니다. 요일별 방문자수는 월요일 10.0명, 화요일 9.0명, 수요일 7.0명, 목요일 9.0명, 금요일 6.0명, 토요일 9.0명, 일요일 6.0명입니다.",33.3700283,126.2392054
금룡사,제주특별자치도 제주시 구좌읍 김녕로 148-11 (구좌읍),제주시,관광지,인문(문화/예술/역사),역사관광지,사찰,478.0,1.0,53.0,10.0,11.0,5.0,7.0,10.0,2.0,8.0,"'금룡사'은/는 제주특별자치도 제주시 구좌읍 김녕로 148-11 (구좌읍)에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 역사관광지, 소분류: 사찰입니다. 해당 관광지는 기준월(1.0) 동안 총 478.0명의 방문자를 기록했습니다. 1월 한 달 동안 53.0명이 방문했습니다. 요일별 방문자수는 월요일 10.0명, 화요일 11.0명, 수요일 5.0명, 목요일 7.0명, 금요일 10.0명, 토요일 2.0명, 일요일 8.0명입니다.",33.553856,126.7535423
금호리조트제주,제주특별자치도 서귀포시 남원읍 태위로 522-12 ,서귀포시,숙박,인문(문화/예술/역사),휴양관광지,관광단지,1515.0,1.0,187.0,28.0,30.0,27.0,23.0,29.0,15.0,35.0,"'금호리조트제주'은/는 제주특별자치도 서귀포시 남원읍 태위로 522-12 에 위치한 관광지로, 숙박에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 휴양관광지, 소분류: 관광단지입니다. 해당 관광지는 기준월(1.0) 동안 총 1515.0명의 방문자를 기록했습니다. 1월 한 달 동안 187.0명이 방문했습니다. 요일별 방문자수는 월요일 28.0명, 화요일 30.0명, 수요일 27.0명, 목요일 23.0명, 금요일 29.0명, 토요일 15.0명, 일요일 35.0명입니다.",33.2729991,126.701485
김경숙해바라기농장,제주특별자치도 제주시 번영로 854-1 (회천동) ,제주시,관광지,자연,자연관광지,자연생태관광지,4832.0,1.0,192.0,40.0,25.0,29.0,25.0,19.0,16.0,38.0,"'김경숙해바라기농장'은/는 제주특별자치도 제주시 번영로 854-1 (회천동) 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 자연생태관광지입니다. 해당 관광지는 기준월(1.0) 동안 총 4832.0명의 방문자를 기록했습니다. 1월 한 달 동안 192.0명이 방문했습니다. 요일별 방문자수는 월요일 40.0명, 화요일 25.0명, 수요일 29.0명, 목요일 25.0명, 금요일 19.0명, 토요일 16.0명, 일요일 38.0명입니다.",33.477406,126.62762
김녕사굴,제주특별자치도 제주시 구좌읍 덕평로 392-1 ,제주시,관광지,자연,자연관광지,동굴,2982.0,1.0,318.0,59.0,57.0,48.0,26.0,47.0,43.0,38.0,"'김녕사굴'은/는 제주특별자치도 제주시 구좌읍 덕평로 392-1 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 동굴입니다. 해당 관광지는 기준월(1.0) 동안 총 2982.0명의 방문자를 기록했습니다. 1월 한 달 동안 318.0명이 방문했습니다. 요일별 방문자수는 월요일 59.0명, 화요일 57.0명, 수요일 48.0명, 목요일 26.0명, 금요일 47.0명, 토요일 43.0명, 일요일 38.0명입니다.",33.5010103,126.7736187
