관광지명,주소,주소_시,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,월별 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수,정보,위도,경도
갈중이,제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 ,서귀포시,관광지,인문(문화/예술/역사),체험관광지,전통체험,500.0,5.0,55.0,10.0,8.0,10.0,8.0,8.0,7.0,4.0,"'갈중이'은/는 제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 전통체험입니다. 해당 관광지는 기준월(5.0) 동안 총 500.0명의 방문자를 기록했습니다. 8월 한 달 동안 55.0명이 방문했습니다. 요일별 방문자수는 월요일 10.0명, 화요일 8.0명, 수요일 10.0명, 목요일 8.0명, 금요일 8.0명, 토요일 7.0명, 일요일 4.0명입니다.",33.2350546,126.3136741
감수굴밭담길,제주특별자치도 제주시 구좌읍 평대7길 34 ,제주시,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,551.0,5.0,64.0,12.0,12.0,10.0,11.0,4.0,6.0,9.0,"'감수굴밭담길'은/는 제주특별자치도 제주시 구좌읍 평대7길 34 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 농.산.어촌 체험입니다. 해당 관광지는 기준월(5.0) 동안 총 551.0명의 방문자를 기록했습니다. 8월 한 달 동안 64.0명이 방문했습니다. 요일별 방문자수는 월요일 12.0명, 화요일 12.0명, 수요일 10.0명, 목요일 11.0명, 금요일 4.0명, 토요일 6.0명, 일요일 9.0명입니다.",33.5310269077995,126.843267842652
고산일과해안도로,제주특별자치도 서귀포시 대정읍 신도리 3135-1 ,서귀포시,관광지,자연,자연관광지,자연생태관광지,542.0,5.0,71.0,17.0,10.0,14.0,7.0,8.0,10.0,5.0,"'고산일과해안도로'은/는 제주특별자치도 서귀포시 대정읍 신도리 3135-1 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 자연생태관광지입니다. 해당 관광지는 기준월(5.0) 동안 총 542.0명의 방문자를 기록했습니다. 8월 한 달 동안 71.0명이 방문했습니다. 요일별 방문자수는 월요일 17.0명, 화요일 10.0명, 수요일 14.0명, 목요일 7.0명, 금요일 8.0명, 토요일 10.0명, 일요일 5.0명입니다.",33.2575958,126.214254
금능포구,제주특별자치도 제주시 한림읍 금능리 ,제주시,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,457.0,5.0,59.0,10.0,7.0,14.0,7.0,7.0,3.0,11.0,"'금능포구'은/는 제주특별자치도 제주시 한림읍 금능리 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 농.산.어촌 체험입니다. 해당 관광지는 기준월(5.0) 동안 총 457.0명의 방문자를 기록했습니다. 8월 한 달 동안 59.0명이 방문했습니다. 요일별 방문자수는 월요일 10.0명, 화요일 7.0명, 수요일 14.0명, 목요일 7.0명, 금요일 7.0명, 토요일 3.0명, 일요일 11.0명입니다.",33.3700283,126.2392054
김경숙해바라기농장,제주특별자치도 제주시 번영로 854-1 (회천동) ,제주시,관광지,자연,자연관광지,자연생태관광지,4832.0,5.0,513.0,91.0,91.0,94.0,77.0,53.0,46.0,61.0,"'김경숙해바라기농장'은/는 제주특별자치도 제주시 번영로 854-1 (회천동) 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 자연생태관광지입니다. 해당 관광지는 기준월(5.0) 동안 총 4832.0명의 방문자를 기록했습니다. 8월 한 달 동안 513.0명이 방문했습니다. 요일별 방문자수는 월요일 91.0명, 화요일 91.0명, 수요일 94.0명, 목요일 77.0명, 금요일 53.0명, 토요일 46.0명, 일요일 61.0명입니다.",33.477406,126.62762
김녕사굴,제주특별자치도 제주시 구좌읍 덕평로 392-1 ,제주시,관광지,자연,자연관광지,동굴,2982.0,5.0,286.0,52.0,51.0,42.0,54.0,29.0,28.0,30.0,"'김녕사굴'은/는 제주특별자치도 제주시 구좌읍 덕평로 392-1 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 동굴입니다. 해당 관광지는 기준월(5.0) 동안 총 2982.0명의 방문자를 기록했습니다. 8월 한 달 동안 286.0명이 방문했습니다. 요일별 방문자수는 월요일 52.0명, 화요일 51.0명, 수요일 42.0명, 목요일 54.0명, 금요일 29.0명, 토요일 28.0명, 일요일 30.0명입니다.",33.5010103,126.7736187
노리매공원,제주특별자치도 서귀포시 대정읍 중산간서로 2260-15 ,서귀포시,관광지,인문(문화/예술/역사),휴양관광지,공원,3274.0,5.0,229.0,39.0,50.0,27.0,36.0,28.0,22.0,27.0,"'노리매공원'은/는 제주특별자치도 서귀포시 대정읍 중산간서로 2260-15 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 휴양관광지, 소분류: 공원입니다. 해당 관광지는 기준월(5.0) 동안 총 3274.0명의 방문자를 기록했습니다. 8월 한 달 동안 229.0명이 방문했습니다. 요일별 방문자수는 월요일 39.0명, 화요일 50.0명, 수요일 27.0명, 목요일 36.0명, 금요일 28.0명, 토요일 22.0명, 일요일 27.0명입니다.",33.2831505,126.2873239
노을해안로,제주특별자치도 서귀포시 대정읍 영락리 ,서귀포시,관광지,자연,자연관광지,자연생태관광지,1349.0,5.0,165.0,29.0,26.0,25.0,19.0,27.0,13.0,26.0,"'노을해안로'은/는 제주특별자치도 서귀포시 대정읍 영락리 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 자연생태관광지입니다. 해당 관광지는 기준월(5.0) 동안 총 1349.0명의 방문자를 기록했습니다. 8월 한 달 동안 165.0명이 방문했습니다. 요일별 방문자수는 월요일 29.0명, 화요일 26.0명, 수요일 25.0명, 목요일 19.0명, 금요일 27.0명, 토요일 13.0명, 일요일 26.0명입니다.",33.2425714,126.2243799
누웨마루거리,제주특별자치도 제주시 신광로 47 (연동) ,제주시,관광지,인문(문화/예술/역사),체험관광지,이색거리,2082.0,5.0,193.0,34.0,32.0,34.0,22.0,29.0,22.0,20.0,"'누웨마루거리'은/는 제주특별자치도 제주시 신광로 47 (연동) 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 이색거리입니다. 해당 관광지는 기준월(5.0) 동안 총 2082.0명의 방문자를 기록했습니다. 8월 한 달 동안 193.0명이 방문했습니다. 요일별 방문자수는 월요일 34.0명, 화요일 32.0명, 수요일 34.0명, 목요일 22.0명, 금요일 29.0명, 토요일 22.0명, 일요일 20.0명입니다.",33.4877543819398,126.490293916618
다이나믹메이즈,제주특별자치도 서귀포시 표선면 번영로 2644 ,서귀포시,관광지,인문(문화/예술/역사),휴양관광지,테마공원,7386.0,5.0,578.0,108.0,88.0,86.0,75.0,85.0,68.0,68.0,"'다이나믹메이즈'은/는 제주특별자치도 서귀포시 표선면 번영로 2644 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 휴양관광지, 소분류: 테마공원입니다. 해당 관광지는 기준월(5.0) 동안 총 7386.0명의 방문자를 기록했습니다. 8월 한 달 동안 578.0명이 방문했습니다. 요일별 방문자수는 월요일 108.0명, 화요일 88.0명, 수요일 86.0명, 목요일 75.0명, 금요일 85.0명, 토요일 68.0명, 일요일 68.0명입니다.",33.3991423,126.7851051
