관광지명,주소,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,4월 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수
가파도,제주특별자치도 서귀포시 대정읍 가파로 ,관광지,자연,자연관광지,섬,12905.0,4.0,1783.0,286.0,263.0,214.0,258.0,163.0,297.0,302.0
갈중이,제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 ,관광지,인문(문화/예술/역사),체험관광지,전통체험,500.0,4.0,62.0,9.0,5.0,8.0,8.0,10.0,13.0,9.0
감수굴밭담길,제주특별자치도 제주시 구좌읍 평대7길 34 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,551.0,4.0,45.0,4.0,6.0,9.0,6.0,4.0,10.0,6.0
검멀레해변,제주특별자치도 제주시 우도면 우도해안길 (우도면),관광지,자연,자연관광지,해수욕장,3355.0,4.0,307.0,49.0,47.0,49.0,46.0,35.0,40.0,41.0
고산일과해안도로,제주특별자치도 서귀포시 대정읍 신도리 3135-1 ,관광지,자연,자연관광지,자연생태관광지,542.0,4.0,74.0,9.0,8.0,12.0,11.0,5.0,19.0,10.0
곽지해수욕장,제주특별자치도 제주시 애월읍 곽지리 1565 ,관광지,자연,자연관광지,해수욕장,11572.0,4.0,918.0,121.0,111.0,132.0,134.0,123.0,128.0,169.0
광치기해변,제주특별자치도 서귀포시 성산읍 고성리 ,관광지,자연,자연관광지,해수욕장,10642.0,4.0,1146.0,171.0,150.0,124.0,140.0,159.0,200.0,202.0
구엄포구,제주특별자치도 제주시 애월읍 구엄리 607-5 일대 ,관광지,자연,자연관광지,항구/포구,563.0,4.0,61.0,6.0,7.0,7.0,6.0,14.0,10.0,11.0
금능포구,제주특별자치도 제주시 한림읍 금능리 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,457.0,4.0,60.0,5.0,9.0,12.0,7.0,5.0,12.0,10.0
금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10 ,관광지,자연,자연관광지,해수욕장,13346.0,4.0,1111.0,162.0,160.0,160.0,141.0,153.0,153.0,182.0
김경숙해바라기농장,제주특별자치도 제주시 번영로 854-1 (회천동) ,관광지,자연,자연관광지,자연생태관광지,4832.0,4.0,397.0,57.0,72.0,48.0,37.0,56.0,72.0,55.0
노을해안로,제주특별자치도 서귀포시 대정읍 영락리 ,관광지,자연,자연관광지,자연생태관광지,1349.0,4.0,154.0,23.0,24.0,17.0,26.0,16.0,29.0,19.0
논짓물,제주특별자치도 서귀포시 예래해안로 253 (하예동),관광지,자연,자연관광지,해수욕장,7654.0,4.0,381.0,56.0,39.0,48.0,45.0,61.0,54.0,78.0
누웨마루거리,제주특별자치도 제주시 신광로 47 (연동) ,관광지,인문(문화/예술/역사),체험관광지,이색거리,2082.0,4.0,192.0,26.0,33.0,29.0,20.0,26.0,28.0,30.0
다려도,제주특별자치도 제주시 조천읍 북촌리 산 89,관광지,자연,자연관광지,섬,696.0,4.0,75.0,15.0,6.0,13.0,9.0,10.0,12.0,10.0
닭머르해안길,제주특별자치도 제주시 조천읍 신촌북3길 62-1 ,관광지,자연,자연관광지,자연생태관광지,12241.0,4.0,896.0,112.0,144.0,121.0,128.0,111.0,127.0,153.0
대평포구,제주특별자치도 서귀포시 안덕면 창천리 914-5 ,관광지,자연,자연관광지,항구/포구,1424.0,4.0,172.0,31.0,18.0,24.0,26.0,17.0,25.0,31.0
대포포구,제주특별자치도 서귀포시 대포로 172-8 (대포동),관광지,자연,자연관광지,항구/포구,585.0,4.0,76.0,19.0,8.0,8.0,6.0,12.0,10.0,13.0
도두항,제주특별자치도 제주시 도공로 2 (도두일동),관광지,자연,자연관광지,항구/포구,960.0,4.0,113.0,22.0,16.0,20.0,12.0,12.0,18.0,13.0
도치돌알파카목장,제주특별자치도 제주시 애월읍 도치돌길 293 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,1675.0,4.0,180.0,32.0,24.0,30.0,18.0,18.0,37.0,21.0
돈내코,제주특별자치도 서귀포시 돈내코로 137 ,관광지,자연,자연관광지,계곡,6251.0,4.0,351.0,42.0,54.0,40.0,44.0,52.0,55.0,64.0
동일리포구,제주특별자치도 서귀포시 대정읍 동일하모로98번길 14-32 ,관광지,자연,자연관광지,항구/포구,478.0,4.0,50.0,7.0,6.0,9.0,6.0,3.0,12.0,7.0
두맹이골목,제주특별자치도 제주시 일도이동 1006-11,관광지,인문(문화/예술/역사),체험관광지,이색거리,741.0,4.0,77.0,10.0,9.0,12.0,8.0,17.0,9.0,12.0
라온호텔앤리조트,제주특별자치도 제주시 한림읍 금능남로 127 ,관광지,인문(문화/예술/역사),휴양관광지,관광단지,619.0,4.0,54.0,11.0,7.0,7.0,2.0,8.0,10.0,9.0
마라도,제주특별자치도 서귀포시 대정읍 마라로101번길 46 ,관광지,자연,자연관광지,섬,6306.0,4.0,554.0,89.0,69.0,95.0,77.0,76.0,78.0,70.0
맥파이브루어리,제주특별자치도 제주시 동회천1길 23 (회천동),관광지,인문(문화/예술/역사),산업관광지,식음료,823.0,4.0,135.0,17.0,16.0,17.0,27.0,16.0,23.0,19.0
무수천,제주특별자치도 제주시 애월읍 무수천길 (애월읍) 일대,관광지,자연,자연관광지,계곡,814.0,4.0,57.0,6.0,11.0,6.0,10.0,8.0,10.0,6.0
물뫼힐링팜,제주특별자치도 제주시 애월읍 예원로 51 ,관광지,인문(문화/예술/역사),체험관광지,이색체험,987.0,4.0,90.0,11.0,12.0,16.0,13.0,15.0,14.0,9.0
박수기정,제주특별자치도 서귀포시 안덕면 난드르로 90-25 ,관광지,자연,자연관광지,해안절경,9479.0,4.0,733.0,91.0,90.0,95.0,132.0,108.0,112.0,105.0
방선문,제주특별자치도 제주시 오라이동 39-1,관광지,자연,자연관광지,계곡,623.0,4.0,68.0,8.0,16.0,11.0,7.0,10.0,8.0,8.0
법환포구,제주특별자치도 서귀포시 막숙포로 46 (법환동),관광지,자연,자연관광지,항구/포구,2010.0,4.0,182.0,45.0,22.0,20.0,19.0,23.0,23.0,30.0
보목포구,제주특별자치도 서귀포시 보목포로 46 (보목동),관광지,자연,자연관광지,항구/포구,1004.0,4.0,95.0,11.0,12.0,9.0,12.0,21.0,12.0,18.0
보통청춘기록실청춘사진관,제주특별자치도 제주시 한림읍 일주서로 5867 ,관광지,인문(문화/예술/역사),체험관광지,이색체험,786.0,4.0,100.0,15.0,17.0,12.0,15.0,6.0,21.0,14.0
