관광지명,주소,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,4월 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수
가름게스트하우스,제주특별자치도 서귀포시 법환하로9번길 10 ,숙박,숙박,숙박시설,펜션,221.0,4.0,18.0,2.0,4.0,1.0,2.0,4.0,4.0,1.0
갈중이,제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 ,관광지,인문(문화/예술/역사),체험관광지,전통체험,500.0,4.0,62.0,9.0,5.0,8.0,8.0,10.0,13.0,9.0
감수굴밭담길,제주특별자치도 제주시 구좌읍 평대7길 34 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,551.0,4.0,45.0,4.0,6.0,9.0,6.0,4.0,10.0,6.0
고산일과해안도로,제주특별자치도 서귀포시 대정읍 신도리 3135-1 ,관광지,자연,자연관광지,자연생태관광지,542.0,4.0,74.0,9.0,8.0,12.0,11.0,5.0,19.0,10.0
그림리조트,제주특별자치도 제주시 서해안로 620-1 (용담삼동),숙박,숙박,숙박시설,펜션,89.0,4.0,8.0,0.0,4.0,0.0,1.0,1.0,2.0,0.0
금능포구,제주특별자치도 제주시 한림읍 금능리 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,457.0,4.0,60.0,5.0,9.0,12.0,7.0,5.0,12.0,10.0
금호리조트제주,제주특별자치도 서귀포시 남원읍 태위로 522-12 ,숙박,인문(문화/예술/역사),휴양관광지,관광단지,1515.0,4.0,175.0,28.0,34.0,27.0,15.0,34.0,18.0,19.0
김경숙해바라기농장,제주특별자치도 제주시 번영로 854-1 (회천동) ,관광지,자연,자연관광지,자연생태관광지,4832.0,4.0,397.0,57.0,72.0,48.0,37.0,56.0,72.0,55.0
꿈꾸는노마드,제주특별자치도 서귀포시 선반로 54 ,숙박,숙박,숙박시설,펜션,179.0,4.0,21.0,0.0,2.0,1.0,4.0,2.0,7.0,5.0
끄라비펜션,제주특별자치도 서귀포시 토평로148번길 28 (토평동),숙박,숙박,숙박시설,펜션,278.0,4.0,28.0,7.0,7.0,2.0,3.0,3.0,2.0,4.0
노리매공원,제주특별자치도 서귀포시 대정읍 중산간서로 2260-15 ,관광지,인문(문화/예술/역사),휴양관광지,공원,3274.0,4.0,318.0,60.0,39.0,46.0,49.0,42.0,38.0,44.0
노을담은뜨락,제주특별자치도 서귀포시 대정읍 노을해안로 416 ,숙박,숙박,숙박시설,펜션,269.0,4.0,19.0,0.0,2.0,0.0,3.0,4.0,5.0,5.0
노을해안로,제주특별자치도 서귀포시 대정읍 영락리 ,관광지,자연,자연관광지,자연생태관광지,1349.0,4.0,154.0,23.0,24.0,17.0,26.0,16.0,29.0,19.0
누웨마루거리,제주특별자치도 제주시 신광로 47 (연동) ,관광지,인문(문화/예술/역사),체험관광지,이색거리,2082.0,4.0,192.0,26.0,33.0,29.0,20.0,26.0,28.0,30.0
다이나믹메이즈,제주특별자치도 서귀포시 표선면 번영로 2644 ,관광지,인문(문화/예술/역사),휴양관광지,테마공원,7386.0,4.0,547.0,85.0,70.0,68.0,74.0,93.0,75.0,82.0
다인리조트,제주특별자치도 제주시 애월읍 애월해안로 400-9 ,숙박,숙박,숙박시설,펜션,405.0,4.0,47.0,9.0,7.0,3.0,10.0,8.0,5.0,5.0
닭머르해안길,제주특별자치도 제주시 조천읍 신촌북3길 62-1 ,관광지,자연,자연관광지,자연생태관광지,12241.0,4.0,896.0,112.0,144.0,121.0,128.0,111.0,127.0,153.0
답다니탑망대,제주특별자치도 제주시 우도면 우도해안길 602 ,관광지,인문(문화/예술/역사),건축/조형물,유명건물,713.0,4.0,79.0,8.0,15.0,8.0,10.0,11.0,14.0,13.0
대정향교,제주특별자치도 서귀포시 안덕면 향교로 165-17 ,관광지,인문(문화/예술/역사),역사관광지,유적지/사적지,1020.0,4.0,109.0,19.0,13.0,20.0,13.0,21.0,8.0,15.0
더마파크,제주특별자치도 제주시 한림읍 월림7길 155 ,관광지,인문(문화/예술/역사),휴양관광지,테마공원,3972.0,4.0,332.0,58.0,52.0,32.0,52.0,54.0,45.0,39.0
도치돌알파카목장,제주특별자치도 제주시 애월읍 도치돌길 293 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,1675.0,4.0,180.0,32.0,24.0,30.0,18.0,18.0,37.0,21.0
돈내코,제주특별자치도 서귀포시 돈내코로 137 ,관광지,자연,자연관광지,계곡,6251.0,4.0,351.0,42.0,54.0,40.0,44.0,52.0,55.0,64.0
동박생이,제주특별자치도 제주시 구좌읍 월정1길 89 ,숙박,숙박,숙박시설,펜션,398.0,4.0,40.0,9.0,6.0,5.0,4.0,5.0,5.0,6.0
두맹이골목,제주특별자치도 제주시 일도이동 1006-11,관광지,인문(문화/예술/역사),체험관광지,이색거리,741.0,4.0,77.0,10.0,9.0,12.0,8.0,17.0,9.0,12.0
라온호텔앤리조트,제주특별자치도 제주시 한림읍 금능남로 127 ,관광지,인문(문화/예술/역사),휴양관광지,관광단지,619.0,4.0,54.0,11.0,7.0,7.0,2.0,8.0,10.0,9.0
라헨느리조트,제주특별자치도 제주시 명림로 384 ,숙박,인문(문화/예술/역사),휴양관광지,관광단지,364.0,4.0,45.0,8.0,4.0,9.0,7.0,3.0,10.0,4.0
마라도등대,"제주특별자치도 서귀포시 대정읍 마라로 (165, 마라도항로표지관리소) ",관광지,자연,자연관광지,등대,834.0,4.0,106.0,16.0,15.0,15.0,11.0,15.0,19.0,15.0
메이즈랜드,제주특별자치도 제주시 구좌읍 비자림로 2134-47 ,관광지,인문(문화/예술/역사),휴양관광지,테마공원,8368.0,4.0,710.0,110.0,99.0,107.0,103.0,110.0,88.0,93.0
무수천,제주특별자치도 제주시 애월읍 무수천길 (애월읍) 일대,관광지,자연,자연관광지,계곡,814.0,4.0,57.0,6.0,11.0,6.0,10.0,8.0,10.0,6.0
물고기나무게스트하우스,제주특별자치도 서귀포시 성산읍 중산간동로 4204-14 ,숙박,숙박,숙박시설,펜션,315.0,4.0,29.0,8.0,2.0,4.0,0.0,5.0,8.0,2.0
물뫼힐링팜,제주특별자치도 제주시 애월읍 예원로 51 ,관광지,인문(문화/예술/역사),체험관광지,이색체험,987.0,4.0,90.0,11.0,12.0,16.0,13.0,15.0,14.0,9.0
밀레니엄빌,제주특별자치도 서귀포시 보목로64번길 196 ,숙박,숙박,숙박시설,펜션,129.0,4.0,15.0,3.0,0.0,3.0,1.0,3.0,4.0,1.0
방선문,제주특별자치도 제주시 오라이동 39-1,관광지,자연,자연관광지,계곡,623.0,4.0,68.0,8.0,16.0,11.0,7.0,10.0,8.0,8.0
보통청춘기록실청춘사진관,제주특별자치도 제주시 한림읍 일주서로 5867 ,관광지,인문(문화/예술/역사),체험관광지,이색체험,786.0,4.0,100.0,15.0,17.0,12.0,15.0,6.0,21.0,14.0
북촌리4.3길,제주특별자치도 제주시 조천읍 북촌3길 3 ,관광지,자연,자연관광지,자연생태관광지,836.0,4.0,114.0,18.0,16.0,19.0,16.0,15.0,16.0,14.0
붉은오름자연휴양림,제주특별자치도 서귀포시 표선면 남조로 1487-73 ,관광지,자연,자연관광지,자연휴양림,3950.0,4.0,236.0,30.0,31.0,35.0,44.0,32.0,31.0,33.0
비스타리조트,제주특별자치도 제주시 서해안로 74 ,숙박,인문(문화/예술/역사),휴양관광지,관광단지,191.0,4.0,19.0,4.0,2.0,0.0,5.0,5.0,2.0,1.0
