관광지명,주소,주소_시,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,3월 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수,위도,경도
가름게스트하우스,제주특별자치도 서귀포시 법환하로9번길 10 ,서귀포시,숙박,숙박,숙박시설,펜션,221.0,3.0,30.0,3.0,1.0,2.0,6.0,9.0,2.0,7.0,33.2365443,126.5123459
가마오름,제주특별자치도 제주시 한경면 청수서5길 63 ,제주시,관광지,자연,자연관광지,산,609.0,3.0,53.0,8.0,5.0,10.0,8.0,7.0,9.0,6.0,33.3054878,126.2493496
가세오름,제주특별자치도 서귀포시 표선면 녹산로 554 ,서귀포시,관광지,자연,자연관광지,산,500.0,3.0,45.0,4.0,6.0,8.0,7.0,5.0,6.0,9.0,33.393916,126.7224085
가시식당,제주특별자치도 서귀포시 표선면 가시로565번길 22 ,서귀포시,음식점,음식,음식점,한식,399.0,3.0,46.0,11.0,7.0,7.0,8.0,4.0,3.0,6.0,33.3530912,126.7712412
가파도,제주특별자치도 서귀포시 대정읍 가파로 ,서귀포시,관광지,자연,자연관광지,섬,12905.0,3.0,2433.0,384.0,313.0,371.0,373.0,427.0,271.0,294.0,33.1697336,126.271453
각시바우오름,제주특별자치도 서귀포시 호근동 2112 (호근동),서귀포시,관광지,자연,자연관광지,산,455.0,3.0,46.0,10.0,3.0,7.0,9.0,8.0,6.0,3.0,33.2767567,126.5269589
갈중이,제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 ,서귀포시,관광지,인문(문화/예술/역사),체험관광지,전통체험,500.0,3.0,51.0,6.0,7.0,8.0,6.0,9.0,9.0,6.0,33.2350546,126.3136741
감귤박물관,제주특별자치도 서귀포시 효돈순환로 441 (신효동),서귀포시,문화시설,인문(문화/예술/역사),문화시설,박물관,3589.0,3.0,243.0,60.0,34.0,33.0,36.0,36.0,25.0,19.0,33.27127979999999,126.6076749
감나무집,제주특별자치도 제주시 오남로 12 ,제주시,음식점,음식,음식점,한식,421.0,3.0,64.0,8.0,10.0,4.0,6.0,4.0,16.0,16.0,33.4941866,126.5194321
개오름,제주특별자치도 서귀포시 표선면 성읍이리로57번길 162 ,서귀포시,관광지,자연,자연관광지,산,1080.0,3.0,99.0,15.0,20.0,18.0,12.0,12.0,10.0,12.0,33.4232271,126.7717506
개오리오름,제주특별자치도 제주시 명림로 584 (봉개동) ,제주시,관광지,자연,자연관광지,산,380.0,3.0,50.0,11.0,5.0,9.0,6.0,15.0,2.0,2.0,33.4571323,126.6130534
거멍국수,제주특별자치도 서귀포시 안덕면 사계로114번길 53-14 ,서귀포시,음식점,음식,음식점,한식,518.0,3.0,51.0,3.0,10.0,5.0,11.0,8.0,5.0,9.0,33.2444338,126.3044052
건강과성박물관,제주특별자치도 서귀포시 안덕면 일주서로 1611 ,서귀포시,문화시설,인문(문화/예술/역사),문화시설,박물관,1775.0,3.0,228.0,26.0,33.0,17.0,35.0,41.0,36.0,40.0,33.2547254,126.3455651
검멀레해변,제주특별자치도 제주시 우도면 우도해안길 (우도면),제주시,관광지,자연,자연관광지,해수욕장,3355.0,3.0,269.0,49.0,40.0,40.0,54.0,36.0,23.0,27.0,33.5065528,126.9549021
고불락,제주특별자치도 제주시 애월읍 고내로7길 45-12 ,제주시,음식점,음식,음식점,한식,410.0,3.0,43.0,9.0,6.0,5.0,8.0,6.0,3.0,6.0,33.4667429,126.3365337
고산일과해안도로,제주특별자치도 서귀포시 대정읍 신도리 3135-1 ,서귀포시,관광지,자연,자연관광지,자연생태관광지,542.0,3.0,47.0,10.0,6.0,10.0,6.0,9.0,3.0,3.0,33.2575958,126.214254
고살리숲길,제주특별자치도 서귀포시 남원읍 ,서귀포시,관광지,자연,자연관광지,산,2593.0,3.0,292.0,51.0,37.0,48.0,43.0,47.0,28.0,38.0,33.3252261,126.5961931
고요산책,제주특별자치도 제주시 중앙로12길 5 1층,제주시,음식점,음식,음식점,카페/전통찻집,790.0,3.0,73.0,10.0,11.0,11.0,10.0,13.0,8.0,10.0,33.5118299,126.5238883
고요새,제주특별자치도 제주시 선사로8길 11 ,제주시,음식점,음식,음식점,카페/전통찻집,200.0,3.0,22.0,3.0,5.0,2.0,5.0,4.0,1.0,2.0,33.5255346,126.5867411
곤밥2,제주특별자치도 제주시 서부두남길 8 ,제주시,음식점,음식,음식점,한식,155.0,3.0,18.0,1.0,3.0,1.0,2.0,6.0,3.0,2.0,33.5149792,126.5277011
골막식당,제주특별자치도 제주시 천수로 12 ,제주시,음식점,음식,음식점,한식,354.0,3.0,36.0,6.0,4.0,4.0,4.0,4.0,6.0,8.0,33.502473,126.538417
골목카페옥수,제주특별자치도 제주시 소길1길 19 ,제주시,음식점,음식,음식점,카페/전통찻집,221.0,3.0,22.0,3.0,6.0,0.0,5.0,1.0,2.0,5.0,33.4398656,126.3800136
공백,제주특별자치도 제주시 동복로 83 ,제주시,음식점,음식,음식점,카페/전통찻집,486.0,3.0,55.0,14.0,7.0,4.0,13.0,5.0,2.0,10.0,33.5535127,126.7151122
공천포식당,제주특별자치도 서귀포시 남원읍 공천포로 89 ,서귀포시,음식점,음식,음식점,한식,513.0,3.0,83.0,11.0,12.0,13.0,16.0,18.0,6.0,7.0,33.2664021,126.6426285
곽지해수욕장,제주특별자치도 제주시 애월읍 곽지리 1565 ,제주시,관광지,자연,자연관광지,해수욕장,11572.0,3.0,737.0,119.0,93.0,114.0,112.0,128.0,84.0,87.0,33.45329040000001,126.3212801
관덕정,제주특별자치도 제주시 관덕로 19 (삼도이동),제주시,관광지,인문(문화/예술/역사),역사관광지,고궁,5642.0,3.0,531.0,80.0,96.0,85.0,82.0,87.0,44.0,57.0,33.5133704,126.5214334
관음사,제주특별자치도 제주시 산록북로 660 (아라일동),제주시,관광지,인문(문화/예술/역사),역사관광지,사찰,1809.0,3.0,176.0,33.0,19.0,26.0,31.0,28.0,14.0,25.0,33.4237942,126.5583908
광원,제주특별자치도 제주시 1100로 3208 ,제주시,음식점,음식,음식점,한식,307.0,3.0,34.0,7.0,8.0,4.0,8.0,4.0,1.0,2.0,33.4726152,126.4847916
광치기해변,제주특별자치도 서귀포시 성산읍 고성리 ,서귀포시,관광지,자연,자연관광지,해수욕장,10642.0,3.0,1301.0,173.0,202.0,224.0,214.0,206.0,139.0,143.0,33.4370258,126.9224025
교래손칼국수,제주특별자치도 제주시 조천읍 비자림로 645 ,제주시,음식점,음식,음식점,한식,751.0,3.0,94.0,11.0,12.0,18.0,11.0,20.0,7.0,15.0,33.4362437,126.6757682
구엄리돌염전,제주특별자치도 제주시 애월읍 구엄리 ,제주시,관광지,자연,자연관광지,강,5343.0,3.0,501.0,81.0,72.0,76.0,89.0,77.0,44.0,62.0,33.4830351,126.3772045
구엄포구,제주특별자치도 제주시 애월읍 구엄리 607-5 일대 ,제주시,관광지,자연,자연관광지,항구/포구,563.0,3.0,60.0,10.0,8.0,9.0,9.0,5.0,7.0,12.0,33.4791227,126.3813732
국립제주박물관,제주특별자치도 제주시 일주동로 17 (건입동),제주시,문화시설,인문(문화/예술/역사),문화시설,박물관,3774.0,3.0,230.0,35.0,39.0,33.0,34.0,52.0,14.0,23.0,33.5134213,126.5487245
국수의전설,제주특별자치도 서귀포시 효돈로 108 (신효동),서귀포시,음식점,음식,음식점,한식,1002.0,3.0,109.0,19.0,11.0,15.0,24.0,11.0,14.0,15.0,33.2634678,126.61037
귤빛캠핑장,제주특별자치도 제주시 조천읍 함와로 428 ,제주시,레포츠,레포츠,육상 레포츠,"야영장,오토캠핑장",808.0,3.0,60.0,9.0,12.0,6.0,10.0,9.0,6.0,8.0,33.5042988,126.6740979
그계절,제주특별자치도 제주시 한동로 119 1동,제주시,음식점,음식,음식점,카페/전통찻집,236.0,3.0,31.0,4.0,7.0,3.0,4.0,9.0,2.0,2.0,33.5318687,126.8185758
그러므로part2,제주특별자치도 제주시 수목원길 16-14 ,제주시,음식점,음식,음식점,카페/전통찻집,181.0,3.0,19.0,3.0,2.0,2.0,3.0,5.0,2.0,2.0,33.4684296,126.4860264
그레이그로브,제주특별자치도 서귀포시 형제해안로 70 ,서귀포시,음식점,음식,음식점,카페/전통찻집,314.0,3.0,41.0,2.0,4.0,12.0,7.0,5.0,3.0,8.0,33.2258399,126.2998288
그리운바다성산포,제주특별자치도 서귀포시 성산등용로 94 ,서귀포시,음식점,음식,음식점,한식,569.0,3.0,69.0,11.0,4.0,6.0,13.0,13.0,13.0,9.0,33.4698032,126.9299962
그림리조트,제주특별자치도 제주시 서해안로 620-1 (용담삼동),제주시,숙박,숙박,숙박시설,펜션,89.0,3.0,11.0,1.0,2.0,5.0,1.0,0.0,1.0,1.0,33.5163208,126.5035006
