관광지명,주소,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,6월 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수
가름게스트하우스,제주특별자치도 서귀포시 법환하로9번길 10 ,숙박,숙박,숙박시설,펜션,221.0,6.0,18.0,0.0,0.0,3.0,6.0,6.0,2.0,1.0
가마오름,제주특별자치도 제주시 한경면 청수서5길 63 ,관광지,자연,자연관광지,산,609.0,6.0,49.0,7.0,6.0,14.0,7.0,6.0,2.0,7.0
가문이오름,제주특별자치도 서귀포시 표선면 남조로 1487-73 ,관광지,자연,자연관광지,산,502.0,6.0,40.0,10.0,2.0,7.0,4.0,6.0,7.0,4.0
가세오름,제주특별자치도 서귀포시 표선면 녹산로 554 ,관광지,자연,자연관광지,산,500.0,6.0,44.0,9.0,2.0,8.0,4.0,5.0,8.0,8.0
가시식당,제주특별자치도 서귀포시 표선면 가시로565번길 22 ,음식점,음식,음식점,한식,399.0,6.0,22.0,5.0,2.0,2.0,2.0,7.0,2.0,2.0
가파도,제주특별자치도 서귀포시 대정읍 가파로 ,관광지,자연,자연관광지,섬,12905.0,6.0,1371.0,186.0,207.0,132.0,210.0,187.0,201.0,248.0
각시바우오름,제주특별자치도 서귀포시 호근동 2112 (호근동),관광지,자연,자연관광지,산,455.0,6.0,41.0,12.0,8.0,2.0,4.0,4.0,7.0,4.0
갈중이,제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 ,관광지,인문(문화/예술/역사),체험관광지,전통체험,500.0,6.0,79.0,11.0,14.0,4.0,15.0,18.0,6.0,11.0
감귤박물관,제주특별자치도 서귀포시 효돈순환로 441 (신효동),문화시설,인문(문화/예술/역사),문화시설,박물관,3589.0,6.0,292.0,43.0,41.0,37.0,59.0,56.0,22.0,34.0
감나무집,제주특별자치도 제주시 오남로 12 ,음식점,음식,음식점,한식,421.0,6.0,39.0,4.0,8.0,0.0,8.0,10.0,5.0,4.0
감수굴밭담길,제주특별자치도 제주시 구좌읍 평대7길 34 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,551.0,6.0,43.0,5.0,11.0,4.0,7.0,4.0,4.0,8.0
개오름,제주특별자치도 서귀포시 표선면 성읍이리로57번길 162 ,관광지,자연,자연관광지,산,1080.0,6.0,129.0,13.0,19.0,9.0,29.0,21.0,23.0,15.0
개오리오름,제주특별자치도 제주시 명림로 584 (봉개동) ,관광지,자연,자연관광지,산,380.0,6.0,41.0,6.0,7.0,5.0,9.0,0.0,2.0,12.0
거멍국수,제주특별자치도 서귀포시 안덕면 사계로114번길 53-14 ,음식점,음식,음식점,한식,518.0,6.0,47.0,9.0,4.0,6.0,4.0,6.0,9.0,9.0
거문오름,제주특별자치도 제주시 조천읍 선교로 569-36 ,관광지,자연,자연관광지,산,11268.0,6.0,1259.0,168.0,183.0,208.0,254.0,226.0,116.0,104.0
건강과성박물관,제주특별자치도 서귀포시 안덕면 일주서로 1611 ,문화시설,인문(문화/예술/역사),문화시설,박물관,1775.0,6.0,154.0,27.0,20.0,22.0,26.0,16.0,17.0,26.0
검멀레해변,제주특별자치도 제주시 우도면 우도해안길 (우도면),관광지,자연,자연관광지,해수욕장,3355.0,6.0,313.0,42.0,51.0,45.0,66.0,48.0,29.0,32.0
