관광지명,위도,경도
브랭섬홀아시아 아이스링크,33.290549,126.2875079
(주)제주해양레저 투명카약,33.4623339,126.3104754
1100고지(휴게소),33.3456898,126.4426587
1100고지습지,33.3575237,126.4628967
1112도로,33.4302354,126.6227963
4·3해원방사탑,33.5063978,126.5339123
5.16도로숲터널,33.3330338,126.6180657
9.81 파크,33.4180592,126.3420556
9연대 본부 옛터,33.2291462,126.2627065
Cafe 몽스파,33.5098764,126.5195357
M1971 요트투어,33.21054520000001,126.2576053
SM 디지털아트 뮤지엄,33.4774195,126.3599636
THE WE,33.2861489,126.4444554
WE호텔 웰니스센터,33.2861489,126.4444554
가마오름,33.3054878,126.2493496
가마오름 진지동굴,33.3054878,126.2493496
가메오름,33.364338,126.3552026
가뫼물,33.2901305,126.6931243
가문이오름(감은이오름),33.3956632,126.6709854
가세오름,33.393916,126.7224085
가파도,33.1697336,126.271453
가파도 마라도 정기여객선,33.21054520000001,126.2576053
가파초등학교 마라분교장,33.1190329,126.2666573
각시바우오름,33.2767567,126.5269589
간세공방,33.2474128,126.5587087
감귤박물관,33.27127979999999,126.6076749
감귤박물관 월라봉 산책로 - 생이소리길,33.27127979999999,126.6076749
감귤상웨빵 체험,33.2692431,126.6254292
감수굴 밭담길,33.5310031,126.8432662
갑자기 히어로즈 벽화길,33.4468548,126.2995101
갓전시관[갓전수교육관],33.4371898,126.6706154
강병대교회,33.2265892,126.2573796
강정어촌계,33.2275736,126.4747386
강정천유원지,33.2356151,126.4769434
개미남,33.4830314,126.5379878
개오름,33.4232271,126.7717506
개오리오름,33.4571323,126.6130534
개인공간,33.5159037,126.5890436
갤러리2 중선농원,33.4780569,126.5700107
거린오름 (북오름),33.3026715,126.3320236
거문오름(UNESCO 세계자연유산),33.4569963,126.7143064
거믄여해안경승지,33.3510774,126.620716
거슨새미오름,33.4505452,126.7595678
거인의 정원,33.4717917,126.5353388
거친오름,33.4448954,126.6256807
건강과성박물관,33.2547254,126.3455651
건강장수마을 산양리 농어촌체험마을,33.2941114,126.2329293
걸매생태공원,33.2427121,126.5488473
걸매예술마을,33.24979709999999,126.5548648
걸서악오름,33.2827783,126.6200791
검멀레동굴,33.5054213,126.9554832
검멀레해변,33.5065528,126.9549021
게우지코지,33.2543893,126.6170647
겨울이네,33.4695273,126.5418841
고근산(고공산),33.2707366,126.5126032
고내리 다락쉼터,33.4696202,126.340777
고내리포구,33.4630284,126.3384173
"고내봉(고내오름,고니오름,망오름)",33.4601714,126.3412902
고사리숲,33.4486253,126.4344174
고산일과해안도로,33.2575958,126.214254
고살리숲길,33.3252261,126.5961931
고씨주택,33.5149604,126.5283371
고요산책,33.5118299,126.5238883
고포잇다이브센터,33.2348458,126.4889828
고흐의 정원,33.3732323,126.8440916
곤물,33.2519406,126.3328859
