음식점명,음식종류,위도,경도
통큰돼지,가정식,33.5066492,126.5091721
해변,단품요리 전문,33.4658776,126.3235362
한그릇,단품요리 전문,33.257275,126.4155175
협재해녀의집,가정식,33.3988809,126.2439254
까망꼬숑,단품요리 전문,33.4826325,126.4804943
동진,가정식,33.5131059,126.5274798
컴포즈커피 제주아라점,커피,33.4759917,126.5449992
(주)시더스초밥제주연동점,단품요리 전문,33.4849625,126.5018994
토평골식당,가정식,33.2680253,126.5918033
원삼계탕아라점,단품요리 전문,33.4695427,126.5483774
파리바게뜨제주하귀점,베이커리,33.4846105,126.4162439
바다이야기,단품요리 전문,33.2425378,126.4324831
성공,단품요리 전문,33.5165641,126.5240027
통나무집,일식,33.2484584,126.5633385
비비큐인제점,치킨,33.5085527,126.5401196
상원가든,단품요리 전문,33.2216752,126.2653106
소리원  저지점,중식,33.3329309,126.2562005
오리정,단품요리 전문,33.4858783,126.4783403
제라진밥상,가정식,33.5396365,126.674074
김밥천국광양대학로점,분식,33.4982403,126.53041
명인일도횟집,단품요리 전문,33.5030038,126.5432025
한라진칼국수,단품요리 전문,33.4954073,126.4382629
서귀포흑돼지명가,단품요리 전문,33.2440938,126.536301
참맛나,분식,33.4786503,126.4750481
마두천,단품요리 전문,33.5131118,126.5029959
여인천하,단품요리 전문,33.4867428,126.4917907
전철우고향랭면해장국 신제주직영점,단품요리 전문,33.4790508,126.470798
화덕앤그릴,단품요리 전문,33.4796637,126.4900138
우등생 세번째 이야기,가정식,33.4886802,126.5515923
희신이네,가정식,33.2633891,126.5508375
일또,단품요리 전문,33.5032152,126.5419849
스피닝울프,단품요리 전문,33.4499881,126.9182865
거제도횟집,단품요리 전문,33.5184238,126.5284873
흑돼지한마당본점,가정식,33.3247902,126.8440051
표선1번회센타,단품요리 전문,33.3259703,126.8348804
생돈구이촌,가정식,33.48801510000001,126.4800026
앙끄레국수,단품요리 전문,33.2475769,126.5117958
서서방숯불닭갈비,단품요리 전문,33.4866571,126.4902458
