기준연월,음식점명,개설일자,업종,주소,5시11시이용건수비중,12시13시이용건수비중,18시22시이용건수비중,14시17시이용건수비중,23시24시이용건수비중,평일 이용건수,주말 이용건수,현지인이용건수,남성이용건수,여성이용건수,20대이하이용건수,30대이용건수,40대이용건수,50대이용건수,60대이상이용건수,이용금액구간_x,건당평균이용금액구간_x,이용금액구간_y,건당평균이용금액구간_y
202301,바다이야기,20191105,단품요리 전문,제주 서귀포시 대포동 1998-2번지,14.0625,22.5,36.5625,16.875,0.0,67.5,22.5,20.618181818181817,51.03000000000001,38.97,8.37,20.15999999999999,25.109999999999992,24.20999999999999,12.15,상위 25~50%,상위 50~75%,상위 25~50%,상위 50~75%
202301,제라진밥상,20200720,가정식,제주 제주시 조천읍 함덕리 4150번지,32.786885245901644,26.557377049180328,0.0,0.655737704918028,0.0,50.81967213114753,9.180327868852457,20.838988278840223,37.5,22.5,5.04,16.8,24.3,9.48,4.319999999999999,상위 75~90%,상위 25~50%,상위 75~90%,상위 25~50%
202301,전철우고향랭면해장국 신제주직영점,20220523,단품요리 전문,제주 제주시 노형동 2282번지 1층,26.666666666666664,39.11111111111111,0.0,14.222222222222216,0.0,53.33333333333332,26.666666666666657,59.38832252085264,46.879999999999995,33.12,2.88,10.959999999999992,22.480000000000004,23.36,20.32,상위 10~25%,상위 25~50%,상위 10~25%,상위 25~50%
202301,희신이네,20060515,가정식,제주 서귀포시 서홍동 1651-11번지,6.17647058823529,31.911764705882348,18.529411764705884,13.382352941176464,0.0,50.441176470588225,19.55882352941176,49.082840236686394,48.02,21.98,8.26,18.27,23.94,13.3,6.2299999999999995,상위 25~50%,상위 25~50%,상위 25~50%,상위 25~50%
202301,스피닝울프,20170315,단품요리 전문,제주 서귀포시 성산읍 고성리 297-1번지 1층,0.0,0.0,61.8018018018018,0.63063063063063,7.567567567567567,40.360360360360346,29.63963963963963,3.218390804597696,34.37,35.63,26.74,27.09,10.01,4.9,1.1900000000000002,상위 25~50%,상위 10~25%,상위 25~50%,상위 10~25%
202301,생돈구이촌,20110405,가정식,제주 제주시 노형동 1277-5번지,0.0,0.0,86.66666666666667,13.33333333333333,0.0,79.99999999999999,20.0,48.59813084112149,69.4,30.6,13.1,31.1,29.6,22.3,3.9,상위 10~25%,상위 75~90%,상위 10~25%,상위 75~90%
202301,서서방숯불닭갈비,20171219,단품요리 전문,제주 제주시 연동 273-15번지 1층,0.0,0.0,58.91089108910891,3.465346534653465,7.6237623762376225,39.50495049504949,30.49504950495049,31.41831238779174,42.77,27.23,21.7,22.12,14.7,8.82,2.66,상위 75~90%,상위 50~75%,상위 75~90%,상위 50~75%
202301,한길정,20080908,가정식,제주 서귀포시 서홍동 1733-31번지,5.0,15.0,70.0,10.0,0.0,70.0,30.000000000000004,25.294117647058822,63.6,36.4,9.9,21.899999999999988,29.1,27.800000000000004,11.3,상위 50~75%,상위 90% 초과,상위 50~75%,상위 90% 초과
202301,영춘식당,20210617,가정식,제주 제주시 삼도일동 534-1번지 1층,1.568627450980392,43.92156862745098,21.960784313725487,12.549019607843135,0.0,62.74509803921568,17.254901960784313,57.77777777777778,49.6,30.4,6.640000000000001,13.519999999999992,25.68,24.32,9.92,상위 10~25%,상위 25~50%,상위 10~25%,상위 25~50%
202301,은진이네식당,20180308,가정식,제주 제주시 도두일동 2626-5번지,16.41025641025641,10.256410256410255,43.07692307692307,10.256410256410255,0.0,53.33333333333332,26.66666666666666,24.958217270194982,56.48,23.52,11.2,13.759999999999998,19.76,23.52,11.84,상위 10% 이하,상위 25~50%,상위 10% 이하,상위 25~50%
