관광지명,주소,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,5월 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수
갈중이,제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 ,관광지,인문(문화/예술/역사),체험관광지,전통체험,500.0,5.0,55.0,10.0,8.0,10.0,8.0,8.0,7.0,4.0
감귤박물관,제주특별자치도 서귀포시 효돈순환로 441 (신효동),문화시설,인문(문화/예술/역사),문화시설,박물관,3589.0,5.0,293.0,53.0,45.0,63.0,48.0,29.0,24.0,31.0
감수굴밭담길,제주특별자치도 제주시 구좌읍 평대7길 34 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,551.0,5.0,64.0,12.0,12.0,10.0,11.0,4.0,6.0,9.0
건강과성박물관,제주특별자치도 서귀포시 안덕면 일주서로 1611 ,문화시설,인문(문화/예술/역사),문화시설,박물관,1775.0,5.0,160.0,29.0,31.0,30.0,21.0,22.0,13.0,14.0
관덕정,제주특별자치도 제주시 관덕로 19 (삼도이동),관광지,인문(문화/예술/역사),역사관광지,고궁,5642.0,5.0,745.0,143.0,130.0,169.0,87.0,67.0,64.0,85.0
관음사,제주특별자치도 제주시 산록북로 660 (아라일동),관광지,인문(문화/예술/역사),역사관광지,사찰,1809.0,5.0,190.0,32.0,34.0,30.0,31.0,24.0,17.0,22.0
국립제주박물관,제주특별자치도 제주시 일주동로 17 (건입동),문화시설,인문(문화/예술/역사),문화시설,박물관,3774.0,5.0,295.0,46.0,52.0,55.0,46.0,36.0,30.0,30.0
금능포구,제주특별자치도 제주시 한림읍 금능리 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,457.0,5.0,59.0,10.0,7.0,14.0,7.0,7.0,3.0,11.0
금룡사,제주특별자치도 제주시 구좌읍 김녕로 148-11 (구좌읍),관광지,인문(문화/예술/역사),역사관광지,사찰,478.0,5.0,53.0,7.0,11.0,10.0,5.0,7.0,7.0,6.0
금호리조트제주,제주특별자치도 서귀포시 남원읍 태위로 522-12 ,숙박,인문(문화/예술/역사),휴양관광지,관광단지,1515.0,5.0,154.0,23.0,33.0,25.0,20.0,18.0,16.0,19.0
넥슨컴퓨터박물관,제주특별자치도 제주시 1100로 3198-8 (노형동),관광지,인문(문화/예술/역사),산업관광지,전자-반도체,3214.0,5.0,262.0,41.0,69.0,47.0,45.0,25.0,12.0,23.0
노리매공원,제주특별자치도 서귀포시 대정읍 중산간서로 2260-15 ,관광지,인문(문화/예술/역사),휴양관광지,공원,3274.0,5.0,229.0,39.0,50.0,27.0,36.0,28.0,22.0,27.0
누웨마루거리,제주특별자치도 제주시 신광로 47 (연동) ,관광지,인문(문화/예술/역사),체험관광지,이색거리,2082.0,5.0,193.0,34.0,32.0,34.0,22.0,29.0,22.0,20.0
답다니탑망대,제주특별자치도 제주시 우도면 우도해안길 602 ,관광지,인문(문화/예술/역사),건축/조형물,유명건물,713.0,5.0,99.0,20.0,16.0,17.0,10.0,9.0,11.0,16.0
대정향교,제주특별자치도 서귀포시 안덕면 향교로 165-17 ,관광지,인문(문화/예술/역사),역사관광지,유적지/사적지,1020.0,5.0,128.0,22.0,17.0,24.0,16.0,18.0,14.0,17.0
도치돌알파카목장,제주특별자치도 제주시 애월읍 도치돌길 293 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,1675.0,5.0,155.0,34.0,31.0,23.0,12.0,15.0,20.0,20.0
