관광지명,주소,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,5월 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수
가름게스트하우스,제주특별자치도 서귀포시 법환하로9번길 10 ,숙박,숙박,숙박시설,펜션,221.0,5.0,19.0,4.0,3.0,3.0,3.0,0.0,4.0,2.0
갈중이,제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 ,관광지,인문(문화/예술/역사),체험관광지,전통체험,500.0,5.0,55.0,10.0,8.0,10.0,8.0,8.0,7.0,4.0
골드원호텔&스위트,제주특별자치도 서귀포시 이어도로 1032 (서호동) ,숙박,숙박,숙박시설,관광호텔,248.0,5.0,41.0,5.0,6.0,11.0,4.0,5.0,4.0,6.0
그랜드조선제주,제주특별자치도 서귀포시 중문관광로72번길 60 ,숙박,숙박,숙박시설,관광호텔,465.0,5.0,55.0,12.0,11.0,10.0,8.0,4.0,2.0,8.0
그랜드하얏트제주,제주특별자치도 제주시 노형동 ,숙박,숙박,숙박시설,관광호텔,1235.0,5.0,136.0,29.0,21.0,19.0,19.0,17.0,11.0,20.0
그림리조트,제주특별자치도 제주시 서해안로 620-1 (용담삼동),숙박,숙박,숙박시설,펜션,89.0,5.0,12.0,0.0,3.0,3.0,4.0,0.0,2.0,0.0
금호리조트제주,제주특별자치도 서귀포시 남원읍 태위로 522-12 ,숙박,인문(문화/예술/역사),휴양관광지,관광단지,1515.0,5.0,154.0,23.0,33.0,25.0,20.0,18.0,16.0,19.0
꿈꾸는노마드,제주특별자치도 서귀포시 선반로 54 ,숙박,숙박,숙박시설,펜션,179.0,5.0,25.0,2.0,4.0,4.0,8.0,2.0,3.0,2.0
끄라비펜션,제주특별자치도 서귀포시 토평로148번길 28 (토평동),숙박,숙박,숙박시설,펜션,278.0,5.0,28.0,4.0,4.0,5.0,2.0,3.0,4.0,6.0
노리매공원,제주특별자치도 서귀포시 대정읍 중산간서로 2260-15 ,관광지,인문(문화/예술/역사),휴양관광지,공원,3274.0,5.0,229.0,39.0,50.0,27.0,36.0,28.0,22.0,27.0
노을담은뜨락,제주특별자치도 서귀포시 대정읍 노을해안로 416 ,숙박,숙박,숙박시설,펜션,269.0,5.0,26.0,3.0,3.0,10.0,2.0,2.0,3.0,3.0
누웨마루거리,제주특별자치도 제주시 신광로 47 (연동) ,관광지,인문(문화/예술/역사),체험관광지,이색거리,2082.0,5.0,193.0,34.0,32.0,34.0,22.0,29.0,22.0,20.0
다이나믹메이즈,제주특별자치도 서귀포시 표선면 번영로 2644 ,관광지,인문(문화/예술/역사),휴양관광지,테마공원,7386.0,5.0,578.0,108.0,88.0,86.0,75.0,85.0,68.0,68.0
다인리조트,제주특별자치도 제주시 애월읍 애월해안로 400-9 ,숙박,숙박,숙박시설,펜션,405.0,5.0,49.0,5.0,8.0,7.0,9.0,4.0,2.0,14.0
다인오세아노호텔,제주특별자치도 제주시 애월해안로 394 ,숙박,숙박,숙박시설,관광호텔,739.0,5.0,70.0,8.0,9.0,18.0,12.0,6.0,9.0,8.0
답다니탑망대,제주특별자치도 제주시 우도면 우도해안길 602 ,관광지,인문(문화/예술/역사),건축/조형물,유명건물,713.0,5.0,99.0,20.0,16.0,17.0,10.0,9.0,11.0,16.0
대정향교,제주특별자치도 서귀포시 안덕면 향교로 165-17 ,관광지,인문(문화/예술/역사),역사관광지,유적지/사적지,1020.0,5.0,128.0,22.0,17.0,24.0,16.0,18.0,14.0,17.0
더마파크,제주특별자치도 제주시 한림읍 월림7길 155 ,관광지,인문(문화/예술/역사),휴양관광지,테마공원,3972.0,5.0,400.0,71.0,78.0,74.0,59.0,49.0,28.0,41.0
돈내코힐리조트,제주특별자치도 서귀포시 돈내코로 180 (상효동),숙박,숙박,숙박시설,게스트하우스,422.0,5.0,65.0,13.0,12.0,12.0,7.0,2.0,10.0,9.0
동박생이,제주특별자치도 제주시 구좌읍 월정1길 89 ,숙박,숙박,숙박시설,펜션,398.0,5.0,44.0,6.0,12.0,6.0,7.0,6.0,2.0,5.0
두맹이골목,제주특별자치도 제주시 일도이동 1006-11,관광지,인문(문화/예술/역사),체험관광지,이색거리,741.0,5.0,79.0,11.0,17.0,10.0,13.0,10.0,8.0,10.0
디아넥스호텔,제주특별자치도 서귀포시 안덕면 산록남로762번길 71 ,숙박,숙박,숙박시설,관광호텔,542.0,5.0,51.0,5.0,10.0,9.0,12.0,4.0,4.0,7.0
라마다제주함덕호텔,제주특별자치도 제주시 조천읍 신북로 470 ,숙박,숙박,숙박시설,관광호텔,637.0,5.0,73.0,12.0,19.0,9.0,7.0,9.0,8.0,9.0
라마다프라자제주호텔,제주특별자치도 제주시 탑동로 66 ,숙박,숙박,숙박시설,관광호텔,1010.0,5.0,113.0,14.0,23.0,28.0,13.0,15.0,6.0,14.0
라온호텔앤리조트,제주특별자치도 제주시 한림읍 금능남로 127 ,관광지,인문(문화/예술/역사),휴양관광지,관광단지,619.0,5.0,91.0,17.0,12.0,11.0,12.0,11.0,7.0,21.0
라헨느리조트,제주특별자치도 제주시 명림로 384 ,숙박,인문(문화/예술/역사),휴양관광지,관광단지,364.0,5.0,44.0,9.0,5.0,4.0,7.0,4.0,8.0,7.0
랜딩관제주신화월드호텔앤리조트,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 ,숙박,숙박,숙박시설,관광호텔,713.0,5.0,114.0,15.0,27.0,27.0,11.0,14.0,9.0,11.0
롯데시티호텔제주,제주특별자치도 제주시 도령로 83 ,숙박,숙박,숙박시설,관광호텔,394.0,5.0,51.0,5.0,9.0,7.0,11.0,3.0,7.0,9.0
롯데호텔제주,제주특별자치도 서귀포시 중문관광로72번길 35 ,숙박,숙박,숙박시설,관광호텔,1070.0,5.0,114.0,22.0,29.0,18.0,13.0,18.0,5.0,9.0
메리어트관제주신화월드호텔앤리조트,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 ,숙박,숙박,숙박시설,관광호텔,258.0,5.0,29.0,0.0,7.0,5.0,9.0,3.0,2.0,3.0
메이즈랜드,제주특별자치도 제주시 구좌읍 비자림로 2134-47 ,관광지,인문(문화/예술/역사),휴양관광지,테마공원,8368.0,5.0,849.0,158.0,167.0,144.0,111.0,99.0,57.0,113.0
메종글래드제주,제주특별자치도 제주시 노연로 80 ,숙박,숙박,숙박시설,관광호텔,586.0,5.0,61.0,5.0,4.0,13.0,16.0,9.0,7.0,7.0
물고기나무게스트하우스,제주특별자치도 서귀포시 성산읍 중산간동로 4204-14 ,숙박,숙박,숙박시설,펜션,315.0,5.0,37.0,7.0,5.0,5.0,10.0,5.0,2.0,3.0
물뫼힐링팜,제주특별자치도 제주시 애월읍 예원로 51 ,관광지,인문(문화/예술/역사),체험관광지,이색체험,987.0,5.0,106.0,11.0,32.0,17.0,21.0,10.0,9.0,6.0
밀레니엄빌,제주특별자치도 서귀포시 보목로64번길 196 ,숙박,숙박,숙박시설,펜션,129.0,5.0,20.0,2.0,2.0,4.0,6.0,0.0,4.0,2.0
바다해호텔,제주특별자치도 서귀포시 천지연로 3-1 (서귀동),숙박,숙박,숙박시설,게스트하우스,552.0,5.0,66.0,3.0,12.0,10.0,10.0,13.0,11.0,7.0
방주교회,제주특별자치도 서귀포시 안덕면 산록남로762번길 113 ,관광지,인문(문화/예술/역사),역사관광지,종교성지,13913.0,5.0,1082.0,160.0,175.0,178.0,140.0,153.0,109.0,167.0
백패커스홈,제주특별자치도 서귀포시 중정로 24-7 (서귀동),숙박,숙박,숙박시설,게스트하우스,315.0,5.0,43.0,7.0,10.0,5.0,8.0,6.0,2.0,5.0
베니키아중문호텔,제주특별자치도 서귀포시 천제연로 166 (중문동),숙박,숙박,숙박시설,관광호텔,207.0,5.0,30.0,5.0,9.0,0.0,4.0,5.0,2.0,5.0
베니키아호텔제주,제주특별자치도 제주시 애월읍 애월해안로 554-10 ,숙박,숙박,숙박시설,관광호텔,272.0,5.0,33.0,6.0,5.0,9.0,2.0,5.0,2.0,4.0
보롬왓,제주특별자치도 서귀포시 번영로 2350-104 ,관광지,인문(문화/예술/역사),산업관광지,기타,17967.0,5.0,3058.0,475.0,696.0,489.0,405.0,325.0,380.0,288.0
보통청춘기록실청춘사진관,제주특별자치도 제주시 한림읍 일주서로 5867 ,관광지,인문(문화/예술/역사),체험관광지,이색체험,786.0,5.0,94.0,14.0,28.0,14.0,13.0,11.0,7.0,7.0
브릭216,제주특별자치도 서귀포시 이어도로 216 (대포동),숙박,숙박,숙박시설,게스트하우스,296.0,5.0,34.0,6.0,6.0,6.0,2.0,3.0,4.0,7.0
블룸호텔,제주특별자치도 서귀포시 중문관광로72번길 53 (색달동) ,숙박,숙박,숙박시설,관광호텔,278.0,5.0,32.0,4.0,5.0,6.0,8.0,4.0,2.0,3.0
비스타리조트,제주특별자치도 제주시 서해안로 74 ,숙박,인문(문화/예술/역사),휴양관광지,관광단지,191.0,5.0,26.0,1.0,2.0,7.0,4.0,6.0,2.0,4.0
사라봉공원,제주특별자치도 제주시 사라봉동길 74 ,관광지,인문(문화/예술/역사),휴양관광지,공원,1849.0,5.0,185.0,42.0,30.0,34.0,20.0,13.0,24.0,22.0
산방산랜드,제주특별자치도 서귀포시 안덕면 사계리 117-2,관광지,인문(문화/예술/역사),휴양관광지,테마공원,3336.0,5.0,177.0,28.0,27.0,32.0,18.0,21.0,27.0,24.0
