관광지명,주소,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,11월 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수
가파도,제주특별자치도 서귀포시 대정읍 가파로 ,관광지,자연,자연관광지,섬,12905.0,11.0,234.0,35.0,35.0,41.0,46.0,30.0,27.0,20.0
갈중이,제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 ,관광지,인문(문화/예술/역사),체험관광지,전통체험,500.0,11.0,17.0,4.0,2.0,2.0,5.0,2.0,0.0,2.0
감수굴밭담길,제주특별자치도 제주시 구좌읍 평대7길 34 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,551.0,11.0,19.0,5.0,3.0,6.0,2.0,1.0,1.0,1.0
검멀레해변,제주특별자치도 제주시 우도면 우도해안길 (우도면),관광지,자연,자연관광지,해수욕장,3355.0,11.0,303.0,57.0,43.0,59.0,47.0,25.0,35.0,37.0
고산일과해안도로,제주특별자치도 서귀포시 대정읍 신도리 3135-1 ,관광지,자연,자연관광지,자연생태관광지,542.0,11.0,37.0,6.0,6.0,8.0,3.0,3.0,4.0,7.0
곽지해수욕장,제주특별자치도 제주시 애월읍 곽지리 1565 ,관광지,자연,자연관광지,해수욕장,11572.0,11.0,470.0,65.0,71.0,86.0,85.0,73.0,37.0,53.0
광치기해변,제주특별자치도 서귀포시 성산읍 고성리 ,관광지,자연,자연관광지,해수욕장,10642.0,11.0,771.0,109.0,111.0,147.0,127.0,98.0,83.0,96.0
구엄포구,제주특별자치도 제주시 애월읍 구엄리 607-5 일대 ,관광지,자연,자연관광지,항구/포구,563.0,11.0,21.0,3.0,2.0,6.0,1.0,4.0,2.0,3.0
금능포구,제주특별자치도 제주시 한림읍 금능리 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,457.0,11.0,9.0,0.0,0.0,3.0,2.0,3.0,1.0,0.0
금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10 ,관광지,자연,자연관광지,해수욕장,13346.0,11.0,369.0,45.0,56.0,69.0,70.0,58.0,33.0,38.0
김경숙해바라기농장,제주특별자치도 제주시 번영로 854-1 (회천동) ,관광지,자연,자연관광지,자연생태관광지,4832.0,11.0,145.0,18.0,21.0,32.0,21.0,20.0,20.0,13.0
노을해안로,제주특별자치도 서귀포시 대정읍 영락리 ,관광지,자연,자연관광지,자연생태관광지,1349.0,11.0,73.0,3.0,10.0,18.0,17.0,8.0,4.0,13.0
논짓물,제주특별자치도 서귀포시 예래해안로 253 (하예동),관광지,자연,자연관광지,해수욕장,7654.0,11.0,114.0,16.0,18.0,21.0,18.0,16.0,18.0,7.0
누웨마루거리,제주특별자치도 제주시 신광로 47 (연동) ,관광지,인문(문화/예술/역사),체험관광지,이색거리,2082.0,11.0,151.0,22.0,22.0,27.0,27.0,18.0,19.0,16.0
다려도,제주특별자치도 제주시 조천읍 북촌리 산 89,관광지,자연,자연관광지,섬,696.0,11.0,30.0,6.0,2.0,3.0,7.0,5.0,2.0,5.0
닭머르해안길,제주특별자치도 제주시 조천읍 신촌북3길 62-1 ,관광지,자연,자연관광지,자연생태관광지,12241.0,11.0,2454.0,348.0,326.0,350.0,392.0,339.0,304.0,395.0
대평포구,제주특별자치도 서귀포시 안덕면 창천리 914-5 ,관광지,자연,자연관광지,항구/포구,1424.0,11.0,78.0,9.0,8.0,18.0,15.0,9.0,7.0,12.0
대포포구,제주특별자치도 서귀포시 대포로 172-8 (대포동),관광지,자연,자연관광지,항구/포구,585.0,11.0,20.0,3.0,2.0,2.0,5.0,2.0,2.0,4.0
도두항,제주특별자치도 제주시 도공로 2 (도두일동),관광지,자연,자연관광지,항구/포구,960.0,11.0,40.0,2.0,4.0,9.0,10.0,3.0,9.0,3.0
도치돌알파카목장,제주특별자치도 제주시 애월읍 도치돌길 293 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,1675.0,11.0,88.0,8.0,20.0,14.0,12.0,10.0,12.0,12.0
돈내코,제주특별자치도 서귀포시 돈내코로 137 ,관광지,자연,자연관광지,계곡,6251.0,11.0,687.0,119.0,75.0,109.0,100.0,100.0,103.0,81.0
동일리포구,제주특별자치도 서귀포시 대정읍 동일하모로98번길 14-32 ,관광지,자연,자연관광지,항구/포구,478.0,11.0,21.0,4.0,3.0,4.0,2.0,3.0,4.0,1.0
두맹이골목,제주특별자치도 제주시 일도이동 1006-11,관광지,인문(문화/예술/역사),체험관광지,이색거리,741.0,11.0,43.0,5.0,5.0,12.0,5.0,7.0,7.0,2.0
라온호텔앤리조트,제주특별자치도 제주시 한림읍 금능남로 127 ,관광지,인문(문화/예술/역사),휴양관광지,관광단지,619.0,11.0,32.0,5.0,6.0,3.0,5.0,2.0,4.0,7.0
마라도,제주특별자치도 서귀포시 대정읍 마라로101번길 46 ,관광지,자연,자연관광지,섬,6306.0,11.0,639.0,98.0,85.0,101.0,111.0,66.0,90.0,88.0
맥파이브루어리,제주특별자치도 제주시 동회천1길 23 (회천동),관광지,인문(문화/예술/역사),산업관광지,식음료,823.0,11.0,40.0,6.0,4.0,9.0,6.0,6.0,3.0,6.0
무수천,제주특별자치도 제주시 애월읍 무수천길 (애월읍) 일대,관광지,자연,자연관광지,계곡,814.0,11.0,29.0,4.0,3.0,4.0,9.0,5.0,4.0,0.0
물뫼힐링팜,제주특별자치도 제주시 애월읍 예원로 51 ,관광지,인문(문화/예술/역사),체험관광지,이색체험,987.0,11.0,76.0,10.0,7.0,12.0,18.0,11.0,7.0,11.0
박수기정,제주특별자치도 서귀포시 안덕면 난드르로 90-25 ,관광지,자연,자연관광지,해안절경,9479.0,11.0,927.0,101.0,117.0,171.0,150.0,97.0,154.0,137.0
방선문,제주특별자치도 제주시 오라이동 39-1,관광지,자연,자연관광지,계곡,623.0,11.0,30.0,3.0,5.0,5.0,6.0,6.0,4.0,1.0
법환포구,제주특별자치도 서귀포시 막숙포로 46 (법환동),관광지,자연,자연관광지,항구/포구,2010.0,11.0,139.0,17.0,18.0,28.0,23.0,20.0,16.0,17.0
보목포구,제주특별자치도 서귀포시 보목포로 46 (보목동),관광지,자연,자연관광지,항구/포구,1004.0,11.0,40.0,4.0,4.0,3.0,10.0,8.0,5.0,6.0
보통청춘기록실청춘사진관,제주특별자치도 제주시 한림읍 일주서로 5867 ,관광지,인문(문화/예술/역사),체험관광지,이색체험,786.0,11.0,26.0,1.0,4.0,6.0,3.0,3.0,5.0,4.0
북촌리4.3길,제주특별자치도 제주시 조천읍 북촌3길 3 ,관광지,자연,자연관광지,자연생태관광지,836.0,11.0,48.0,6.0,4.0,7.0,13.0,5.0,9.0,4.0
붉은오름자연휴양림,제주특별자치도 서귀포시 표선면 남조로 1487-73 ,관광지,자연,자연관광지,자연휴양림,3950.0,11.0,406.0,41.0,46.0,114.0,108.0,34.0,42.0,21.0
비양도,제주특별자치도 제주시 한림읍 한림리 ,관광지,자연,자연관광지,섬,9499.0,11.0,1280.0,203.0,209.0,181.0,199.0,179.0,145.0,164.0
사계해변,제주특별자치도 서귀포시 안덕면 사계리 2147-35,관광지,자연,자연관광지,해수욕장,7256.0,11.0,570.0,79.0,73.0,91.0,94.0,78.0,72.0,83.0
산지천,제주특별자치도 제주시 건입동 ,관광지,자연,자연관광지,계곡,2021.0,11.0,102.0,17.0,13.0,16.0,18.0,10.0,10.0,18.0
삼양해수욕장,제주특별자치도 제주시 삼양이동 ,관광지,자연,자연관광지,해수욕장,3979.0,11.0,299.0,49.0,42.0,37.0,61.0,39.0,31.0,40.0
삼양해안도로,제주특별자치도 제주시 삼양삼동 2582-1 ,관광지,자연,자연관광지,자연생태관광지,481.0,11.0,28.0,5.0,2.0,8.0,2.0,4.0,2.0,5.0
서건도,제주특별자치도 서귀포시 강정동 ,관광지,자연,자연관광지,섬,2003.0,11.0,136.0,21.0,34.0,23.0,11.0,23.0,12.0,12.0
서귀포치유의숲,제주특별자치도 서귀포시 산록남로 2271 (호근동),관광지,인문(문화/예술/역사),휴양관광지,헬스투어,11271.0,11.0,512.0,61.0,77.0,101.0,132.0,54.0,43.0,44.0
서귀포자연휴양림,제주특별자치도 서귀포시 1100로 882 ,관광지,자연,자연관광지,자연휴양림,2851.0,11.0,204.0,23.0,26.0,36.0,40.0,24.0,26.0,29.0
서귀포항,제주특별자치도 서귀포시 칠십리로72번길 14 (서귀동),관광지,자연,자연관광지,항구/포구,2308.0,11.0,160.0,27.0,31.0,24.0,24.0,21.0,23.0,10.0
