기준연월,가맹점명,개설일자,업종,주소,이용건수구간,이용금액구간,건당평균이용금액구간,월요일이용건수비중,화요일이용건수비중,수요일이용건수비중,목요일이용건수비중,금요일이용건수비중,토요일이용건수비중,일요일이용건수비중,5시11시이용건수비중,12시13시이용건수비중,14시17시이용건수비중,18시22시이용건수비중,23시4시이용건수비중,현지인이용건수비중,최근12개월남성회원수비중,최근12개월여성회원수비중,최근12개월20대이하회원수비중,최근12개월30대회원수비중,최근12개월40대회원수비중,최근12개월50대회원수비중,최근12개월60대이상회원수비중,주말이용건수비중,평일이용건수비중,정보,위도,경도,재방문율 평균,리뷰키워드_20개
202308,오늘은좋은날,20210128,가정식,제주 제주시 외도일동 457-1번지,상위 50~75%,상위 10~25%,상위 10~25%,0.13,0.1,0.1,0.13,0.2,0.19,0.16,0.0,0.01,0.07,0.91,0.0,0.79,0.61,0.39,0.07,0.23,0.39,0.24,0.06,0.66,0.34,"202308 기준 '오늘은좋은날'(주소: 제주 제주시 외도일동 457-1번지)은/는 20210128에 개설된 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.01%, 14~17시 0.07%, 18~22시 0.91%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.13, 화요일 0.1, 수요일 0.1, 목요일 0.13, 금요일 0.2, 토요일 0.19, 일요일 0.16입니다. 평일 0.34, 주말0.66현지인 이용 비중은 0.79입니다. 최근 12개월간 남성 회원 비중은 0.61, 여성 회원 비중은 0.39 입니다. 연령대별 회원 비중은 20대 이하 0.07, 30대 0.23, 40대 0.39, 50대 0.24, 60대 이상 0.06입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 2_10~25%입니다. 건당 평균 이용 금액 구간은 2_10~25%입니다. 해당 가맹점의 고객 평균 재방문율은 1.98 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [맛있다, 최고, 부드럽다, 쫀득함, 핵맛, 꿀떡꿀떡, 맛깔나다, 푸짐, 양념, 생고기, 갈비, 냉면, 김치찌개, 삼겹살, 돼지갈비, 숙성, 굽다, 익다, 푸짐, 만족, 친절, 서비스, 빠릿빠릿, 기분 좋다, 깔끔, 괜찮다, 좋다, 굿, 최고,  가성비, 넉넉, 푸짐,  많다,  나쁘다,  불편, 답답, 느리다,  기다림,  서빙,  불친절, 늦다,  시끄럽다,  복잡,  정신없다,  기분 나쁘다,  불쾌,  별로,  아쉽다,  일반,  쏘쏘,  그냥,  보통,  그럭저럭] 
",33.4896849,126.427531,1.98,"[맛있다, 최고, 부드럽다, 쫀득함, 핵맛, 꿀떡꿀떡, 맛깔나다, 푸짐, 양념, 생고기, 갈비, 냉면, 김치찌개, 삼겹살, 돼지갈비, 숙성, 굽다, 익다, 푸짐, 만족, 친절, 서비스, 빠릿빠릿, 기분 좋다, 깔끔, 괜찮다, 좋다, 굿, 최고,  가성비, 넉넉, 푸짐,  많다,  나쁘다,  불편, 답답, 느리다,  기다림,  서빙,  불친절, 늦다,  시끄럽다,  복잡,  정신없다,  기분 나쁘다,  불쾌,  별로,  아쉽다,  일반,  쏘쏘,  그냥,  보통,  그럭저럭] 
"
202308,만금식당,20230627,가정식,제주 서귀포시 하효동 1028-1번지 1층,상위 75~90%,상위 75~90%,상위 25~50%,0.12,0.21,0.06,0.06,0.06,0.27,0.21,0.45,0.48,0.06,0.0,0.0,0.17,0.64,0.36,0.06,0.19,0.43,0.23,0.09,0.52,0.48,"202308 기준 '만금식당'(주소: 제주 서귀포시 하효동 1028-1번지 1층)은/는 20230627에 개설된 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.45%, 12~13시 0.48%, 14~17시 0.06%, 18~22시 0.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.12, 화요일 0.21, 수요일 0.06, 목요일 0.06, 금요일 0.06, 토요일 0.27, 일요일 0.21입니다. 평일 0.48, 주말0.52현지인 이용 비중은 0.17입니다. 최근 12개월간 남성 회원 비중은 0.64, 여성 회원 비중은 0.36 입니다. 연령대별 회원 비중은 20대 이하 0.06, 30대 0.19, 40대 0.43, 50대 0.23, 60대 이상 0.09입니다. 이 가맹점의 이용 건수 구간은 5_75~90%이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 3_25~50%입니다. 해당 가맹점의 고객 평균 재방문율은 1.0 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [기막히다, 맛있다, 푸짐하다, 친절하다, 감동, 훌륭하다, 맛없다, 딱좋다, 만족, 좋다, 맛있다, 푸짐하다, 정성, 서비스, 행복, 넉넉하다, 친절하다, 인심, 솜씨, 가성비] 
",33.2508636,126.6198055,1.0,"[기막히다, 맛있다, 푸짐하다, 친절하다, 감동, 훌륭하다, 맛없다, 딱좋다, 만족, 좋다, 맛있다, 푸짐하다, 정성, 서비스, 행복, 넉넉하다, 친절하다, 인심, 솜씨, 가성비] 
"
202308,해녀마을쉼터,20060309,단품요리 전문,제주 제주시 구좌읍 김녕리 4067번지 1층,상위 75~90%,상위 50~75%,상위 10~25%,0.11,0.31,0.0,0.03,0.17,0.2,0.17,0.03,0.34,0.23,0.4,0.0,0.23,0.6,0.4,0.11,0.16,0.14,0.28,0.31,0.63,0.37,"202308 기준 '해녀마을쉼터'(주소: 제주 제주시 구좌읍 김녕리 4067번지 1층)은/는 20060309에 개설된 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.03%, 12~13시 0.34%, 14~17시 0.23%, 18~22시 0.4%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.11, 화요일 0.31, 수요일 0.0, 목요일 0.03, 금요일 0.17, 토요일 0.2, 일요일 0.17입니다. 평일 0.37, 주말0.63현지인 이용 비중은 0.23입니다. 최근 12개월간 남성 회원 비중은 0.6, 여성 회원 비중은 0.4 입니다. 연령대별 회원 비중은 20대 이하 0.11, 30대 0.16, 40대 0.14, 50대 0.28, 60대 이상 0.31입니다. 이 가맹점의 이용 건수 구간은 5_75~90%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 2_10~25%입니다. 해당 가맹점의 고객 평균 재방문율은 1.1 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [참돔, 맛있다, 쫀득, 쌈 채소, 많이, 친절, 강추, 푸짐, 배부르다, 싱싱, 신선, 뷰, 맛, 가격, 양, 좋다, 만족, 겁나, 싹싹, 비우다] 
",33.5577105,126.7453387,1.1,"[참돔, 맛있다, 쫀득, 쌈 채소, 많이, 친절, 강추, 푸짐, 배부르다, 싱싱, 신선, 뷰, 맛, 가격, 양, 좋다, 만족, 겁나, 싹싹, 비우다] 
"
202308,산지물신제주점,20070312,가정식,제주 제주시 연동 271-9번지,상위 10~25%,상위 10% 이하,상위 25~50%,0.17,0.15,0.11,0.15,0.12,0.14,0.16,0.1,0.21,0.21,0.47,0.01,0.32,0.6,0.4,0.1,0.18,0.26,0.29,0.17,0.7,0.3,"202308 기준 '산지물신제주점'(주소: 제주 제주시 연동 271-9번지)은/는 20070312에 개설된 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.1%, 12~13시 0.21%, 14~17시 0.21%, 18~22시 0.47%, 23~4시 0.01%입니다. 요일별 이용 비중은 월요일 0.17, 화요일 0.15, 수요일 0.11, 목요일 0.15, 금요일 0.12, 토요일 0.14, 일요일 0.16입니다. 평일 0.3, 주말0.7현지인 이용 비중은 0.32입니다. 최근 12개월간 남성 회원 비중은 0.6, 여성 회원 비중은 0.4 입니다. 연령대별 회원 비중은 20대 이하 0.1, 30대 0.18, 40대 0.26, 50대 0.29, 60대 이상 0.17입니다. 이 가맹점의 이용 건수 구간은 2_10~25%이며, 이용 금액 구간은 1_상위 10% 이하입니다. 건당 평균 이용 금액 구간은 3_25~50%입니다. 해당 가맹점의 고객 평균 재방문율은 1.12 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [가성비, 맛있다, 훌륭하다, 최고, 맛집, 싱싱하다, 듬뿍, 푸짐, 깔끔하다, 친절하다, 괜찮다, 좋다, 굿, 맛, 만족, 양, 혜자, 신선하다, 비추, 아쉽다] 
",33.4908112,126.4910046,1.12,"[가성비, 맛있다, 훌륭하다, 최고, 맛집, 싱싱하다, 듬뿍, 푸짐, 깔끔하다, 친절하다, 괜찮다, 좋다, 굿, 맛, 만족, 양, 혜자, 신선하다, 비추, 아쉽다] 
"
202308,월정마을식당,20220613,가정식,제주 제주시 구좌읍 월정리 536-4번지 1층,상위 75~90%,상위 75~90%,상위 25~50%,0.05,0.13,0.18,0.08,0.08,0.21,0.26,0.0,0.0,0.0,0.55,0.45,0.05,0.61,0.39,0.31,0.48,0.17,0.03,0.01,0.53,0.47,"202308 기준 '월정마을식당'(주소: 제주 제주시 구좌읍 월정리 536-4번지 1층)은/는 20220613에 개설된 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.0%, 18~22시 0.55%, 23~4시 0.45%입니다. 요일별 이용 비중은 월요일 0.05, 화요일 0.13, 수요일 0.18, 목요일 0.08, 금요일 0.08, 토요일 0.21, 일요일 0.26입니다. 평일 0.47, 주말0.53현지인 이용 비중은 0.05입니다. 최근 12개월간 남성 회원 비중은 0.61, 여성 회원 비중은 0.39 입니다. 연령대별 회원 비중은 20대 이하 0.31, 30대 0.48, 40대 0.17, 50대 0.03, 60대 이상 0.01입니다. 이 가맹점의 이용 건수 구간은 5_75~90%이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 3_25~50%입니다. 해당 가맹점의 고객 평균 재방문율은 1.0 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 밀면, 맛있다, 육전, 불고기, 바다, 뷰, 친절하다, 시원하다, 쫄깃, 푸짐, 최고, 만족, 넉넉, 깔끔, 멋지다, 행복, 힐링, 넘치다, 기분 좋다, 든든 
",33.5554607,126.7961595,1.0,"밀면, 맛있다, 육전, 불고기, 바다, 뷰, 친절하다, 시원하다, 쫄깃, 푸짐, 최고, 만족, 넉넉, 깔끔, 멋지다, 행복, 힐링, 넘치다, 기분 좋다, 든든 
"
202308,낭뿌리식당,20200707,가정식,제주 제주시 노형동 2589-4번지 1층,상위 50~75%,상위 75~90%,상위 50~75%,0.24,0.18,0.23,0.11,0.17,0.0,0.08,0.2,0.38,0.09,0.33,0.0,0.69,0.7,0.3,0.05,0.15,0.26,0.34,0.2,0.92,0.08,"202308 기준 '낭뿌리식당'(주소: 제주 제주시 노형동 2589-4번지 1층)은/는 20200707에 개설된 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.2%, 12~13시 0.38%, 14~17시 0.09%, 18~22시 0.33%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.24, 화요일 0.18, 수요일 0.23, 목요일 0.11, 금요일 0.17, 토요일 0.0, 일요일 0.08입니다. 평일 0.08, 주말0.92현지인 이용 비중은 0.69입니다. 최근 12개월간 남성 회원 비중은 0.7, 여성 회원 비중은 0.3 입니다. 연령대별 회원 비중은 20대 이하 0.05, 30대 0.15, 40대 0.26, 50대 0.34, 60대 이상 0.2입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 1.86 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [맛있다, 괜찮다, 엄청, 많이, 강추, 최고, 신선하다, 부드럽다, 달콤, 매콤, 짭짤, 싱싱, 푸짐, 든든, 친절, 가성비, 좋다, 깔끔, 넉넉, 만족] 
",33.4831874,126.4704259,1.86,"[맛있다, 괜찮다, 엄청, 많이, 강추, 최고, 신선하다, 부드럽다, 달콤, 매콤, 짭짤, 싱싱, 푸짐, 든든, 친절, 가성비, 좋다, 깔끔, 넉넉, 만족] 
"
202308,동문올레횟집,20140407,단품요리 전문,제주 제주시 이도일동 1349-5번지,상위 10~25%,상위 10~25%,상위 50~75%,0.15,0.17,0.17,0.11,0.11,0.15,0.14,0.06,0.11,0.22,0.6,0.0,0.05,0.57,0.43,0.16,0.2,0.22,0.25,0.16,0.72,0.28,"202308 기준 '동문올레횟집'(주소: 제주 제주시 이도일동 1349-5번지)은/는 20140407에 개설된 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.06%, 12~13시 0.11%, 14~17시 0.22%, 18~22시 0.6%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.15, 화요일 0.17, 수요일 0.17, 목요일 0.11, 금요일 0.11, 토요일 0.15, 일요일 0.14입니다. 평일 0.28, 주말0.72현지인 이용 비중은 0.05입니다. 최근 12개월간 남성 회원 비중은 0.57, 여성 회원 비중은 0.43 입니다. 연령대별 회원 비중은 20대 이하 0.16, 30대 0.2, 40대 0.22, 50대 0.25, 60대 이상 0.16입니다. 이 가맹점의 이용 건수 구간은 2_10~25%이며, 이용 금액 구간은 2_10~25%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 1.04 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [신선, 맛있다, 친절, 가성비, 양많다, 푸짐, 싱싱, 비리지않다, 쫄깃, 쫀득, 고소, 찰진, 부드러운, 감칠맛, 푸석, 탄력, 넉넉, 깔끔, 시원, 만족] 
",33.5122613,126.5261942,1.04,"[신선, 맛있다, 친절, 가성비, 양많다, 푸짐, 싱싱, 비리지않다, 쫄깃, 쫀득, 고소, 찰진, 부드러운, 감칠맛, 푸석, 탄력, 넉넉, 깔끔, 시원, 만족] 
"
202308,조천밀밀면,20200714,가정식,제주 제주시 조천읍 와흘리 1468-2번지 1층,상위 50~75%,상위 75~90%,상위 50~75%,0.27,0.1,0.17,0.15,0.1,0.22,0.0,0.07,0.72,0.22,0.0,0.0,0.57,0.63,0.37,0.07,0.19,0.41,0.21,0.12,0.78,0.22,"202308 기준 '조천밀밀면'(주소: 제주 제주시 조천읍 와흘리 1468-2번지 1층)은/는 20200714에 개설된 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.07%, 12~13시 0.72%, 14~17시 0.22%, 18~22시 0.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.27, 화요일 0.1, 수요일 0.17, 목요일 0.15, 금요일 0.1, 토요일 0.22, 일요일 0.0입니다. 평일 0.22, 주말0.78현지인 이용 비중은 0.57입니다. 최근 12개월간 남성 회원 비중은 0.63, 여성 회원 비중은 0.37 입니다. 연령대별 회원 비중은 20대 이하 0.07, 30대 0.19, 40대 0.41, 50대 0.21, 60대 이상 0.12입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 1.62 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [맛있다, 맵다, 시원하다, 깔끔하다, 쫄깃하다, 탱탱하다, 훌륭하다, 
  친절하다, 넉넉하다, 좋다, 
  만족, 맛집, 킹정, 최고, 짱, 
  단골, 추천, 
  세련, 
  양, 가격, 
  해장, 
  불고기, 
  밀면] 
",33.5041058,126.6355894,1.62,"[맛있다, 맵다, 시원하다, 깔끔하다, 쫄깃하다, 탱탱하다, 훌륭하다, 
  친절하다, 넉넉하다, 좋다, 
  만족, 맛집, 킹정, 최고, 짱, 
  단골, 추천, 
  세련, 
  양, 가격, 
  해장, 
  불고기, 
  밀면] 
"
202308,서가장인곱창,20210105,단품요리 전문,제주 서귀포시 안덕면 서광리 산 35-16번지 F003동 1층 PLOTA호,상위 25~50%,상위 10% 이하,상위 10~25%,0.17,0.16,0.18,0.12,0.09,0.14,0.13,0.0,0.07,0.07,0.85,0.01,0.17,0.55,0.45,0.13,0.31,0.41,0.11,0.04,0.73,0.27,"202308 기준 '서가장인곱창'(주소: 제주 서귀포시 안덕면 서광리 산 35-16번지 F003동 1층 PLOTA호)은/는 20210105에 개설된 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.07%, 14~17시 0.07%, 18~22시 0.85%, 23~4시 0.01%입니다. 요일별 이용 비중은 월요일 0.17, 화요일 0.16, 수요일 0.18, 목요일 0.12, 금요일 0.09, 토요일 0.14, 일요일 0.13입니다. 평일 0.27, 주말0.73현지인 이용 비중은 0.17입니다. 최근 12개월간 남성 회원 비중은 0.55, 여성 회원 비중은 0.45 입니다. 연령대별 회원 비중은 20대 이하 0.13, 30대 0.31, 40대 0.41, 50대 0.11, 60대 이상 0.04입니다. 이 가맹점의 이용 건수 구간은 3_25~50%이며, 이용 금액 구간은 1_상위 10% 이하입니다. 건당 평균 이용 금액 구간은 2_10~25%입니다. 해당 가맹점의 고객 평균 재방문율은 1.0 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [곱창, 대창, 맛있다, 숙주, 볶음밥, 신선하다, 부드럽다, 고소하다, 푸짐하다, 깔끔하다, 친절하다, 분위기, 넓다, 편하다, 좋다, 즐겁다, 특별하다, 강추, 완벽하다, 듬뿍] 
",33.3060039,126.3118145,1.0,"[곱창, 대창, 맛있다, 숙주, 볶음밥, 신선하다, 부드럽다, 고소하다, 푸짐하다, 깔끔하다, 친절하다, 분위기, 넓다, 편하다, 좋다, 즐겁다, 특별하다, 강추, 완벽하다, 듬뿍] 
"
202308,스와니호프,20170106,맥주/요리주점,제주 제주시 노형동 3792-1번지,상위 75~90%,상위 25~50%,상위 10~25%,0.28,0.03,0.19,0.22,0.16,0.09,0.03,0.0,0.0,0.0,0.69,0.31,0.79,0.61,0.39,0.1,0.24,0.43,0.21,0.02,0.88,0.12,"202308 기준 '스와니호프'(주소: 제주 제주시 노형동 3792-1번지)은/는 20170106에 개설된 맥주/요리주점 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.0%, 18~22시 0.69%, 23~4시 0.31%입니다. 요일별 이용 비중은 월요일 0.28, 화요일 0.03, 수요일 0.19, 목요일 0.22, 금요일 0.16, 토요일 0.09, 일요일 0.03입니다. 평일 0.12, 주말0.88현지인 이용 비중은 0.79입니다. 최근 12개월간 남성 회원 비중은 0.61, 여성 회원 비중은 0.39 입니다. 연령대별 회원 비중은 20대 이하 0.1, 30대 0.24, 40대 0.43, 50대 0.21, 60대 이상 0.02입니다. 이 가맹점의 이용 건수 구간은 5_75~90%이며, 이용 금액 구간은 3_25~50%입니다. 건당 평균 이용 금액 구간은 2_10~25%입니다. 해당 가맹점의 고객 평균 재방문율은 1.27 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [존맛, 맛있다, 친절하다, 최고, 굿, 즐겁다, 손맛, 다양하다, 멋지다, 좋다, 가성비, 술집, 안주, 맛집, 서비스, 많다, 시원, 맥주, 분위기, 매콤] 
",33.4829671,126.4781011,1.27,"[존맛, 맛있다, 친절하다, 최고, 굿, 즐겁다, 손맛, 다양하다, 멋지다, 좋다, 가성비, 술집, 안주, 맛집, 서비스, 많다, 시원, 맥주, 분위기, 매콤] 
"
