기준연월,가맹점명,개설일자,업종,주소,이용건수구간,이용금액구간,건당평균이용금액구간,월요일이용건수비중,화요일이용건수비중,수요일이용건수비중,목요일이용건수비중,금요일이용건수비중,토요일이용건수비중,일요일이용건수비중,5시11시이용건수비중,12시13시이용건수비중,14시17시이용건수비중,18시22시이용건수비중,23시4시이용건수비중,현지인이용건수비중,최근12개월남성회원수비중,최근12개월여성회원수비중,최근12개월20대이하회원수비중,최근12개월30대회원수비중,최근12개월40대회원수비중,최근12개월50대회원수비중,최근12개월60대이상회원수비중,주말이용건수비중,평일이용건수비중,정보,위도,경도,재방문율 평균,리뷰키워드_20개
202311,불닭공장신산점,20040825,단품요리 전문,제주 제주시 일도이동 1019-20번지,상위 50~75%,상위 75~90%,상위 50~75%,0.0,0.03,0.17,0.19,0.17,0.19,0.25,0.0,0.0,0.0,0.86,0.14,0.89,0.53,0.47,0.11,0.19,0.32,0.29,0.1,0.56,0.44,"202311 기준 '불닭공장신산점'(주소: 제주 제주시 일도이동 1019-20번지)은/는 20040825에 개설된 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.0%, 18~22시 0.86%, 23~4시 0.14%입니다. 요일별 이용 비중은 월요일 0.0, 화요일 0.03, 수요일 0.17, 목요일 0.19, 금요일 0.17, 토요일 0.19, 일요일 0.25입니다. 평일 0.44, 주말0.56현지인 이용 비중은 0.89입니다. 최근 12개월간 남성 회원 비중은 0.53, 여성 회원 비중은 0.47 입니다. 연령대별 회원 비중은 20대 이하 0.11, 30대 0.19, 40대 0.32, 50대 0.29, 60대 이상 0.1입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 1.6 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [맛있다, 맵다, 땡기다, 최고, 굿, 좋다, 맛, 깔끔하다, 술, 닭발, 국물, 뼈, 무뼈, 불닭, 공장, 서비스, 분위기, 맛집, 적당하다,  추천] ",33.5092023,126.5333256,1.6,"[맛있다, 맵다, 땡기다, 최고, 굿, 좋다, 맛, 깔끔하다, 술, 닭발, 국물, 뼈, 무뼈, 불닭, 공장, 서비스, 분위기, 맛집, 적당하다,  추천] "
202311,애진,20090721,단품요리 전문,제주 제주시 이도이동 1008-1번지,상위 90% 초과(하위 10% 이하),상위 75~90%,상위 10~25%,0.14,0.07,0.43,0.14,0.14,0.07,0.0,0.0,0.0,0.0,1.0,0.0,0.72,0.8,0.2,0.11,0.17,0.19,0.29,0.25,0.93,0.07,"202311 기준 '애진'(주소: 제주 제주시 이도이동 1008-1번지)은/는 20090721에 개설된 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.0%, 18~22시 1.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.14, 화요일 0.07, 수요일 0.43, 목요일 0.14, 금요일 0.14, 토요일 0.07, 일요일 0.0입니다. 평일 0.07, 주말0.93현지인 이용 비중은 0.72입니다. 최근 12개월간 남성 회원 비중은 0.8, 여성 회원 비중은 0.2 입니다. 연령대별 회원 비중은 20대 이하 0.11, 30대 0.17, 40대 0.19, 50대 0.29, 60대 이상 0.25입니다. 이 가맹점의 이용 건수 구간은 6_90% 초과(하위 10% 이하)이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 2_10~25%입니다. 해당 가맹점의 고객 평균 재방문율은 1.25 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [맛있다, 고기, 가성비, 최고, 신선하다, 청국장, 서비스, 단골, 정육식당, 퀄리티, 저렴하다, 깜짝, 진짜, 맛집, 현지, 동네, 주민, 우연히, 발견, 관광객] 
",33.4964895,126.5299999,1.25,"[맛있다, 고기, 가성비, 최고, 신선하다, 청국장, 서비스, 단골, 정육식당, 퀄리티, 저렴하다, 깜짝, 진짜, 맛집, 현지, 동네, 주민, 우연히, 발견, 관광객] 
"
202311,소린이네회,20170223,일식,제주 서귀포시 서귀동 277-10번지,상위 50~75%,상위 25~50%,상위 25~50%,0.24,0.05,0.11,0.05,0.24,0.11,0.19,0.0,0.0,0.11,0.89,0.0,0.14,0.64,0.36,0.15,0.19,0.28,0.28,0.09,0.7,0.3,"202311 기준 '소린이네회'(주소: 제주 서귀포시 서귀동 277-10번지)은/는 20170223에 개설된 일식 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.11%, 18~22시 0.89%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.24, 화요일 0.05, 수요일 0.11, 목요일 0.05, 금요일 0.24, 토요일 0.11, 일요일 0.19입니다. 평일 0.3, 주말0.7현지인 이용 비중은 0.14입니다. 최근 12개월간 남성 회원 비중은 0.64, 여성 회원 비중은 0.36 입니다. 연령대별 회원 비중은 20대 이하 0.15, 30대 0.19, 40대 0.28, 50대 0.28, 60대 이상 0.09입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 3_25~50%입니다. 건당 평균 이용 금액 구간은 3_25~50%입니다. 해당 가맹점의 고객 평균 재방문율은 1.02 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [신선, 싱싱, 맛있다, 푸짐, 가성비, 좋다, 친절, 다양, 만족, 넉넉, 퀄리티, 푸짐, 깔끔, 괜찮다, 최고, 즐겁다, 행복, 훌륭, 추천, 강추] 
",33.2498628,126.5628668,1.02,"[신선, 싱싱, 맛있다, 푸짐, 가성비, 좋다, 친절, 다양, 만족, 넉넉, 퀄리티, 푸짐, 깔끔, 괜찮다, 최고, 즐겁다, 행복, 훌륭, 추천, 강추] 
"
202311,희야네식당,20000916,가정식,제주 서귀포시 남원읍 남원리 100-3번지,상위 25~50%,상위 25~50%,상위 50~75%,0.14,0.21,0.23,0.09,0.13,0.2,0.0,0.24,0.29,0.09,0.38,0.0,0.29,0.63,0.37,0.18,0.28,0.27,0.19,0.09,0.8,0.2,"202311 기준 '희야네식당'(주소: 제주 서귀포시 남원읍 남원리 100-3번지)은/는 20000916에 개설된 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.24%, 12~13시 0.29%, 14~17시 0.09%, 18~22시 0.38%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.14, 화요일 0.21, 수요일 0.23, 목요일 0.09, 금요일 0.13, 토요일 0.2, 일요일 0.0입니다. 평일 0.2, 주말0.8현지인 이용 비중은 0.29입니다. 최근 12개월간 남성 회원 비중은 0.63, 여성 회원 비중은 0.37 입니다. 연령대별 회원 비중은 20대 이하 0.18, 30대 0.28, 40대 0.27, 50대 0.19, 60대 이상 0.09입니다. 이 가맹점의 이용 건수 구간은 3_25~50%이며, 이용 금액 구간은 3_25~50%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 1.4 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [푸짐, 맛있다, 배부르다, 볶음밥, 두루치기, 친절, 셀프, 밥, 돼지고기, 야채, 넉넉, 가성비, 웨이팅, 맛집, 깔끔, 든든, 볶음, 김치, 콩나물, 된장] 
",33.2794981,126.7197716,1.4,"[푸짐, 맛있다, 배부르다, 볶음밥, 두루치기, 친절, 셀프, 밥, 돼지고기, 야채, 넉넉, 가성비, 웨이팅, 맛집, 깔끔, 든든, 볶음, 김치, 콩나물, 된장] 
"
202311,장가네일품순두부모슬포점,20231024,단품요리 전문,제주 서귀포시 대정읍 하모리 1070-11번지 1층,상위 25~50%,상위 50~75%,상위 75~90%,0.22,0.25,0.1,0.09,0.15,0.11,0.08,0.34,0.46,0.08,0.13,0.0,0.69,0.62,0.38,0.07,0.04,0.22,0.4,0.27,0.81,0.19,"202311 기준 '장가네일품순두부모슬포점'(주소: 제주 서귀포시 대정읍 하모리 1070-11번지 1층)은/는 20231024에 개설된 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.34%, 12~13시 0.46%, 14~17시 0.08%, 18~22시 0.13%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.22, 화요일 0.25, 수요일 0.1, 목요일 0.09, 금요일 0.15, 토요일 0.11, 일요일 0.08입니다. 평일 0.19, 주말0.81현지인 이용 비중은 0.69입니다. 최근 12개월간 남성 회원 비중은 0.62, 여성 회원 비중은 0.38 입니다. 연령대별 회원 비중은 20대 이하 0.07, 30대 0.04, 40대 0.22, 50대 0.4, 60대 이상 0.27입니다. 이 가맹점의 이용 건수 구간은 3_25~50%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 5_75~90%입니다. 해당 가맹점의 고객 평균 재방문율은 1.1 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [조용하다, 밝다, 친절하다, 미소, 기분 좋다, 최고, 맛집, 맛있다, 착각, 밥맛, 강추, 진짜, 해물 많다, 뜨겁다, 쫀득, 찰기, 윤기, 엄청 친절하다, 가족, 손님 많다, 직접] 
",33.2209051,126.2494135,1.1,"[조용하다, 밝다, 친절하다, 미소, 기분 좋다, 최고, 맛집, 맛있다, 착각, 밥맛, 강추, 진짜, 해물 많다, 뜨겁다, 쫀득, 찰기, 윤기, 엄청 친절하다, 가족, 손님 많다, 직접] 
"
202311,사리원외도점,20150318,중식,제주 제주시 외도일동 429-7번지 1층 사리원외도점,상위 25~50%,상위 50~75%,상위 50~75%,0.15,0.24,0.15,0.03,0.12,0.15,0.16,0.15,0.27,0.18,0.4,0.0,0.83,0.73,0.27,0.03,0.18,0.4,0.26,0.12,0.69,0.31,"202311 기준 '사리원외도점'(주소: 제주 제주시 외도일동 429-7번지 1층 사리원외도점)은/는 20150318에 개설된 중식 업종입니다. 이용 시간대별 비중은 5~11시 0.15%, 12~13시 0.27%, 14~17시 0.18%, 18~22시 0.4%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.15, 화요일 0.24, 수요일 0.15, 목요일 0.03, 금요일 0.12, 토요일 0.15, 일요일 0.16입니다. 평일 0.31, 주말0.69현지인 이용 비중은 0.83입니다. 최근 12개월간 남성 회원 비중은 0.73, 여성 회원 비중은 0.27 입니다. 연령대별 회원 비중은 20대 이하 0.03, 30대 0.18, 40대 0.4, 50대 0.26, 60대 이상 0.12입니다. 이 가맹점의 이용 건수 구간은 3_25~50%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 2.36 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [맛있다, 짜다, 맵다, 친절하다, 푸짐하다, 굿, 최고, 좋다, 굳, 괜찮다, 깔끔하다, 신선하다, 얼큰하다, 만족, 넘다, 맛집, 훌륭하다, 맛있다, 시원하다, 별로] 
",33.4926461,126.4321349,2.36,"[맛있다, 짜다, 맵다, 친절하다, 푸짐하다, 굿, 최고, 좋다, 굳, 괜찮다, 깔끔하다, 신선하다, 얼큰하다, 만족, 넘다, 맛집, 훌륭하다, 맛있다, 시원하다, 별로] 
"
202311,미나리삼겹살,20220728,단품요리 전문,제주 서귀포시 동홍동 357-6번지 덕산가온누리빌 1층 106호,상위 90% 초과(하위 10% 이하),상위 50~75%,상위 10~25%,0.13,0.33,0.0,0.07,0.2,0.13,0.13,0.0,0.0,0.0,0.93,0.07,0.77,0.58,0.42,0.07,0.18,0.35,0.25,0.14,0.73,0.27,"202311 기준 '미나리삼겹살'(주소: 제주 서귀포시 동홍동 357-6번지 덕산가온누리빌 1층 106호)은/는 20220728에 개설된 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.0%, 18~22시 0.93%, 23~4시 0.07%입니다. 요일별 이용 비중은 월요일 0.13, 화요일 0.33, 수요일 0.0, 목요일 0.07, 금요일 0.2, 토요일 0.13, 일요일 0.13입니다. 평일 0.27, 주말0.73현지인 이용 비중은 0.77입니다. 최근 12개월간 남성 회원 비중은 0.58, 여성 회원 비중은 0.42 입니다. 연령대별 회원 비중은 20대 이하 0.07, 30대 0.18, 40대 0.35, 50대 0.25, 60대 이상 0.14입니다. 이 가맹점의 이용 건수 구간은 6_90% 초과(하위 10% 이하)이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 2_10~25%입니다. 해당 가맹점의 고객 평균 재방문율은 1.07 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [미나리, 삼겹살, 맛있다, 푸짐, 무한리필, 싱싱, 친절, 맛집, 셀프, 볶음밥, 계란찜, 된장찌개, 막창, 넓다, 깔끔, 가성비, 혜자, 푸짐, 대박, 최고] ",33.2504292,126.5728254,1.07,"[미나리, 삼겹살, 맛있다, 푸짐, 무한리필, 싱싱, 친절, 맛집, 셀프, 볶음밥, 계란찜, 된장찌개, 막창, 넓다, 깔끔, 가성비, 혜자, 푸짐, 대박, 최고] "
202311,위이,20220706,단품요리 전문,제주 서귀포시 안덕면 동광리 5-34번지 1층,상위 10% 이하,상위 10% 이하,상위 50~75%,0.12,0.16,0.14,0.12,0.11,0.19,0.15,0.29,0.29,0.37,0.05,0.0,0.21,0.35,0.65,0.33,0.36,0.18,0.09,0.04,0.66,0.34,"202311 기준 '위이'(주소: 제주 서귀포시 안덕면 동광리 5-34번지 1층)은/는 20220706에 개설된 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.29%, 12~13시 0.29%, 14~17시 0.37%, 18~22시 0.05%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.12, 화요일 0.16, 수요일 0.14, 목요일 0.12, 금요일 0.11, 토요일 0.19, 일요일 0.15입니다. 평일 0.34, 주말0.66현지인 이용 비중은 0.21입니다. 최근 12개월간 남성 회원 비중은 0.35, 여성 회원 비중은 0.65 입니다. 연령대별 회원 비중은 20대 이하 0.33, 30대 0.36, 40대 0.18, 50대 0.09, 60대 이상 0.04입니다. 이 가맹점의 이용 건수 구간은 1_상위 10% 이하이며, 이용 금액 구간은 1_상위 10% 이하입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 1.3 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다:  제주도 맛집 키워드:맛: 맛있다, 존맛탱, 맛, 최고, 괜찮다, 좋다, 훌륭하다, 엄청, 맘에 들다, 만족하다, 만족도: 좋다, 만족하다, 즐겁다, 행복하다, 감동, 힐링, 추천, 꼭 가보다, 다시 방문, 서비스: 친절하다, 좋다, 훌륭하다, 열정, 응대, 분위기: 좋다, 멋지다, 예쁘다, 아름답다, 깔끔하다, 조용하다, 시원시원, 음식량: 많다, 배부르다, 꽉 차다, 듬뿍, 기타: 뷰, 산방산, 커피, 프렌치토스트, 브런치, 디저트, 와인, 웨이팅, ",33.3127272,126.359111,1.3," 제주도 맛집 키워드:맛: 맛있다, 존맛탱, 맛, 최고, 괜찮다, 좋다, 훌륭하다, 엄청, 맘에 들다, 만족하다, 만족도: 좋다, 만족하다, 즐겁다, 행복하다, 감동, 힐링, 추천, 꼭 가보다, 다시 방문, 서비스: 친절하다, 좋다, 훌륭하다, 열정, 응대, 분위기: 좋다, 멋지다, 예쁘다, 아름답다, 깔끔하다, 조용하다, 시원시원, 음식량: 많다, 배부르다, 꽉 차다, 듬뿍, 기타: 뷰, 산방산, 커피, 프렌치토스트, 브런치, 디저트, 와인, 웨이팅, "
202311,기운네흑돼지,20130719,가정식,제주 서귀포시 서귀동 321-3번지,상위 90% 초과(하위 10% 이하),상위 75~90%,상위 10~25%,0.11,0.22,0.11,0.17,0.06,0.22,0.11,0.0,0.06,0.0,0.94,0.0,0.13,0.57,0.43,0.23,0.23,0.15,0.24,0.15,0.67,0.33,"202311 기준 '기운네흑돼지'(주소: 제주 서귀포시 서귀동 321-3번지)은/는 20130719에 개설된 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.06%, 14~17시 0.0%, 18~22시 0.94%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.11, 화요일 0.22, 수요일 0.11, 목요일 0.17, 금요일 0.06, 토요일 0.22, 일요일 0.11입니다. 평일 0.33, 주말0.67현지인 이용 비중은 0.13입니다. 최근 12개월간 남성 회원 비중은 0.57, 여성 회원 비중은 0.43 입니다. 연령대별 회원 비중은 20대 이하 0.23, 30대 0.23, 40대 0.15, 50대 0.24, 60대 이상 0.15입니다. 이 가맹점의 이용 건수 구간은 6_90% 초과(하위 10% 이하)이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 2_10~25%입니다. 해당 가맹점의 고객 평균 재방문율은 1.0 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [흑돼지, 맛있다, 친절하다, 열무국수, 계란찜, 푸짐하다, 밑반찬, 신선하다, 맛집, 추천, 서비스, 깔끔하다, 든든하다, 푸짐, 존맛, 탱글, 쫄깃, 육즙, 꼬숩, 최고] ",33.2498919,126.5588728,1.0,"[흑돼지, 맛있다, 친절하다, 열무국수, 계란찜, 푸짐하다, 밑반찬, 신선하다, 맛집, 추천, 서비스, 깔끔하다, 든든하다, 푸짐, 존맛, 탱글, 쫄깃, 육즙, 꼬숩, 최고] "
202311,푸짐한식당,20210929,단품요리 전문,제주 서귀포시 성산읍 고성리 449-3번지 1층,상위 50~75%,상위 75~90%,상위 50~75%,0.02,0.25,0.11,0.07,0.3,0.11,0.14,0.3,0.3,0.39,0.02,0.0,0.1,0.58,0.42,0.12,0.21,0.3,0.25,0.12,0.75,0.25,"202311 기준 '푸짐한식당'(주소: 제주 서귀포시 성산읍 고성리 449-3번지 1층)은/는 20210929에 개설된 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.3%, 12~13시 0.3%, 14~17시 0.39%, 18~22시 0.02%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.02, 화요일 0.25, 수요일 0.11, 목요일 0.07, 금요일 0.3, 토요일 0.11, 일요일 0.14입니다. 평일 0.25, 주말0.75현지인 이용 비중은 0.1입니다. 최근 12개월간 남성 회원 비중은 0.58, 여성 회원 비중은 0.42 입니다. 연령대별 회원 비중은 20대 이하 0.12, 30대 0.21, 40대 0.3, 50대 0.25, 60대 이상 0.12입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 1.03 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 푸짐, 맛있다, 칼국수, 깔끔, 시원, 쫄깃, 진하다, 깊다, 든든, 푸짐, 만족, 친절, 맛집, 추천, 엄청, 최고,  고등어,  죽, 산적,  반찬,  국물 
",33.4395156,126.919348,1.03,"푸짐, 맛있다, 칼국수, 깔끔, 시원, 쫄깃, 진하다, 깊다, 든든, 푸짐, 만족, 친절, 맛집, 추천, 엄청, 최고,  고등어,  죽, 산적,  반찬,  국물 
"
