기준연월,가맹점명,개설일자,업종,주소,이용건수구간,이용금액구간,건당평균이용금액구간,월요일이용건수비중,화요일이용건수비중,수요일이용건수비중,목요일이용건수비중,금요일이용건수비중,토요일이용건수비중,일요일이용건수비중,5시11시이용건수비중,12시13시이용건수비중,14시17시이용건수비중,18시22시이용건수비중,23시4시이용건수비중,현지인이용건수비중,최근12개월남성회원수비중,최근12개월여성회원수비중,최근12개월20대이하회원수비중,최근12개월30대회원수비중,최근12개월40대회원수비중,최근12개월50대회원수비중,최근12개월60대이상회원수비중,주말이용건수비중,평일이용건수비중,정보,위도,경도,재방문율 평균,리뷰키워드_20개
202307,라라코스트 서귀포점,20180420,양식,제주 서귀포시 동홍동 1542-5번지 2층,상위 25~50%,상위 10~25%,상위 50~75%,0.08,0.15,0.09,0.08,0.18,0.18,0.25,0.03,0.32,0.22,0.44,0.0,0.78,0.42,0.58,0.09,0.2,0.45,0.19,0.07,0.58,0.42,"202307 기준 '라라코스트 서귀포점'(주소: 제주 서귀포시 동홍동 1542-5번지 2층)은/는 20180420에 개설된 양식 업종입니다. 이용 시간대별 비중은 5~11시 0.03%, 12~13시 0.32%, 14~17시 0.22%, 18~22시 0.44%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.08, 화요일 0.15, 수요일 0.09, 목요일 0.08, 금요일 0.18, 토요일 0.18, 일요일 0.25입니다. 평일 0.42, 주말0.58현지인 이용 비중은 0.78입니다. 최근 12개월간 남성 회원 비중은 0.42, 여성 회원 비중은 0.58 입니다. 연령대별 회원 비중은 20대 이하 0.09, 30대 0.2, 40대 0.45, 50대 0.19, 60대 이상 0.07입니다. 이 가맹점의 이용 건수 구간은 3_25~50%이며, 이용 금액 구간은 2_10~25%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 2.06 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다:  제주도 맛집 키워드 20개:맛있다, 친절하다, 가격, 저렴하다, 푸짐하다, 양, 많다, 맛, 서비스, 분위기, 놀이방, 가족, 아이, 키즈, 괜찮다, 좋다, 즐겁다, 편하다, 만족,  무료 ",33.2537209,126.5618059,2.06," 제주도 맛집 키워드 20개:맛있다, 친절하다, 가격, 저렴하다, 푸짐하다, 양, 많다, 맛, 서비스, 분위기, 놀이방, 가족, 아이, 키즈, 괜찮다, 좋다, 즐겁다, 편하다, 만족,  무료 "
202307,신미네,20150326,가정식,제주 서귀포시 동홍동 65-12번지,상위 25~50%,상위 50~75%,상위 50~75%,0.2,0.18,0.18,0.15,0.2,0.09,0.0,0.15,0.55,0.07,0.23,0.0,0.85,0.66,0.34,0.03,0.15,0.42,0.31,0.1,0.91,0.09,"202307 기준 '신미네'(주소: 제주 서귀포시 동홍동 65-12번지)은/는 20150326에 개설된 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.15%, 12~13시 0.55%, 14~17시 0.07%, 18~22시 0.23%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.2, 화요일 0.18, 수요일 0.18, 목요일 0.15, 금요일 0.2, 토요일 0.09, 일요일 0.0입니다. 평일 0.09, 주말0.91현지인 이용 비중은 0.85입니다. 최근 12개월간 남성 회원 비중은 0.66, 여성 회원 비중은 0.34 입니다. 연령대별 회원 비중은 20대 이하 0.03, 30대 0.15, 40대 0.42, 50대 0.31, 60대 이상 0.1입니다. 이 가맹점의 이용 건수 구간은 3_25~50%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 1.54 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: ## 제주도 맛집 키워드 (20개)

* 동태탕
* 맛있다
* 푸짐하다
* 신선하다
* 깔끔하다
* 얼큰하다
* 매콤하다
* 굿굿
* 최고
* 존맛
* 친절하다
* 웨이팅
* 밑반찬
* 맛집
* 추천
* 비빔밥
* 해장
* 가성비
* 도민
* 칼칼하다 
",33.25865,126.5750293,1.54,"## 제주도 맛집 키워드 (20개)

* 동태탕
* 맛있다
* 푸짐하다
* 신선하다
* 깔끔하다
* 얼큰하다
* 매콤하다
* 굿굿
* 최고
* 존맛
* 친절하다
* 웨이팅
* 밑반찬
* 맛집
* 추천
* 비빔밥
* 해장
* 가성비
* 도민
* 칼칼하다 
"
202307,포도원흑돼지,20061019,가정식,제주 제주시 노형동 2586-1번지,상위 10~25%,상위 10% 이하,상위 10~25%,0.14,0.11,0.06,0.15,0.18,0.2,0.16,0.04,0.26,0.17,0.53,0.0,0.31,0.59,0.41,0.08,0.22,0.27,0.26,0.17,0.65,0.35,"202307 기준 '포도원흑돼지'(주소: 제주 제주시 노형동 2586-1번지)은/는 20061019에 개설된 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.04%, 12~13시 0.26%, 14~17시 0.17%, 18~22시 0.53%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.14, 화요일 0.11, 수요일 0.06, 목요일 0.15, 금요일 0.18, 토요일 0.2, 일요일 0.16입니다. 평일 0.35, 주말0.65현지인 이용 비중은 0.31입니다. 최근 12개월간 남성 회원 비중은 0.59, 여성 회원 비중은 0.41 입니다. 연령대별 회원 비중은 20대 이하 0.08, 30대 0.22, 40대 0.27, 50대 0.26, 60대 이상 0.17입니다. 이 가맹점의 이용 건수 구간은 2_10~25%이며, 이용 금액 구간은 1_상위 10% 이하입니다. 건당 평균 이용 금액 구간은 2_10~25%입니다. 해당 가맹점의 고객 평균 재방문율은 1.14 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 포도 흑돼지 : 흑돼지, 맛있다, 친절하다, 넓다, 깨끗하다, 푸짐하다, 넉넉하다, 맛집, 밑반찬, 게장, 굽다, 초벌, 서비스, 흡입, 쫄깃, 식감, 만족, 추천, 강추, 최고 
",33.4834024,126.4693521,1.14,"포도 흑돼지 : 흑돼지, 맛있다, 친절하다, 넓다, 깨끗하다, 푸짐하다, 넉넉하다, 맛집, 밑반찬, 게장, 굽다, 초벌, 서비스, 흡입, 쫄깃, 식감, 만족, 추천, 강추, 최고 
"
202307,괸당집신시가지점,20190130,단품요리 전문,제주 서귀포시 서호동 1477-3번지 1층,상위 50~75%,상위 25~50%,상위 25~50%,0.13,0.13,0.15,0.06,0.1,0.19,0.24,0.0,0.0,0.01,0.69,0.29,0.47,0.61,0.39,0.23,0.3,0.25,0.19,0.03,0.57,0.43,"202307 기준 '괸당집신시가지점'(주소: 제주 서귀포시 서호동 1477-3번지 1층)은/는 20190130에 개설된 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.01%, 18~22시 0.69%, 23~4시 0.29%입니다. 요일별 이용 비중은 월요일 0.13, 화요일 0.13, 수요일 0.15, 목요일 0.06, 금요일 0.1, 토요일 0.19, 일요일 0.24입니다. 평일 0.43, 주말0.57현지인 이용 비중은 0.47입니다. 최근 12개월간 남성 회원 비중은 0.61, 여성 회원 비중은 0.39 입니다. 연령대별 회원 비중은 20대 이하 0.23, 30대 0.3, 40대 0.25, 50대 0.19, 60대 이상 0.03입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 3_25~50%입니다. 건당 평균 이용 금액 구간은 3_25~50%입니다. 해당 가맹점의 고객 평균 재방문율은 1.18 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [냉삼, 괸당집, 맛있다, 껍데기, 볶음밥, 맛, 미나리, 고기, 술, 친절하다, 분위기, 제주, 옛날, 레트로, 숙성, 퀄리티, 서비스, 배부르다, 좋다, 추천] 
",33.2509071,126.5118735,1.18,"[냉삼, 괸당집, 맛있다, 껍데기, 볶음밥, 맛, 미나리, 고기, 술, 친절하다, 분위기, 제주, 옛날, 레트로, 숙성, 퀄리티, 서비스, 배부르다, 좋다, 추천] 
"
202307,옐로우돕,20200309,단품요리 전문,제주 제주시 일도이동 380-2번지 1층,상위 90% 초과(하위 10% 이하),상위 50~75%,상위 10~25%,0.09,0.09,0.05,0.0,0.27,0.41,0.09,0.0,0.41,0.23,0.36,0.0,0.26,0.46,0.54,0.41,0.46,0.09,0.02,0.01,0.5,0.5,"202307 기준 '옐로우돕'(주소: 제주 제주시 일도이동 380-2번지 1층)은/는 20200309에 개설된 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.41%, 14~17시 0.23%, 18~22시 0.36%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.09, 화요일 0.09, 수요일 0.05, 목요일 0.0, 금요일 0.27, 토요일 0.41, 일요일 0.09입니다. 평일 0.5, 주말0.5현지인 이용 비중은 0.26입니다. 최근 12개월간 남성 회원 비중은 0.46, 여성 회원 비중은 0.54 입니다. 연령대별 회원 비중은 20대 이하 0.41, 30대 0.46, 40대 0.09, 50대 0.02, 60대 이상 0.01입니다. 이 가맹점의 이용 건수 구간은 6_90% 초과(하위 10% 이하)이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 2_10~25%입니다. 해당 가맹점의 고객 평균 재방문율은 1.06 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: ## 제주도 맛집 키워드 (20개) :

* **맛**:  독특, 맛있다, 짜다, 달다, 맵다,  고소하다,  느끼하다,  환상,  중독,  조화롭다,  진하다,  새롭다,  풍미,  감칠맛,  입맛,  향신료,  시큼,  고급,  특색,  개성
* **만족도**:  만족스럽다,  최고,  훌륭하다,  강추,  감동,  행복,  후회,  아쉽다,  추천,  인생,  별로,  최애,  신세계,  만족
* **서비스**:  친절하다,  위트,  설명,  전문가,  추천,  관심,  정성,  손님,  배려,  따뜻,  기분,  소통,  예약,  주문
* **분위기**:  분위기,  좋다,  특별,  세련,  조용,  시끄럽,  쾌적,  편안,  아늑,  힙,  모던,  고급스럽,  세련,  깔끔
* **음식량**:  양,  많다,  적다,  푸짐,  넉넉,  배부르다,  부족,  가성비,  가격,  코스,  메뉴,  디저트,  에피타이저,  포장",33.5053453,126.5402632,1.06,"## 제주도 맛집 키워드 (20개) :

* **맛**:  독특, 맛있다, 짜다, 달다, 맵다,  고소하다,  느끼하다,  환상,  중독,  조화롭다,  진하다,  새롭다,  풍미,  감칠맛,  입맛,  향신료,  시큼,  고급,  특색,  개성
* **만족도**:  만족스럽다,  최고,  훌륭하다,  강추,  감동,  행복,  후회,  아쉽다,  추천,  인생,  별로,  최애,  신세계,  만족
* **서비스**:  친절하다,  위트,  설명,  전문가,  추천,  관심,  정성,  손님,  배려,  따뜻,  기분,  소통,  예약,  주문
* **분위기**:  분위기,  좋다,  특별,  세련,  조용,  시끄럽,  쾌적,  편안,  아늑,  힙,  모던,  고급스럽,  세련,  깔끔
* **음식량**:  양,  많다,  적다,  푸짐,  넉넉,  배부르다,  부족,  가성비,  가격,  코스,  메뉴,  디저트,  에피타이저,  포장"
202307,칠돈가 표선직영점,20141224,단품요리 전문,제주 서귀포시 표선면 표선리 44-3번지,상위 25~50%,상위 10% 이하,상위 10~25%,0.08,0.14,0.0,0.14,0.21,0.24,0.18,0.0,0.02,0.08,0.9,0.0,0.02,0.58,0.42,0.1,0.31,0.31,0.19,0.1,0.58,0.42,"202307 기준 '칠돈가 표선직영점'(주소: 제주 서귀포시 표선면 표선리 44-3번지)은/는 20141224에 개설된 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.02%, 14~17시 0.08%, 18~22시 0.9%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.08, 화요일 0.14, 수요일 0.0, 목요일 0.14, 금요일 0.21, 토요일 0.24, 일요일 0.18입니다. 평일 0.42, 주말0.58현지인 이용 비중은 0.02입니다. 최근 12개월간 남성 회원 비중은 0.58, 여성 회원 비중은 0.42 입니다. 연령대별 회원 비중은 20대 이하 0.1, 30대 0.31, 40대 0.31, 50대 0.19, 60대 이상 0.1입니다. 이 가맹점의 이용 건수 구간은 3_25~50%이며, 이용 금액 구간은 1_상위 10% 이하입니다. 건당 평균 이용 금액 구간은 2_10~25%입니다. 해당 가맹점의 고객 평균 재방문율은 1.06 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 흑돼지, 연탄불, 맛있다, 친절하다, 굽다, 육즙, 푸짐하다, 넉넉하다, 맛집, 최고, 훌륭하다, 돼지고기, 김치찌개, 메뉴, 밑반찬, 서비스, 분위기, 만족, 깔끔하다, 숙성 
",33.3258679,126.8440808,1.06,"흑돼지, 연탄불, 맛있다, 친절하다, 굽다, 육즙, 푸짐하다, 넉넉하다, 맛집, 최고, 훌륭하다, 돼지고기, 김치찌개, 메뉴, 밑반찬, 서비스, 분위기, 만족, 깔끔하다, 숙성 
"
202307,녹색집,20220307,가정식,제주 제주시 연동 292-55번지 연동,상위 25~50%,상위 25~50%,상위 50~75%,0.2,0.12,0.21,0.12,0.17,0.17,0.0,0.02,0.13,0.09,0.76,0.0,0.59,0.64,0.36,0.15,0.2,0.29,0.25,0.11,0.83,0.17,"202307 기준 '녹색집'(주소: 제주 제주시 연동 292-55번지 연동)은/는 20220307에 개설된 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.02%, 12~13시 0.13%, 14~17시 0.09%, 18~22시 0.76%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.2, 화요일 0.12, 수요일 0.21, 목요일 0.12, 금요일 0.17, 토요일 0.17, 일요일 0.0입니다. 평일 0.17, 주말0.83현지인 이용 비중은 0.59입니다. 최근 12개월간 남성 회원 비중은 0.64, 여성 회원 비중은 0.36 입니다. 연령대별 회원 비중은 20대 이하 0.15, 30대 0.2, 40대 0.29, 50대 0.25, 60대 이상 0.11입니다. 이 가맹점의 이용 건수 구간은 3_25~50%이며, 이용 금액 구간은 3_25~50%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 1.26 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [맛있다, 최고, 쫄깃쫄깃, 훌륭하다, 깔끔하다, 존맛, 탱, 충실하다, 깨끗하다, 감동, 흡입, 레전드, 칭찬, 친절하다, 질 좋다, 적당하다, 좋다, 야하다, 훌륭하다, 신선하다] 
",33.4883983,126.4956727,1.26,"[맛있다, 최고, 쫄깃쫄깃, 훌륭하다, 깔끔하다, 존맛, 탱, 충실하다, 깨끗하다, 감동, 흡입, 레전드, 칭찬, 친절하다, 질 좋다, 적당하다, 좋다, 야하다, 훌륭하다, 신선하다] 
"
202307,헬로우프렌드,20121231,가정식,제주 제주시 연동 1496-2번지,상위 75~90%,상위 25~50%,상위 10~25%,0.16,0.22,0.14,0.08,0.16,0.22,0.03,0.0,0.0,0.0,0.65,0.35,0.58,0.67,0.33,0.05,0.18,0.33,0.38,0.07,0.76,0.24,"202307 기준 '헬로우프렌드'(주소: 제주 제주시 연동 1496-2번지)은/는 20121231에 개설된 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.0%, 18~22시 0.65%, 23~4시 0.35%입니다. 요일별 이용 비중은 월요일 0.16, 화요일 0.22, 수요일 0.14, 목요일 0.08, 금요일 0.16, 토요일 0.22, 일요일 0.03입니다. 평일 0.24, 주말0.76현지인 이용 비중은 0.58입니다. 최근 12개월간 남성 회원 비중은 0.67, 여성 회원 비중은 0.33 입니다. 연령대별 회원 비중은 20대 이하 0.05, 30대 0.18, 40대 0.33, 50대 0.38, 60대 이상 0.07입니다. 이 가맹점의 이용 건수 구간은 5_75~90%이며, 이용 금액 구간은 3_25~50%입니다. 건당 평균 이용 금액 구간은 2_10~25%입니다. 해당 가맹점의 고객 평균 재방문율은 1.05 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다:  제주도 맛집 키워드 20개:성게, 맛있다, 싱싱하다, 친절하다, 굿, 맛집, 존맛, 탱, 꼬치, 문어, 소라, 술, 웨이팅, 밥, 비비다, 김, 숙회, 썰다, 갓김치, 라면 ",33.4787099,126.489133,1.05," 제주도 맛집 키워드 20개:성게, 맛있다, 싱싱하다, 친절하다, 굿, 맛집, 존맛, 탱, 꼬치, 문어, 소라, 술, 웨이팅, 밥, 비비다, 김, 숙회, 썰다, 갓김치, 라면 "
202307,통발,20190528,양식,제주 서귀포시 성산읍 성산리 140-4번지 2층,상위 75~90%,상위 50~75%,상위 25~50%,0.08,0.24,0.16,0.05,0.21,0.16,0.11,0.0,0.0,0.03,0.97,0.0,0.09,0.43,0.57,0.36,0.39,0.12,0.08,0.04,0.74,0.26,"202307 기준 '통발'(주소: 제주 서귀포시 성산읍 성산리 140-4번지 2층)은/는 20190528에 개설된 양식 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.03%, 18~22시 0.97%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.08, 화요일 0.24, 수요일 0.16, 목요일 0.05, 금요일 0.21, 토요일 0.16, 일요일 0.11입니다. 평일 0.26, 주말0.74현지인 이용 비중은 0.09입니다. 최근 12개월간 남성 회원 비중은 0.43, 여성 회원 비중은 0.57 입니다. 연령대별 회원 비중은 20대 이하 0.36, 30대 0.39, 40대 0.12, 50대 0.08, 60대 이상 0.04입니다. 이 가맹점의 이용 건수 구간은 5_75~90%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 3_25~50%입니다. 해당 가맹점의 고객 평균 재방문율은 1.12 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [통발, 숙성회, 성산일출봉, 뷰, 맛, 신선, 맛있다, 친절, 분위기, 훌륭하다, 만족, 코스, 세트, 푸짐, 넉넉, 깔끔, 다양, 저렴, 강추, 재방문] 
",33.460965,126.9340716,1.12,"[통발, 숙성회, 성산일출봉, 뷰, 맛, 신선, 맛있다, 친절, 분위기, 훌륭하다, 만족, 코스, 세트, 푸짐, 넉넉, 깔끔, 다양, 저렴, 강추, 재방문] 
"
202307,감낭집,20031125,분식,제주 서귀포시 표선면 표선리 40-1번지,상위 50~75%,상위 90% 초과(하위 10% 이하),상위 50~75%,0.08,0.02,0.15,0.18,0.2,0.22,0.15,0.02,0.2,0.18,0.6,0.0,0.11,0.56,0.44,0.05,0.17,0.34,0.24,0.21,0.62,0.38,"202307 기준 '감낭집'(주소: 제주 서귀포시 표선면 표선리 40-1번지)은/는 20031125에 개설된 분식 업종입니다. 이용 시간대별 비중은 5~11시 0.02%, 12~13시 0.2%, 14~17시 0.18%, 18~22시 0.6%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.08, 화요일 0.02, 수요일 0.15, 목요일 0.18, 금요일 0.2, 토요일 0.22, 일요일 0.15입니다. 평일 0.38, 주말0.62현지인 이용 비중은 0.11입니다. 최근 12개월간 남성 회원 비중은 0.56, 여성 회원 비중은 0.44 입니다. 연령대별 회원 비중은 20대 이하 0.05, 30대 0.17, 40대 0.34, 50대 0.24, 60대 이상 0.21입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 6_90% 초과(하위 10% 이하)입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 1.0 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: ## 제주도 맛집 키워드:

막걸리, 맛있다, 칼국수, 국밥, 비빔밥, 감자전, 파전, 잔치국수, 맛, 만족, 친절, 분위기, 양, 가격, 푸짐, 깔끔, 뜨끈, 시원, 바삭, 쫄깃 
",33.3225098,126.8418176,1.0,"## 제주도 맛집 키워드:

막걸리, 맛있다, 칼국수, 국밥, 비빔밥, 감자전, 파전, 잔치국수, 맛, 만족, 친절, 분위기, 양, 가격, 푸짐, 깔끔, 뜨끈, 시원, 바삭, 쫄깃 
"
