기준연월,가맹점명,개설일자,업종,주소,이용건수구간,이용금액구간,건당평균이용금액구간,월요일이용건수비중,화요일이용건수비중,수요일이용건수비중,목요일이용건수비중,금요일이용건수비중,토요일이용건수비중,일요일이용건수비중,5시11시이용건수비중,12시13시이용건수비중,14시17시이용건수비중,18시22시이용건수비중,23시4시이용건수비중,현지인이용건수비중,최근12개월남성회원수비중,최근12개월여성회원수비중,최근12개월20대이하회원수비중,최근12개월30대회원수비중,최근12개월40대회원수비중,최근12개월50대회원수비중,최근12개월60대이상회원수비중,주말이용건수비중,평일이용건수비중,정보,위도,경도,재방문율 평균,리뷰키워드_20개
202303,중종,20181024,가정식,제주 제주시 오라삼동 2912-5번지 1층,상위 75~90%,상위 25~50%,상위 10% 이하,0.21,0.28,0.17,0.07,0.1,0.03,0.14,0.03,0.52,0.1,0.34,0.0,0.59,0.51,0.49,0.13,0.17,0.35,0.29,0.07,0.83,0.17,"202303 기준 '중종'(주소: 제주 제주시 오라삼동 2912-5번지 1층)은/는 20181024에 개설된 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.03%, 12~13시 0.52%, 14~17시 0.1%, 18~22시 0.34%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.21, 화요일 0.28, 수요일 0.17, 목요일 0.07, 금요일 0.1, 토요일 0.03, 일요일 0.14입니다. 평일 0.17, 주말0.83현지인 이용 비중은 0.59입니다. 최근 12개월간 남성 회원 비중은 0.51, 여성 회원 비중은 0.49 입니다. 연령대별 회원 비중은 20대 이하 0.13, 30대 0.17, 40대 0.35, 50대 0.29, 60대 이상 0.07입니다. 이 가맹점의 이용 건수 구간은 5_75~90%이며, 이용 금액 구간은 3_25~50%입니다. 건당 평균 이용 금액 구간은 1_상위 10% 이하입니다. 해당 가맹점의 고객 평균 재방문율은 1.8 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [흑돼지, 맛, 최고, 강추, 고소, 좋다, 자주, 질, 정말, 반찬, 친절, 가족, 회식, 분위기, 외국, 여행, 인스타, 줄, 후회, 느끼다, 냉면, 김치찌개, 꼭, 맛있다, 굽다, 차다, 돼지, 찌개, 싶다, 도청, 주차, 편하다] 
",33.4898127,126.5020474,1.8,"[흑돼지, 맛, 최고, 강추, 고소, 좋다, 자주, 질, 정말, 반찬, 친절, 가족, 회식, 분위기, 외국, 여행, 인스타, 줄, 후회, 느끼다, 냉면, 김치찌개, 꼭, 맛있다, 굽다, 차다, 돼지, 찌개, 싶다, 도청, 주차, 편하다] 
"
202303,우주파,20220519,양식,제주 제주시 삼도이동 1221-10번지 1층,상위 75~90%,상위 50~75%,상위 25~50%,0.07,0.0,0.0,0.1,0.2,0.37,0.27,0.0,0.0,0.0,0.77,0.23,0.3,0.51,0.49,0.28,0.42,0.17,0.11,0.02,0.37,0.63,"202303 기준 '우주파'(주소: 제주 제주시 삼도이동 1221-10번지 1층)은/는 20220519에 개설된 양식 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.0%, 18~22시 0.77%, 23~4시 0.23%입니다. 요일별 이용 비중은 월요일 0.07, 화요일 0.0, 수요일 0.0, 목요일 0.1, 금요일 0.2, 토요일 0.37, 일요일 0.27입니다. 평일 0.63, 주말0.37현지인 이용 비중은 0.3입니다. 최근 12개월간 남성 회원 비중은 0.51, 여성 회원 비중은 0.49 입니다. 연령대별 회원 비중은 20대 이하 0.28, 30대 0.42, 40대 0.17, 50대 0.11, 60대 이상 0.02입니다. 이 가맹점의 이용 건수 구간은 5_75~90%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 3_25~50%입니다. 해당 가맹점의 고객 평균 재방문율은 1.04 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: ## 제주도 맛집 키워드:

**맛:** 맛있다, 존맛탱, 꿀맛, 부드럽다, 최고, 시원하다, 넘다, 맥주, 플래터, 흑돼지, 풀드포크, 브리오쉬, 파스타, 햄버거, 칵테일, 소스, 맥주, 와인, 안주

**만족도:** 좋다, 너무 좋다, 완벽하다, 행복하다, 즐겁다, 추천, 강추, 최고, 멋지다, 짱짱, 기분 좋다, 만족스럽다

**서비스:** 친절하다, 사장, 직원, 웰컴, 대처, 덤,  

**분위기:** 분위기, 힙, 감성, 낭만, 센치, 루프탑, 야외, 바다, 노을, 뷰, 멋있다, 예쁘다, 굿굿, 

**음식량:** 푸짐하다, 배부르다, 많다, 양 
",33.5176951,126.5167432,1.04,"## 제주도 맛집 키워드:

**맛:** 맛있다, 존맛탱, 꿀맛, 부드럽다, 최고, 시원하다, 넘다, 맥주, 플래터, 흑돼지, 풀드포크, 브리오쉬, 파스타, 햄버거, 칵테일, 소스, 맥주, 와인, 안주

**만족도:** 좋다, 너무 좋다, 완벽하다, 행복하다, 즐겁다, 추천, 강추, 최고, 멋지다, 짱짱, 기분 좋다, 만족스럽다

**서비스:** 친절하다, 사장, 직원, 웰컴, 대처, 덤,  

**분위기:** 분위기, 힙, 감성, 낭만, 센치, 루프탑, 야외, 바다, 노을, 뷰, 멋있다, 예쁘다, 굿굿, 

**음식량:** 푸짐하다, 배부르다, 많다, 양 
"
202303,우정회센타1호점,20210817,가정식,제주 서귀포시 서귀동 276-19번지 서귀동,상위 10~25%,상위 50~75%,상위 90% 초과(하위 10% 이하),0.12,0.15,0.1,0.15,0.11,0.18,0.2,0.0,0.0,0.1,0.89,0.01,0.06,0.55,0.45,0.27,0.35,0.22,0.13,0.03,0.62,0.38,"202303 기준 '우정회센타1호점'(주소: 제주 서귀포시 서귀동 276-19번지 서귀동)은/는 20210817에 개설된 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.1%, 18~22시 0.89%, 23~4시 0.01%입니다. 요일별 이용 비중은 월요일 0.12, 화요일 0.15, 수요일 0.1, 목요일 0.15, 금요일 0.11, 토요일 0.18, 일요일 0.2입니다. 평일 0.38, 주말0.62현지인 이용 비중은 0.06입니다. 최근 12개월간 남성 회원 비중은 0.55, 여성 회원 비중은 0.45 입니다. 연령대별 회원 비중은 20대 이하 0.27, 30대 0.35, 40대 0.22, 50대 0.13, 60대 이상 0.03입니다. 이 가맹점의 이용 건수 구간은 2_10~25%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 6_90% 초과(하위 10% 이하)입니다. 해당 가맹점의 고객 평균 재방문율은 1.08 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: ## 제주도 맛집 키워드 (20개)

* 신선
* 맛있다
* 최고
* 푸짐
* 가성비
* 친절
* 싱싱
* 깔끔
* 분위기
* 넉넉
* 푸짐
* 만족
* 풍성
* 훌륭
* 착하다
* 시원
* 든든
* 괜찮다
* 좋다
* 굿 
",33.2495636,126.5630367,1.08,"## 제주도 맛집 키워드 (20개)

* 신선
* 맛있다
* 최고
* 푸짐
* 가성비
* 친절
* 싱싱
* 깔끔
* 분위기
* 넉넉
* 푸짐
* 만족
* 풍성
* 훌륭
* 착하다
* 시원
* 든든
* 괜찮다
* 좋다
* 굿 
"
202303,쌍둥이횟집본점,20030618,일식,제주 서귀포시 서귀동 496-18번지,상위 10% 이하,상위 10% 이하,상위 10% 이하,0.13,0.22,0.0,0.19,0.09,0.21,0.15,0.02,0.19,0.17,0.62,0.0,0.14,0.57,0.43,0.07,0.15,0.29,0.28,0.2,0.64,0.36,"202303 기준 '쌍둥이횟집본점'(주소: 제주 서귀포시 서귀동 496-18번지)은/는 20030618에 개설된 일식 업종입니다. 이용 시간대별 비중은 5~11시 0.02%, 12~13시 0.19%, 14~17시 0.17%, 18~22시 0.62%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.13, 화요일 0.22, 수요일 0.0, 목요일 0.19, 금요일 0.09, 토요일 0.21, 일요일 0.15입니다. 평일 0.36, 주말0.64현지인 이용 비중은 0.14입니다. 최근 12개월간 남성 회원 비중은 0.57, 여성 회원 비중은 0.43 입니다. 연령대별 회원 비중은 20대 이하 0.07, 30대 0.15, 40대 0.29, 50대 0.28, 60대 이상 0.2입니다. 이 가맹점의 이용 건수 구간은 1_상위 10% 이하이며, 이용 금액 구간은 1_상위 10% 이하입니다. 건당 평균 이용 금액 구간은 1_상위 10% 이하입니다. 해당 가맹점의 고객 평균 재방문율은 1.27 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [가성비, 푸짐, 맛있다, 신선, 친절, 배부르다, 많다, 다양, 싱싱, 혜자, 맛집, 최고, 만족, 좋다, 괜찮다, 추천, 재방문, 쌍둥이, 횟집, 코스] 
",33.2466261,126.5629534,1.27,"[가성비, 푸짐, 맛있다, 신선, 친절, 배부르다, 많다, 다양, 싱싱, 혜자, 맛집, 최고, 만족, 좋다, 괜찮다, 추천, 재방문, 쌍둥이, 횟집, 코스] 
"
202303,복태네갈치탕,20191014,단품요리 전문,제주 서귀포시 대정읍 상모리 131-3번지 대정,상위 50~75%,상위 50~75%,상위 25~50%,0.08,0.21,0.03,0.21,0.13,0.26,0.08,0.26,0.53,0.21,0.0,0.0,0.07,0.52,0.48,0.05,0.12,0.25,0.32,0.26,0.66,0.34,"202303 기준 '복태네갈치탕'(주소: 제주 서귀포시 대정읍 상모리 131-3번지 대정)은/는 20191014에 개설된 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.26%, 12~13시 0.53%, 14~17시 0.21%, 18~22시 0.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.08, 화요일 0.21, 수요일 0.03, 목요일 0.21, 금요일 0.13, 토요일 0.26, 일요일 0.08입니다. 평일 0.34, 주말0.66현지인 이용 비중은 0.07입니다. 최근 12개월간 남성 회원 비중은 0.52, 여성 회원 비중은 0.48 입니다. 연령대별 회원 비중은 20대 이하 0.05, 30대 0.12, 40대 0.25, 50대 0.32, 60대 이상 0.26입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 3_25~50%입니다. 해당 가맹점의 고객 평균 재방문율은 1.18 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [가성비, 맛있다, 친절하다, 푸짐하다, 깔끔하다, 싱싱하다, 넉넉하다, 만족스럽다, 훌륭하다, 괜찮다, 좋다, 최고, 든든하다, 푸짐하다, 넘치다, 강력추천, 저렴하다, 착하다, 맛집, 뷰] 
",33.2076352,126.2907335,1.18,"[가성비, 맛있다, 친절하다, 푸짐하다, 깔끔하다, 싱싱하다, 넉넉하다, 만족스럽다, 훌륭하다, 괜찮다, 좋다, 최고, 든든하다, 푸짐하다, 넘치다, 강력추천, 저렴하다, 착하다, 맛집, 뷰] 
"
202303,24시뼈다귀탕중문점,20180424,단품요리 전문,제주 서귀포시 중문동 2439-1번지 1층,상위 25~50%,상위 50~75%,상위 75~90%,0.07,0.17,0.15,0.18,0.17,0.14,0.13,0.27,0.22,0.19,0.32,0.0,0.53,0.7,0.3,0.07,0.21,0.33,0.27,0.12,0.73,0.27,"202303 기준 '24시뼈다귀탕중문점'(주소: 제주 서귀포시 중문동 2439-1번지 1층)은/는 20180424에 개설된 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.27%, 12~13시 0.22%, 14~17시 0.19%, 18~22시 0.32%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.07, 화요일 0.17, 수요일 0.15, 목요일 0.18, 금요일 0.17, 토요일 0.14, 일요일 0.13입니다. 평일 0.27, 주말0.73현지인 이용 비중은 0.53입니다. 최근 12개월간 남성 회원 비중은 0.7, 여성 회원 비중은 0.3 입니다. 연령대별 회원 비중은 20대 이하 0.07, 30대 0.21, 40대 0.33, 50대 0.27, 60대 이상 0.12입니다. 이 가맹점의 이용 건수 구간은 3_25~50%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 5_75~90%입니다. 해당 가맹점의 고객 평균 재방문율은 1.48 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [맛있다, 최고, 국물, 뼈, 고기, 콩나물, 듬뿍, 푸짐, 깔끔, 시원, 진하다, 부드럽다, 
  매콤, 얼큰, 술안주, 해장, 든든, 볶음밥, 친절, 가성비] 
",33.2501242,126.4305751,1.48,"[맛있다, 최고, 국물, 뼈, 고기, 콩나물, 듬뿍, 푸짐, 깔끔, 시원, 진하다, 부드럽다, 
  매콤, 얼큰, 술안주, 해장, 든든, 볶음밥, 친절, 가성비] 
"
202303,포차천국,20191209,가정식,제주 제주시 이도이동 1765-3번지 2층,상위 75~90%,상위 50~75%,상위 25~50%,0.11,0.08,0.17,0.31,0.06,0.14,0.14,0.0,0.0,0.0,0.5,0.5,0.77,0.53,0.47,0.65,0.11,0.12,0.12,0.01,0.72,0.28,"202303 기준 '포차천국'(주소: 제주 제주시 이도이동 1765-3번지 2층)은/는 20191209에 개설된 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.0%, 18~22시 0.5%, 23~4시 0.5%입니다. 요일별 이용 비중은 월요일 0.11, 화요일 0.08, 수요일 0.17, 목요일 0.31, 금요일 0.06, 토요일 0.14, 일요일 0.14입니다. 평일 0.28, 주말0.72현지인 이용 비중은 0.77입니다. 최근 12개월간 남성 회원 비중은 0.53, 여성 회원 비중은 0.47 입니다. 연령대별 회원 비중은 20대 이하 0.65, 30대 0.11, 40대 0.12, 50대 0.12, 60대 이상 0.01입니다. 이 가맹점의 이용 건수 구간은 5_75~90%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 3_25~50%입니다. 해당 가맹점의 고객 평균 재방문율은 1.74 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [맛있다, 최고, 술밥, 육회, 물회, 낙곱새, 안주, 분위기, 친절, 가성비, 맛집, 술, 좋다, 음식, 다양하다, 리필, 푸짐, 술게임, 시원, 칼칼하다] 
",33.4979481,126.5292793,1.74,"[맛있다, 최고, 술밥, 육회, 물회, 낙곱새, 안주, 분위기, 친절, 가성비, 맛집, 술, 좋다, 음식, 다양하다, 리필, 푸짐, 술게임, 시원, 칼칼하다] 
"
202303,전주이모네,20130703,가정식,제주 제주시 연동 283-64번지,상위 25~50%,상위 25~50%,상위 50~75%,0.11,0.22,0.18,0.18,0.11,0.13,0.07,0.06,0.18,0.12,0.25,0.38,0.56,0.66,0.34,0.14,0.26,0.32,0.2,0.08,0.8,0.2,"202303 기준 '전주이모네'(주소: 제주 제주시 연동 283-64번지)은/는 20130703에 개설된 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.06%, 12~13시 0.18%, 14~17시 0.12%, 18~22시 0.25%, 23~4시 0.38%입니다. 요일별 이용 비중은 월요일 0.11, 화요일 0.22, 수요일 0.18, 목요일 0.18, 금요일 0.11, 토요일 0.13, 일요일 0.07입니다. 평일 0.2, 주말0.8현지인 이용 비중은 0.56입니다. 최근 12개월간 남성 회원 비중은 0.66, 여성 회원 비중은 0.34 입니다. 연령대별 회원 비중은 20대 이하 0.14, 30대 0.26, 40대 0.32, 50대 0.2, 60대 이상 0.08입니다. 이 가맹점의 이용 건수 구간은 3_25~50%이며, 이용 금액 구간은 3_25~50%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 1.6 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [맛있다, 굿, 최고, 강추하다, 맛집, 징맛, 깔끔하다, 좋다, 친절하다, 융통성, 특이하다, 나름,  괜찮다,  아쉽다,  저렴하다,  비싸다,  부족하다,  많다,  느끼하다,  맵다] 
",33.48653669999999,126.4921356,1.6,"[맛있다, 굿, 최고, 강추하다, 맛집, 징맛, 깔끔하다, 좋다, 친절하다, 융통성, 특이하다, 나름,  괜찮다,  아쉽다,  저렴하다,  비싸다,  부족하다,  많다,  느끼하다,  맵다] 
"
202303,이인자뼈다귀해장국,20131230,단품요리 전문,제주 제주시 노형동 1279-15번지,상위 25~50%,상위 25~50%,상위 50~75%,0.1,0.2,0.15,0.23,0.19,0.13,0.0,0.05,0.22,0.16,0.57,0.0,0.81,0.6,0.4,0.15,0.26,0.34,0.2,0.05,0.87,0.13,"202303 기준 '이인자뼈다귀해장국'(주소: 제주 제주시 노형동 1279-15번지)은/는 20131230에 개설된 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.05%, 12~13시 0.22%, 14~17시 0.16%, 18~22시 0.57%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.1, 화요일 0.2, 수요일 0.15, 목요일 0.23, 금요일 0.19, 토요일 0.13, 일요일 0.0입니다. 평일 0.13, 주말0.87현지인 이용 비중은 0.81입니다. 최근 12개월간 남성 회원 비중은 0.6, 여성 회원 비중은 0.4 입니다. 연령대별 회원 비중은 20대 이하 0.15, 30대 0.26, 40대 0.34, 50대 0.2, 60대 이상 0.05입니다. 이 가맹점의 이용 건수 구간은 3_25~50%이며, 이용 금액 구간은 3_25~50%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 1.86 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [맛있다, 푸짐하다, 친절하다, 국물, 뼈, 해장국, 감자탕, 부드럽다, 양, 볶음밥, 맛집, 넉넉하다, 진하다, 깔끔하다, 시원하다, 든든하다, 최고, 강추, 엄청, 훌륭하다] 
",33.487751,126.4788306,1.86,"[맛있다, 푸짐하다, 친절하다, 국물, 뼈, 해장국, 감자탕, 부드럽다, 양, 볶음밥, 맛집, 넉넉하다, 진하다, 깔끔하다, 시원하다, 든든하다, 최고, 강추, 엄청, 훌륭하다] 
"
202303,은혜성,20070109,중식,제주 제주시 내도동 311-3번지 1층,상위 25~50%,상위 50~75%,상위 50~75%,0.22,0.19,0.17,0.12,0.1,0.2,0.0,0.2,0.34,0.21,0.24,0.0,0.82,0.63,0.37,0.07,0.17,0.34,0.32,0.12,0.8,0.2,"202303 기준 '은혜성'(주소: 제주 제주시 내도동 311-3번지 1층)은/는 20070109에 개설된 중식 업종입니다. 이용 시간대별 비중은 5~11시 0.2%, 12~13시 0.34%, 14~17시 0.21%, 18~22시 0.24%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.22, 화요일 0.19, 수요일 0.17, 목요일 0.12, 금요일 0.1, 토요일 0.2, 일요일 0.0입니다. 평일 0.2, 주말0.8현지인 이용 비중은 0.82입니다. 최근 12개월간 남성 회원 비중은 0.63, 여성 회원 비중은 0.37 입니다. 연령대별 회원 비중은 20대 이하 0.07, 30대 0.17, 40대 0.34, 50대 0.32, 60대 이상 0.12입니다. 이 가맹점의 이용 건수 구간은 3_25~50%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 2.0 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [맛있다, 짬뽕, 짜장, 탕수육, 칼칼하다, 쫀득, 맛, 간짜장, 짜지다, 알맞다, 아삭아삭, 질감, 푸짐, 셀프, 반찬, 밥, 착하다, 친절하다, 굿, 최고] 
",33.49286,126.4413807,2.0,"[맛있다, 짬뽕, 짜장, 탕수육, 칼칼하다, 쫀득, 맛, 간짜장, 짜지다, 알맞다, 아삭아삭, 질감, 푸짐, 셀프, 반찬, 밥, 착하다, 친절하다, 굿, 최고] 
"
