기준연월,가맹점명,개설일자,업종,주소,이용건수구간,이용금액구간,건당평균이용금액구간,월요일이용건수비중,화요일이용건수비중,수요일이용건수비중,목요일이용건수비중,금요일이용건수비중,토요일이용건수비중,일요일이용건수비중,5시11시이용건수비중,12시13시이용건수비중,14시17시이용건수비중,18시22시이용건수비중,23시4시이용건수비중,현지인이용건수비중,최근12개월남성회원수비중,최근12개월여성회원수비중,최근12개월20대이하회원수비중,최근12개월30대회원수비중,최근12개월40대회원수비중,최근12개월50대회원수비중,최근12개월60대이상회원수비중,주말이용건수비중,평일이용건수비중,정보,위도,경도,재방문율 평균,리뷰키워드_20개
202312,불닭공장외도점,20230714,단품요리 전문,제주 제주시 외도일동 551-6번지 다세대주택 가동 1층,상위 75~90%,상위 75~90%,상위 25~50%,0.22,0.12,0.09,0.16,0.19,0.16,0.06,0.0,0.0,0.09,0.75,0.16,0.9,0.55,0.45,0.17,0.23,0.34,0.24,0.03,0.78,0.22,"202312 기준 '불닭공장외도점'(주소: 제주 제주시 외도일동 551-6번지 다세대주택 가동 1층)은/는 20230714에 개설된 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.09%, 18~22시 0.75%, 23~4시 0.16%입니다. 요일별 이용 비중은 월요일 0.22, 화요일 0.12, 수요일 0.09, 목요일 0.16, 금요일 0.19, 토요일 0.16, 일요일 0.06입니다. 평일 0.22, 주말0.78현지인 이용 비중은 0.9입니다. 최근 12개월간 남성 회원 비중은 0.55, 여성 회원 비중은 0.45 입니다. 연령대별 회원 비중은 20대 이하 0.17, 30대 0.23, 40대 0.34, 50대 0.24, 60대 이상 0.03입니다. 이 가맹점의 이용 건수 구간은 5_75~90%이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 3_25~50%입니다. 해당 가맹점의 고객 평균 재방문율은 1.16 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [불닭, 닭발, 날개, 맛있다, 맵다, 친절하다, 술술, 넘다, 최고, 굿, 맛집,  강추, 푸짐하다, 서비스, 분위기, 깔끔하다, 넓다, 시원하다, 든든하다, 존맛] 
",33.4872656,126.4320293,1.16,"[불닭, 닭발, 날개, 맛있다, 맵다, 친절하다, 술술, 넘다, 최고, 굿, 맛집,  강추, 푸짐하다, 서비스, 분위기, 깔끔하다, 넓다, 시원하다, 든든하다, 존맛] 
"
202312,전라도식당,20180816,가정식,제주 제주시 연동 274-6번지 1층,상위 10~25%,상위 10~25%,상위 25~50%,0.15,0.09,0.15,0.21,0.14,0.18,0.09,0.3,0.06,0.04,0.3,0.29,0.53,0.65,0.35,0.18,0.3,0.29,0.15,0.08,0.74,0.26,"202312 기준 '전라도식당'(주소: 제주 제주시 연동 274-6번지 1층)은/는 20180816에 개설된 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.3%, 12~13시 0.06%, 14~17시 0.04%, 18~22시 0.3%, 23~4시 0.29%입니다. 요일별 이용 비중은 월요일 0.15, 화요일 0.09, 수요일 0.15, 목요일 0.21, 금요일 0.14, 토요일 0.18, 일요일 0.09입니다. 평일 0.26, 주말0.74현지인 이용 비중은 0.53입니다. 최근 12개월간 남성 회원 비중은 0.65, 여성 회원 비중은 0.35 입니다. 연령대별 회원 비중은 20대 이하 0.18, 30대 0.3, 40대 0.29, 50대 0.15, 60대 이상 0.08입니다. 이 가맹점의 이용 건수 구간은 2_10~25%이며, 이용 금액 구간은 2_10~25%입니다. 건당 평균 이용 금액 구간은 3_25~50%입니다. 해당 가맹점의 고객 평균 재방문율은 1.12 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [맛있다,  최고,  추천,  별로,  굿,  좋다,  강추,  맛없다,  싱싱,  신선,  푸짐,  양 많다,  넉넉,  친절,  서비스,  깔끔,  분위기,  저렴,  가성비,  만족] 
",33.4853097,126.4901909,1.12,"[맛있다,  최고,  추천,  별로,  굿,  좋다,  강추,  맛없다,  싱싱,  신선,  푸짐,  양 많다,  넉넉,  친절,  서비스,  깔끔,  분위기,  저렴,  가성비,  만족] 
"
202312,착한정육식당,20210304,가정식,제주 제주시 도련일동 1903-13번지,상위 90% 초과(하위 10% 이하),상위 50~75%,상위 10% 이하,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.77,0.23,0.0,0.17,0.15,0.52,0.17,0.0,1.0,"202312 기준 '착한정육식당'(주소: 제주 제주시 도련일동 1903-13번지)은/는 20210304에 개설된 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 1.0%, 18~22시 0.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.0, 화요일 0.0, 수요일 0.0, 목요일 0.0, 금요일 0.0, 토요일 0.0, 일요일 1.0입니다. 평일 1.0, 주말0.0현지인 이용 비중은 0.82입니다. 최근 12개월간 남성 회원 비중은 0.77, 여성 회원 비중은 0.23 입니다. 연령대별 회원 비중은 20대 이하 0.0, 30대 0.17, 40대 0.15, 50대 0.52, 60대 이상 0.17입니다. 이 가맹점의 이용 건수 구간은 6_90% 초과(하위 10% 이하)이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 1_상위 10% 이하입니다. 해당 가맹점의 고객 평균 재방문율은 1.04 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [맛있다, 신선하다, 부드럽다, 쫄깃, 육즙, 숙성, 드라이에이징, 맛집, 최고, 저렴하다, 가성비, 풍부하다, 푸짐하다, 깔끔하다, 쾌적하다, 친절하다, 넓다, 넓은, 좋다, 만족스럽다] 
",33.5107069,126.5860031,1.04,"[맛있다, 신선하다, 부드럽다, 쫄깃, 육즙, 숙성, 드라이에이징, 맛집, 최고, 저렴하다, 가성비, 풍부하다, 푸짐하다, 깔끔하다, 쾌적하다, 친절하다, 넓다, 넓은, 좋다, 만족스럽다] 
"
202312,해변,20050407,단품요리 전문,제주 제주시 애월읍 애월리 410-6번지,상위 25~50%,상위 10% 이하,상위 10~25%,0.06,0.17,0.09,0.19,0.15,0.17,0.18,0.02,0.12,0.21,0.65,0.0,0.21,0.54,0.46,0.22,0.23,0.18,0.21,0.16,0.65,0.35,"202312 기준 '해변'(주소: 제주 제주시 애월읍 애월리 410-6번지)은/는 20050407에 개설된 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.02%, 12~13시 0.12%, 14~17시 0.21%, 18~22시 0.65%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.06, 화요일 0.17, 수요일 0.09, 목요일 0.19, 금요일 0.15, 토요일 0.17, 일요일 0.18입니다. 평일 0.35, 주말0.65현지인 이용 비중은 0.21입니다. 최근 12개월간 남성 회원 비중은 0.54, 여성 회원 비중은 0.46 입니다. 연령대별 회원 비중은 20대 이하 0.22, 30대 0.23, 40대 0.18, 50대 0.21, 60대 이상 0.16입니다. 이 가맹점의 이용 건수 구간은 3_25~50%이며, 이용 금액 구간은 1_상위 10% 이하입니다. 건당 평균 이용 금액 구간은 2_10~25%입니다. 해당 가맹점의 고객 평균 재방문율은 1.1 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [생갈비, 양념갈비, 막국수, 맛있다, 푸짐하다, 두툼하다, 신선하다, 친절하다, 깔끔하다, 넓다, 맛집, 강추, 최고, 즐겁다, 만족, 서비스, 분위기, 가성비, 넉넉하다, 푸짐] 
",33.4658776,126.3235362,1.1,"[생갈비, 양념갈비, 막국수, 맛있다, 푸짐하다, 두툼하다, 신선하다, 친절하다, 깔끔하다, 넓다, 맛집, 강추, 최고, 즐겁다, 만족, 서비스, 분위기, 가성비, 넉넉하다, 푸짐] 
"
202312,미우,20210303,가정식,제주 제주시 이도이동 1948-9번지,상위 50~75%,상위 10~25%,상위 25~50%,0.16,0.12,0.07,0.18,0.25,0.19,0.04,0.0,0.0,0.02,0.63,0.35,0.87,0.43,0.57,0.19,0.37,0.3,0.12,0.02,0.77,0.23,"202312 기준 '미우'(주소: 제주 제주시 이도이동 1948-9번지)은/는 20210303에 개설된 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.02%, 18~22시 0.63%, 23~4시 0.35%입니다. 요일별 이용 비중은 월요일 0.16, 화요일 0.12, 수요일 0.07, 목요일 0.18, 금요일 0.25, 토요일 0.19, 일요일 0.04입니다. 평일 0.23, 주말0.77현지인 이용 비중은 0.87입니다. 최근 12개월간 남성 회원 비중은 0.43, 여성 회원 비중은 0.57 입니다. 연령대별 회원 비중은 20대 이하 0.19, 30대 0.37, 40대 0.3, 50대 0.12, 60대 이상 0.02입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 2_10~25%입니다. 건당 평균 이용 금액 구간은 3_25~50%입니다. 해당 가맹점의 고객 평균 재방문율은 1.32 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [맛있다, 깔끔하다, 좋다, 훌륭, 만족, 친절, 신선, 부드럽, 고소, 넉넉, 푸짐, 싱싱, 맛집, 분위기, 멋지다, 시끄럽다, 조용하다, 깔끔, 깨끗,  가성비] 
",33.4940189,126.5447324,1.32,"[맛있다, 깔끔하다, 좋다, 훌륭, 만족, 친절, 신선, 부드럽, 고소, 넉넉, 푸짐, 싱싱, 맛집, 분위기, 멋지다, 시끄럽다, 조용하다, 깔끔, 깨끗,  가성비] 
"
202312,만보민물장어,20210106,단품요리 전문,제주 제주시 용담이동 367-23번지 1층,상위 50~75%,상위 50~75%,상위 25~50%,0.19,0.12,0.12,0.0,0.23,0.23,0.1,0.04,0.56,0.12,0.27,0.0,0.84,0.64,0.36,0.02,0.06,0.19,0.28,0.45,0.67,0.33,"202312 기준 '만보민물장어'(주소: 제주 제주시 용담이동 367-23번지 1층)은/는 20210106에 개설된 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.04%, 12~13시 0.56%, 14~17시 0.12%, 18~22시 0.27%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.19, 화요일 0.12, 수요일 0.12, 목요일 0.0, 금요일 0.23, 토요일 0.23, 일요일 0.1입니다. 평일 0.33, 주말0.67현지인 이용 비중은 0.84입니다. 최근 12개월간 남성 회원 비중은 0.64, 여성 회원 비중은 0.36 입니다. 연령대별 회원 비중은 20대 이하 0.02, 30대 0.06, 40대 0.19, 50대 0.28, 60대 이상 0.45입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 3_25~50%입니다. 해당 가맹점의 고객 평균 재방문율은 2.06 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [장어, 맛집, 맛있다, 깔끔하다, 친절하다, 가성비, 굿, 좋다, 푸짐하다, 넉넉하다, 만족스럽다, 훌륭하다, 깨끗하다, 청결하다, 넓다, 넘치다, 최고, 엄청나다, 강추, 인상적이다] 
",33.512351,126.5134669,2.06,"[장어, 맛집, 맛있다, 깔끔하다, 친절하다, 가성비, 굿, 좋다, 푸짐하다, 넉넉하다, 만족스럽다, 훌륭하다, 깨끗하다, 청결하다, 넓다, 넘치다, 최고, 엄청나다, 강추, 인상적이다] 
"
202312,맛있는집밥,20151224,가정식,제주 제주시 노형동 922-3번지 2층,상위 50~75%,상위 90% 초과(하위 10% 이하),상위 50~75%,0.2,0.18,0.11,0.07,0.09,0.2,0.16,0.02,0.42,0.11,0.44,0.0,0.68,0.55,0.45,0.13,0.16,0.31,0.32,0.09,0.64,0.36,"202312 기준 '맛있는집밥'(주소: 제주 제주시 노형동 922-3번지 2층)은/는 20151224에 개설된 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.02%, 12~13시 0.42%, 14~17시 0.11%, 18~22시 0.44%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.2, 화요일 0.18, 수요일 0.11, 목요일 0.07, 금요일 0.09, 토요일 0.2, 일요일 0.16입니다. 평일 0.36, 주말0.64현지인 이용 비중은 0.68입니다. 최근 12개월간 남성 회원 비중은 0.55, 여성 회원 비중은 0.45 입니다. 연령대별 회원 비중은 20대 이하 0.13, 30대 0.16, 40대 0.31, 50대 0.32, 60대 이상 0.09입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 6_90% 초과(하위 10% 이하)입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 1.02 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [집밥, 맛있다, 맛, 반찬, 정갈, 깔끔, 푸짐, 든든, 친절, 따뜻, 엄마, 가정식, 혜자, 착한 가격, 푸짐, 구성, 다양, 만족, 추천, 강추] 
",33.4834478,126.4822043,1.02,"[집밥, 맛있다, 맛, 반찬, 정갈, 깔끔, 푸짐, 든든, 친절, 따뜻, 엄마, 가정식, 혜자, 착한 가격, 푸짐, 구성, 다양, 만족, 추천, 강추] 
"
202312,영덕대게마을,20150305,단품요리 전문,제주 제주시 연동 265-1번지 1층,상위 90% 초과(하위 10% 이하),상위 10~25%,상위 10% 이하,0.19,0.0,0.25,0.06,0.06,0.38,0.06,0.0,0.19,0.06,0.75,0.0,0.55,0.71,0.29,0.07,0.24,0.36,0.26,0.07,0.56,0.44,"202312 기준 '영덕대게마을'(주소: 제주 제주시 연동 265-1번지 1층)은/는 20150305에 개설된 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.19%, 14~17시 0.06%, 18~22시 0.75%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.19, 화요일 0.0, 수요일 0.25, 목요일 0.06, 금요일 0.06, 토요일 0.38, 일요일 0.06입니다. 평일 0.44, 주말0.56현지인 이용 비중은 0.55입니다. 최근 12개월간 남성 회원 비중은 0.71, 여성 회원 비중은 0.29 입니다. 연령대별 회원 비중은 20대 이하 0.07, 30대 0.24, 40대 0.36, 50대 0.26, 60대 이상 0.07입니다. 이 가맹점의 이용 건수 구간은 6_90% 초과(하위 10% 이하)이며, 이용 금액 구간은 2_10~25%입니다. 건당 평균 이용 금액 구간은 1_상위 10% 이하입니다. 해당 가맹점의 고객 평균 재방문율은 1.0 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [신선, 맛있, 푸짐, 싱싱, 꽉차, 통통, 깔끔, 친절, 넉넉, 훌륭, 만족, 착한 가격, 가성비, 훌륭, 최고, 엄청, 대박, 괜찮, 좋다, 넘다] 
",33.483699,126.4888755,1.0,"[신선, 맛있, 푸짐, 싱싱, 꽉차, 통통, 깔끔, 친절, 넉넉, 훌륭, 만족, 착한 가격, 가성비, 훌륭, 최고, 엄청, 대박, 괜찮, 좋다, 넘다] 
"
202312,온오프,20201224,가정식,제주 제주시 우도면 연평리 690번지 1층 102호,상위 50~75%,상위 50~75%,상위 50~75%,0.12,0.12,0.18,0.08,0.18,0.14,0.18,0.32,0.48,0.2,0.0,0.0,0.04,0.47,0.53,0.36,0.34,0.18,0.09,0.02,0.68,0.32,"202312 기준 '온오프'(주소: 제주 제주시 우도면 연평리 690번지 1층 102호)은/는 20201224에 개설된 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.32%, 12~13시 0.48%, 14~17시 0.2%, 18~22시 0.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.12, 화요일 0.12, 수요일 0.18, 목요일 0.08, 금요일 0.18, 토요일 0.14, 일요일 0.18입니다. 평일 0.32, 주말0.68현지인 이용 비중은 0.04입니다. 최근 12개월간 남성 회원 비중은 0.47, 여성 회원 비중은 0.53 입니다. 연령대별 회원 비중은 20대 이하 0.36, 30대 0.34, 40대 0.18, 50대 0.09, 60대 이상 0.02입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 1.02 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [맛있다, 돈까스, 바삭, 촉, 뷰, 좋다, 친절하다, 엄청, 맛집, 분위기, 짱, 훌륭하다, 최고, 맛, 깔끔하다, 푸짐하다, 양, 많다, 가성비, 만족] 
",33.5129245,126.9614204,1.02,"[맛있다, 돈까스, 바삭, 촉, 뷰, 좋다, 친절하다, 엄청, 맛집, 분위기, 짱, 훌륭하다, 최고, 맛, 깔끔하다, 푸짐하다, 양, 많다, 가성비, 만족] 
"
202312,은희네해장국,20130222,단품요리 전문,제주 제주시 외도일동 532-8번지,상위 10~25%,상위 25~50%,상위 75~90%,0.13,0.14,0.14,0.0,0.24,0.18,0.16,0.54,0.41,0.05,0.0,0.0,0.55,0.63,0.37,0.09,0.19,0.36,0.27,0.09,0.66,0.34,"202312 기준 '은희네해장국'(주소: 제주 제주시 외도일동 532-8번지)은/는 20130222에 개설된 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.54%, 12~13시 0.41%, 14~17시 0.05%, 18~22시 0.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.13, 화요일 0.14, 수요일 0.14, 목요일 0.0, 금요일 0.24, 토요일 0.18, 일요일 0.16입니다. 평일 0.34, 주말0.66현지인 이용 비중은 0.55입니다. 최근 12개월간 남성 회원 비중은 0.63, 여성 회원 비중은 0.37 입니다. 연령대별 회원 비중은 20대 이하 0.09, 30대 0.19, 40대 0.36, 50대 0.27, 60대 이상 0.09입니다. 이 가맹점의 이용 건수 구간은 2_10~25%이며, 이용 금액 구간은 3_25~50%입니다. 건당 평균 이용 금액 구간은 5_75~90%입니다. 해당 가맹점의 고객 평균 재방문율은 1.26 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [유명, 맛있, 시원, 칼칼, 뜨겁, 맵, 짜, 깔끔, 푸짐, 든든, 친절, 협소, 많, 웨이팅, 줄, 대기, 혼잡, 만족, 최고, 별로] 
",33.4881828,126.4332917,1.26,"[유명, 맛있, 시원, 칼칼, 뜨겁, 맵, 짜, 깔끔, 푸짐, 든든, 친절, 협소, 많, 웨이팅, 줄, 대기, 혼잡, 만족, 최고, 별로] 
"
