기준연월,가맹점명,개설일자,업종,주소,이용건수구간,이용금액구간,건당평균이용금액구간,월요일이용건수비중,화요일이용건수비중,수요일이용건수비중,목요일이용건수비중,금요일이용건수비중,토요일이용건수비중,일요일이용건수비중,5시11시이용건수비중,12시13시이용건수비중,14시17시이용건수비중,18시22시이용건수비중,23시4시이용건수비중,현지인이용건수비중,최근12개월남성회원수비중,최근12개월여성회원수비중,최근12개월20대이하회원수비중,최근12개월30대회원수비중,최근12개월40대회원수비중,최근12개월50대회원수비중,최근12개월60대이상회원수비중,주말이용건수비중,평일이용건수비중,정보,위도,경도,재방문율 평균,리뷰키워드_20개
202305,막둥이해녀복순이네,20141224,가정식,제주 서귀포시 성산읍 고성리 2133번지,상위 75~90%,상위 90% 초과(하위 10% 이하),상위 50~75%,0.15,0.27,0.06,0.0,0.15,0.18,0.18,0.12,0.39,0.48,0.0,0.0,0.12,0.55,0.45,0.12,0.24,0.3,0.22,0.13,0.64,0.36,"202305 기준 '막둥이해녀복순이네'(주소: 제주 서귀포시 성산읍 고성리 2133번지)은/는 20141224에 개설된 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.12%, 12~13시 0.39%, 14~17시 0.48%, 18~22시 0.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.15, 화요일 0.27, 수요일 0.06, 목요일 0.0, 금요일 0.15, 토요일 0.18, 일요일 0.18입니다. 평일 0.36, 주말0.64현지인 이용 비중은 0.12입니다. 최근 12개월간 남성 회원 비중은 0.55, 여성 회원 비중은 0.45 입니다. 연령대별 회원 비중은 20대 이하 0.12, 30대 0.24, 40대 0.3, 50대 0.22, 60대 이상 0.13입니다. 이 가맹점의 이용 건수 구간은 5_75~90%이며, 이용 금액 구간은 6_90% 초과(하위 10% 이하)입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 1.08 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: ## 제주도 맛집 키워드 20개:

물회, 성게칼국수, 싱싱, 맛있다, 신선, 친절, 푸짐, 양 많다, 해산물, 칼국수, 깔끔, 시원, 밑반찬, 분위기, 가성비, 
재방문, 맛집, 듬뿍, 푸짐, 만족 
",33.4453764,126.8991441,1.08,"## 제주도 맛집 키워드 20개:

물회, 성게칼국수, 싱싱, 맛있다, 신선, 친절, 푸짐, 양 많다, 해산물, 칼국수, 깔끔, 시원, 밑반찬, 분위기, 가성비, 
재방문, 맛집, 듬뿍, 푸짐, 만족 
"
202305,카페아오오,20200603,커피,제주 서귀포시 성산읍 신산리 420번지 2층,상위 10~25%,상위 10~25%,상위 75~90%,0.17,0.1,0.1,0.14,0.13,0.16,0.21,0.21,0.29,0.45,0.05,0.0,0.11,0.47,0.53,0.23,0.31,0.21,0.17,0.07,0.63,0.37,"202305 기준 '카페아오오'(주소: 제주 서귀포시 성산읍 신산리 420번지 2층)은/는 20200603에 개설된 커피 업종입니다. 이용 시간대별 비중은 5~11시 0.21%, 12~13시 0.29%, 14~17시 0.45%, 18~22시 0.05%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.17, 화요일 0.1, 수요일 0.1, 목요일 0.14, 금요일 0.13, 토요일 0.16, 일요일 0.21입니다. 평일 0.37, 주말0.63현지인 이용 비중은 0.11입니다. 최근 12개월간 남성 회원 비중은 0.47, 여성 회원 비중은 0.53 입니다. 연령대별 회원 비중은 20대 이하 0.23, 30대 0.31, 40대 0.21, 50대 0.17, 60대 이상 0.07입니다. 이 가맹점의 이용 건수 구간은 2_10~25%이며, 이용 금액 구간은 2_10~25%입니다. 건당 평균 이용 금액 구간은 5_75~90%입니다. 해당 가맹점의 고객 평균 재방문율은 1.08 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 카페오오 : 오션뷰, 바다, 뷰, 맛집, 힐링, 넓다, 쾌적, 멋지다, 예쁘다, 건축물, 인테리어, 통창, 빵, 디저트, 커피, 음료, 친절, 만족,  추천,  여유 
",33.3791372,126.8799189,1.08,"카페오오 : 오션뷰, 바다, 뷰, 맛집, 힐링, 넓다, 쾌적, 멋지다, 예쁘다, 건축물, 인테리어, 통창, 빵, 디저트, 커피, 음료, 친절, 만족,  추천,  여유 
"
202305,청수미방,20191209,양식,제주 제주시 한경면 청수리 2052번지 1층,상위 75~90%,상위 75~90%,상위 25~50%,0.23,0.1,0.17,0.1,0.1,0.07,0.23,0.1,0.6,0.3,0.0,0.0,0.33,0.33,0.67,0.14,0.25,0.44,0.11,0.06,0.7,0.3,"202305 기준 '청수미방'(주소: 제주 제주시 한경면 청수리 2052번지 1층)은/는 20191209에 개설된 양식 업종입니다. 이용 시간대별 비중은 5~11시 0.1%, 12~13시 0.6%, 14~17시 0.3%, 18~22시 0.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.23, 화요일 0.1, 수요일 0.17, 목요일 0.1, 금요일 0.1, 토요일 0.07, 일요일 0.23입니다. 평일 0.3, 주말0.7현지인 이용 비중은 0.33입니다. 최근 12개월간 남성 회원 비중은 0.33, 여성 회원 비중은 0.67 입니다. 연령대별 회원 비중은 20대 이하 0.14, 30대 0.25, 40대 0.44, 50대 0.11, 60대 이상 0.06입니다. 이 가맹점의 이용 건수 구간은 5_75~90%이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 3_25~50%입니다. 해당 가맹점의 고객 평균 재방문율은 1.04 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: 청수미방 : 맛있다, 최고, 샐러드, 파스타, 샌드위치, 그라탕, 신선하다, 맛, 분위기, 좋다, 친절하다, 뷰, 인테리어, 깔끔하다, 푸짐하다, 힐링, 만족, 행복, 추천, 꼭 
",33.322892,126.2409857,1.04,"청수미방 : 맛있다, 최고, 샐러드, 파스타, 샌드위치, 그라탕, 신선하다, 맛, 분위기, 좋다, 친절하다, 뷰, 인테리어, 깔끔하다, 푸짐하다, 힐링, 만족, 행복, 추천, 꼭 
"
202305,솔향바다가든,20190701,단품요리 전문,제주 제주시 애월읍 곽지리 1380번지 지하1층,상위 50~75%,상위 25~50%,상위 10~25%,0.1,0.23,0.0,0.05,0.15,0.13,0.33,0.0,0.13,0.15,0.72,0.0,0.04,0.55,0.45,0.22,0.3,0.26,0.17,0.05,0.54,0.46,"202305 기준 '솔향바다가든'(주소: 제주 제주시 애월읍 곽지리 1380번지 지하1층)은/는 20190701에 개설된 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.13%, 14~17시 0.15%, 18~22시 0.72%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.1, 화요일 0.23, 수요일 0.0, 목요일 0.05, 금요일 0.15, 토요일 0.13, 일요일 0.33입니다. 평일 0.46, 주말0.54현지인 이용 비중은 0.04입니다. 최근 12개월간 남성 회원 비중은 0.55, 여성 회원 비중은 0.45 입니다. 연령대별 회원 비중은 20대 이하 0.22, 30대 0.3, 40대 0.26, 50대 0.17, 60대 이상 0.05입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 3_25~50%입니다. 건당 평균 이용 금액 구간은 2_10~25%입니다. 해당 가맹점의 고객 평균 재방문율은 1.33 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [노을, 뷰, 분위기, 맛있다, 최고, 흑돼지, 고기, 친절, 서비스, 맛, 좋다, 아름답다, 멋지다, 푸짐하다, 낭낭하다, 깔끔하다, 뷰, 야외, 식사,  강추] 
",33.456683,126.308976,1.33,"[노을, 뷰, 분위기, 맛있다, 최고, 흑돼지, 고기, 친절, 서비스, 맛, 좋다, 아름답다, 멋지다, 푸짐하다, 낭낭하다, 깔끔하다, 뷰, 야외, 식사,  강추] 
"
202305,오라숲소리,20140121,가정식,제주 제주시 오라이동 1188-4번지,상위 75~90%,상위 50~75%,상위 10~25%,0.27,0.19,0.08,0.08,0.04,0.04,0.31,0.04,0.42,0.15,0.38,0.0,0.45,0.6,0.4,0.06,0.14,0.22,0.32,0.25,0.65,0.35,"202305 기준 '오라숲소리'(주소: 제주 제주시 오라이동 1188-4번지)은/는 20140121에 개설된 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.04%, 12~13시 0.42%, 14~17시 0.15%, 18~22시 0.38%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.27, 화요일 0.19, 수요일 0.08, 목요일 0.08, 금요일 0.04, 토요일 0.04, 일요일 0.31입니다. 평일 0.35, 주말0.65현지인 이용 비중은 0.45입니다. 최근 12개월간 남성 회원 비중은 0.6, 여성 회원 비중은 0.4 입니다. 연령대별 회원 비중은 20대 이하 0.06, 30대 0.14, 40대 0.22, 50대 0.32, 60대 이상 0.25입니다. 이 가맹점의 이용 건수 구간은 5_75~90%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 2_10~25%입니다. 해당 가맹점의 고객 평균 재방문율은 1.0 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: ## 오라 숲 소리 한정식: [깔끔, 정갈, 맛있다, 훌륭하다, 만족, 신선, 다양, 푸짐, 넉넉, 건강, 웰빙, 친절,  좋다, 최고,  대박,  추천,  가성비,  제주 향토음식,  코스,  갈치 조림] 
",33.4955216,126.5117879,1.0,"## 오라 숲 소리 한정식: [깔끔, 정갈, 맛있다, 훌륭하다, 만족, 신선, 다양, 푸짐, 넉넉, 건강, 웰빙, 친절,  좋다, 최고,  대박,  추천,  가성비,  제주 향토음식,  코스,  갈치 조림] 
"
202305,테왁,20200602,가정식,제주 서귀포시 서호동 1551-9번지 1층,상위 25~50%,상위 25~50%,상위 50~75%,0.22,0.2,0.14,0.16,0.14,0.15,0.0,0.23,0.49,0.27,0.0,0.0,0.24,0.43,0.57,0.16,0.28,0.26,0.19,0.12,0.85,0.15,"202305 기준 '테왁'(주소: 제주 서귀포시 서호동 1551-9번지 1층)은/는 20200602에 개설된 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.23%, 12~13시 0.49%, 14~17시 0.27%, 18~22시 0.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.22, 화요일 0.2, 수요일 0.14, 목요일 0.16, 금요일 0.14, 토요일 0.15, 일요일 0.0입니다. 평일 0.15, 주말0.85현지인 이용 비중은 0.24입니다. 최근 12개월간 남성 회원 비중은 0.43, 여성 회원 비중은 0.57 입니다. 연령대별 회원 비중은 20대 이하 0.16, 30대 0.28, 40대 0.26, 50대 0.19, 60대 이상 0.12입니다. 이 가맹점의 이용 건수 구간은 3_25~50%이며, 이용 금액 구간은 3_25~50%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 1.38 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: ## 제주도 맛집 키워드 20개:

전복, 돌문어, 비빔밥, 맛, 싱싱, 신선, 정갈, 깔끔, 맛있다, 친절, 웨이팅, 푸짐, 양, 넉넉, 고급, 놋그릇, 건강, 착한 가격, 만족, 재방문 
",33.2496216,126.5152096,1.38,"## 제주도 맛집 키워드 20개:

전복, 돌문어, 비빔밥, 맛, 싱싱, 신선, 정갈, 깔끔, 맛있다, 친절, 웨이팅, 푸짐, 양, 넉넉, 고급, 놋그릇, 건강, 착한 가격, 만족, 재방문 
"
202305,참스큐도두점,20110412,단품요리 전문,제주 제주시 도두일동 2616-13번지,상위 90% 초과(하위 10% 이하),상위 75~90%,상위 10~25%,0.17,0.11,0.22,0.11,0.17,0.17,0.06,0.0,0.0,0.0,0.89,0.11,0.42,0.63,0.37,0.11,0.16,0.37,0.2,0.15,0.78,0.22,"202305 기준 '참스큐도두점'(주소: 제주 제주시 도두일동 2616-13번지)은/는 20110412에 개설된 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.0%, 18~22시 0.89%, 23~4시 0.11%입니다. 요일별 이용 비중은 월요일 0.17, 화요일 0.11, 수요일 0.22, 목요일 0.11, 금요일 0.17, 토요일 0.17, 일요일 0.06입니다. 평일 0.22, 주말0.78현지인 이용 비중은 0.42입니다. 최근 12개월간 남성 회원 비중은 0.63, 여성 회원 비중은 0.37 입니다. 연령대별 회원 비중은 20대 이하 0.11, 30대 0.16, 40대 0.37, 50대 0.2, 60대 이상 0.15입니다. 이 가맹점의 이용 건수 구간은 6_90% 초과(하위 10% 이하)이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 2_10~25%입니다. 해당 가맹점의 고객 평균 재방문율은 1.47 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [맛있다, 신선하다, 특별하다, 최고, 굿, 만족, 행복, 훌륭, 푸짐, 가성비, 친절, 재방문, 추천, 맛집, 코스, 숙회, 회, 치킨, 탕, 지리] 
",33.5052732,126.4648438,1.47,"[맛있다, 신선하다, 특별하다, 최고, 굿, 만족, 행복, 훌륭, 푸짐, 가성비, 친절, 재방문, 추천, 맛집, 코스, 숙회, 회, 치킨, 탕, 지리] 
"
202305,진양해장국,20141209,단품요리 전문,제주 제주시 삼양이동 2179-4번지 1층,상위 10~25%,상위 10~25%,상위 50~75%,0.23,0.15,0.0,0.15,0.07,0.15,0.24,0.58,0.38,0.04,0.0,0.0,0.83,0.7,0.3,0.06,0.19,0.41,0.25,0.1,0.6,0.4,"202305 기준 '진양해장국'(주소: 제주 제주시 삼양이동 2179-4번지 1층)은/는 20141209에 개설된 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.58%, 12~13시 0.38%, 14~17시 0.04%, 18~22시 0.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.23, 화요일 0.15, 수요일 0.0, 목요일 0.15, 금요일 0.07, 토요일 0.15, 일요일 0.24입니다. 평일 0.4, 주말0.6현지인 이용 비중은 0.83입니다. 최근 12개월간 남성 회원 비중은 0.7, 여성 회원 비중은 0.3 입니다. 연령대별 회원 비중은 20대 이하 0.06, 30대 0.19, 40대 0.41, 50대 0.25, 60대 이상 0.1입니다. 이 가맹점의 이용 건수 구간은 2_10~25%이며, 이용 금액 구간은 2_10~25%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 1.36 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: ## 제주도 맛집 키워드 20개:

해장국, 맛있다, 곰탕, 푸짐, 깔끔, 시원, 진하다, 뜨끈, 넉넉, 듬뿍, 양 많다, 맛집, 굿, 강추, 친절, 술, 밥 도둑, 든든, 조미료 맛, 깔끔 
",33.5200886,126.5830006,1.36,"## 제주도 맛집 키워드 20개:

해장국, 맛있다, 곰탕, 푸짐, 깔끔, 시원, 진하다, 뜨끈, 넉넉, 듬뿍, 양 많다, 맛집, 굿, 강추, 친절, 술, 밥 도둑, 든든, 조미료 맛, 깔끔 
"
202305,도르도르,20190910,일식,제주 서귀포시 서귀동 422-4번지 2층,상위 25~50%,상위 25~50%,상위 25~50%,0.16,0.15,0.07,0.09,0.18,0.16,0.19,0.01,0.05,0.01,0.54,0.38,0.51,0.62,0.38,0.32,0.23,0.25,0.15,0.05,0.65,0.35,"202305 기준 '도르도르'(주소: 제주 서귀포시 서귀동 422-4번지 2층)은/는 20190910에 개설된 일식 업종입니다. 이용 시간대별 비중은 5~11시 0.01%, 12~13시 0.05%, 14~17시 0.01%, 18~22시 0.54%, 23~4시 0.38%입니다. 요일별 이용 비중은 월요일 0.16, 화요일 0.15, 수요일 0.07, 목요일 0.09, 금요일 0.18, 토요일 0.16, 일요일 0.19입니다. 평일 0.35, 주말0.65현지인 이용 비중은 0.51입니다. 최근 12개월간 남성 회원 비중은 0.62, 여성 회원 비중은 0.38 입니다. 연령대별 회원 비중은 20대 이하 0.32, 30대 0.23, 40대 0.25, 50대 0.15, 60대 이상 0.05입니다. 이 가맹점의 이용 건수 구간은 3_25~50%이며, 이용 금액 구간은 3_25~50%입니다. 건당 평균 이용 금액 구간은 3_25~50%입니다. 해당 가맹점의 고객 평균 재방문율은 1.02 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: ## 제주도 맛집 키워드 20개:

* 돈코츠라멘
* 새우
* 맛있다
* 친절하다
* 분위기
* 푸짐하다
* 깔끔하다
* 서비스
* 양
* 술
* 안주
* 맥주
* 맛집
* 추천
* 
*  
*  
*  
*  
*  
",33.2470387,126.5631997,1.02,"## 제주도 맛집 키워드 20개:

* 돈코츠라멘
* 새우
* 맛있다
* 친절하다
* 분위기
* 푸짐하다
* 깔끔하다
* 서비스
* 양
* 술
* 안주
* 맥주
* 맛집
* 추천
* 
*  
*  
*  
*  
*  
"
202305,삼원정,19981223,가정식,제주 서귀포시 색달동 2282번지,상위 50~75%,상위 10~25%,상위 10% 이하,0.14,0.07,0.05,0.09,0.17,0.19,0.29,0.0,0.26,0.16,0.59,0.0,0.03,0.52,0.48,0.09,0.24,0.28,0.21,0.17,0.52,0.48,"202305 기준 '삼원정'(주소: 제주 서귀포시 색달동 2282번지)은/는 19981223에 개설된 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.26%, 14~17시 0.16%, 18~22시 0.59%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.14, 화요일 0.07, 수요일 0.05, 목요일 0.09, 금요일 0.17, 토요일 0.19, 일요일 0.29입니다. 평일 0.48, 주말0.52현지인 이용 비중은 0.03입니다. 최근 12개월간 남성 회원 비중은 0.52, 여성 회원 비중은 0.48 입니다. 연령대별 회원 비중은 20대 이하 0.09, 30대 0.24, 40대 0.28, 50대 0.21, 60대 이상 0.17입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 2_10~25%입니다. 건당 평균 이용 금액 구간은 1_상위 10% 이하입니다. 해당 가맹점의 고객 평균 재방문율은 1.06 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: ## 제주도 맛집 리뷰 키워드:

* 갈치
* 조림
* 구이
* 맛있다
* 신선하다
* 부드럽다
* 푸짐하다
* 싱싱하다
* 깔끔하다
* 친절하다
* 만족
* 최고
* 맛집
* 세트
* 스페셜
* 밥
* 돔베고기
* 한치
* 샐러드
* 솥밥 
",33.2577336,126.4141175,1.06,"## 제주도 맛집 리뷰 키워드:

* 갈치
* 조림
* 구이
* 맛있다
* 신선하다
* 부드럽다
* 푸짐하다
* 싱싱하다
* 깔끔하다
* 친절하다
* 만족
* 최고
* 맛집
* 세트
* 스페셜
* 밥
* 돔베고기
* 한치
* 샐러드
* 솥밥 
"
