기준연월,가맹점명,개설일자,업종,주소,이용건수구간,이용금액구간,건당평균이용금액구간,월요일이용건수비중,화요일이용건수비중,수요일이용건수비중,목요일이용건수비중,금요일이용건수비중,토요일이용건수비중,일요일이용건수비중,5시11시이용건수비중,12시13시이용건수비중,14시17시이용건수비중,18시22시이용건수비중,23시4시이용건수비중,현지인이용건수비중,최근12개월남성회원수비중,최근12개월여성회원수비중,최근12개월20대이하회원수비중,최근12개월30대회원수비중,최근12개월40대회원수비중,최근12개월50대회원수비중,최근12개월60대이상회원수비중,주말이용건수비중,평일이용건수비중,정보,위도,경도,재방문율 평균,리뷰키워드_20개
202302,세렌디피아,20211104,맥주/요리주점,제주 제주시 외도일동 548-9번지 좌측상가 1층,상위 90% 초과(하위 10% 이하),상위 75~90%,상위 25~50%,0.26,0.05,0.11,0.11,0.11,0.26,0.11,0.0,0.0,0.0,0.53,0.47,0.8,0.82,0.18,0.07,0.35,0.46,0.12,0.0,0.63,0.37,"202302 기준 '세렌디피아'(주소: 제주 제주시 외도일동 548-9번지 좌측상가 1층)은/는 20211104에 개설된 맥주/요리주점 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.0%, 18~22시 0.53%, 23~4시 0.47%입니다. 요일별 이용 비중은 월요일 0.26, 화요일 0.05, 수요일 0.11, 목요일 0.11, 금요일 0.11, 토요일 0.26, 일요일 0.11입니다. 평일 0.37, 주말0.63현지인 이용 비중은 0.8입니다. 최근 12개월간 남성 회원 비중은 0.82, 여성 회원 비중은 0.18 입니다. 연령대별 회원 비중은 20대 이하 0.07, 30대 0.35, 40대 0.46, 50대 0.12, 60대 이상 0.0입니다. 이 가맹점의 이용 건수 구간은 6_90% 초과(하위 10% 이하)이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 3_25~50%입니다. 해당 가맹점의 고객 평균 재방문율은 1.0 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [와인, 친절, 추천, 맛있다, 좋다, 분위기, 음악, 서비스, 안주, 술, 혜자, 킹, 고급, 이쁘다, 취향 저격, 혼술, 맥주, 쥐포, 활어회,  생맥] 
",33.4875579,126.4314014,1.0,"[와인, 친절, 추천, 맛있다, 좋다, 분위기, 음악, 서비스, 안주, 술, 혜자, 킹, 고급, 이쁘다, 취향 저격, 혼술, 맥주, 쥐포, 활어회,  생맥] 
"
202302,모티프제주(MOTIF JEJU),20220418,커피,제주 서귀포시 대정읍 구억리 831-1번지 A동 1층,상위 10~25%,상위 25~50%,상위 75~90%,0.1,0.1,0.13,0.15,0.19,0.2,0.13,0.21,0.18,0.24,0.3,0.08,0.5,0.35,0.65,0.17,0.33,0.38,0.09,0.03,0.67,0.33,"202302 기준 '모티프제주(MOTIF JEJU)'(주소: 제주 서귀포시 대정읍 구억리 831-1번지 A동 1층)은/는 20220418에 개설된 커피 업종입니다. 이용 시간대별 비중은 5~11시 0.21%, 12~13시 0.18%, 14~17시 0.24%, 18~22시 0.3%, 23~4시 0.08%입니다. 요일별 이용 비중은 월요일 0.1, 화요일 0.1, 수요일 0.13, 목요일 0.15, 금요일 0.19, 토요일 0.2, 일요일 0.13입니다. 평일 0.33, 주말0.67현지인 이용 비중은 0.5입니다. 최근 12개월간 남성 회원 비중은 0.35, 여성 회원 비중은 0.65 입니다. 연령대별 회원 비중은 20대 이하 0.17, 30대 0.33, 40대 0.38, 50대 0.09, 60대 이상 0.03입니다. 이 가맹점의 이용 건수 구간은 2_10~25%이며, 이용 금액 구간은 3_25~50%입니다. 건당 평균 이용 금액 구간은 5_75~90%입니다. 해당 가맹점의 고객 평균 재방문율은 1.52 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [커피, 맛있다, 넓다, 좋다, 친절하다, 분위기, 아늑하다, 편안하다, 쾌적하다, 깔끔하다, 넓다, 깨끗하다, 맛있다, 힙하다, 멋지다, 즐겁다, 유쾌하다, 힐링, 행복하다, 만족스럽다] 
",33.2803375,126.2851184,1.52,"[커피, 맛있다, 넓다, 좋다, 친절하다, 분위기, 아늑하다, 편안하다, 쾌적하다, 깔끔하다, 넓다, 깨끗하다, 맛있다, 힙하다, 멋지다, 즐겁다, 유쾌하다, 힐링, 행복하다, 만족스럽다] 
"
202302,마블링 남원점,20140627,가정식,제주 서귀포시 남원읍 남원리 2454-1번지,상위 50~75%,상위 50~75%,상위 50~75%,0.12,0.12,0.09,0.19,0.09,0.23,0.16,0.07,0.51,0.28,0.14,0.0,0.48,0.62,0.38,0.04,0.2,0.3,0.28,0.18,0.6,0.4,"202302 기준 '마블링 남원점'(주소: 제주 서귀포시 남원읍 남원리 2454-1번지)은/는 20140627에 개설된 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.07%, 12~13시 0.51%, 14~17시 0.28%, 18~22시 0.14%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.12, 화요일 0.12, 수요일 0.09, 목요일 0.19, 금요일 0.09, 토요일 0.23, 일요일 0.16입니다. 평일 0.4, 주말0.6현지인 이용 비중은 0.48입니다. 최근 12개월간 남성 회원 비중은 0.62, 여성 회원 비중은 0.38 입니다. 연령대별 회원 비중은 20대 이하 0.04, 30대 0.2, 40대 0.3, 50대 0.28, 60대 이상 0.18입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 1.02 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [맛있다,  부드럽다,  시원하다,  친절하다,  깔끔하다,  든든하다,  추천,  최고,  좋다,  만족,  넉넉하다,  많다,  양,  강추,  특별하다,  유쾌하다,  행복하다,  즐겁다,  기분,  재방문] ",33.2751576,126.6981268,1.02,"[맛있다,  부드럽다,  시원하다,  친절하다,  깔끔하다,  든든하다,  추천,  최고,  좋다,  만족,  넉넉하다,  많다,  양,  강추,  특별하다,  유쾌하다,  행복하다,  즐겁다,  기분,  재방문] "
202302,스크루지펍2,20220126,양식,제주 제주시 연동 1501-9번지,상위 50~75%,상위 25~50%,상위 10~25%,0.16,0.11,0.14,0.11,0.2,0.16,0.11,0.0,0.0,0.0,0.75,0.25,0.65,0.58,0.42,0.05,0.18,0.42,0.3,0.05,0.73,0.27,"202302 기준 '스크루지펍2'(주소: 제주 제주시 연동 1501-9번지)은/는 20220126에 개설된 양식 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.0%, 18~22시 0.75%, 23~4시 0.25%입니다. 요일별 이용 비중은 월요일 0.16, 화요일 0.11, 수요일 0.14, 목요일 0.11, 금요일 0.2, 토요일 0.16, 일요일 0.11입니다. 평일 0.27, 주말0.73현지인 이용 비중은 0.65입니다. 최근 12개월간 남성 회원 비중은 0.58, 여성 회원 비중은 0.42 입니다. 연령대별 회원 비중은 20대 이하 0.05, 30대 0.18, 40대 0.42, 50대 0.3, 60대 이상 0.05입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 3_25~50%입니다. 건당 평균 이용 금액 구간은 2_10~25%입니다. 해당 가맹점의 고객 평균 재방문율은 1.15 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [와인, 안주, 사장, 친절, 맛있다, 종류, 많다, 추천, 굿, 좋다, 분위기, 가성비, 맛, 다양하다, 서비스, 즐겁다, 괜찮다, 술술, 넘다, 최고] 
",33.4787939,126.4908327,1.15,"[와인, 안주, 사장, 친절, 맛있다, 종류, 많다, 추천, 굿, 좋다, 분위기, 가성비, 맛, 다양하다, 서비스, 즐겁다, 괜찮다, 술술, 넘다, 최고] 
"
202302,해장연포,20000518,단품요리 전문,제주 제주시 일도이동 110-8번지,상위 50~75%,상위 75~90%,상위 50~75%,0.22,0.13,0.09,0.22,0.15,0.19,0.0,0.13,0.26,0.13,0.48,0.0,0.87,0.72,0.28,0.06,0.16,0.26,0.36,0.17,0.81,0.19,"202302 기준 '해장연포'(주소: 제주 제주시 일도이동 110-8번지)은/는 20000518에 개설된 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.13%, 12~13시 0.26%, 14~17시 0.13%, 18~22시 0.48%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.22, 화요일 0.13, 수요일 0.09, 목요일 0.22, 금요일 0.15, 토요일 0.19, 일요일 0.0입니다. 평일 0.19, 주말0.81현지인 이용 비중은 0.87입니다. 최근 12개월간 남성 회원 비중은 0.72, 여성 회원 비중은 0.28 입니다. 연령대별 회원 비중은 20대 이하 0.06, 30대 0.16, 40대 0.26, 50대 0.36, 60대 이상 0.17입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 5_75~90%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 1.23 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [맛있다,  최고,  정말,  진짜,  국물,  고기,  순대,  내장,  든든하다,  깔끔하다,  싱겁다,  심심하다,  얼큰하다,  푸짐하다,  알차다,  좋다,  친절하다,  만족,  추천,  가성비] 
",33.4984487,126.5474805,1.23,"[맛있다,  최고,  정말,  진짜,  국물,  고기,  순대,  내장,  든든하다,  깔끔하다,  싱겁다,  심심하다,  얼큰하다,  푸짐하다,  알차다,  좋다,  친절하다,  만족,  추천,  가성비] 
"
202302,루스트플레이스 아라점,20160526,양식,제주 제주시 아라일동 6092-11번지 201호,상위 25~50%,상위 10~25%,상위 50~75%,0.12,0.14,0.07,0.19,0.16,0.18,0.15,0.02,0.27,0.25,0.47,0.0,0.85,0.5,0.5,0.1,0.2,0.4,0.22,0.07,0.67,0.33,"202302 기준 '루스트플레이스 아라점'(주소: 제주 제주시 아라일동 6092-11번지 201호)은/는 20160526에 개설된 양식 업종입니다. 이용 시간대별 비중은 5~11시 0.02%, 12~13시 0.27%, 14~17시 0.25%, 18~22시 0.47%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.12, 화요일 0.14, 수요일 0.07, 목요일 0.19, 금요일 0.16, 토요일 0.18, 일요일 0.15입니다. 평일 0.33, 주말0.67현지인 이용 비중은 0.85입니다. 최근 12개월간 남성 회원 비중은 0.5, 여성 회원 비중은 0.5 입니다. 연령대별 회원 비중은 20대 이하 0.1, 30대 0.2, 40대 0.4, 50대 0.22, 60대 이상 0.07입니다. 이 가맹점의 이용 건수 구간은 3_25~50%이며, 이용 금액 구간은 2_10~25%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 1.54 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: ## 루스트: [맛있다, 깔끔하다, 넓다, 가성비, 좋다, 친절하다, 푸짐하다, 다양하다, 든든하다, 괜찮다, 싱싱하다, 
            신선하다, 부드럽다, 촉촉하다, 바삭하다, 콤콤하다, 매콤하다, 밍밍하다, 질척하다, 배탈] 
",33.4740507,126.545139,1.54,"## 루스트: [맛있다, 깔끔하다, 넓다, 가성비, 좋다, 친절하다, 푸짐하다, 다양하다, 든든하다, 괜찮다, 싱싱하다, 
            신선하다, 부드럽다, 촉촉하다, 바삭하다, 콤콤하다, 매콤하다, 밍밍하다, 질척하다, 배탈] 
"
202302,하찌,20181228,일식,제주 서귀포시 호근동 477-4번지,상위 90% 초과(하위 10% 이하),상위 10~25%,상위 10% 이하,0.07,0.0,0.0,0.14,0.21,0.29,0.29,0.0,0.29,0.0,0.71,0.0,0.06,0.58,0.42,0.3,0.5,0.07,0.07,0.06,0.43,0.57,"202302 기준 '하찌'(주소: 제주 서귀포시 호근동 477-4번지)은/는 20181228에 개설된 일식 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.29%, 14~17시 0.0%, 18~22시 0.71%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.07, 화요일 0.0, 수요일 0.0, 목요일 0.14, 금요일 0.21, 토요일 0.29, 일요일 0.29입니다. 평일 0.57, 주말0.43현지인 이용 비중은 0.06입니다. 최근 12개월간 남성 회원 비중은 0.58, 여성 회원 비중은 0.42 입니다. 연령대별 회원 비중은 20대 이하 0.3, 30대 0.5, 40대 0.07, 50대 0.07, 60대 이상 0.06입니다. 이 가맹점의 이용 건수 구간은 6_90% 초과(하위 10% 이하)이며, 이용 금액 구간은 2_10~25%입니다. 건당 평균 이용 금액 구간은 1_상위 10% 이하입니다. 해당 가맹점의 고객 평균 재방문율은 1.06 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [맛있다, 신선하다, 특별하다, 만족스럽다, 훌륭하다, 맛, 재료,  제주,  코스,  분위기,  친절하다,  예쁘다,  좋다,  추천,  풍미,  조화롭다,  다양하다,  행복하다,  감동,  가격] ",33.2452724,126.5370522,1.06,"[맛있다, 신선하다, 특별하다, 만족스럽다, 훌륭하다, 맛, 재료,  제주,  코스,  분위기,  친절하다,  예쁘다,  좋다,  추천,  풍미,  조화롭다,  다양하다,  행복하다,  감동,  가격] "
202302,한림킹마트회센타,20151203,단품요리 전문,제주 제주시 한림읍 한수리 830-4번지,상위 75~90%,상위 90% 초과(하위 10% 이하),상위 50~75%,0.22,0.11,0.07,0.07,0.22,0.11,0.19,0.0,0.07,0.56,0.37,0.0,0.39,0.62,0.38,0.06,0.24,0.27,0.25,0.18,0.7,0.3,"202302 기준 '한림킹마트회센타'(주소: 제주 제주시 한림읍 한수리 830-4번지)은/는 20151203에 개설된 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.07%, 14~17시 0.56%, 18~22시 0.37%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.22, 화요일 0.11, 수요일 0.07, 목요일 0.07, 금요일 0.22, 토요일 0.11, 일요일 0.19입니다. 평일 0.3, 주말0.7현지인 이용 비중은 0.39입니다. 최근 12개월간 남성 회원 비중은 0.62, 여성 회원 비중은 0.38 입니다. 연령대별 회원 비중은 20대 이하 0.06, 30대 0.24, 40대 0.27, 50대 0.25, 60대 이상 0.18입니다. 이 가맹점의 이용 건수 구간은 5_75~90%이며, 이용 금액 구간은 6_90% 초과(하위 10% 이하)입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 1.18 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [싱싱, 맛있, 가성비, 저렴, 친절, 푸짐, 양, 많, 신선, 깔끔, 깨끗, 좋, 최고, 추천, 만족, 착, 넘, 굿, 즉석, 조아] ",33.4228852,126.265952,1.18,"[싱싱, 맛있, 가성비, 저렴, 친절, 푸짐, 양, 많, 신선, 깔끔, 깨끗, 좋, 최고, 추천, 만족, 착, 넘, 굿, 즉석, 조아] "
202302,루스트플레이스 봉개점,20221017,양식,제주 제주시 봉개동 1886번지 2층,상위 25~50%,상위 50~75%,상위 50~75%,0.0,0.19,0.13,0.18,0.11,0.15,0.24,0.03,0.37,0.29,0.31,0.0,0.88,0.52,0.48,0.07,0.27,0.44,0.12,0.11,0.61,0.39,"202302 기준 '루스트플레이스 봉개점'(주소: 제주 제주시 봉개동 1886번지 2층)은/는 20221017에 개설된 양식 업종입니다. 이용 시간대별 비중은 5~11시 0.03%, 12~13시 0.37%, 14~17시 0.29%, 18~22시 0.31%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.0, 화요일 0.19, 수요일 0.13, 목요일 0.18, 금요일 0.11, 토요일 0.15, 일요일 0.24입니다. 평일 0.39, 주말0.61현지인 이용 비중은 0.88입니다. 최근 12개월간 남성 회원 비중은 0.52, 여성 회원 비중은 0.48 입니다. 연령대별 회원 비중은 20대 이하 0.07, 30대 0.27, 40대 0.44, 50대 0.12, 60대 이상 0.11입니다. 이 가맹점의 이용 건수 구간은 3_25~50%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 1.51 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [가성비, 맛집, 최고, 맛있다, 깔끔하다, 친절하다, 넓다, 쾌적하다, 봉골레, 굿, 좋다, 맛, 다양하다, 메뉴, 세트, 피자, 고르곤졸라, 양, 많다, 푸짐하다] ",33.4895566,126.5956797,1.51,"[가성비, 맛집, 최고, 맛있다, 깔끔하다, 친절하다, 넓다, 쾌적하다, 봉골레, 굿, 좋다, 맛, 다양하다, 메뉴, 세트, 피자, 고르곤졸라, 양, 많다, 푸짐하다] "
202302,제주동백별장,20180615,일식,제주 제주시 노형동 903-1번지 에이동 1층,상위 25~50%,상위 25~50%,상위 25~50%,0.15,0.03,0.0,0.11,0.24,0.21,0.26,0.0,0.0,0.0,0.65,0.35,0.32,0.48,0.52,0.46,0.34,0.13,0.06,0.01,0.53,0.47,"202302 기준 '제주동백별장'(주소: 제주 제주시 노형동 903-1번지 에이동 1층)은/는 20180615에 개설된 일식 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.0%, 18~22시 0.65%, 23~4시 0.35%입니다. 요일별 이용 비중은 월요일 0.15, 화요일 0.03, 수요일 0.0, 목요일 0.11, 금요일 0.24, 토요일 0.21, 일요일 0.26입니다. 평일 0.47, 주말0.53현지인 이용 비중은 0.32입니다. 최근 12개월간 남성 회원 비중은 0.48, 여성 회원 비중은 0.52 입니다. 연령대별 회원 비중은 20대 이하 0.46, 30대 0.34, 40대 0.13, 50대 0.06, 60대 이상 0.01입니다. 이 가맹점의 이용 건수 구간은 3_25~50%이며, 이용 금액 구간은 3_25~50%입니다. 건당 평균 이용 금액 구간은 3_25~50%입니다. 해당 가맹점의 고객 평균 재방문율은 1.0 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [분위기, 힙, 맛있다, 좋다, 친절하다, 최고, 술, 안주, 야외, 맥주, 맛집, 백주, 칵테일,  새우, 칼칼, 얼큰, 시원,  가볍다,  추천,  만족] 
",33.4866347,126.4814035,1.0,"[분위기, 힙, 맛있다, 좋다, 친절하다, 최고, 술, 안주, 야외, 맥주, 맛집, 백주, 칵테일,  새우, 칼칼, 얼큰, 시원,  가볍다,  추천,  만족] 
"
