기준연월,가맹점명,개설일자,업종,주소,이용건수구간,이용금액구간,건당평균이용금액구간,월요일이용건수비중,화요일이용건수비중,수요일이용건수비중,목요일이용건수비중,금요일이용건수비중,토요일이용건수비중,일요일이용건수비중,5시11시이용건수비중,12시13시이용건수비중,14시17시이용건수비중,18시22시이용건수비중,23시4시이용건수비중,현지인이용건수비중,최근12개월남성회원수비중,최근12개월여성회원수비중,최근12개월20대이하회원수비중,최근12개월30대회원수비중,최근12개월40대회원수비중,최근12개월50대회원수비중,최근12개월60대이상회원수비중,주말이용건수비중,평일이용건수비중,정보,위도,경도,재방문율 평균,리뷰키워드_20개
202303,돼지촌,20050719,가정식,제주 제주시 노형동 934-1번지,상위 25~50%,상위 10~25%,상위 10~25%,0.1,0.22,0.16,0.16,0.17,0.13,0.06,0.0,0.0,0.01,0.91,0.07,0.61,0.63,0.37,0.12,0.29,0.37,0.18,0.05,0.81,0.19,"202303 기준 '돼지촌'(주소: 제주 제주시 노형동 934-1번지)은/는 20050719에 개설된 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.01%, 18~22시 0.91%, 23~4시 0.07%입니다. 요일별 이용 비중은 월요일 0.1, 화요일 0.22, 수요일 0.16, 목요일 0.16, 금요일 0.17, 토요일 0.13, 일요일 0.06입니다. 평일 0.19, 주말0.81현지인 이용 비중은 0.61입니다. 최근 12개월간 남성 회원 비중은 0.63, 여성 회원 비중은 0.37 입니다. 연령대별 회원 비중은 20대 이하 0.12, 30대 0.29, 40대 0.37, 50대 0.18, 60대 이상 0.05입니다. 이 가맹점의 이용 건수 구간은 3_25~50%이며, 이용 금액 구간은 2_10~25%입니다. 건당 평균 이용 금액 구간은 2_10~25%입니다. 해당 가맹점의 고객 평균 재방문율은 1.0 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [갈비, 맛, 친절, 신선, 재방문, 만족, 최고, 맛집, 흑돼지, 목살, 겹살, 삼겹살, 양, 많다, 푸짐, 넉넉, 맛있다, 훌륭, 뜨겁다, 푸짐하다] 
",33.4838515,126.4833915,1.0,"[갈비, 맛, 친절, 신선, 재방문, 만족, 최고, 맛집, 흑돼지, 목살, 겹살, 삼겹살, 양, 많다, 푸짐, 넉넉, 맛있다, 훌륭, 뜨겁다, 푸짐하다] 
"
202303,태경식당,20100224,가정식,제주 서귀포시 남원읍 수망리 310-1번지,상위 75~90%,상위 50~75%,상위 10~25%,0.16,0.13,0.29,0.06,0.16,0.19,0.0,0.35,0.61,0.03,0.0,0.0,0.7,0.79,0.21,0.01,0.05,0.26,0.31,0.36,0.81,0.19,"202303 기준 '태경식당'(주소: 제주 서귀포시 남원읍 수망리 310-1번지)은/는 20100224에 개설된 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.35%, 12~13시 0.61%, 14~17시 0.03%, 18~22시 0.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.16, 화요일 0.13, 수요일 0.29, 목요일 0.06, 금요일 0.16, 토요일 0.19, 일요일 0.0입니다. 평일 0.19, 주말0.81현지인 이용 비중은 0.7입니다. 최근 12개월간 남성 회원 비중은 0.79, 여성 회원 비중은 0.21 입니다. 연령대별 회원 비중은 20대 이하 0.01, 30대 0.05, 40대 0.26, 50대 0.31, 60대 이상 0.36입니다. 이 가맹점의 이용 건수 구간은 5_75~90%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 2_10~25%입니다. 해당 가맹점의 고객 평균 재방문율은 1.19 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: ## 제주도 맛집 키워드:

두루치기, 솥밥, 맛, 굿굿, 맛있다, 친절, 가성비, 푸짐, 신선, 된장국, 접짝뼈국, 정겨운, 동네, 밥집, 바쁘다, 피해가세, 남원, 망리, 숨은맛집, 수육, 돌솥밥, 밥맛, 짱, 전경, 방, 숙소, 관계자, 면모, 밤늦다, 저녁식사, 펍, 운영, 간단하다, 술, 잔, 모임, 참여, 중간, 매니저, 스텝, 계속, 주문, 종용, 상황, 즐겁다, 놀다, 번만, 안주, 더, 마지막, 요구, 불편하다, 밤, 끝나다, 돌리다, 얘기, 불구, 좀더, 늦다, 수, 게스트, 참여, 정, 황상, 어쩔, 수없이, 결제, 리뷰, 담날, 전화, 감정, 본인, 소리치다, 불만, 응대, 적절하다, 자다, 처사, 여겨지다, 로서, 지키다, 수칙, 다, 해, 비치다, 길, 식사, 함, 글씨, 치가, 엄청, 애기, 델, 가다, 말, 주다, 근데, 사장, 애기, 먹다, 게, 없다, 신경, 써주다, 넘다, 감사하다, 세, 식구, 특히, 오자, 갈다, 너무, 좋다 
",33.3287366,126.7127705,1.19,"## 제주도 맛집 키워드:

두루치기, 솥밥, 맛, 굿굿, 맛있다, 친절, 가성비, 푸짐, 신선, 된장국, 접짝뼈국, 정겨운, 동네, 밥집, 바쁘다, 피해가세, 남원, 망리, 숨은맛집, 수육, 돌솥밥, 밥맛, 짱, 전경, 방, 숙소, 관계자, 면모, 밤늦다, 저녁식사, 펍, 운영, 간단하다, 술, 잔, 모임, 참여, 중간, 매니저, 스텝, 계속, 주문, 종용, 상황, 즐겁다, 놀다, 번만, 안주, 더, 마지막, 요구, 불편하다, 밤, 끝나다, 돌리다, 얘기, 불구, 좀더, 늦다, 수, 게스트, 참여, 정, 황상, 어쩔, 수없이, 결제, 리뷰, 담날, 전화, 감정, 본인, 소리치다, 불만, 응대, 적절하다, 자다, 처사, 여겨지다, 로서, 지키다, 수칙, 다, 해, 비치다, 길, 식사, 함, 글씨, 치가, 엄청, 애기, 델, 가다, 말, 주다, 근데, 사장, 애기, 먹다, 게, 없다, 신경, 써주다, 넘다, 감사하다, 세, 식구, 특히, 오자, 갈다, 너무, 좋다 
"
202303,우주파,20220519,양식,제주 제주시 삼도이동 1221-10번지 1층,상위 75~90%,상위 50~75%,상위 25~50%,0.07,0.0,0.0,0.1,0.2,0.37,0.27,0.0,0.0,0.0,0.77,0.23,0.3,0.51,0.49,0.28,0.42,0.17,0.11,0.02,0.37,0.63,"202303 기준 '우주파'(주소: 제주 제주시 삼도이동 1221-10번지 1층)은/는 20220519에 개설된 양식 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.0%, 18~22시 0.77%, 23~4시 0.23%입니다. 요일별 이용 비중은 월요일 0.07, 화요일 0.0, 수요일 0.0, 목요일 0.1, 금요일 0.2, 토요일 0.37, 일요일 0.27입니다. 평일 0.63, 주말0.37현지인 이용 비중은 0.3입니다. 최근 12개월간 남성 회원 비중은 0.51, 여성 회원 비중은 0.49 입니다. 연령대별 회원 비중은 20대 이하 0.28, 30대 0.42, 40대 0.17, 50대 0.11, 60대 이상 0.02입니다. 이 가맹점의 이용 건수 구간은 5_75~90%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 3_25~50%입니다. 해당 가맹점의 고객 평균 재방문율은 1.04 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: ## 제주도 맛집 키워드:

**맛:** 맛있다, 존맛탱, 꿀맛, 부드럽다, 최고, 시원하다, 넘다, 맥주, 플래터, 흑돼지, 풀드포크, 브리오쉬, 파스타, 햄버거, 칵테일, 소스, 맥주, 와인, 안주

**만족도:** 좋다, 너무 좋다, 완벽하다, 행복하다, 즐겁다, 추천, 강추, 최고, 멋지다, 짱짱, 기분 좋다, 만족스럽다

**서비스:** 친절하다, 사장, 직원, 웰컴, 대처, 덤,  

**분위기:** 분위기, 힙, 감성, 낭만, 센치, 루프탑, 야외, 바다, 노을, 뷰, 멋있다, 예쁘다, 굿굿, 

**음식량:** 푸짐하다, 배부르다, 많다, 양 
",33.5176951,126.5167432,1.04,"## 제주도 맛집 키워드:

**맛:** 맛있다, 존맛탱, 꿀맛, 부드럽다, 최고, 시원하다, 넘다, 맥주, 플래터, 흑돼지, 풀드포크, 브리오쉬, 파스타, 햄버거, 칵테일, 소스, 맥주, 와인, 안주

**만족도:** 좋다, 너무 좋다, 완벽하다, 행복하다, 즐겁다, 추천, 강추, 최고, 멋지다, 짱짱, 기분 좋다, 만족스럽다

**서비스:** 친절하다, 사장, 직원, 웰컴, 대처, 덤,  

**분위기:** 분위기, 힙, 감성, 낭만, 센치, 루프탑, 야외, 바다, 노을, 뷰, 멋있다, 예쁘다, 굿굿, 

**음식량:** 푸짐하다, 배부르다, 많다, 양 
"
202303,신현대식당,20010109,가정식,제주 제주시 건입동 1319-19번지,상위 50~75%,상위 50~75%,상위 25~50%,0.21,0.13,0.13,0.16,0.11,0.05,0.21,0.24,0.32,0.34,0.11,0.0,0.11,0.57,0.43,0.14,0.22,0.22,0.26,0.16,0.74,0.26,"202303 기준 '신현대식당'(주소: 제주 제주시 건입동 1319-19번지)은/는 20010109에 개설된 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.24%, 12~13시 0.32%, 14~17시 0.34%, 18~22시 0.11%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.21, 화요일 0.13, 수요일 0.13, 목요일 0.16, 금요일 0.11, 토요일 0.05, 일요일 0.21입니다. 평일 0.26, 주말0.74현지인 이용 비중은 0.11입니다. 최근 12개월간 남성 회원 비중은 0.57, 여성 회원 비중은 0.43 입니다. 연령대별 회원 비중은 20대 이하 0.14, 30대 0.22, 40대 0.22, 50대 0.26, 60대 이상 0.16입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 3_25~50%입니다. 해당 가맹점의 고객 평균 재방문율은 1.1 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다:  제주도 맛집 키워드 20개:갈치조림, 고등어회, 맛있다, 푸짐하다, 친절하다, 신선하다, 통통하다, 배부르다, 강력추천, 최고, 실하다, 존맛탱, 양념, 매콤달콤, 고소하다, 깔끔하다, 정갈하다, 푸근하다, 가격, 합리적 ",33.5164054,126.5292058,1.1," 제주도 맛집 키워드 20개:갈치조림, 고등어회, 맛있다, 푸짐하다, 친절하다, 신선하다, 통통하다, 배부르다, 강력추천, 최고, 실하다, 존맛탱, 양념, 매콤달콤, 고소하다, 깔끔하다, 정갈하다, 푸근하다, 가격, 합리적 "
202303,우정회센타1호점,20210817,가정식,제주 서귀포시 서귀동 276-19번지 서귀동,상위 10~25%,상위 50~75%,상위 90% 초과(하위 10% 이하),0.12,0.15,0.1,0.15,0.11,0.18,0.2,0.0,0.0,0.1,0.89,0.01,0.06,0.55,0.45,0.27,0.35,0.22,0.13,0.03,0.62,0.38,"202303 기준 '우정회센타1호점'(주소: 제주 서귀포시 서귀동 276-19번지 서귀동)은/는 20210817에 개설된 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.1%, 18~22시 0.89%, 23~4시 0.01%입니다. 요일별 이용 비중은 월요일 0.12, 화요일 0.15, 수요일 0.1, 목요일 0.15, 금요일 0.11, 토요일 0.18, 일요일 0.2입니다. 평일 0.38, 주말0.62현지인 이용 비중은 0.06입니다. 최근 12개월간 남성 회원 비중은 0.55, 여성 회원 비중은 0.45 입니다. 연령대별 회원 비중은 20대 이하 0.27, 30대 0.35, 40대 0.22, 50대 0.13, 60대 이상 0.03입니다. 이 가맹점의 이용 건수 구간은 2_10~25%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 6_90% 초과(하위 10% 이하)입니다. 해당 가맹점의 고객 평균 재방문율은 1.08 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: ## 제주도 맛집 키워드 (20개)

* 신선
* 맛있다
* 최고
* 푸짐
* 가성비
* 친절
* 싱싱
* 깔끔
* 분위기
* 넉넉
* 푸짐
* 만족
* 풍성
* 훌륭
* 착하다
* 시원
* 든든
* 괜찮다
* 좋다
* 굿 
",33.2495636,126.5630367,1.08,"## 제주도 맛집 키워드 (20개)

* 신선
* 맛있다
* 최고
* 푸짐
* 가성비
* 친절
* 싱싱
* 깔끔
* 분위기
* 넉넉
* 푸짐
* 만족
* 풍성
* 훌륭
* 착하다
* 시원
* 든든
* 괜찮다
* 좋다
* 굿 
"
202303,희신이네,20060515,가정식,제주 서귀포시 서홍동 1651-11번지,상위 50~75%,상위 50~75%,상위 50~75%,0.06,0.21,0.21,0.17,0.1,0.16,0.1,0.14,0.41,0.27,0.17,0.0,0.72,0.7,0.3,0.11,0.27,0.35,0.18,0.09,0.75,0.25,"202303 기준 '희신이네'(주소: 제주 서귀포시 서홍동 1651-11번지)은/는 20060515에 개설된 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.14%, 12~13시 0.41%, 14~17시 0.27%, 18~22시 0.17%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.06, 화요일 0.21, 수요일 0.21, 목요일 0.17, 금요일 0.1, 토요일 0.16, 일요일 0.1입니다. 평일 0.25, 주말0.75현지인 이용 비중은 0.72입니다. 최근 12개월간 남성 회원 비중은 0.7, 여성 회원 비중은 0.3 입니다. 연령대별 회원 비중은 20대 이하 0.11, 30대 0.27, 40대 0.35, 50대 0.18, 60대 이상 0.09입니다. 이 가맹점의 이용 건수 구간은 4_50~75%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 1.06 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: ## 제주도 맛집 키워드 20개:

* 깐풍기
* 닭고기
* 냉밀면
* 짬뽕
* 닭장탕
* 맛있다
* 시원하다
* 맵다
* 짜다
* 달콤하다
* 쫄깃하다
* 탱글하다
* 뜨겁다
* 부드럽다
* 신선하다
* 양 많다
* 가격 대비 양
* 친절하다
* 웨이팅
* 주차 
",33.2633891,126.5508375,1.06,"## 제주도 맛집 키워드 20개:

* 깐풍기
* 닭고기
* 냉밀면
* 짬뽕
* 닭장탕
* 맛있다
* 시원하다
* 맵다
* 짜다
* 달콤하다
* 쫄깃하다
* 탱글하다
* 뜨겁다
* 부드럽다
* 신선하다
* 양 많다
* 가격 대비 양
* 친절하다
* 웨이팅
* 주차 
"
202303,흑돼지일번지,20161215,가정식,제주 서귀포시 남원읍 남원리 207-7번지,상위 90% 초과(하위 10% 이하),상위 50~75%,상위 10% 이하,0.0,0.28,0.17,0.06,0.17,0.22,0.11,0.0,0.0,0.17,0.83,0.0,0.11,0.57,0.43,0.06,0.22,0.28,0.26,0.19,0.67,0.33,"202303 기준 '흑돼지일번지'(주소: 제주 서귀포시 남원읍 남원리 207-7번지)은/는 20161215에 개설된 가정식 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.17%, 18~22시 0.83%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.0, 화요일 0.28, 수요일 0.17, 목요일 0.06, 금요일 0.17, 토요일 0.22, 일요일 0.11입니다. 평일 0.33, 주말0.67현지인 이용 비중은 0.11입니다. 최근 12개월간 남성 회원 비중은 0.57, 여성 회원 비중은 0.43 입니다. 연령대별 회원 비중은 20대 이하 0.06, 30대 0.22, 40대 0.28, 50대 0.26, 60대 이상 0.19입니다. 이 가맹점의 이용 건수 구간은 6_90% 초과(하위 10% 이하)이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 1_상위 10% 이하입니다. 해당 가맹점의 고객 평균 재방문율은 1.02 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: [흑돼지, 맛있다, 쫄깃, 육즙, 친절, 만족, 푸짐, 양, 가성비, 서비스, 깔끔, 청결, 분위기, 맛집, 든든, 술, 즐겁다, 좋다, 숙소, 픽업] 
",33.2802577,126.7207597,1.02,"[흑돼지, 맛있다, 쫄깃, 육즙, 친절, 만족, 푸짐, 양, 가성비, 서비스, 깔끔, 청결, 분위기, 맛집, 든든, 술, 즐겁다, 좋다, 숙소, 픽업] 
"
202303,전철우고향랭면해장국 신제주직영점,20220523,단품요리 전문,제주 제주시 노형동 2282번지 1층,상위 25~50%,상위 25~50%,상위 50~75%,0.0,0.2,0.14,0.28,0.13,0.13,0.11,0.2,0.3,0.37,0.13,0.0,0.72,0.59,0.41,0.04,0.13,0.28,0.29,0.26,0.75,0.25,"202303 기준 '전철우고향랭면해장국 신제주직영점'(주소: 제주 제주시 노형동 2282번지 1층)은/는 20220523에 개설된 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.2%, 12~13시 0.3%, 14~17시 0.37%, 18~22시 0.13%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.0, 화요일 0.2, 수요일 0.14, 목요일 0.28, 금요일 0.13, 토요일 0.13, 일요일 0.11입니다. 평일 0.25, 주말0.75현지인 이용 비중은 0.72입니다. 최근 12개월간 남성 회원 비중은 0.59, 여성 회원 비중은 0.41 입니다. 연령대별 회원 비중은 20대 이하 0.04, 30대 0.13, 40대 0.28, 50대 0.29, 60대 이상 0.26입니다. 이 가맹점의 이용 건수 구간은 3_25~50%이며, 이용 금액 구간은 3_25~50%입니다. 건당 평균 이용 금액 구간은 4_50~75%입니다. 해당 가맹점의 고객 평균 재방문율은 1.2 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: ## 제주도 맛집 키워드:

* 맛있다 
* 깔끔하다 
* 시원하다 
* 푸짐하다 
* 쫄깃하다 
* 든든하다 
* 깊다 
* 맵다 
* 짜다 
* 달콤하다 
* 친절하다 
* 넓다 
* 편하다 
* 좋다 
* 넉넉하다 
* 산더미 
* 꽉차다 
* 싱겁다 
* 밍밍하다 
* 최고 
",33.4790508,126.470798,1.2,"## 제주도 맛집 키워드:

* 맛있다 
* 깔끔하다 
* 시원하다 
* 푸짐하다 
* 쫄깃하다 
* 든든하다 
* 깊다 
* 맵다 
* 짜다 
* 달콤하다 
* 친절하다 
* 넓다 
* 편하다 
* 좋다 
* 넉넉하다 
* 산더미 
* 꽉차다 
* 싱겁다 
* 밍밍하다 
* 최고 
"
202303,김만복고기국수,20201013,커피,제주 제주시 오라이동 2196-1번지 1층,상위 10~25%,상위 50~75%,상위 75~90%,0.11,0.15,0.19,0.16,0.08,0.14,0.16,0.11,0.36,0.3,0.23,0.0,0.73,0.44,0.56,0.1,0.25,0.33,0.22,0.11,0.7,0.3,"202303 기준 '김만복고기국수'(주소: 제주 제주시 오라이동 2196-1번지 1층)은/는 20201013에 개설된 커피 업종입니다. 이용 시간대별 비중은 5~11시 0.11%, 12~13시 0.36%, 14~17시 0.3%, 18~22시 0.23%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.11, 화요일 0.15, 수요일 0.19, 목요일 0.16, 금요일 0.08, 토요일 0.14, 일요일 0.16입니다. 평일 0.3, 주말0.7현지인 이용 비중은 0.73입니다. 최근 12개월간 남성 회원 비중은 0.44, 여성 회원 비중은 0.56 입니다. 연령대별 회원 비중은 20대 이하 0.1, 30대 0.25, 40대 0.33, 50대 0.22, 60대 이상 0.11입니다. 이 가맹점의 이용 건수 구간은 2_10~25%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 5_75~90%입니다. 해당 가맹점의 고객 평균 재방문율은 1.1 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: ## 제주도 맛집 키워드 20개:

고기국수, 국물, 면, 탱글탱글, 쫄깃, 맛있다, 육수, 맛집, 양, 뜨끈, 큼직, 시원, 깔끔, 친절, 넓다, 편하다, 멸치, 메밀, 큼직, 비빔 
",33.4945192,126.5091278,1.1,"## 제주도 맛집 키워드 20개:

고기국수, 국물, 면, 탱글탱글, 쫄깃, 맛있다, 육수, 맛집, 양, 뜨끈, 큼직, 시원, 깔끔, 친절, 넓다, 편하다, 멸치, 메밀, 큼직, 비빔 
"
202303,소못,20211215,단품요리 전문,제주 제주시 연동 253-14번지 1층,상위 25~50%,상위 10% 이하,상위 10% 이하,0.13,0.18,0.15,0.25,0.21,0.08,0.0,0.0,0.0,0.0,1.0,0.0,0.13,0.4,0.6,0.48,0.34,0.07,0.07,0.02,0.92,0.08,"202303 기준 '소못'(주소: 제주 제주시 연동 253-14번지 1층)은/는 20211215에 개설된 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.0%, 12~13시 0.0%, 14~17시 0.0%, 18~22시 1.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.13, 화요일 0.18, 수요일 0.15, 목요일 0.25, 금요일 0.21, 토요일 0.08, 일요일 0.0입니다. 평일 0.08, 주말0.92현지인 이용 비중은 0.13입니다. 최근 12개월간 남성 회원 비중은 0.4, 여성 회원 비중은 0.6 입니다. 연령대별 회원 비중은 20대 이하 0.48, 30대 0.34, 40대 0.07, 50대 0.07, 60대 이상 0.02입니다. 이 가맹점의 이용 건수 구간은 3_25~50%이며, 이용 금액 구간은 1_상위 10% 이하입니다. 건당 평균 이용 금액 구간은 1_상위 10% 이하입니다. 해당 가맹점의 고객 평균 재방문율은 1.0 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: ## 제주도 맛집 키워드:

흑돼지, 마카세, 맛있다, 친절하다, 굽다, 설명, 부위, 코스, 만족, 서비스, 분위기, 가격, 숙성, 예약, 웨이팅, 푸짐하다, 깔끔하다, 곁들임, 술, 식사 
",33.485018,126.4874053,1.0,"## 제주도 맛집 키워드:

흑돼지, 마카세, 맛있다, 친절하다, 굽다, 설명, 부위, 코스, 만족, 서비스, 분위기, 가격, 숙성, 예약, 웨이팅, 푸짐하다, 깔끔하다, 곁들임, 술, 식사 
"
