관광지명,주소,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,월별 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수,정보,위도,경도
갈중이,제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 ,관광지,인문(문화/예술/역사),체험관광지,전통체험,500.0,5.0,55.0,10.0,8.0,10.0,8.0,8.0,7.0,4.0,"'갈중이'은/는 제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 전통체험입니다. 해당 관광지는 기준월(5.0) 동안 총 500.0명의 방문자를 기록했습니다. 8월 한 달 동안 55.0명이 방문했습니다. 요일별 방문자수는 월요일 10.0명, 화요일 8.0명, 수요일 10.0명, 목요일 8.0명, 금요일 8.0명, 토요일 7.0명, 일요일 4.0명입니다.",33.2350546,126.3136741
감수굴밭담길,제주특별자치도 제주시 구좌읍 평대7길 34 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,551.0,5.0,64.0,12.0,12.0,10.0,11.0,4.0,6.0,9.0,"'감수굴밭담길'은/는 제주특별자치도 제주시 구좌읍 평대7길 34 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 농.산.어촌 체험입니다. 해당 관광지는 기준월(5.0) 동안 총 551.0명의 방문자를 기록했습니다. 8월 한 달 동안 64.0명이 방문했습니다. 요일별 방문자수는 월요일 12.0명, 화요일 12.0명, 수요일 10.0명, 목요일 11.0명, 금요일 4.0명, 토요일 6.0명, 일요일 9.0명입니다.",,
관덕정,제주특별자치도 제주시 관덕로 19 (삼도이동),관광지,인문(문화/예술/역사),역사관광지,고궁,5642.0,5.0,745.0,143.0,130.0,169.0,87.0,67.0,64.0,85.0,"'관덕정'은/는 제주특별자치도 제주시 관덕로 19 (삼도이동)에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 역사관광지, 소분류: 고궁입니다. 해당 관광지는 기준월(5.0) 동안 총 5642.0명의 방문자를 기록했습니다. 8월 한 달 동안 745.0명이 방문했습니다. 요일별 방문자수는 월요일 143.0명, 화요일 130.0명, 수요일 169.0명, 목요일 87.0명, 금요일 67.0명, 토요일 64.0명, 일요일 85.0명입니다.",33.5133704,126.5214334
관음사,제주특별자치도 제주시 산록북로 660 (아라일동),관광지,인문(문화/예술/역사),역사관광지,사찰,1809.0,5.0,190.0,32.0,34.0,30.0,31.0,24.0,17.0,22.0,"'관음사'은/는 제주특별자치도 제주시 산록북로 660 (아라일동)에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 역사관광지, 소분류: 사찰입니다. 해당 관광지는 기준월(5.0) 동안 총 1809.0명의 방문자를 기록했습니다. 8월 한 달 동안 190.0명이 방문했습니다. 요일별 방문자수는 월요일 32.0명, 화요일 34.0명, 수요일 30.0명, 목요일 31.0명, 금요일 24.0명, 토요일 17.0명, 일요일 22.0명입니다.",33.4237942,126.5583908
금능포구,제주특별자치도 제주시 한림읍 금능리 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,457.0,5.0,59.0,10.0,7.0,14.0,7.0,7.0,3.0,11.0,"'금능포구'은/는 제주특별자치도 제주시 한림읍 금능리 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 농.산.어촌 체험입니다. 해당 관광지는 기준월(5.0) 동안 총 457.0명의 방문자를 기록했습니다. 8월 한 달 동안 59.0명이 방문했습니다. 요일별 방문자수는 월요일 10.0명, 화요일 7.0명, 수요일 14.0명, 목요일 7.0명, 금요일 7.0명, 토요일 3.0명, 일요일 11.0명입니다.",33.3700283,126.2392054
금룡사,제주특별자치도 제주시 구좌읍 김녕로 148-11 (구좌읍),관광지,인문(문화/예술/역사),역사관광지,사찰,478.0,5.0,53.0,7.0,11.0,10.0,5.0,7.0,7.0,6.0,"'금룡사'은/는 제주특별자치도 제주시 구좌읍 김녕로 148-11 (구좌읍)에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 역사관광지, 소분류: 사찰입니다. 해당 관광지는 기준월(5.0) 동안 총 478.0명의 방문자를 기록했습니다. 8월 한 달 동안 53.0명이 방문했습니다. 요일별 방문자수는 월요일 7.0명, 화요일 11.0명, 수요일 10.0명, 목요일 5.0명, 금요일 7.0명, 토요일 7.0명, 일요일 6.0명입니다.",33.553856,126.7535423
금호리조트제주,제주특별자치도 서귀포시 남원읍 태위로 522-12 ,숙박,인문(문화/예술/역사),휴양관광지,관광단지,1515.0,5.0,154.0,23.0,33.0,25.0,20.0,18.0,16.0,19.0,"'금호리조트제주'은/는 제주특별자치도 서귀포시 남원읍 태위로 522-12 에 위치한 관광지로, 숙박에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 휴양관광지, 소분류: 관광단지입니다. 해당 관광지는 기준월(5.0) 동안 총 1515.0명의 방문자를 기록했습니다. 8월 한 달 동안 154.0명이 방문했습니다. 요일별 방문자수는 월요일 23.0명, 화요일 33.0명, 수요일 25.0명, 목요일 20.0명, 금요일 18.0명, 토요일 16.0명, 일요일 19.0명입니다.",33.2729991,126.701485
노리매공원,제주특별자치도 서귀포시 대정읍 중산간서로 2260-15 ,관광지,인문(문화/예술/역사),휴양관광지,공원,3274.0,5.0,229.0,39.0,50.0,27.0,36.0,28.0,22.0,27.0,"'노리매공원'은/는 제주특별자치도 서귀포시 대정읍 중산간서로 2260-15 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 휴양관광지, 소분류: 공원입니다. 해당 관광지는 기준월(5.0) 동안 총 3274.0명의 방문자를 기록했습니다. 8월 한 달 동안 229.0명이 방문했습니다. 요일별 방문자수는 월요일 39.0명, 화요일 50.0명, 수요일 27.0명, 목요일 36.0명, 금요일 28.0명, 토요일 22.0명, 일요일 27.0명입니다.",33.2831505,126.2873239
누웨마루거리,제주특별자치도 제주시 신광로 47 (연동) ,관광지,인문(문화/예술/역사),체험관광지,이색거리,2082.0,5.0,193.0,34.0,32.0,34.0,22.0,29.0,22.0,20.0,"'누웨마루거리'은/는 제주특별자치도 제주시 신광로 47 (연동) 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 이색거리입니다. 해당 관광지는 기준월(5.0) 동안 총 2082.0명의 방문자를 기록했습니다. 8월 한 달 동안 193.0명이 방문했습니다. 요일별 방문자수는 월요일 34.0명, 화요일 32.0명, 수요일 34.0명, 목요일 22.0명, 금요일 29.0명, 토요일 22.0명, 일요일 20.0명입니다.",,
다이나믹메이즈,제주특별자치도 서귀포시 표선면 번영로 2644 ,관광지,인문(문화/예술/역사),휴양관광지,테마공원,7386.0,5.0,578.0,108.0,88.0,86.0,75.0,85.0,68.0,68.0,"'다이나믹메이즈'은/는 제주특별자치도 서귀포시 표선면 번영로 2644 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 휴양관광지, 소분류: 테마공원입니다. 해당 관광지는 기준월(5.0) 동안 총 7386.0명의 방문자를 기록했습니다. 8월 한 달 동안 578.0명이 방문했습니다. 요일별 방문자수는 월요일 108.0명, 화요일 88.0명, 수요일 86.0명, 목요일 75.0명, 금요일 85.0명, 토요일 68.0명, 일요일 68.0명입니다.",33.3991423,126.7851051
