관광지명,주소,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,월별 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수,정보,위도,경도
가파도,제주특별자치도 서귀포시 대정읍 가파로 ,관광지,자연,자연관광지,섬,12905.0,4.0,1783.0,286.0,263.0,214.0,258.0,163.0,297.0,302.0,"'가파도'은/는 제주특별자치도 서귀포시 대정읍 가파로 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 섬입니다. 해당 관광지는 기준월(4.0) 동안 총 12905.0명의 방문자를 기록했습니다. 7월 한 달 동안 1783.0명이 방문했습니다. 요일별 방문자수는 월요일 286.0명, 화요일 263.0명, 수요일 214.0명, 목요일 258.0명, 금요일 163.0명, 토요일 297.0명, 일요일 302.0명입니다.",33.1697336,126.271453
갈중이,제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 ,관광지,인문(문화/예술/역사),체험관광지,전통체험,500.0,4.0,62.0,9.0,5.0,8.0,8.0,10.0,13.0,9.0,"'갈중이'은/는 제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 전통체험입니다. 해당 관광지는 기준월(4.0) 동안 총 500.0명의 방문자를 기록했습니다. 7월 한 달 동안 62.0명이 방문했습니다. 요일별 방문자수는 월요일 9.0명, 화요일 5.0명, 수요일 8.0명, 목요일 8.0명, 금요일 10.0명, 토요일 13.0명, 일요일 9.0명입니다.",33.2350546,126.3136741
검멀레해변,제주특별자치도 제주시 우도면 우도해안길 (우도면),관광지,자연,자연관광지,해수욕장,3355.0,4.0,307.0,49.0,47.0,49.0,46.0,35.0,40.0,41.0,"'검멀레해변'은/는 제주특별자치도 제주시 우도면 우도해안길 (우도면)에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 해수욕장입니다. 해당 관광지는 기준월(4.0) 동안 총 3355.0명의 방문자를 기록했습니다. 7월 한 달 동안 307.0명이 방문했습니다. 요일별 방문자수는 월요일 49.0명, 화요일 47.0명, 수요일 49.0명, 목요일 46.0명, 금요일 35.0명, 토요일 40.0명, 일요일 41.0명입니다.",33.5065528,126.9549021
고산일과해안도로,제주특별자치도 서귀포시 대정읍 신도리 3135-1 ,관광지,자연,자연관광지,자연생태관광지,542.0,4.0,74.0,9.0,8.0,12.0,11.0,5.0,19.0,10.0,"'고산일과해안도로'은/는 제주특별자치도 서귀포시 대정읍 신도리 3135-1 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 자연생태관광지입니다. 해당 관광지는 기준월(4.0) 동안 총 542.0명의 방문자를 기록했습니다. 7월 한 달 동안 74.0명이 방문했습니다. 요일별 방문자수는 월요일 9.0명, 화요일 8.0명, 수요일 12.0명, 목요일 11.0명, 금요일 5.0명, 토요일 19.0명, 일요일 10.0명입니다.",33.2575958,126.214254
곽지해수욕장,제주특별자치도 제주시 애월읍 곽지리 1565 ,관광지,자연,자연관광지,해수욕장,11572.0,4.0,918.0,121.0,111.0,132.0,134.0,123.0,128.0,169.0,"'곽지해수욕장'은/는 제주특별자치도 제주시 애월읍 곽지리 1565 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 해수욕장입니다. 해당 관광지는 기준월(4.0) 동안 총 11572.0명의 방문자를 기록했습니다. 7월 한 달 동안 918.0명이 방문했습니다. 요일별 방문자수는 월요일 121.0명, 화요일 111.0명, 수요일 132.0명, 목요일 134.0명, 금요일 123.0명, 토요일 128.0명, 일요일 169.0명입니다.",33.45329040000001,126.3212801
광치기해변,제주특별자치도 서귀포시 성산읍 고성리 ,관광지,자연,자연관광지,해수욕장,10642.0,4.0,1146.0,171.0,150.0,124.0,140.0,159.0,200.0,202.0,"'광치기해변'은/는 제주특별자치도 서귀포시 성산읍 고성리 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 해수욕장입니다. 해당 관광지는 기준월(4.0) 동안 총 10642.0명의 방문자를 기록했습니다. 7월 한 달 동안 1146.0명이 방문했습니다. 요일별 방문자수는 월요일 171.0명, 화요일 150.0명, 수요일 124.0명, 목요일 140.0명, 금요일 159.0명, 토요일 200.0명, 일요일 202.0명입니다.",33.4370258,126.9224025
구엄포구,제주특별자치도 제주시 애월읍 구엄리 607-5 일대 ,관광지,자연,자연관광지,항구/포구,563.0,4.0,61.0,6.0,7.0,7.0,6.0,14.0,10.0,11.0,"'구엄포구'은/는 제주특별자치도 제주시 애월읍 구엄리 607-5 일대 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 항구/포구입니다. 해당 관광지는 기준월(4.0) 동안 총 563.0명의 방문자를 기록했습니다. 7월 한 달 동안 61.0명이 방문했습니다. 요일별 방문자수는 월요일 6.0명, 화요일 7.0명, 수요일 7.0명, 목요일 6.0명, 금요일 14.0명, 토요일 10.0명, 일요일 11.0명입니다.",33.4791227,126.3813732
금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10 ,관광지,자연,자연관광지,해수욕장,13346.0,4.0,1111.0,162.0,160.0,160.0,141.0,153.0,153.0,182.0,"'금능해수욕장'은/는 제주특별자치도 제주시 한림읍 금능길 119-10 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 해수욕장입니다. 해당 관광지는 기준월(4.0) 동안 총 13346.0명의 방문자를 기록했습니다. 7월 한 달 동안 1111.0명이 방문했습니다. 요일별 방문자수는 월요일 162.0명, 화요일 160.0명, 수요일 160.0명, 목요일 141.0명, 금요일 153.0명, 토요일 153.0명, 일요일 182.0명입니다.",33.3911311,126.2362647
김경숙해바라기농장,제주특별자치도 제주시 번영로 854-1 (회천동) ,관광지,자연,자연관광지,자연생태관광지,4832.0,4.0,397.0,57.0,72.0,48.0,37.0,56.0,72.0,55.0,"'김경숙해바라기농장'은/는 제주특별자치도 제주시 번영로 854-1 (회천동) 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 자연생태관광지입니다. 해당 관광지는 기준월(4.0) 동안 총 4832.0명의 방문자를 기록했습니다. 7월 한 달 동안 397.0명이 방문했습니다. 요일별 방문자수는 월요일 57.0명, 화요일 72.0명, 수요일 48.0명, 목요일 37.0명, 금요일 56.0명, 토요일 72.0명, 일요일 55.0명입니다.",33.477406,126.62762
노리매공원,제주특별자치도 서귀포시 대정읍 중산간서로 2260-15 ,관광지,인문(문화/예술/역사),휴양관광지,공원,3274.0,4.0,318.0,60.0,39.0,46.0,49.0,42.0,38.0,44.0,"'노리매공원'은/는 제주특별자치도 서귀포시 대정읍 중산간서로 2260-15 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 휴양관광지, 소분류: 공원입니다. 해당 관광지는 기준월(4.0) 동안 총 3274.0명의 방문자를 기록했습니다. 7월 한 달 동안 318.0명이 방문했습니다. 요일별 방문자수는 월요일 60.0명, 화요일 39.0명, 수요일 46.0명, 목요일 49.0명, 금요일 42.0명, 토요일 38.0명, 일요일 44.0명입니다.",33.2831505,126.2873239
노을해안로,제주특별자치도 서귀포시 대정읍 영락리 ,관광지,자연,자연관광지,자연생태관광지,1349.0,4.0,154.0,23.0,24.0,17.0,26.0,16.0,29.0,19.0,"'노을해안로'은/는 제주특별자치도 서귀포시 대정읍 영락리 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 자연생태관광지입니다. 해당 관광지는 기준월(4.0) 동안 총 1349.0명의 방문자를 기록했습니다. 7월 한 달 동안 154.0명이 방문했습니다. 요일별 방문자수는 월요일 23.0명, 화요일 24.0명, 수요일 17.0명, 목요일 26.0명, 금요일 16.0명, 토요일 29.0명, 일요일 19.0명입니다.",33.2425714,126.2243799
논짓물,제주특별자치도 서귀포시 예래해안로 253 (하예동),관광지,자연,자연관광지,해수욕장,7654.0,4.0,381.0,56.0,39.0,48.0,45.0,61.0,54.0,78.0,"'논짓물'은/는 제주특별자치도 서귀포시 예래해안로 253 (하예동)에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 해수욕장입니다. 해당 관광지는 기준월(4.0) 동안 총 7654.0명의 방문자를 기록했습니다. 7월 한 달 동안 381.0명이 방문했습니다. 요일별 방문자수는 월요일 56.0명, 화요일 39.0명, 수요일 48.0명, 목요일 45.0명, 금요일 61.0명, 토요일 54.0명, 일요일 78.0명입니다.",33.2399183,126.3797536
누웨마루거리,제주특별자치도 제주시 신광로 47 (연동) ,관광지,인문(문화/예술/역사),체험관광지,이색거리,2082.0,4.0,192.0,26.0,33.0,29.0,20.0,26.0,28.0,30.0,"'누웨마루거리'은/는 제주특별자치도 제주시 신광로 47 (연동) 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 이색거리입니다. 해당 관광지는 기준월(4.0) 동안 총 2082.0명의 방문자를 기록했습니다. 7월 한 달 동안 192.0명이 방문했습니다. 요일별 방문자수는 월요일 26.0명, 화요일 33.0명, 수요일 29.0명, 목요일 20.0명, 금요일 26.0명, 토요일 28.0명, 일요일 30.0명입니다.",,
다려도,제주특별자치도 제주시 조천읍 북촌리 산 89,관광지,자연,자연관광지,섬,696.0,4.0,75.0,15.0,6.0,13.0,9.0,10.0,12.0,10.0,"'다려도'은/는 제주특별자치도 제주시 조천읍 북촌리 산 89에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 섬입니다. 해당 관광지는 기준월(4.0) 동안 총 696.0명의 방문자를 기록했습니다. 7월 한 달 동안 75.0명이 방문했습니다. 요일별 방문자수는 월요일 15.0명, 화요일 6.0명, 수요일 13.0명, 목요일 9.0명, 금요일 10.0명, 토요일 12.0명, 일요일 10.0명입니다.",33.5374849,126.6939218
다이나믹메이즈,제주특별자치도 서귀포시 표선면 번영로 2644 ,관광지,인문(문화/예술/역사),휴양관광지,테마공원,7386.0,4.0,547.0,85.0,70.0,68.0,74.0,93.0,75.0,82.0,"'다이나믹메이즈'은/는 제주특별자치도 서귀포시 표선면 번영로 2644 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 휴양관광지, 소분류: 테마공원입니다. 해당 관광지는 기준월(4.0) 동안 총 7386.0명의 방문자를 기록했습니다. 7월 한 달 동안 547.0명이 방문했습니다. 요일별 방문자수는 월요일 85.0명, 화요일 70.0명, 수요일 68.0명, 목요일 74.0명, 금요일 93.0명, 토요일 75.0명, 일요일 82.0명입니다.",33.3991423,126.7851051
닭머르해안길,제주특별자치도 제주시 조천읍 신촌북3길 62-1 ,관광지,자연,자연관광지,자연생태관광지,12241.0,4.0,896.0,112.0,144.0,121.0,128.0,111.0,127.0,153.0,"'닭머르해안길'은/는 제주특별자치도 제주시 조천읍 신촌북3길 62-1 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 자연생태관광지입니다. 해당 관광지는 기준월(4.0) 동안 총 12241.0명의 방문자를 기록했습니다. 7월 한 달 동안 896.0명이 방문했습니다. 요일별 방문자수는 월요일 112.0명, 화요일 144.0명, 수요일 121.0명, 목요일 128.0명, 금요일 111.0명, 토요일 127.0명, 일요일 153.0명입니다.",33.5378704,126.6132214
대평포구,제주특별자치도 서귀포시 안덕면 창천리 914-5 ,관광지,자연,자연관광지,항구/포구,1424.0,4.0,172.0,31.0,18.0,24.0,26.0,17.0,25.0,31.0,"'대평포구'은/는 제주특별자치도 서귀포시 안덕면 창천리 914-5 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 항구/포구입니다. 해당 관광지는 기준월(4.0) 동안 총 1424.0명의 방문자를 기록했습니다. 7월 한 달 동안 172.0명이 방문했습니다. 요일별 방문자수는 월요일 31.0명, 화요일 18.0명, 수요일 24.0명, 목요일 26.0명, 금요일 17.0명, 토요일 25.0명, 일요일 31.0명입니다.",33.2594294,126.3576754
대포포구,제주특별자치도 서귀포시 대포로 172-8 (대포동),관광지,자연,자연관광지,항구/포구,585.0,4.0,76.0,19.0,8.0,8.0,6.0,12.0,10.0,13.0,"'대포포구'은/는 제주특별자치도 서귀포시 대포로 172-8 (대포동)에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 항구/포구입니다. 해당 관광지는 기준월(4.0) 동안 총 585.0명의 방문자를 기록했습니다. 7월 한 달 동안 76.0명이 방문했습니다. 요일별 방문자수는 월요일 19.0명, 화요일 8.0명, 수요일 8.0명, 목요일 6.0명, 금요일 12.0명, 토요일 10.0명, 일요일 13.0명입니다.",33.2423126,126.4345568
더마파크,제주특별자치도 제주시 한림읍 월림7길 155 ,관광지,인문(문화/예술/역사),휴양관광지,테마공원,3972.0,4.0,332.0,58.0,52.0,32.0,52.0,54.0,45.0,39.0,"'더마파크'은/는 제주특별자치도 제주시 한림읍 월림7길 155 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 휴양관광지, 소분류: 테마공원입니다. 해당 관광지는 기준월(4.0) 동안 총 3972.0명의 방문자를 기록했습니다. 7월 한 달 동안 332.0명이 방문했습니다. 요일별 방문자수는 월요일 58.0명, 화요일 52.0명, 수요일 32.0명, 목요일 52.0명, 금요일 54.0명, 토요일 45.0명, 일요일 39.0명입니다.",33.3508962,126.2482536
도두항,제주특별자치도 제주시 도공로 2 (도두일동),관광지,자연,자연관광지,항구/포구,960.0,4.0,113.0,22.0,16.0,20.0,12.0,12.0,18.0,13.0,"'도두항'은/는 제주특별자치도 제주시 도공로 2 (도두일동)에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 항구/포구입니다. 해당 관광지는 기준월(4.0) 동안 총 960.0명의 방문자를 기록했습니다. 7월 한 달 동안 113.0명이 방문했습니다. 요일별 방문자수는 월요일 22.0명, 화요일 16.0명, 수요일 20.0명, 목요일 12.0명, 금요일 12.0명, 토요일 18.0명, 일요일 13.0명입니다.",33.5060695,126.4649759
돈내코,제주특별자치도 서귀포시 돈내코로 137 ,관광지,자연,자연관광지,계곡,6251.0,4.0,351.0,42.0,54.0,40.0,44.0,52.0,55.0,64.0,"'돈내코'은/는 제주특별자치도 서귀포시 돈내코로 137 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 계곡입니다. 해당 관광지는 기준월(4.0) 동안 총 6251.0명의 방문자를 기록했습니다. 7월 한 달 동안 351.0명이 방문했습니다. 요일별 방문자수는 월요일 42.0명, 화요일 54.0명, 수요일 40.0명, 목요일 44.0명, 금요일 52.0명, 토요일 55.0명, 일요일 64.0명입니다.",33.3510774,126.620716
동일리포구,제주특별자치도 서귀포시 대정읍 동일하모로98번길 14-32 ,관광지,자연,자연관광지,항구/포구,478.0,4.0,50.0,7.0,6.0,9.0,6.0,3.0,12.0,7.0,"'동일리포구'은/는 제주특별자치도 서귀포시 대정읍 동일하모로98번길 14-32 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 항구/포구입니다. 해당 관광지는 기준월(4.0) 동안 총 478.0명의 방문자를 기록했습니다. 7월 한 달 동안 50.0명이 방문했습니다. 요일별 방문자수는 월요일 7.0명, 화요일 6.0명, 수요일 9.0명, 목요일 6.0명, 금요일 3.0명, 토요일 12.0명, 일요일 7.0명입니다.",33.247276,126.2475706
두맹이골목,제주특별자치도 제주시 일도이동 1006-11,관광지,인문(문화/예술/역사),체험관광지,이색거리,741.0,4.0,77.0,10.0,9.0,12.0,8.0,17.0,9.0,12.0,"'두맹이골목'은/는 제주특별자치도 제주시 일도이동 1006-11에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 이색거리입니다. 해당 관광지는 기준월(4.0) 동안 총 741.0명의 방문자를 기록했습니다. 7월 한 달 동안 77.0명이 방문했습니다. 요일별 방문자수는 월요일 10.0명, 화요일 9.0명, 수요일 12.0명, 목요일 8.0명, 금요일 17.0명, 토요일 9.0명, 일요일 12.0명입니다.",33.5120308,126.5349279
마라도등대,"제주특별자치도 서귀포시 대정읍 마라로 (165, 마라도항로표지관리소) ",관광지,자연,자연관광지,등대,834.0,4.0,106.0,16.0,15.0,15.0,11.0,15.0,19.0,15.0,"'마라도등대'은/는 제주특별자치도 서귀포시 대정읍 마라로 (165, 마라도항로표지관리소) 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 등대입니다. 해당 관광지는 기준월(4.0) 동안 총 834.0명의 방문자를 기록했습니다. 7월 한 달 동안 106.0명이 방문했습니다. 요일별 방문자수는 월요일 16.0명, 화요일 15.0명, 수요일 15.0명, 목요일 11.0명, 금요일 15.0명, 토요일 19.0명, 일요일 15.0명입니다.",33.1697336,126.271453
마라도,제주특별자치도 서귀포시 대정읍 마라로101번길 46 ,관광지,자연,자연관광지,섬,6306.0,4.0,554.0,89.0,69.0,95.0,77.0,76.0,78.0,70.0,"'마라도'은/는 제주특별자치도 서귀포시 대정읍 마라로101번길 46 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 섬입니다. 해당 관광지는 기준월(4.0) 동안 총 6306.0명의 방문자를 기록했습니다. 7월 한 달 동안 554.0명이 방문했습니다. 요일별 방문자수는 월요일 89.0명, 화요일 69.0명, 수요일 95.0명, 목요일 77.0명, 금요일 76.0명, 토요일 78.0명, 일요일 70.0명입니다.",,
메이즈랜드,제주특별자치도 제주시 구좌읍 비자림로 2134-47 ,관광지,인문(문화/예술/역사),휴양관광지,테마공원,8368.0,4.0,710.0,110.0,99.0,107.0,103.0,110.0,88.0,93.0,"'메이즈랜드'은/는 제주특별자치도 제주시 구좌읍 비자림로 2134-47 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 휴양관광지, 소분류: 테마공원입니다. 해당 관광지는 기준월(4.0) 동안 총 8368.0명의 방문자를 기록했습니다. 7월 한 달 동안 710.0명이 방문했습니다. 요일별 방문자수는 월요일 110.0명, 화요일 99.0명, 수요일 107.0명, 목요일 103.0명, 금요일 110.0명, 토요일 88.0명, 일요일 93.0명입니다.",33.4743111,126.7771579
무수천,제주특별자치도 제주시 애월읍 무수천길 (애월읍) 일대,관광지,자연,자연관광지,계곡,814.0,4.0,57.0,6.0,11.0,6.0,10.0,8.0,10.0,6.0,"'무수천'은/는 제주특별자치도 제주시 애월읍 무수천길 (애월읍) 일대에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 계곡입니다. 해당 관광지는 기준월(4.0) 동안 총 814.0명의 방문자를 기록했습니다. 7월 한 달 동안 57.0명이 방문했습니다. 요일별 방문자수는 월요일 6.0명, 화요일 11.0명, 수요일 6.0명, 목요일 10.0명, 금요일 8.0명, 토요일 10.0명, 일요일 6.0명입니다.",33.4633826,126.4445845
물뫼힐링팜,제주특별자치도 제주시 애월읍 예원로 51 ,관광지,인문(문화/예술/역사),체험관광지,이색체험,987.0,4.0,90.0,11.0,12.0,16.0,13.0,15.0,14.0,9.0,"'물뫼힐링팜'은/는 제주특별자치도 제주시 애월읍 예원로 51 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 이색체험입니다. 해당 관광지는 기준월(4.0) 동안 총 987.0명의 방문자를 기록했습니다. 7월 한 달 동안 90.0명이 방문했습니다. 요일별 방문자수는 월요일 11.0명, 화요일 12.0명, 수요일 16.0명, 목요일 13.0명, 금요일 15.0명, 토요일 14.0명, 일요일 9.0명입니다.",33.4642593,126.3965364
박수기정,제주특별자치도 서귀포시 안덕면 난드르로 90-25 ,관광지,자연,자연관광지,해안절경,9479.0,4.0,733.0,91.0,90.0,95.0,132.0,108.0,112.0,105.0,"'박수기정'은/는 제주특별자치도 서귀포시 안덕면 난드르로 90-25 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 해안절경입니다. 해당 관광지는 기준월(4.0) 동안 총 9479.0명의 방문자를 기록했습니다. 7월 한 달 동안 733.0명이 방문했습니다. 요일별 방문자수는 월요일 91.0명, 화요일 90.0명, 수요일 95.0명, 목요일 132.0명, 금요일 108.0명, 토요일 112.0명, 일요일 105.0명입니다.",33.237153,126.3587249
방선문,제주특별자치도 제주시 오라이동 39-1,관광지,자연,자연관광지,계곡,623.0,4.0,68.0,8.0,16.0,11.0,7.0,10.0,8.0,8.0,"'방선문'은/는 제주특별자치도 제주시 오라이동 39-1에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 계곡입니다. 해당 관광지는 기준월(4.0) 동안 총 623.0명의 방문자를 기록했습니다. 7월 한 달 동안 68.0명이 방문했습니다. 요일별 방문자수는 월요일 8.0명, 화요일 16.0명, 수요일 11.0명, 목요일 7.0명, 금요일 10.0명, 토요일 8.0명, 일요일 8.0명입니다.",33.4712097,126.5020906
방주교회,제주특별자치도 서귀포시 안덕면 산록남로762번길 113 ,관광지,인문(문화/예술/역사),역사관광지,종교성지,13913.0,4.0,1139.0,160.0,170.0,155.0,152.0,178.0,170.0,154.0,"'방주교회'은/는 제주특별자치도 서귀포시 안덕면 산록남로762번길 113 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 역사관광지, 소분류: 종교성지입니다. 해당 관광지는 기준월(4.0) 동안 총 13913.0명의 방문자를 기록했습니다. 7월 한 달 동안 1139.0명이 방문했습니다. 요일별 방문자수는 월요일 160.0명, 화요일 170.0명, 수요일 155.0명, 목요일 152.0명, 금요일 178.0명, 토요일 170.0명, 일요일 154.0명입니다.",33.3051258,126.3872587
