관광지명,주소,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,월별 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수,정보,위도,경도
가름게스트하우스,제주특별자치도 서귀포시 법환하로9번길 10 ,숙박,숙박,숙박시설,펜션,221.0,11.0,12.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,"'가름게스트하우스'은/는 제주특별자치도 서귀포시 법환하로9번길 10 에 위치한 관광지로, 숙박에 속하며, 대분류: 숙박, 중분류: 숙박시설, 소분류: 펜션입니다. 해당 관광지는 기준월(11.0) 동안 총 221.0명의 방문자를 기록했습니다. 3월 한 달 동안 12.0명이 방문했습니다. 요일별 방문자수는 월요일 1.0명, 화요일 2.0명, 수요일 2.0명, 목요일 3.0명, 금요일 2.0명, 토요일 1.0명, 일요일 1.0명입니다.",33.2365443,126.5123459
갈중이,제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 ,관광지,인문(문화/예술/역사),체험관광지,전통체험,500.0,11.0,17.0,4.0,2.0,2.0,5.0,2.0,0.0,2.0,"'갈중이'은/는 제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 전통체험입니다. 해당 관광지는 기준월(11.0) 동안 총 500.0명의 방문자를 기록했습니다. 3월 한 달 동안 17.0명이 방문했습니다. 요일별 방문자수는 월요일 4.0명, 화요일 2.0명, 수요일 2.0명, 목요일 5.0명, 금요일 2.0명, 토요일 0.0명, 일요일 2.0명입니다.",33.2350546,126.3136741
감수굴밭담길,제주특별자치도 제주시 구좌읍 평대7길 34 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,551.0,11.0,19.0,5.0,3.0,6.0,2.0,1.0,1.0,1.0,"'감수굴밭담길'은/는 제주특별자치도 제주시 구좌읍 평대7길 34 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 농.산.어촌 체험입니다. 해당 관광지는 기준월(11.0) 동안 총 551.0명의 방문자를 기록했습니다. 3월 한 달 동안 19.0명이 방문했습니다. 요일별 방문자수는 월요일 5.0명, 화요일 3.0명, 수요일 6.0명, 목요일 2.0명, 금요일 1.0명, 토요일 1.0명, 일요일 1.0명입니다.",,
관덕정,제주특별자치도 제주시 관덕로 19 (삼도이동),관광지,인문(문화/예술/역사),역사관광지,고궁,5642.0,11.0,420.0,63.0,72.0,77.0,63.0,68.0,35.0,42.0,"'관덕정'은/는 제주특별자치도 제주시 관덕로 19 (삼도이동)에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 역사관광지, 소분류: 고궁입니다. 해당 관광지는 기준월(11.0) 동안 총 5642.0명의 방문자를 기록했습니다. 3월 한 달 동안 420.0명이 방문했습니다. 요일별 방문자수는 월요일 63.0명, 화요일 72.0명, 수요일 77.0명, 목요일 63.0명, 금요일 68.0명, 토요일 35.0명, 일요일 42.0명입니다.",33.5133704,126.5214334
관음사,제주특별자치도 제주시 산록북로 660 (아라일동),관광지,인문(문화/예술/역사),역사관광지,사찰,1809.0,11.0,81.0,14.0,16.0,8.0,14.0,9.0,13.0,7.0,"'관음사'은/는 제주특별자치도 제주시 산록북로 660 (아라일동)에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 역사관광지, 소분류: 사찰입니다. 해당 관광지는 기준월(11.0) 동안 총 1809.0명의 방문자를 기록했습니다. 3월 한 달 동안 81.0명이 방문했습니다. 요일별 방문자수는 월요일 14.0명, 화요일 16.0명, 수요일 8.0명, 목요일 14.0명, 금요일 9.0명, 토요일 13.0명, 일요일 7.0명입니다.",33.4237942,126.5583908
그림리조트,제주특별자치도 제주시 서해안로 620-1 (용담삼동),숙박,숙박,숙박시설,펜션,89.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"'그림리조트'은/는 제주특별자치도 제주시 서해안로 620-1 (용담삼동)에 위치한 관광지로, 숙박에 속하며, 대분류: 숙박, 중분류: 숙박시설, 소분류: 펜션입니다. 해당 관광지는 기준월(11.0) 동안 총 89.0명의 방문자를 기록했습니다. 3월 한 달 동안 1.0명이 방문했습니다. 요일별 방문자수는 월요일 0.0명, 화요일 0.0명, 수요일 0.0명, 목요일 0.0명, 금요일 0.0명, 토요일 0.0명, 일요일 1.0명입니다.",33.5163208,126.5035006
금능포구,제주특별자치도 제주시 한림읍 금능리 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,457.0,11.0,9.0,0.0,0.0,3.0,2.0,3.0,1.0,0.0,"'금능포구'은/는 제주특별자치도 제주시 한림읍 금능리 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 농.산.어촌 체험입니다. 해당 관광지는 기준월(11.0) 동안 총 457.0명의 방문자를 기록했습니다. 3월 한 달 동안 9.0명이 방문했습니다. 요일별 방문자수는 월요일 0.0명, 화요일 0.0명, 수요일 3.0명, 목요일 2.0명, 금요일 3.0명, 토요일 1.0명, 일요일 0.0명입니다.",33.3700283,126.2392054
금룡사,제주특별자치도 제주시 구좌읍 김녕로 148-11 (구좌읍),관광지,인문(문화/예술/역사),역사관광지,사찰,478.0,11.0,18.0,3.0,3.0,4.0,0.0,3.0,2.0,3.0,"'금룡사'은/는 제주특별자치도 제주시 구좌읍 김녕로 148-11 (구좌읍)에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 역사관광지, 소분류: 사찰입니다. 해당 관광지는 기준월(11.0) 동안 총 478.0명의 방문자를 기록했습니다. 3월 한 달 동안 18.0명이 방문했습니다. 요일별 방문자수는 월요일 3.0명, 화요일 3.0명, 수요일 4.0명, 목요일 0.0명, 금요일 3.0명, 토요일 2.0명, 일요일 3.0명입니다.",33.553856,126.7535423
금호리조트제주,제주특별자치도 서귀포시 남원읍 태위로 522-12 ,숙박,인문(문화/예술/역사),휴양관광지,관광단지,1515.0,11.0,72.0,12.0,11.0,12.0,18.0,10.0,2.0,7.0,"'금호리조트제주'은/는 제주특별자치도 서귀포시 남원읍 태위로 522-12 에 위치한 관광지로, 숙박에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 휴양관광지, 소분류: 관광단지입니다. 해당 관광지는 기준월(11.0) 동안 총 1515.0명의 방문자를 기록했습니다. 3월 한 달 동안 72.0명이 방문했습니다. 요일별 방문자수는 월요일 12.0명, 화요일 11.0명, 수요일 12.0명, 목요일 18.0명, 금요일 10.0명, 토요일 2.0명, 일요일 7.0명입니다.",33.2729991,126.701485
꿈꾸는노마드,제주특별자치도 서귀포시 선반로 54 ,숙박,숙박,숙박시설,펜션,179.0,11.0,6.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,"'꿈꾸는노마드'은/는 제주특별자치도 서귀포시 선반로 54 에 위치한 관광지로, 숙박에 속하며, 대분류: 숙박, 중분류: 숙박시설, 소분류: 펜션입니다. 해당 관광지는 기준월(11.0) 동안 총 179.0명의 방문자를 기록했습니다. 3월 한 달 동안 6.0명이 방문했습니다. 요일별 방문자수는 월요일 0.0명, 화요일 0.0명, 수요일 0.0명, 목요일 3.0명, 금요일 0.0명, 토요일 2.0명, 일요일 1.0명입니다.",,
끄라비펜션,제주특별자치도 서귀포시 토평로148번길 28 (토평동),숙박,숙박,숙박시설,펜션,278.0,11.0,12.0,2.0,0.0,2.0,2.0,4.0,0.0,2.0,"'끄라비펜션'은/는 제주특별자치도 서귀포시 토평로148번길 28 (토평동)에 위치한 관광지로, 숙박에 속하며, 대분류: 숙박, 중분류: 숙박시설, 소분류: 펜션입니다. 해당 관광지는 기준월(11.0) 동안 총 278.0명의 방문자를 기록했습니다. 3월 한 달 동안 12.0명이 방문했습니다. 요일별 방문자수는 월요일 2.0명, 화요일 0.0명, 수요일 2.0명, 목요일 2.0명, 금요일 4.0명, 토요일 0.0명, 일요일 2.0명입니다.",33.279433,126.5914359
