관광지명,주소,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,월별 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수,정보,위도,경도
갈중이,제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 ,관광지,인문(문화/예술/역사),체험관광지,전통체험,500.0,4.0,62.0,9.0,5.0,8.0,8.0,10.0,13.0,9.0,"'갈중이'은/는 제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 전통체험입니다. 해당 관광지는 기준월(4.0) 동안 총 500.0명의 방문자를 기록했습니다. 7월 한 달 동안 62.0명이 방문했습니다. 요일별 방문자수는 월요일 9.0명, 화요일 5.0명, 수요일 8.0명, 목요일 8.0명, 금요일 10.0명, 토요일 13.0명, 일요일 9.0명입니다.",33.2350546,126.3136741
감수굴밭담길,제주특별자치도 제주시 구좌읍 평대7길 34 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,551.0,4.0,45.0,4.0,6.0,9.0,6.0,4.0,10.0,6.0,"'감수굴밭담길'은/는 제주특별자치도 제주시 구좌읍 평대7길 34 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 농.산.어촌 체험입니다. 해당 관광지는 기준월(4.0) 동안 총 551.0명의 방문자를 기록했습니다. 7월 한 달 동안 45.0명이 방문했습니다. 요일별 방문자수는 월요일 4.0명, 화요일 6.0명, 수요일 9.0명, 목요일 6.0명, 금요일 4.0명, 토요일 10.0명, 일요일 6.0명입니다.",,
관덕정,제주특별자치도 제주시 관덕로 19 (삼도이동),관광지,인문(문화/예술/역사),역사관광지,고궁,5642.0,4.0,667.0,102.0,110.0,101.0,100.0,83.0,73.0,98.0,"'관덕정'은/는 제주특별자치도 제주시 관덕로 19 (삼도이동)에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 역사관광지, 소분류: 고궁입니다. 해당 관광지는 기준월(4.0) 동안 총 5642.0명의 방문자를 기록했습니다. 7월 한 달 동안 667.0명이 방문했습니다. 요일별 방문자수는 월요일 102.0명, 화요일 110.0명, 수요일 101.0명, 목요일 100.0명, 금요일 83.0명, 토요일 73.0명, 일요일 98.0명입니다.",33.5133704,126.5214334
관음사,제주특별자치도 제주시 산록북로 660 (아라일동),관광지,인문(문화/예술/역사),역사관광지,사찰,1809.0,4.0,182.0,31.0,27.0,27.0,24.0,21.0,28.0,24.0,"'관음사'은/는 제주특별자치도 제주시 산록북로 660 (아라일동)에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 역사관광지, 소분류: 사찰입니다. 해당 관광지는 기준월(4.0) 동안 총 1809.0명의 방문자를 기록했습니다. 7월 한 달 동안 182.0명이 방문했습니다. 요일별 방문자수는 월요일 31.0명, 화요일 27.0명, 수요일 27.0명, 목요일 24.0명, 금요일 21.0명, 토요일 28.0명, 일요일 24.0명입니다.",33.4237942,126.5583908
금능포구,제주특별자치도 제주시 한림읍 금능리 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,457.0,4.0,60.0,5.0,9.0,12.0,7.0,5.0,12.0,10.0,"'금능포구'은/는 제주특별자치도 제주시 한림읍 금능리 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 농.산.어촌 체험입니다. 해당 관광지는 기준월(4.0) 동안 총 457.0명의 방문자를 기록했습니다. 7월 한 달 동안 60.0명이 방문했습니다. 요일별 방문자수는 월요일 5.0명, 화요일 9.0명, 수요일 12.0명, 목요일 7.0명, 금요일 5.0명, 토요일 12.0명, 일요일 10.0명입니다.",33.3700283,126.2392054
금룡사,제주특별자치도 제주시 구좌읍 김녕로 148-11 (구좌읍),관광지,인문(문화/예술/역사),역사관광지,사찰,478.0,4.0,56.0,9.0,10.0,8.0,6.0,7.0,8.0,8.0,"'금룡사'은/는 제주특별자치도 제주시 구좌읍 김녕로 148-11 (구좌읍)에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 역사관광지, 소분류: 사찰입니다. 해당 관광지는 기준월(4.0) 동안 총 478.0명의 방문자를 기록했습니다. 7월 한 달 동안 56.0명이 방문했습니다. 요일별 방문자수는 월요일 9.0명, 화요일 10.0명, 수요일 8.0명, 목요일 6.0명, 금요일 7.0명, 토요일 8.0명, 일요일 8.0명입니다.",33.553856,126.7535423
금호리조트제주,제주특별자치도 서귀포시 남원읍 태위로 522-12 ,숙박,인문(문화/예술/역사),휴양관광지,관광단지,1515.0,4.0,175.0,28.0,34.0,27.0,15.0,34.0,18.0,19.0,"'금호리조트제주'은/는 제주특별자치도 서귀포시 남원읍 태위로 522-12 에 위치한 관광지로, 숙박에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 휴양관광지, 소분류: 관광단지입니다. 해당 관광지는 기준월(4.0) 동안 총 1515.0명의 방문자를 기록했습니다. 7월 한 달 동안 175.0명이 방문했습니다. 요일별 방문자수는 월요일 28.0명, 화요일 34.0명, 수요일 27.0명, 목요일 15.0명, 금요일 34.0명, 토요일 18.0명, 일요일 19.0명입니다.",33.2729991,126.701485
노리매공원,제주특별자치도 서귀포시 대정읍 중산간서로 2260-15 ,관광지,인문(문화/예술/역사),휴양관광지,공원,3274.0,4.0,318.0,60.0,39.0,46.0,49.0,42.0,38.0,44.0,"'노리매공원'은/는 제주특별자치도 서귀포시 대정읍 중산간서로 2260-15 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 휴양관광지, 소분류: 공원입니다. 해당 관광지는 기준월(4.0) 동안 총 3274.0명의 방문자를 기록했습니다. 7월 한 달 동안 318.0명이 방문했습니다. 요일별 방문자수는 월요일 60.0명, 화요일 39.0명, 수요일 46.0명, 목요일 49.0명, 금요일 42.0명, 토요일 38.0명, 일요일 44.0명입니다.",33.2831505,126.2873239
누웨마루거리,제주특별자치도 제주시 신광로 47 (연동) ,관광지,인문(문화/예술/역사),체험관광지,이색거리,2082.0,4.0,192.0,26.0,33.0,29.0,20.0,26.0,28.0,30.0,"'누웨마루거리'은/는 제주특별자치도 제주시 신광로 47 (연동) 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 이색거리입니다. 해당 관광지는 기준월(4.0) 동안 총 2082.0명의 방문자를 기록했습니다. 7월 한 달 동안 192.0명이 방문했습니다. 요일별 방문자수는 월요일 26.0명, 화요일 33.0명, 수요일 29.0명, 목요일 20.0명, 금요일 26.0명, 토요일 28.0명, 일요일 30.0명입니다.",,
다이나믹메이즈,제주특별자치도 서귀포시 표선면 번영로 2644 ,관광지,인문(문화/예술/역사),휴양관광지,테마공원,7386.0,4.0,547.0,85.0,70.0,68.0,74.0,93.0,75.0,82.0,"'다이나믹메이즈'은/는 제주특별자치도 서귀포시 표선면 번영로 2644 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 휴양관광지, 소분류: 테마공원입니다. 해당 관광지는 기준월(4.0) 동안 총 7386.0명의 방문자를 기록했습니다. 7월 한 달 동안 547.0명이 방문했습니다. 요일별 방문자수는 월요일 85.0명, 화요일 70.0명, 수요일 68.0명, 목요일 74.0명, 금요일 93.0명, 토요일 75.0명, 일요일 82.0명입니다.",33.3991423,126.7851051
