관광지명,주소,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,월별 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수,정보,위도,경도
가름게스트하우스,제주특별자치도 서귀포시 법환하로9번길 10 ,숙박,숙박,숙박시설,펜션,221.0,7.0,19.0,3.0,4.0,6.0,1.0,2.0,1.0,2.0,"'가름게스트하우스'은/는 제주특별자치도 서귀포시 법환하로9번길 10 에 위치한 관광지로, 숙박에 속하며, 대분류: 숙박, 중분류: 숙박시설, 소분류: 펜션입니다. 해당 관광지는 기준월(7.0) 동안 총 221.0명의 방문자를 기록했습니다. 10월 한 달 동안 19.0명이 방문했습니다. 요일별 방문자수는 월요일 3.0명, 화요일 4.0명, 수요일 6.0명, 목요일 1.0명, 금요일 2.0명, 토요일 1.0명, 일요일 2.0명입니다.",33.2365443,126.5123459
갈중이,제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 ,관광지,인문(문화/예술/역사),체험관광지,전통체험,500.0,7.0,50.0,11.0,6.0,5.0,6.0,12.0,5.0,5.0,"'갈중이'은/는 제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 전통체험입니다. 해당 관광지는 기준월(7.0) 동안 총 500.0명의 방문자를 기록했습니다. 10월 한 달 동안 50.0명이 방문했습니다. 요일별 방문자수는 월요일 11.0명, 화요일 6.0명, 수요일 5.0명, 목요일 6.0명, 금요일 12.0명, 토요일 5.0명, 일요일 5.0명입니다.",33.2350546,126.3136741
그랜드조선제주,제주특별자치도 서귀포시 중문관광로72번길 60 ,숙박,숙박,숙박시설,관광호텔,465.0,7.0,28.0,1.0,8.0,4.0,4.0,4.0,3.0,4.0,"'그랜드조선제주'은/는 제주특별자치도 서귀포시 중문관광로72번길 60 에 위치한 관광지로, 숙박에 속하며, 대분류: 숙박, 중분류: 숙박시설, 소분류: 관광호텔입니다. 해당 관광지는 기준월(7.0) 동안 총 465.0명의 방문자를 기록했습니다. 10월 한 달 동안 28.0명이 방문했습니다. 요일별 방문자수는 월요일 1.0명, 화요일 8.0명, 수요일 4.0명, 목요일 4.0명, 금요일 4.0명, 토요일 3.0명, 일요일 4.0명입니다.",,
그랜드하얏트제주,제주특별자치도 제주시 노형동 ,숙박,숙박,숙박시설,관광호텔,1235.0,7.0,71.0,11.0,13.0,15.0,6.0,9.0,6.0,11.0,"'그랜드하얏트제주'은/는 제주특별자치도 제주시 노형동 에 위치한 관광지로, 숙박에 속하며, 대분류: 숙박, 중분류: 숙박시설, 소분류: 관광호텔입니다. 해당 관광지는 기준월(7.0) 동안 총 1235.0명의 방문자를 기록했습니다. 10월 한 달 동안 71.0명이 방문했습니다. 요일별 방문자수는 월요일 11.0명, 화요일 13.0명, 수요일 15.0명, 목요일 6.0명, 금요일 9.0명, 토요일 6.0명, 일요일 11.0명입니다.",,
그림리조트,제주특별자치도 제주시 서해안로 620-1 (용담삼동),숙박,숙박,숙박시설,펜션,89.0,7.0,7.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,"'그림리조트'은/는 제주특별자치도 제주시 서해안로 620-1 (용담삼동)에 위치한 관광지로, 숙박에 속하며, 대분류: 숙박, 중분류: 숙박시설, 소분류: 펜션입니다. 해당 관광지는 기준월(7.0) 동안 총 89.0명의 방문자를 기록했습니다. 10월 한 달 동안 7.0명이 방문했습니다. 요일별 방문자수는 월요일 1.0명, 화요일 3.0명, 수요일 2.0명, 목요일 1.0명, 금요일 0.0명, 토요일 0.0명, 일요일 0.0명입니다.",33.5163208,126.5035006
금호리조트제주,제주특별자치도 서귀포시 남원읍 태위로 522-12 ,숙박,인문(문화/예술/역사),휴양관광지,관광단지,1515.0,7.0,99.0,11.0,17.0,8.0,21.0,13.0,16.0,13.0,"'금호리조트제주'은/는 제주특별자치도 서귀포시 남원읍 태위로 522-12 에 위치한 관광지로, 숙박에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 휴양관광지, 소분류: 관광단지입니다. 해당 관광지는 기준월(7.0) 동안 총 1515.0명의 방문자를 기록했습니다. 10월 한 달 동안 99.0명이 방문했습니다. 요일별 방문자수는 월요일 11.0명, 화요일 17.0명, 수요일 8.0명, 목요일 21.0명, 금요일 13.0명, 토요일 16.0명, 일요일 13.0명입니다.",33.2729991,126.701485
꿈꾸는노마드,제주특별자치도 서귀포시 선반로 54 ,숙박,숙박,숙박시설,펜션,179.0,7.0,15.0,4.0,4.0,0.0,2.0,3.0,1.0,1.0,"'꿈꾸는노마드'은/는 제주특별자치도 서귀포시 선반로 54 에 위치한 관광지로, 숙박에 속하며, 대분류: 숙박, 중분류: 숙박시설, 소분류: 펜션입니다. 해당 관광지는 기준월(7.0) 동안 총 179.0명의 방문자를 기록했습니다. 10월 한 달 동안 15.0명이 방문했습니다. 요일별 방문자수는 월요일 4.0명, 화요일 4.0명, 수요일 0.0명, 목요일 2.0명, 금요일 3.0명, 토요일 1.0명, 일요일 1.0명입니다.",,
끄라비펜션,제주특별자치도 서귀포시 토평로148번길 28 (토평동),숙박,숙박,숙박시설,펜션,278.0,7.0,13.0,4.0,3.0,0.0,2.0,1.0,3.0,0.0,"'끄라비펜션'은/는 제주특별자치도 서귀포시 토평로148번길 28 (토평동)에 위치한 관광지로, 숙박에 속하며, 대분류: 숙박, 중분류: 숙박시설, 소분류: 펜션입니다. 해당 관광지는 기준월(7.0) 동안 총 278.0명의 방문자를 기록했습니다. 10월 한 달 동안 13.0명이 방문했습니다. 요일별 방문자수는 월요일 4.0명, 화요일 3.0명, 수요일 0.0명, 목요일 2.0명, 금요일 1.0명, 토요일 3.0명, 일요일 0.0명입니다.",33.279433,126.5914359
노리매공원,제주특별자치도 서귀포시 대정읍 중산간서로 2260-15 ,관광지,인문(문화/예술/역사),휴양관광지,공원,3274.0,7.0,174.0,32.0,32.0,25.0,17.0,23.0,19.0,26.0,"'노리매공원'은/는 제주특별자치도 서귀포시 대정읍 중산간서로 2260-15 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 휴양관광지, 소분류: 공원입니다. 해당 관광지는 기준월(7.0) 동안 총 3274.0명의 방문자를 기록했습니다. 10월 한 달 동안 174.0명이 방문했습니다. 요일별 방문자수는 월요일 32.0명, 화요일 32.0명, 수요일 25.0명, 목요일 17.0명, 금요일 23.0명, 토요일 19.0명, 일요일 26.0명입니다.",33.2831505,126.2873239
노을담은뜨락,제주특별자치도 서귀포시 대정읍 노을해안로 416 ,숙박,숙박,숙박시설,펜션,269.0,7.0,29.0,3.0,4.0,5.0,2.0,6.0,4.0,5.0,"'노을담은뜨락'은/는 제주특별자치도 서귀포시 대정읍 노을해안로 416 에 위치한 관광지로, 숙박에 속하며, 대분류: 숙박, 중분류: 숙박시설, 소분류: 펜션입니다. 해당 관광지는 기준월(7.0) 동안 총 269.0명의 방문자를 기록했습니다. 10월 한 달 동안 29.0명이 방문했습니다. 요일별 방문자수는 월요일 3.0명, 화요일 4.0명, 수요일 5.0명, 목요일 2.0명, 금요일 6.0명, 토요일 4.0명, 일요일 5.0명입니다.",33.25624,126.1903353
누웨마루거리,제주특별자치도 제주시 신광로 47 (연동) ,관광지,인문(문화/예술/역사),체험관광지,이색거리,2082.0,7.0,172.0,27.0,26.0,28.0,19.0,24.0,25.0,23.0,"'누웨마루거리'은/는 제주특별자치도 제주시 신광로 47 (연동) 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 이색거리입니다. 해당 관광지는 기준월(7.0) 동안 총 2082.0명의 방문자를 기록했습니다. 10월 한 달 동안 172.0명이 방문했습니다. 요일별 방문자수는 월요일 27.0명, 화요일 26.0명, 수요일 28.0명, 목요일 19.0명, 금요일 24.0명, 토요일 25.0명, 일요일 23.0명입니다.",,
다이나믹메이즈,제주특별자치도 서귀포시 표선면 번영로 2644 ,관광지,인문(문화/예술/역사),휴양관광지,테마공원,7386.0,7.0,585.0,94.0,97.0,51.0,92.0,68.0,97.0,86.0,"'다이나믹메이즈'은/는 제주특별자치도 서귀포시 표선면 번영로 2644 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 휴양관광지, 소분류: 테마공원입니다. 해당 관광지는 기준월(7.0) 동안 총 7386.0명의 방문자를 기록했습니다. 10월 한 달 동안 585.0명이 방문했습니다. 요일별 방문자수는 월요일 94.0명, 화요일 97.0명, 수요일 51.0명, 목요일 92.0명, 금요일 68.0명, 토요일 97.0명, 일요일 86.0명입니다.",33.3991423,126.7851051
다인리조트,제주특별자치도 제주시 애월읍 애월해안로 400-9 ,숙박,숙박,숙박시설,펜션,405.0,7.0,34.0,4.0,4.0,6.0,3.0,5.0,6.0,6.0,"'다인리조트'은/는 제주특별자치도 제주시 애월읍 애월해안로 400-9 에 위치한 관광지로, 숙박에 속하며, 대분류: 숙박, 중분류: 숙박시설, 소분류: 펜션입니다. 해당 관광지는 기준월(7.0) 동안 총 405.0명의 방문자를 기록했습니다. 10월 한 달 동안 34.0명이 방문했습니다. 요일별 방문자수는 월요일 4.0명, 화요일 4.0명, 수요일 6.0명, 목요일 3.0명, 금요일 5.0명, 토요일 6.0명, 일요일 6.0명입니다.",33.4714919,126.351163
다인오세아노호텔,제주특별자치도 제주시 애월해안로 394 ,숙박,숙박,숙박시설,관광호텔,739.0,7.0,77.0,11.0,13.0,17.0,10.0,7.0,10.0,9.0,"'다인오세아노호텔'은/는 제주특별자치도 제주시 애월해안로 394 에 위치한 관광지로, 숙박에 속하며, 대분류: 숙박, 중분류: 숙박시설, 소분류: 관광호텔입니다. 해당 관광지는 기준월(7.0) 동안 총 739.0명의 방문자를 기록했습니다. 10월 한 달 동안 77.0명이 방문했습니다. 요일별 방문자수는 월요일 11.0명, 화요일 13.0명, 수요일 17.0명, 목요일 10.0명, 금요일 7.0명, 토요일 10.0명, 일요일 9.0명입니다.",,
