관광지명,주소,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,월별 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수,정보,위도,경도
갈중이,제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 ,관광지,인문(문화/예술/역사),체험관광지,전통체험,500.0,9.0,38.0,12.0,10.0,3.0,2.0,3.0,5.0,3.0,"'갈중이'은/는 제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 전통체험입니다. 해당 관광지는 기준월(9.0) 동안 총 500.0명의 방문자를 기록했습니다. 12월 한 달 동안 38.0명이 방문했습니다. 요일별 방문자수는 월요일 12.0명, 화요일 10.0명, 수요일 3.0명, 목요일 2.0명, 금요일 3.0명, 토요일 5.0명, 일요일 3.0명입니다.",33.2350546,126.3136741
검멀레해변,제주특별자치도 제주시 우도면 우도해안길 (우도면),관광지,자연,자연관광지,해수욕장,3355.0,9.0,249.0,38.0,36.0,37.0,39.0,42.0,30.0,27.0,"'검멀레해변'은/는 제주특별자치도 제주시 우도면 우도해안길 (우도면)에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 해수욕장입니다. 해당 관광지는 기준월(9.0) 동안 총 3355.0명의 방문자를 기록했습니다. 12월 한 달 동안 249.0명이 방문했습니다. 요일별 방문자수는 월요일 38.0명, 화요일 36.0명, 수요일 37.0명, 목요일 39.0명, 금요일 42.0명, 토요일 30.0명, 일요일 27.0명입니다.",33.5065528,126.9549021
곽지해수욕장,제주특별자치도 제주시 애월읍 곽지리 1565 ,관광지,자연,자연관광지,해수욕장,11572.0,9.0,834.0,144.0,134.0,105.0,96.0,121.0,123.0,111.0,"'곽지해수욕장'은/는 제주특별자치도 제주시 애월읍 곽지리 1565 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 해수욕장입니다. 해당 관광지는 기준월(9.0) 동안 총 11572.0명의 방문자를 기록했습니다. 12월 한 달 동안 834.0명이 방문했습니다. 요일별 방문자수는 월요일 144.0명, 화요일 134.0명, 수요일 105.0명, 목요일 96.0명, 금요일 121.0명, 토요일 123.0명, 일요일 111.0명입니다.",33.45329040000001,126.3212801
관음사야영장,제주특별자치도 제주시 산록북로 588 (오등동),레포츠,레포츠,육상 레포츠,"야영장,오토캠핑장",1369.0,9.0,119.0,14.0,16.0,14.0,10.0,22.0,24.0,19.0,"'관음사야영장'은/는 제주특별자치도 제주시 산록북로 588 (오등동)에 위치한 관광지로, 레포츠에 속하며, 대분류: 레포츠, 중분류: 육상 레포츠, 소분류: 야영장,오토캠핑장입니다. 해당 관광지는 기준월(9.0) 동안 총 1369.0명의 방문자를 기록했습니다. 12월 한 달 동안 119.0명이 방문했습니다. 요일별 방문자수는 월요일 14.0명, 화요일 16.0명, 수요일 14.0명, 목요일 10.0명, 금요일 22.0명, 토요일 24.0명, 일요일 19.0명입니다.",,
광치기해변,제주특별자치도 서귀포시 성산읍 고성리 ,관광지,자연,자연관광지,해수욕장,10642.0,9.0,606.0,76.0,88.0,114.0,67.0,106.0,85.0,70.0,"'광치기해변'은/는 제주특별자치도 서귀포시 성산읍 고성리 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 해수욕장입니다. 해당 관광지는 기준월(9.0) 동안 총 10642.0명의 방문자를 기록했습니다. 12월 한 달 동안 606.0명이 방문했습니다. 요일별 방문자수는 월요일 76.0명, 화요일 88.0명, 수요일 114.0명, 목요일 67.0명, 금요일 106.0명, 토요일 85.0명, 일요일 70.0명입니다.",33.4370258,126.9224025
구엄포구,제주특별자치도 제주시 애월읍 구엄리 607-5 일대 ,관광지,자연,자연관광지,항구/포구,563.0,9.0,47.0,5.0,8.0,11.0,5.0,6.0,6.0,6.0,"'구엄포구'은/는 제주특별자치도 제주시 애월읍 구엄리 607-5 일대 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 항구/포구입니다. 해당 관광지는 기준월(9.0) 동안 총 563.0명의 방문자를 기록했습니다. 12월 한 달 동안 47.0명이 방문했습니다. 요일별 방문자수는 월요일 5.0명, 화요일 8.0명, 수요일 11.0명, 목요일 5.0명, 금요일 6.0명, 토요일 6.0명, 일요일 6.0명입니다.",33.4791227,126.3813732
귤빛캠핑장,제주특별자치도 제주시 조천읍 함와로 428 ,레포츠,레포츠,육상 레포츠,"야영장,오토캠핑장",808.0,9.0,58.0,16.0,7.0,9.0,3.0,11.0,7.0,5.0,"'귤빛캠핑장'은/는 제주특별자치도 제주시 조천읍 함와로 428 에 위치한 관광지로, 레포츠에 속하며, 대분류: 레포츠, 중분류: 육상 레포츠, 소분류: 야영장,오토캠핑장입니다. 해당 관광지는 기준월(9.0) 동안 총 808.0명의 방문자를 기록했습니다. 12월 한 달 동안 58.0명이 방문했습니다. 요일별 방문자수는 월요일 16.0명, 화요일 7.0명, 수요일 9.0명, 목요일 3.0명, 금요일 11.0명, 토요일 7.0명, 일요일 5.0명입니다.",33.5042988,126.6740979
금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10 ,관광지,자연,자연관광지,해수욕장,13346.0,9.0,1279.0,148.0,188.0,174.0,167.0,211.0,235.0,156.0,"'금능해수욕장'은/는 제주특별자치도 제주시 한림읍 금능길 119-10 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 해수욕장입니다. 해당 관광지는 기준월(9.0) 동안 총 13346.0명의 방문자를 기록했습니다. 12월 한 달 동안 1279.0명이 방문했습니다. 요일별 방문자수는 월요일 148.0명, 화요일 188.0명, 수요일 174.0명, 목요일 167.0명, 금요일 211.0명, 토요일 235.0명, 일요일 156.0명입니다.",33.3911311,126.2362647
김녕사굴,제주특별자치도 제주시 구좌읍 덕평로 392-1 ,관광지,자연,자연관광지,동굴,2982.0,9.0,201.0,27.0,26.0,31.0,24.0,32.0,32.0,29.0,"'김녕사굴'은/는 제주특별자치도 제주시 구좌읍 덕평로 392-1 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 동굴입니다. 해당 관광지는 기준월(9.0) 동안 총 2982.0명의 방문자를 기록했습니다. 12월 한 달 동안 201.0명이 방문했습니다. 요일별 방문자수는 월요일 27.0명, 화요일 26.0명, 수요일 31.0명, 목요일 24.0명, 금요일 32.0명, 토요일 32.0명, 일요일 29.0명입니다.",33.5010103,126.7736187
김녕요트투어,제주특별자치도 제주시 구좌읍 구좌해안로 229-16 ,레포츠,레포츠,수상 레포츠,요트,1566.0,9.0,166.0,22.0,16.0,31.0,27.0,28.0,22.0,20.0,"'김녕요트투어'은/는 제주특별자치도 제주시 구좌읍 구좌해안로 229-16 에 위치한 관광지로, 레포츠에 속하며, 대분류: 레포츠, 중분류: 수상 레포츠, 소분류: 요트입니다. 해당 관광지는 기준월(9.0) 동안 총 1566.0명의 방문자를 기록했습니다. 12월 한 달 동안 166.0명이 방문했습니다. 요일별 방문자수는 월요일 22.0명, 화요일 16.0명, 수요일 31.0명, 목요일 27.0명, 금요일 28.0명, 토요일 22.0명, 일요일 20.0명입니다.",33.5579617,126.7367958
내창트레킹,제주특별자치도 서귀포시 남원읍 하례중앙로 95 ,레포츠,레포츠,육상 레포츠,트래킹,923.0,9.0,51.0,7.0,9.0,7.0,7.0,8.0,6.0,7.0,"'내창트레킹'은/는 제주특별자치도 서귀포시 남원읍 하례중앙로 95 에 위치한 관광지로, 레포츠에 속하며, 대분류: 레포츠, 중분류: 육상 레포츠, 소분류: 트래킹입니다. 해당 관광지는 기준월(9.0) 동안 총 923.0명의 방문자를 기록했습니다. 12월 한 달 동안 51.0명이 방문했습니다. 요일별 방문자수는 월요일 7.0명, 화요일 9.0명, 수요일 7.0명, 목요일 7.0명, 금요일 8.0명, 토요일 6.0명, 일요일 7.0명입니다.",33.2692431,126.6254292
논짓물,제주특별자치도 서귀포시 예래해안로 253 (하예동),관광지,자연,자연관광지,해수욕장,7654.0,9.0,298.0,40.0,32.0,34.0,31.0,58.0,57.0,46.0,"'논짓물'은/는 제주특별자치도 서귀포시 예래해안로 253 (하예동)에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 해수욕장입니다. 해당 관광지는 기준월(9.0) 동안 총 7654.0명의 방문자를 기록했습니다. 12월 한 달 동안 298.0명이 방문했습니다. 요일별 방문자수는 월요일 40.0명, 화요일 32.0명, 수요일 34.0명, 목요일 31.0명, 금요일 58.0명, 토요일 57.0명, 일요일 46.0명입니다.",33.2399183,126.3797536
누웨마루거리,제주특별자치도 제주시 신광로 47 (연동) ,관광지,인문(문화/예술/역사),체험관광지,이색거리,2082.0,9.0,183.0,34.0,30.0,20.0,29.0,26.0,24.0,20.0,"'누웨마루거리'은/는 제주특별자치도 제주시 신광로 47 (연동) 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 이색거리입니다. 해당 관광지는 기준월(9.0) 동안 총 2082.0명의 방문자를 기록했습니다. 12월 한 달 동안 183.0명이 방문했습니다. 요일별 방문자수는 월요일 34.0명, 화요일 30.0명, 수요일 20.0명, 목요일 29.0명, 금요일 26.0명, 토요일 24.0명, 일요일 20.0명입니다.",,
