관광지명,주소,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,월별 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수,정보,위도,경도
가마오름,제주특별자치도 제주시 한경면 청수서5길 63 ,관광지,자연,자연관광지,산,609.0,10.0,46.0,5.0,1.0,5.0,8.0,6.0,7.0,14.0,"'가마오름'은/는 제주특별자치도 제주시 한경면 청수서5길 63 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 산입니다. 해당 관광지는 기준월(10.0) 동안 총 609.0명의 방문자를 기록했습니다. 2월 한 달 동안 46.0명이 방문했습니다. 요일별 방문자수는 월요일 5.0명, 화요일 1.0명, 수요일 5.0명, 목요일 8.0명, 금요일 6.0명, 토요일 7.0명, 일요일 14.0명입니다.",33.3054878,126.2493496
가문이오름,제주특별자치도 서귀포시 표선면 남조로 1487-73 ,관광지,자연,자연관광지,산,502.0,10.0,36.0,6.0,5.0,5.0,2.0,3.0,5.0,10.0,"'가문이오름'은/는 제주특별자치도 서귀포시 표선면 남조로 1487-73 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 산입니다. 해당 관광지는 기준월(10.0) 동안 총 502.0명의 방문자를 기록했습니다. 2월 한 달 동안 36.0명이 방문했습니다. 요일별 방문자수는 월요일 6.0명, 화요일 5.0명, 수요일 5.0명, 목요일 2.0명, 금요일 3.0명, 토요일 5.0명, 일요일 10.0명입니다.",,
가세오름,제주특별자치도 서귀포시 표선면 녹산로 554 ,관광지,자연,자연관광지,산,500.0,10.0,40.0,7.0,4.0,3.0,8.0,7.0,6.0,5.0,"'가세오름'은/는 제주특별자치도 서귀포시 표선면 녹산로 554 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 산입니다. 해당 관광지는 기준월(10.0) 동안 총 500.0명의 방문자를 기록했습니다. 2월 한 달 동안 40.0명이 방문했습니다. 요일별 방문자수는 월요일 7.0명, 화요일 4.0명, 수요일 3.0명, 목요일 8.0명, 금요일 7.0명, 토요일 6.0명, 일요일 5.0명입니다.",33.393916,126.7224085
각시바우오름,제주특별자치도 서귀포시 호근동 2112 (호근동),관광지,자연,자연관광지,산,455.0,10.0,36.0,4.0,5.0,3.0,6.0,8.0,1.0,9.0,"'각시바우오름'은/는 제주특별자치도 서귀포시 호근동 2112 (호근동)에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 산입니다. 해당 관광지는 기준월(10.0) 동안 총 455.0명의 방문자를 기록했습니다. 2월 한 달 동안 36.0명이 방문했습니다. 요일별 방문자수는 월요일 4.0명, 화요일 5.0명, 수요일 3.0명, 목요일 6.0명, 금요일 8.0명, 토요일 1.0명, 일요일 9.0명입니다.",33.2767567,126.5269589
갈중이,제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 ,관광지,인문(문화/예술/역사),체험관광지,전통체험,500.0,10.0,18.0,6.0,2.0,3.0,2.0,2.0,1.0,2.0,"'갈중이'은/는 제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 전통체험입니다. 해당 관광지는 기준월(10.0) 동안 총 500.0명의 방문자를 기록했습니다. 2월 한 달 동안 18.0명이 방문했습니다. 요일별 방문자수는 월요일 6.0명, 화요일 2.0명, 수요일 3.0명, 목요일 2.0명, 금요일 2.0명, 토요일 1.0명, 일요일 2.0명입니다.",33.2350546,126.3136741
감수굴밭담길,제주특별자치도 제주시 구좌읍 평대7길 34 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,551.0,10.0,45.0,9.0,3.0,7.0,2.0,8.0,4.0,12.0,"'감수굴밭담길'은/는 제주특별자치도 제주시 구좌읍 평대7길 34 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 농.산.어촌 체험입니다. 해당 관광지는 기준월(10.0) 동안 총 551.0명의 방문자를 기록했습니다. 2월 한 달 동안 45.0명이 방문했습니다. 요일별 방문자수는 월요일 9.0명, 화요일 3.0명, 수요일 7.0명, 목요일 2.0명, 금요일 8.0명, 토요일 4.0명, 일요일 12.0명입니다.",,
개오름,제주특별자치도 서귀포시 표선면 성읍이리로57번길 162 ,관광지,자연,자연관광지,산,1080.0,10.0,80.0,8.0,22.0,7.0,3.0,7.0,11.0,22.0,"'개오름'은/는 제주특별자치도 서귀포시 표선면 성읍이리로57번길 162 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 산입니다. 해당 관광지는 기준월(10.0) 동안 총 1080.0명의 방문자를 기록했습니다. 2월 한 달 동안 80.0명이 방문했습니다. 요일별 방문자수는 월요일 8.0명, 화요일 22.0명, 수요일 7.0명, 목요일 3.0명, 금요일 7.0명, 토요일 11.0명, 일요일 22.0명입니다.",33.4232271,126.7717506
개오리오름,제주특별자치도 제주시 명림로 584 (봉개동) ,관광지,자연,자연관광지,산,380.0,10.0,26.0,3.0,3.0,2.0,3.0,3.0,2.0,10.0,"'개오리오름'은/는 제주특별자치도 제주시 명림로 584 (봉개동) 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 산입니다. 해당 관광지는 기준월(10.0) 동안 총 380.0명의 방문자를 기록했습니다. 2월 한 달 동안 26.0명이 방문했습니다. 요일별 방문자수는 월요일 3.0명, 화요일 3.0명, 수요일 2.0명, 목요일 3.0명, 금요일 3.0명, 토요일 2.0명, 일요일 10.0명입니다.",33.4571323,126.6130534
거문오름,제주특별자치도 제주시 조천읍 선교로 569-36 ,관광지,자연,자연관광지,산,11268.0,10.0,851.0,157.0,147.0,117.0,136.0,96.0,72.0,126.0,"'거문오름'은/는 제주특별자치도 제주시 조천읍 선교로 569-36 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 산입니다. 해당 관광지는 기준월(10.0) 동안 총 11268.0명의 방문자를 기록했습니다. 2월 한 달 동안 851.0명이 방문했습니다. 요일별 방문자수는 월요일 157.0명, 화요일 147.0명, 수요일 117.0명, 목요일 136.0명, 금요일 96.0명, 토요일 72.0명, 일요일 126.0명입니다.",,
검멀레해변,제주특별자치도 제주시 우도면 우도해안길 (우도면),관광지,자연,자연관광지,해수욕장,3355.0,10.0,383.0,67.0,83.0,49.0,61.0,46.0,32.0,45.0,"'검멀레해변'은/는 제주특별자치도 제주시 우도면 우도해안길 (우도면)에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 해수욕장입니다. 해당 관광지는 기준월(10.0) 동안 총 3355.0명의 방문자를 기록했습니다. 2월 한 달 동안 383.0명이 방문했습니다. 요일별 방문자수는 월요일 67.0명, 화요일 83.0명, 수요일 49.0명, 목요일 61.0명, 금요일 46.0명, 토요일 32.0명, 일요일 45.0명입니다.",33.5065528,126.9549021
