관광지명,주소,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,월별 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수,정보,위도,경도
갈중이,제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 ,관광지,인문(문화/예술/역사),체험관광지,전통체험,500.0,12.0,9.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,"'갈중이'은/는 제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 전통체험입니다. 해당 관광지는 기준월(12.0) 동안 총 500.0명의 방문자를 기록했습니다. 4월 한 달 동안 9.0명이 방문했습니다. 요일별 방문자수는 월요일 0.0명, 화요일 3.0명, 수요일 1.0명, 목요일 1.0명, 금요일 1.0명, 토요일 2.0명, 일요일 1.0명입니다.",33.2350546,126.3136741
감수굴밭담길,제주특별자치도 제주시 구좌읍 평대7길 34 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,551.0,12.0,27.0,3.0,6.0,4.0,4.0,5.0,2.0,3.0,"'감수굴밭담길'은/는 제주특별자치도 제주시 구좌읍 평대7길 34 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 농.산.어촌 체험입니다. 해당 관광지는 기준월(12.0) 동안 총 551.0명의 방문자를 기록했습니다. 4월 한 달 동안 27.0명이 방문했습니다. 요일별 방문자수는 월요일 3.0명, 화요일 6.0명, 수요일 4.0명, 목요일 4.0명, 금요일 5.0명, 토요일 2.0명, 일요일 3.0명입니다.",,
고산일과해안도로,제주특별자치도 서귀포시 대정읍 신도리 3135-1 ,관광지,자연,자연관광지,자연생태관광지,542.0,12.0,22.0,1.0,5.0,1.0,2.0,3.0,0.0,10.0,"'고산일과해안도로'은/는 제주특별자치도 서귀포시 대정읍 신도리 3135-1 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 자연생태관광지입니다. 해당 관광지는 기준월(12.0) 동안 총 542.0명의 방문자를 기록했습니다. 4월 한 달 동안 22.0명이 방문했습니다. 요일별 방문자수는 월요일 1.0명, 화요일 5.0명, 수요일 1.0명, 목요일 2.0명, 금요일 3.0명, 토요일 0.0명, 일요일 10.0명입니다.",33.2575958,126.214254
관덕정,제주특별자치도 제주시 관덕로 19 (삼도이동),관광지,인문(문화/예술/역사),역사관광지,고궁,5642.0,12.0,335.0,57.0,66.0,34.0,44.0,66.0,32.0,36.0,"'관덕정'은/는 제주특별자치도 제주시 관덕로 19 (삼도이동)에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 역사관광지, 소분류: 고궁입니다. 해당 관광지는 기준월(12.0) 동안 총 5642.0명의 방문자를 기록했습니다. 4월 한 달 동안 335.0명이 방문했습니다. 요일별 방문자수는 월요일 57.0명, 화요일 66.0명, 수요일 34.0명, 목요일 44.0명, 금요일 66.0명, 토요일 32.0명, 일요일 36.0명입니다.",33.5133704,126.5214334
관음사,제주특별자치도 제주시 산록북로 660 (아라일동),관광지,인문(문화/예술/역사),역사관광지,사찰,1809.0,12.0,126.0,19.0,12.0,19.0,14.0,24.0,21.0,17.0,"'관음사'은/는 제주특별자치도 제주시 산록북로 660 (아라일동)에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 역사관광지, 소분류: 사찰입니다. 해당 관광지는 기준월(12.0) 동안 총 1809.0명의 방문자를 기록했습니다. 4월 한 달 동안 126.0명이 방문했습니다. 요일별 방문자수는 월요일 19.0명, 화요일 12.0명, 수요일 19.0명, 목요일 14.0명, 금요일 24.0명, 토요일 21.0명, 일요일 17.0명입니다.",33.4237942,126.5583908
금능포구,제주특별자치도 제주시 한림읍 금능리 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,457.0,12.0,7.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,"'금능포구'은/는 제주특별자치도 제주시 한림읍 금능리 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 농.산.어촌 체험입니다. 해당 관광지는 기준월(12.0) 동안 총 457.0명의 방문자를 기록했습니다. 4월 한 달 동안 7.0명이 방문했습니다. 요일별 방문자수는 월요일 0.0명, 화요일 0.0명, 수요일 1.0명, 목요일 1.0명, 금요일 1.0명, 토요일 2.0명, 일요일 2.0명입니다.",33.3700283,126.2392054
금룡사,제주특별자치도 제주시 구좌읍 김녕로 148-11 (구좌읍),관광지,인문(문화/예술/역사),역사관광지,사찰,478.0,12.0,25.0,6.0,4.0,3.0,5.0,4.0,1.0,2.0,"'금룡사'은/는 제주특별자치도 제주시 구좌읍 김녕로 148-11 (구좌읍)에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 역사관광지, 소분류: 사찰입니다. 해당 관광지는 기준월(12.0) 동안 총 478.0명의 방문자를 기록했습니다. 4월 한 달 동안 25.0명이 방문했습니다. 요일별 방문자수는 월요일 6.0명, 화요일 4.0명, 수요일 3.0명, 목요일 5.0명, 금요일 4.0명, 토요일 1.0명, 일요일 2.0명입니다.",33.553856,126.7535423
금호리조트제주,제주특별자치도 서귀포시 남원읍 태위로 522-12 ,숙박,인문(문화/예술/역사),휴양관광지,관광단지,1515.0,12.0,95.0,9.0,6.0,14.0,10.0,22.0,16.0,18.0,"'금호리조트제주'은/는 제주특별자치도 서귀포시 남원읍 태위로 522-12 에 위치한 관광지로, 숙박에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 휴양관광지, 소분류: 관광단지입니다. 해당 관광지는 기준월(12.0) 동안 총 1515.0명의 방문자를 기록했습니다. 4월 한 달 동안 95.0명이 방문했습니다. 요일별 방문자수는 월요일 9.0명, 화요일 6.0명, 수요일 14.0명, 목요일 10.0명, 금요일 22.0명, 토요일 16.0명, 일요일 18.0명입니다.",33.2729991,126.701485
김경숙해바라기농장,제주특별자치도 제주시 번영로 854-1 (회천동) ,관광지,자연,자연관광지,자연생태관광지,4832.0,12.0,81.0,12.0,10.0,17.0,7.0,13.0,11.0,11.0,"'김경숙해바라기농장'은/는 제주특별자치도 제주시 번영로 854-1 (회천동) 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 자연생태관광지입니다. 해당 관광지는 기준월(12.0) 동안 총 4832.0명의 방문자를 기록했습니다. 4월 한 달 동안 81.0명이 방문했습니다. 요일별 방문자수는 월요일 12.0명, 화요일 10.0명, 수요일 17.0명, 목요일 7.0명, 금요일 13.0명, 토요일 11.0명, 일요일 11.0명입니다.",33.477406,126.62762
김녕사굴,제주특별자치도 제주시 구좌읍 덕평로 392-1 ,관광지,자연,자연관광지,동굴,2982.0,12.0,159.0,22.0,15.0,25.0,17.0,22.0,30.0,28.0,"'김녕사굴'은/는 제주특별자치도 제주시 구좌읍 덕평로 392-1 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 동굴입니다. 해당 관광지는 기준월(12.0) 동안 총 2982.0명의 방문자를 기록했습니다. 4월 한 달 동안 159.0명이 방문했습니다. 요일별 방문자수는 월요일 22.0명, 화요일 15.0명, 수요일 25.0명, 목요일 17.0명, 금요일 22.0명, 토요일 30.0명, 일요일 28.0명입니다.",33.5010103,126.7736187
