관광지명,주소,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,월별 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수,정보,위도,경도
가파도,제주특별자치도 서귀포시 대정읍 가파로 ,관광지,자연,자연관광지,섬,12905.0,5.0,1946.0,425.0,353.0,267.0,203.0,225.0,206.0,267.0,"'가파도'은/는 제주특별자치도 서귀포시 대정읍 가파로 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 섬입니다. 해당 관광지는 기준월(5.0) 동안 총 12905.0명의 방문자를 기록했습니다. 8월 한 달 동안 1946.0명이 방문했습니다. 요일별 방문자수는 월요일 425.0명, 화요일 353.0명, 수요일 267.0명, 목요일 203.0명, 금요일 225.0명, 토요일 206.0명, 일요일 267.0명입니다.",33.1697336,126.271453
갈중이,제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 ,관광지,인문(문화/예술/역사),체험관광지,전통체험,500.0,5.0,55.0,10.0,8.0,10.0,8.0,8.0,7.0,4.0,"'갈중이'은/는 제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 전통체험입니다. 해당 관광지는 기준월(5.0) 동안 총 500.0명의 방문자를 기록했습니다. 8월 한 달 동안 55.0명이 방문했습니다. 요일별 방문자수는 월요일 10.0명, 화요일 8.0명, 수요일 10.0명, 목요일 8.0명, 금요일 8.0명, 토요일 7.0명, 일요일 4.0명입니다.",33.2350546,126.3136741
감수굴밭담길,제주특별자치도 제주시 구좌읍 평대7길 34 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,551.0,5.0,64.0,12.0,12.0,10.0,11.0,4.0,6.0,9.0,"'감수굴밭담길'은/는 제주특별자치도 제주시 구좌읍 평대7길 34 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 농.산.어촌 체험입니다. 해당 관광지는 기준월(5.0) 동안 총 551.0명의 방문자를 기록했습니다. 8월 한 달 동안 64.0명이 방문했습니다. 요일별 방문자수는 월요일 12.0명, 화요일 12.0명, 수요일 10.0명, 목요일 11.0명, 금요일 4.0명, 토요일 6.0명, 일요일 9.0명입니다.",,
검멀레해변,제주특별자치도 제주시 우도면 우도해안길 (우도면),관광지,자연,자연관광지,해수욕장,3355.0,5.0,388.0,83.0,82.0,63.0,46.0,32.0,27.0,55.0,"'검멀레해변'은/는 제주특별자치도 제주시 우도면 우도해안길 (우도면)에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 해수욕장입니다. 해당 관광지는 기준월(5.0) 동안 총 3355.0명의 방문자를 기록했습니다. 8월 한 달 동안 388.0명이 방문했습니다. 요일별 방문자수는 월요일 83.0명, 화요일 82.0명, 수요일 63.0명, 목요일 46.0명, 금요일 32.0명, 토요일 27.0명, 일요일 55.0명입니다.",33.5065528,126.9549021
고산일과해안도로,제주특별자치도 서귀포시 대정읍 신도리 3135-1 ,관광지,자연,자연관광지,자연생태관광지,542.0,5.0,71.0,17.0,10.0,14.0,7.0,8.0,10.0,5.0,"'고산일과해안도로'은/는 제주특별자치도 서귀포시 대정읍 신도리 3135-1 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 자연생태관광지입니다. 해당 관광지는 기준월(5.0) 동안 총 542.0명의 방문자를 기록했습니다. 8월 한 달 동안 71.0명이 방문했습니다. 요일별 방문자수는 월요일 17.0명, 화요일 10.0명, 수요일 14.0명, 목요일 7.0명, 금요일 8.0명, 토요일 10.0명, 일요일 5.0명입니다.",33.2575958,126.214254
곽지해수욕장,제주특별자치도 제주시 애월읍 곽지리 1565 ,관광지,자연,자연관광지,해수욕장,11572.0,5.0,1437.0,253.0,275.0,218.0,204.0,164.0,137.0,186.0,"'곽지해수욕장'은/는 제주특별자치도 제주시 애월읍 곽지리 1565 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 해수욕장입니다. 해당 관광지는 기준월(5.0) 동안 총 11572.0명의 방문자를 기록했습니다. 8월 한 달 동안 1437.0명이 방문했습니다. 요일별 방문자수는 월요일 253.0명, 화요일 275.0명, 수요일 218.0명, 목요일 204.0명, 금요일 164.0명, 토요일 137.0명, 일요일 186.0명입니다.",33.45329040000001,126.3212801
광치기해변,제주특별자치도 서귀포시 성산읍 고성리 ,관광지,자연,자연관광지,해수욕장,10642.0,5.0,1142.0,229.0,197.0,163.0,133.0,113.0,108.0,199.0,"'광치기해변'은/는 제주특별자치도 서귀포시 성산읍 고성리 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 해수욕장입니다. 해당 관광지는 기준월(5.0) 동안 총 10642.0명의 방문자를 기록했습니다. 8월 한 달 동안 1142.0명이 방문했습니다. 요일별 방문자수는 월요일 229.0명, 화요일 197.0명, 수요일 163.0명, 목요일 133.0명, 금요일 113.0명, 토요일 108.0명, 일요일 199.0명입니다.",33.4370258,126.9224025
구엄포구,제주특별자치도 제주시 애월읍 구엄리 607-5 일대 ,관광지,자연,자연관광지,항구/포구,563.0,5.0,69.0,11.0,16.0,10.0,10.0,5.0,11.0,6.0,"'구엄포구'은/는 제주특별자치도 제주시 애월읍 구엄리 607-5 일대 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 항구/포구입니다. 해당 관광지는 기준월(5.0) 동안 총 563.0명의 방문자를 기록했습니다. 8월 한 달 동안 69.0명이 방문했습니다. 요일별 방문자수는 월요일 11.0명, 화요일 16.0명, 수요일 10.0명, 목요일 10.0명, 금요일 5.0명, 토요일 11.0명, 일요일 6.0명입니다.",33.4791227,126.3813732
금능포구,제주특별자치도 제주시 한림읍 금능리 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,457.0,5.0,59.0,10.0,7.0,14.0,7.0,7.0,3.0,11.0,"'금능포구'은/는 제주특별자치도 제주시 한림읍 금능리 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 농.산.어촌 체험입니다. 해당 관광지는 기준월(5.0) 동안 총 457.0명의 방문자를 기록했습니다. 8월 한 달 동안 59.0명이 방문했습니다. 요일별 방문자수는 월요일 10.0명, 화요일 7.0명, 수요일 14.0명, 목요일 7.0명, 금요일 7.0명, 토요일 3.0명, 일요일 11.0명입니다.",33.3700283,126.2392054
금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10 ,관광지,자연,자연관광지,해수욕장,13346.0,5.0,1414.0,250.0,264.0,232.0,175.0,176.0,151.0,166.0,"'금능해수욕장'은/는 제주특별자치도 제주시 한림읍 금능길 119-10 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 해수욕장입니다. 해당 관광지는 기준월(5.0) 동안 총 13346.0명의 방문자를 기록했습니다. 8월 한 달 동안 1414.0명이 방문했습니다. 요일별 방문자수는 월요일 250.0명, 화요일 264.0명, 수요일 232.0명, 목요일 175.0명, 금요일 176.0명, 토요일 151.0명, 일요일 166.0명입니다.",33.3911311,126.2362647
김경숙해바라기농장,제주특별자치도 제주시 번영로 854-1 (회천동) ,관광지,자연,자연관광지,자연생태관광지,4832.0,5.0,513.0,91.0,91.0,94.0,77.0,53.0,46.0,61.0,"'김경숙해바라기농장'은/는 제주특별자치도 제주시 번영로 854-1 (회천동) 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 자연생태관광지입니다. 해당 관광지는 기준월(5.0) 동안 총 4832.0명의 방문자를 기록했습니다. 8월 한 달 동안 513.0명이 방문했습니다. 요일별 방문자수는 월요일 91.0명, 화요일 91.0명, 수요일 94.0명, 목요일 77.0명, 금요일 53.0명, 토요일 46.0명, 일요일 61.0명입니다.",33.477406,126.62762
노을해안로,제주특별자치도 서귀포시 대정읍 영락리 ,관광지,자연,자연관광지,자연생태관광지,1349.0,5.0,165.0,29.0,26.0,25.0,19.0,27.0,13.0,26.0,"'노을해안로'은/는 제주특별자치도 서귀포시 대정읍 영락리 에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 자연생태관광지입니다. 해당 관광지는 기준월(5.0) 동안 총 1349.0명의 방문자를 기록했습니다. 8월 한 달 동안 165.0명이 방문했습니다. 요일별 방문자수는 월요일 29.0명, 화요일 26.0명, 수요일 25.0명, 목요일 19.0명, 금요일 27.0명, 토요일 13.0명, 일요일 26.0명입니다.",33.2425714,126.2243799
논짓물,제주특별자치도 서귀포시 예래해안로 253 (하예동),관광지,자연,자연관광지,해수욕장,7654.0,5.0,649.0,109.0,136.0,129.0,80.0,47.0,74.0,74.0,"'논짓물'은/는 제주특별자치도 서귀포시 예래해안로 253 (하예동)에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 해수욕장입니다. 해당 관광지는 기준월(5.0) 동안 총 7654.0명의 방문자를 기록했습니다. 8월 한 달 동안 649.0명이 방문했습니다. 요일별 방문자수는 월요일 109.0명, 화요일 136.0명, 수요일 129.0명, 목요일 80.0명, 금요일 47.0명, 토요일 74.0명, 일요일 74.0명입니다.",33.2399183,126.3797536
누웨마루거리,제주특별자치도 제주시 신광로 47 (연동) ,관광지,인문(문화/예술/역사),체험관광지,이색거리,2082.0,5.0,193.0,34.0,32.0,34.0,22.0,29.0,22.0,20.0,"'누웨마루거리'은/는 제주특별자치도 제주시 신광로 47 (연동) 에 위치한 관광지로, 관광지에 속하며, 대분류: 인문(문화/예술/역사), 중분류: 체험관광지, 소분류: 이색거리입니다. 해당 관광지는 기준월(5.0) 동안 총 2082.0명의 방문자를 기록했습니다. 8월 한 달 동안 193.0명이 방문했습니다. 요일별 방문자수는 월요일 34.0명, 화요일 32.0명, 수요일 34.0명, 목요일 22.0명, 금요일 29.0명, 토요일 22.0명, 일요일 20.0명입니다.",,
다려도,제주특별자치도 제주시 조천읍 북촌리 산 89,관광지,자연,자연관광지,섬,696.0,5.0,83.0,12.0,16.0,8.0,19.0,6.0,10.0,12.0,"'다려도'은/는 제주특별자치도 제주시 조천읍 북촌리 산 89에 위치한 관광지로, 관광지에 속하며, 대분류: 자연, 중분류: 자연관광지, 소분류: 섬입니다. 해당 관광지는 기준월(5.0) 동안 총 696.0명의 방문자를 기록했습니다. 8월 한 달 동안 83.0명이 방문했습니다. 요일별 방문자수는 월요일 12.0명, 화요일 16.0명, 수요일 8.0명, 목요일 19.0명, 금요일 6.0명, 토요일 10.0명, 일요일 12.0명입니다.",33.5374849,126.6939218
