관광지명,주소,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,1월 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수,위도,경도
가름게스트하우스,제주특별자치도 서귀포시 법환하로9번길 10 ,숙박,숙박,숙박시설,펜션,221.0,1.0,29.0,2.0,5.0,6.0,5.0,4.0,3.0,4.0,33.2365443,126.5123459
가마오름,제주특별자치도 제주시 한경면 청수서5길 63 ,관광지,자연,자연관광지,산,609.0,1.0,66.0,11.0,11.0,9.0,9.0,10.0,6.0,10.0,33.3054878,126.2493496
가문이오름,제주특별자치도 서귀포시 표선면 남조로 1487-73 ,관광지,자연,자연관광지,산,502.0,1.0,49.0,11.0,9.0,6.0,6.0,1.0,9.0,7.0,,
가세오름,제주특별자치도 서귀포시 표선면 녹산로 554 ,관광지,자연,자연관광지,산,500.0,1.0,63.0,12.0,13.0,8.0,4.0,12.0,5.0,9.0,33.393916,126.7224085
가시식당,제주특별자치도 서귀포시 표선면 가시로565번길 22 ,음식점,음식,음식점,한식,399.0,1.0,47.0,8.0,6.0,6.0,8.0,8.0,3.0,8.0,33.3530912,126.7712412
가파도,제주특별자치도 서귀포시 대정읍 가파로 ,관광지,자연,자연관광지,섬,12905.0,1.0,1222.0,239.0,209.0,162.0,163.0,136.0,130.0,183.0,33.1697336,126.271453
각시바우오름,제주특별자치도 서귀포시 호근동 2112 (호근동),관광지,자연,자연관광지,산,455.0,1.0,43.0,15.0,6.0,7.0,3.0,4.0,2.0,6.0,33.2767567,126.5269589
갈중이,제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 ,관광지,인문(문화/예술/역사),체험관광지,전통체험,500.0,1.0,36.0,7.0,7.0,5.0,3.0,1.0,2.0,11.0,33.2350546,126.3136741
감귤박물관,제주특별자치도 서귀포시 효돈순환로 441 (신효동),문화시설,인문(문화/예술/역사),문화시설,박물관,3589.0,1.0,359.0,66.0,66.0,49.0,42.0,42.0,32.0,62.0,33.27127979999999,126.6076749
감나무집,제주특별자치도 제주시 오남로 12 ,음식점,음식,음식점,한식,421.0,1.0,41.0,7.0,2.0,3.0,6.0,6.0,5.0,12.0,33.4941866,126.5194321
